FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,START_DATE,END_DATE,FIPS,DATE
0.1,A,37.595869,-121.8864,6,20070321,20070321,6001.0,20070321
1.0,B,37.59265,-121.884728,6,20050606,20050606,6001.0,20050606
1.0,B,37.599531,-121.886981,6,20030808,20030808,6001.0,20030808
0.1,A,37.599531,-121.886981,6,20010609,20010609,6001.0,20010609
0.5,B,37.593561,-121.8914,6,20060716,20060716,6001.0,20060716
0.2,A,37.599531,-121.886981,6,20020501,20020501,6001.0,20020501
0.1,A,37.599669,-121.923561,6,19990705,19990705,6001.0,19990705
1.0,B,37.597914,-121.927236,6,20060801,20060801,6001.0,20060801
0.1,A,37.599489,-121.905261,6,20020821,20020821,6001.0,20020821
0.3,B,37.584989,-121.886869,6,19991016,19991016,6001.0,19991016
0.1,A,37.592608,-121.8847,6,20070623,20070623,6001.0,20070623
0.1,A,37.599669,-121.923561,6,20030824,20030824,6001.0,20030824
10.0,C,37.672539,-121.760431,6,20040530,20040530,6001.0,20040530
1.0,B,37.665119,-121.7329,6,20050807,20050807,6001.0,20050807
0.1,A,37.599489,-121.905261,6,20040813,20040813,6001.0,20040813
0.2,A,37.597497,-121.880572,6,20050906,20050906,6001.0,20050906
0.1,A,37.665119,-121.7329,6,20060626,20060626,6001.0,20060626
0.1,A,37.599669,-121.923561,6,19980719,19980719,6001.0,19980719
0.1,A,37.599531,-121.886981,6,20010618,20010618,6001.0,20010618
0.1,A,37.599531,-121.886981,6,20030725,20030725,6001.0,20030725
0.1,A,37.595778,-121.889683,6,20051106,20051106,6001.0,20051106
0.1,A,37.5944,-121.8888,6,20061031,20061031,6001.0,20061031
0.1,A,38.7927,-119.7552,6,20000816,20000816,6003.0,20000816
216.0,D,38.76527778,-119.93333333,6,20080831,20080905,6003.0,20080831
0.1,A,38.65388889,-119.72416667,6,20060828,20060828,6003.0,20060828
0.1,A,38.64333333,-119.79055556,6,20090913,20090913,6003.0,20090913
0.1,A,38.43694444,-119.98777778,6,20060728,20060729,6003.0,20060728
0.1,A,38.64416667,-119.79444444,6,20090913,20090914,6003.0,20090913
0.35,A,38.73638889,-119.94944444,6,20090728,20090728,6003.0,20090728
0.1,A,38.67055556,-119.76722222,6,20050728,20050728,6003.0,20050728
0.1,A,38.41833333,-119.87722222,6,20081024,20081113,6003.0,20081024
3.0,B,38.52111111,-119.70527778,6,20080728,20081004,6003.0,20080728
0.1,A,38.50388889,-119.76861111,6,20080910,20080910,6003.0,20080910
0.1,A,38.5775,-119.71,6,20060718,20060719,6003.0,20060718
0.1,A,38.76111111,-119.92416667,6,20080825,20080825,6003.0,20080825
0.3,B,38.7169,-119.75,6,20050728,20050728,6003.0,20050728
0.4,A,38.61444444,-119.66416667,6,20060708,20060709,6003.0,20060708
10.0,C,38.7511,-119.76,6,20050721,20050721,6003.0,20050721
0.5,B,38.74861111,-119.81305556,6,20070705,20070705,6003.0,20070705
0.1,A,38.40527778,-119.93694444,6,20060627,20060810,6003.0,20060627
0.1,A,38.60305556,-119.65138889,6,20040721,20040721,6003.0,20040721
0.1,A,38.68,-119.63583333,6,20050805,20050805,6003.0,20050805
0.5,B,38.83972222,-119.88638889,6,20050617,20050617,6003.0,20050617
0.1,A,38.7418,-119.7688,6,20030719,20030720,6003.0,20030719
0.33,B,38.74361111,-119.69472222,6,20060719,20060719,6003.0,20060719
0.25,A,38.62638889,-119.71388889,6,20070601,20070602,6003.0,20070601
0.1,A,38.65305556,-119.79833333,6,20060708,20060709,6003.0,20060708
600.0,E,38.5952,-119.6116,6,20020727,20020802,6003.0,20020727
0.1,A,38.66277778,-119.80805556,6,20090912,20090912,6003.0,20090912
0.5,B,38.4375,-120.07166667,6,20071027,20071027,6003.0,20071027
0.25,A,38.77194444,-119.81388889,6,20070428,20070428,6003.0,20070428
0.3,B,38.6563,-119.6218,6,20010711,20010711,6003.0,20010711
0.30000000000000004,A,38.68138889,-119.65388889,6,20090912,20090912,6003.0,20090912
0.1,A,38.7143,-119.7605,6,20010808,20010809,6003.0,20010808
0.1,A,38.58333333,-119.83,6,20050809,20050809,6003.0,20050809
0.1,A,38.7891,-119.7924,6,20040721,20040721,6003.0,20040721
0.1,A,38.62833333,-119.77444444,6,20090912,20090913,6003.0,20090912
0.25,A,38.85333333,-119.82972222,6,20060628,20060629,6003.0,20060628
0.1,A,38.60222222,-119.72194444,6,20050807,20050808,6003.0,20050807
1.0,B,38.871,-119.6293,6,19990822,19990822,6003.0,19990822
2.1,A,38.63972222,-119.79777778,6,20040629,20040630,6003.0,20040629
3.0,B,38.7163,-119.7905,6,20020712,20020713,6003.0,20020712
0.1,A,38.76388889,-119.85388889,6,20050726,20050726,6003.0,20050726
8.0,B,38.63138889,-119.73666667,6,20090731,20090802,6003.0,20090731
0.1,A,38.70027778,-119.84055556,6,20050506,20050509,6003.0,20050506
39.0,C,38.70111111,-119.78583333,6,20070623,20070626,6003.0,20070623
0.1,A,38.60527778,-119.8475,6,20070829,20070829,6003.0,20070829
0.25,A,38.55694444,-119.59444444,6,20090729,20090731,6003.0,20090729
0.25,A,38.64583333,-119.79916667,6,20060718,20060719,6003.0,20060718
0.1,A,38.61194444,-119.67833333,6,20050805,20050806,6003.0,20050805
0.25,A,38.64888889,-119.77833333,6,20060708,20060709,6003.0,20060708
1.0,B,38.61,-119.72694444,6,20070723,20070725,6003.0,20070723
0.01,A,38.495,-119.80805556,6,20080827,20080827,6003.0,20080827
2.0,B,38.50138889,-119.62166667,6,20040825,20040826,6003.0,20040825
0.25,A,38.58416667,-119.81944444,6,20060709,20060710,6003.0,20060709
0.25,A,38.75,-119.81388889,6,20060812,20060813,6003.0,20060812
0.1,A,38.64388889,-119.82694444,6,20060709,20060716,6003.0,20060709
0.25,A,36.64194444,-119.89361111,6,20040910,20040911,6003.0,20040910
0.5,B,38.47416667,-119.94527778,6,20080624,20080629,6003.0,20080624
0.1,A,38.55638889,-119.83333333,6,20070903,20070903,6003.0,20070903
0.25,A,38.67444444,-119.76555556,6,20060806,20060806,6003.0,20060806
0.1,A,38.72027778,-119.97222222,6,20060709,20060710,6003.0,20060709
0.1,A,38.7996,-119.7466,6,20040822,20040822,6003.0,20040822
0.1,A,38.70722222,-119.79333333,6,20060709,20060709,6003.0,20060709
0.25,A,38.62861111,-119.78777778,6,20060710,20060711,6003.0,20060710
30.0,C,38.58305556,-119.93083333,6,20070828,20070909,6003.0,20070828
0.25,A,38.76583333,-119.88777778,6,20050728,20050730,6003.0,20050728
0.1,A,38.69472222,-119.79333333,6,20051025,20051025,6003.0,20051025
0.1,A,38.54166667,-119.855,6,20080626,20080627,6003.0,20080626
