,fips,county_name,state,to_generate,status,generated_row_count,file_name
0,37153,Richmond County,NC,0,1.0,0.0,
1,37155,Robeson County,NC,0,1.0,0.0,
2,37157,Rockingham County,NC,0,1.0,0.0,
3,37159,Rowan County,NC,0,1.0,0.0,
4,37161,Rutherford County,NC,0,1.0,0.0,
5,37163,Sampson County,NC,0,1.0,0.0,
6,37165,Scotland County,NC,0,1.0,0.0,
7,37167,Stanly County,NC,0,1.0,0.0,
8,37169,Stokes County,NC,0,1.0,0.0,
9,37171,Surry County,NC,0,1.0,0.0,
10,37173,Swain County,NC,0,1.0,0.0,
11,37175,Transylvania County,NC,0,1.0,0.0,
12,37177,Tyrrell County,NC,0,1.0,0.0,
13,37179,Union County,NC,0,1.0,0.0,
14,37181,Vance County,NC,0,1.0,0.0,
15,37183,Wake County,NC,0,1.0,0.0,
16,37185,Warren County,NC,0,1.0,0.0,
17,37187,Washington County,NC,0,1.0,0.0,
18,37189,Watauga County,NC,0,1.0,0.0,
19,37191,Wayne County,NC,0,1.0,0.0,
20,37193,Wilkes County,NC,0,1.0,0.0,
21,37195,Wilson County,NC,0,1.0,0.0,
22,37197,Yadkin County,NC,0,1.0,0.0,
23,37199,Yancey County,NC,0,1.0,0.0,
24,38000,NORTH DAKOTA,,0,1.0,0.0,
25,38001,Adams County,ND,0,1.0,0.0,
26,38003,Barnes County,ND,0,1.0,0.0,
27,38005,Benson County,ND,0,1.0,0.0,
28,38007,Billings County,ND,0,1.0,0.0,
29,38009,Bottineau County,ND,0,1.0,0.0,
30,38011,Bowman County,ND,0,1.0,0.0,
31,38013,Burke County,ND,0,1.0,0.0,
32,38015,Burleigh County,ND,0,1.0,1.0,Datasets/merged_tp_precip_wind_fmc_38015_Burleigh County.csv
33,38017,Cass County,ND,0,1.0,0.0,
34,38019,Cavalier County,ND,0,1.0,0.0,
35,38021,Dickey County,ND,0,1.0,0.0,
36,38023,Divide County,ND,0,1.0,0.0,
37,38025,Dunn County,ND,0,1.0,0.0,
38,38027,Eddy County,ND,0,1.0,0.0,
39,38029,Emmons County,ND,0,1.0,0.0,
40,38031,Foster County,ND,0,1.0,0.0,
41,38033,Golden Valley County,ND,0,1.0,0.0,
42,38035,Grand Forks County,ND,0,1.0,0.0,
43,38037,Grant County,ND,0,1.0,0.0,
44,38039,Griggs County,ND,0,1.0,0.0,
45,38041,Hettinger County,ND,0,1.0,0.0,
46,38043,Kidder County,ND,0,1.0,0.0,
47,38045,LaMoure County,ND,0,1.0,0.0,
48,38047,Logan County,ND,0,1.0,0.0,
49,38049,McHenry County,ND,0,1.0,0.0,
50,38051,McIntosh County,ND,0,1.0,0.0,
51,38053,McKenzie County,ND,0,1.0,0.0,
52,38055,McLean County,ND,0,1.0,0.0,
53,38057,Mercer County,ND,0,1.0,0.0,
54,38059,Morton County,ND,0,1.0,0.0,
55,38061,Mountrail County,ND,0,1.0,0.0,
56,38063,Nelson County,ND,0,1.0,0.0,
57,38065,Oliver County,ND,0,1.0,0.0,
58,38067,Pembina County,ND,0,1.0,0.0,
59,38069,Pierce County,ND,0,1.0,0.0,
60,38071,Ramsey County,ND,0,1.0,0.0,
61,38073,Ransom County,ND,0,1.0,0.0,
62,38075,Renville County,ND,0,1.0,0.0,
63,38077,Richland County,ND,0,1.0,0.0,
64,38079,Rolette County,ND,0,1.0,0.0,
65,38081,Sargent County,ND,0,1.0,0.0,
66,38083,Sheridan County,ND,0,1.0,0.0,
67,38085,Sioux County,ND,0,1.0,0.0,
68,38087,Slope County,ND,0,1.0,0.0,
69,38089,Stark County,ND,0,1.0,0.0,
70,38091,Steele County,ND,0,1.0,0.0,
71,38093,Stutsman County,ND,0,1.0,0.0,
72,38095,Towner County,ND,0,1.0,0.0,
73,38097,Traill County,ND,0,1.0,0.0,
74,38099,Walsh County,ND,0,1.0,0.0,
75,38101,Ward County,ND,0,1.0,0.0,
76,38103,Wells County,ND,0,1.0,0.0,
77,38105,Williams County,ND,0,1.0,0.0,
78,39000,OHIO,,0,1.0,0.0,
79,39001,Adams County,OH,0,1.0,0.0,
80,39003,Allen County,OH,0,1.0,0.0,
81,39005,Ashland County,OH,0,1.0,0.0,
82,39007,Ashtabula County,OH,0,1.0,0.0,
83,39009,Athens County,OH,0,1.0,0.0,
84,39011,Auglaize County,OH,0,1.0,0.0,
85,39013,Belmont County,OH,0,1.0,0.0,
86,39015,Brown County,OH,0,1.0,0.0,
87,39017,Butler County,OH,0,1.0,0.0,
88,39019,Carroll County,OH,0,1.0,0.0,
89,39021,Champaign County,OH,0,1.0,0.0,
90,39023,Clark County,OH,0,1.0,0.0,
91,39025,Clermont County,OH,0,1.0,0.0,
92,39027,Clinton County,OH,0,1.0,0.0,
93,39029,Columbiana County,OH,0,1.0,0.0,
94,39031,Coshocton County,OH,0,1.0,0.0,
95,39033,Crawford County,OH,0,1.0,0.0,
96,39035,Cuyahoga County,OH,0,1.0,0.0,
97,39037,Darke County,OH,0,1.0,0.0,
