,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
1,0.1,A,43.26003,-116.08211,20140801,20140801,16001.0,20140801,367.0,189.0,274.0,0.0,0.60033846,84.0
2,0.3,B,43.26038,-116.17502,20140809,20140809,16001.0,20140809,339.0,183.0,260.0,0.0,2.563761,90.0
4,0.1,A,43.19475,-116.02893,20140708,20140708,16001.0,20140708,372.0,183.0,279.0,0.0,1.9557571,106.0
6,0.1,A,43.25645,-116.08462,20140803,20140803,16001.0,20140803,372.0,211.0,292.0,0.0,2.3433754,84.0
7,0.1,A,43.26049,-116.07981,20140802,20140802,16001.0,20140802,372.0,222.0,294.0,0.0,2.0773556,84.0
8,2.0,B,43.533,-116.07897,20150730,20150730,16001.0,20150730,350.0,167.0,254.0,0.0,1.9789516,81.5
10,35.0,C,43.64319,-116.15485,20150722,20150723,16001.0,20150723,322.0,167.0,230.0,0.0,0.71980894,73.0
11,1.0,B,43.25557,-116.08833,20150615,20150615,16001.0,20150615,328.0,117.0,224.0,0.0,0.72543097,127.0
13,2.0,B,43.54655,-116.04425,20150705,20150705,16001.0,20150705,289.0,217.0,285.0,0.0,4.111949,84.0
14,0.1,A,43.36911,-116.39301,20130609,20130609,16001.0,20130609,344.0,156.0,247.0,0.0,0.8688393,141.0
15,0.1,A,43.27464,-116.17006,20140622,20140622,16001.0,20140622,306.0,128.0,223.0,0.0,3.4376953,118.0
16,8.5,C,43.51964,-116.06844,20140722,20140723,16001.0,20140723,356.0,167.0,265.0,0.0,1.8425297,85.0
17,0.3,B,43.26255,-116.0766,20140802,20140802,16001.0,20140802,372.0,222.0,294.0,0.0,2.0773556,84.0
18,35.0,C,43.64319,-116.15485,20150722,20150723,16001.0,20150722,317.0,189.0,263.0,8.0,0.23717086,73.0
19,0.3,B,43.25219,-116.16801,20140820,20140820,16001.0,20140820,300.0,183.0,242.0,0.0,1.4136492,82.0
23,0.1,A,43.26441,-116.16661,20130715,20130715,16001.0,20130715,378.0,178.0,279.0,0.0,1.7647643,75.0
24,5.0,B,43.4852,-116.24846,20130704,20130704,16001.0,20130704,356.0,194.0,284.0,0.0,3.2515383,67.0
25,0.3,B,43.37873,-115.99034,20140711,20140711,16001.0,20140711,378.0,206.0,285.0,0.0,0.9204949,106.0
26,11.6,C,43.25513,-116.08416,20140722,20140722,16001.0,20140722,339.0,189.0,256.0,5.0,0.8229808000000001,85.0
27,2.0,B,43.51699,-116.23318,20150724,20150724,16001.0,20150724,328.0,172.0,251.0,0.0,1.4234642,73.0
28,20.8,C,43.22879,-116.02098,20130730,20130730,16001.0,20130730,350.0,183.0,265.0,0.0,1.2245051000000002,84.0
30,1.0,B,43.45795,-116.12431,20130526,20130526,16001.0,20130526,222.0,94.0,164.0,56.0,2.8346748,102.0
31,0.1,A,43.27181,-116.1449,20140713,20140713,16001.0,20140713,400.0,211.0,308.0,0.0,2.2496438,106.0
32,3.7,B,43.26946,-116.17772,20130718,20130718,16001.0,20130718,378.0,172.0,274.0,0.0,2.8440084,75.0
33,0.2,A,43.18575,-116.02594,20140708,20140708,16001.0,20140708,372.0,183.0,279.0,0.0,1.9557571,106.0
34,17.7,C,43.26798,-116.14126,20130709,20130709,16001.0,20130709,372.0,150.0,266.0,0.0,2.3471882,75.0
35,0.1,A,43.2626,-116.08237,20140729,20140729,16001.0,20140729,367.0,233.0,301.0,0.0,1.3577182,85.0
38,0.05,A,43.64388889,-116.06638889,20150519,20150520,16001.0,20150519,194.0,117.0,158.0,71.0,1.4699064,191.0
39,0.1,A,43.19792,-116.01913,20140822,20140822,16001.0,20140822,272.0,150.0,216.0,0.0,1.9501029,82.0
41,10.25,C,43.59666667,-116.00222222,20140704,20140705,16001.0,20140705,367.0,178.0,282.0,0.0,2.5355272,88.0
44,117.9,D,43.26685,-116.15992,20130715,20130715,16001.0,20130715,378.0,178.0,279.0,0.0,1.7647643,75.0
45,0.1,A,43.2435,-116.04294,20140802,20140802,16001.0,20140802,372.0,222.0,294.0,0.0,2.0773556,84.0
46,0.05,A,43.41083,-116.18683,20140729,20140730,16001.0,20140730,356.0,222.0,278.0,0.0,1.5273792,84.0
47,0.8,B,43.25809,-116.18305,20130719,20130719,16001.0,20130719,394.0,178.0,284.0,0.0,2.4946716,75.0
49,0.1,A,43.2449,-116.1045,20140820,20140820,16001.0,20140820,300.0,183.0,242.0,0.0,1.4136492,82.0
50,0.4,B,43.2604,-116.08254,20140728,20140728,16001.0,20140728,378.0,211.0,299.0,0.0,1.4583538,85.0
53,24.7,C,43.25555,-116.08464,20140728,20140728,16001.0,20140728,378.0,211.0,299.0,0.0,1.4583538,85.0
55,2.5,B,43.4909,-116.2361,20150813,20150814,16001.0,20150814,367.0,217.0,325.0,0.0,2.7504547,90.0
56,5.0,B,43.46458,-116.05898,20150926,20150926,16001.0,20150926,294.0,161.0,237.0,0.0,1.1918997,74.0
57,0.3,B,43.24525,-116.03238,20140802,20140802,16001.0,20140802,372.0,222.0,294.0,0.0,2.0773556,84.0
58,1.0,B,43.24734,-116.02292,20140811,20140811,16001.0,20140811,389.0,222.0,307.0,0.0,2.4161494,90.0
59,0.2,A,43.26493,-116.1622,20130715,20130715,16001.0,20130715,378.0,178.0,279.0,0.0,1.7647643,75.0
60,0.1,A,43.26204,-116.08121,20140803,20140803,16001.0,20140803,372.0,211.0,292.0,0.0,2.3433754,84.0
61,0.1,A,43.27813,-116.09713,20140711,20140711,16001.0,20140711,378.0,206.0,285.0,0.0,0.9204949,106.0
