,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,2.0,B,42.4777778,-112.105556,20101022,20101022,16005.0,20101022,125.0,13.0,78.0,25.0,3.0417936,104.0
1,0.3,A,42.6217,-112.0064,20100704,20100704,16005.0,20100704,190.0,33.0,114.0,0.0,3.0058775,154.0
2,0.1,A,42.6219,-112.0069,20140704,20140704,16005.0,20140704,268.0,121.0,193.0,0.0,2.4946716,101.0
3,22.0,D,42.6372,-112.0644,20130809,20130814,16005.0,20130812,269.0,132.0,177.0,25.0,1.8533537,100.0
4,0.1,A,42.655,-112.0064,20100704,20100704,16005.0,20100704,190.0,33.0,114.0,0.0,3.0058775,154.0
5,2.0,B,42.6728,-112.2153,20100723,20100723,16005.0,20100723,241.0,124.0,166.0,0.0,2.4796946,136.0
6,0.05,A,42.65388889,-112.055,20140721,20140722,16005.0,20140722,270.0,120.0,190.0,0.0,1.3086293,118.0
7,0.1,A,42.6217,-112.0064,20140704,20140704,16005.0,20140704,268.0,121.0,193.0,0.0,2.4946716,101.0
8,22.0,D,42.6372,-112.0644,20130809,20130814,16005.0,20130814,275.0,121.0,185.0,0.0,0.9823412,100.0
9,0.1,A,43.38972222,-111.34083333,20120827,20120827,16005.0,20120827,277.0,94.0,175.0,0.0,4.0028114000000015,75.0
10,2.8,C,42.53194444,-112.06916667,20140724,20140728,16005.0,20140727,297.0,82.0,179.0,0.0,1.8886158,118.0
11,0.15,B,42.9203,-112.31,20150622,20150623,16005.0,20150623,254.0,114.0,174.0,0.0,0.49812144,179.0
12,8.0,B,43.1811,-112.1361,20120721,20120721,16005.0,20120721,285.0,101.0,184.0,0.0,1.2731489,80.0
13,22.0,D,42.6372,-112.0644,20130809,20130814,16005.0,20130813,255.0,108.0,167.0,0.0,1.684427,100.0
14,0.1,A,42.66222222,-112.415,20150718,20150718,16005.0,20150718,192.0,62.0,116.0,76.0,1.7240939999999998,123.0
15,0.05,A,42.635,-112.0617,20140709,20140710,16005.0,20140709,270.0,121.0,179.0,51.0,2.4946716,101.0
16,0.15,B,42.54347,-112.075,20130813,20130814,16005.0,20130814,275.0,121.0,185.0,0.0,0.9823412,100.0
17,2.8,C,42.53194444,-112.06916667,20140724,20140728,16005.0,20140728,267.0,115.0,187.0,0.0,0.9060381,118.0
18,0.1,A,42.4133333,-112.239444,20100827,20100827,16005.0,20100827,238.0,104.0,147.0,0.0,3.1665285,101.0
19,0.1,A,42.29916667,-112.19638889,20130728,20130728,16005.0,20130728,212.0,83.0,130.0,102.0,2.2366123,102.0
20,0.1,A,42.78222222,-112.45861111,20140706,20140706,16005.0,20140706,288.0,142.0,203.0,0.0,1.0123686,101.0
21,120.0,D,42.5328,-112.125,20120910,20120910,16005.0,20120910,213.0,109.0,147.0,0.0,3.2280054,82.0
22,3.2,B,42.7453,-112.1944,20120615,20120615,16005.0,20120615,200.0,46.0,109.0,0.0,2.5778222,107.0
23,127.0,E,42.4889,-112.085,20140716,20140718,16005.0,20140718,264.0,138.0,189.0,0.0,2.8217921,118.0
24,0.1,A,42.6925,-112.36,20100725,20100725,16005.0,20100725,291.0,67.0,167.0,0.0,1.4009018,136.0
25,0.15,B,42.54347,-112.075,20130813,20130814,16005.0,20130813,255.0,108.0,167.0,0.0,1.684427,100.0
26,2.8,C,42.53194444,-112.06916667,20140724,20140728,16005.0,20140724,211.0,61.0,151.0,0.0,2.5793264,118.0
27,0.6,B,42.833,-112.3073,20130717,20130718,16005.0,20130718,289.0,98.0,177.0,0.0,1.6131943000000002,102.0
28,0.1,A,42.66916667,-112.40888889,20150801,20150801,16005.0,20150801,272.0,133.0,191.0,25.0,0.9890019,123.0
29,127.0,E,42.4889,-112.085,20140716,20140718,16005.0,20140716,228.0,112.0,160.0,0.0,2.901097,118.0
30,0.6,B,42.833,-112.3073,20130717,20130718,16005.0,20130717,283.0,109.0,165.0,51.0,1.6507666,102.0
31,231.25,E,42.96219,-112.37869,20130630,20130703,16005.0,20130703,289.0,138.0,205.0,0.0,3.0004156,123.0
32,84.25,D,42.8047,-112.3178,20130629,20130630,16005.0,20130629,318.0,119.0,204.0,0.0,1.5402936,123.0
33,0.1,A,42.8169,-112.3,20151010,20151010,16005.0,20151010,200.0,85.0,149.0,0.0,4.064019,111.0
34,0.05,A,42.65388889,-112.055,20140721,20140722,16005.0,20140721,261.0,97.0,150.0,76.0,3.7222846,118.0
35,1.65,B,42.8355,-112.31744,20130629,20130630,16005.0,20130629,318.0,119.0,204.0,0.0,1.5402936,123.0
36,28.666666666666668,C,42.4053,-112.0375,20130831,20130902,16005.0,20130901,282.0,86.0,180.0,0.0,1.876271,92.0
37,64.0,C,42.9103,-112.4089,20120604,20120604,16005.0,20120604,275.0,55.0,173.0,0.0,3.5643870000000004,177.0
38,3.3,B,42.8536,-112.5233,20121006,20121006,16005.0,20121006,89.0,-24.0,19.0,0.0,1.8392702,96.0
39,85.9,D,42.8047,-112.3178,20130629,20130630,16005.0,20130630,307.0,102.0,194.0,0.0,0.9794928,123.0
40,2.8,C,42.53194444,-112.06916667,20140724,20140728,16005.0,20140726,259.0,76.0,158.0,0.0,1.1401674,118.0
