,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,5.307692307692308,D,48.69527778,-117.02722222,20150701,20150808,16017.0,20150708,241.0,104.0,175.0,0.0,0.16007812,136.0
1,5.307692307692308,D,48.69527778,-117.02722222,20150701,20150808,16017.0,20150709,259.0,154.0,200.0,0.0,1.15,136.0
2,0.0416666666666666,B,48.115,-116.21666667,20141011,20141030,16017.0,20141017,95.0,11.0,57.0,0.0,1.6131943000000002,89.667
3,10.045454545454543,F,47.99833333,-116.50888889,20150705,20151113,16017.0,20150917,83.0,15.0,54.0,25.0,1.4564511999999998,92.0
5,10.045454545454543,F,47.99833333,-116.50888889,20150705,20151113,16017.0,20150825,220.0,127.0,171.0,0.0,1.5366358999999998,92.0
6,0.8731343283582089,C,48.47388889,-116.34555556,20140901,20141106,16017.0,20141017,95.0,11.0,57.0,0.0,1.6131943000000002,89.667
7,0.15,B,48.31,-116.13916667,20140812,20140813,16017.0,20140812,216.0,120.0,175.0,76.0,1.26563,99.333
9,17.416666666666668,D,48.01416667,-116.54611111,20150804,20150815,16017.0,20150804,213.0,136.0,168.0,0.0,3.2868106,113.0
10,0.025,B,48.115,-116.21666667,20141011,20141030,16017.0,20141013,113.0,41.0,80.0,0.0,2.8147688,89.667
11,0.8731343283582089,C,48.47388889,-116.34555556,20140901,20141106,16017.0,20141016,56.0,9.0,29.0,25.0,3.0405722,89.667
12,5.307692307692308,D,48.69527778,-117.02722222,20150701,20150808,16017.0,20150727,136.0,51.0,82.0,0.0,2.9074259,113.0
13,0.025,B,48.115,-116.21666667,20141011,20141030,16017.0,20141016,56.0,9.0,29.0,25.0,3.0405722,89.667
15,0.8731343283582089,C,48.47388889,-116.34555556,20140901,20141106,16017.0,20141013,113.0,41.0,80.0,0.0,2.8147688,89.667
16,0.0166666666666666,B,48.2875,-116.17666667,20140924,20141023,16017.0,20141018,81.0,53.0,67.0,127.0,2.9000044,89.667
