,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
95,0.1,A,43.1375,-111.0525,20050822,20050822,16019.0,20050822,294.0,133.0,217.0,8.0,1.5231655000000002,79.0
102,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050902,294.0,133.0,217.0,8.0,3.2160296,86.0
105,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050822,294.0,133.0,217.0,8.0,1.5231655000000002,79.0
135,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050901,294.0,133.0,217.0,8.0,3.9121466,86.0
162,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050831,294.0,133.0,217.0,8.0,3.605542,86.0
183,46.5,C,43.5367,-111.8914,20050901,20050902,16019.0,20050902,294.0,133.0,217.0,8.0,3.2160296,86.0
186,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050823,294.0,133.0,217.0,8.0,1.4404612,86.0
204,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050905,294.0,133.0,217.0,8.0,1.1423676,86.0
224,46.5,C,43.5367,-111.8914,20050901,20050902,16019.0,20050901,294.0,133.0,217.0,8.0,3.9121466,86.0
231,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050824,294.0,133.0,217.0,8.0,4.0029206,86.0
240,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050822,294.0,133.0,217.0,8.0,1.5231655000000002,79.0
243,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050823,294.0,133.0,217.0,8.0,1.4404612,86.0
245,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050901,294.0,133.0,217.0,8.0,3.9121466,86.0
263,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050829,294.0,133.0,217.0,8.0,1.9912293,86.0
280,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050827,294.0,133.0,217.0,8.0,2.1883554,86.0
288,0.5,B,43.5556,-112.4189,20050712,20050712,16019.0,20050712,356.0,89.0,222.0,0.0,0.9118177,142.0
295,0.1,A,43.47805556,-111.29444444,20040802,20040802,16019.0,20040802,311.0,111.0,211.0,0.0,3.657151,114.0
307,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050830,306.0,122.0,217.0,0.0,2.8454177000000005,86.0
320,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050827,294.0,133.0,217.0,8.0,2.1883554,86.0
322,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050830,306.0,122.0,217.0,0.0,2.8454177000000005,86.0
340,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050903,294.0,133.0,217.0,8.0,2.5522196,86.0
347,309.75,E,43.5105,-112.1889,20040806,20040807,16019.0,20040807,267.0,89.0,178.0,0.0,0.8627869,114.0
361,0.1,A,43.5908,-111.5958,20050710,20050710,16019.0,20050710,278.0,128.0,206.0,5.0,2.256413,142.0
391,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050829,294.0,133.0,217.0,8.0,1.9912293,86.0
392,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050904,294.0,133.0,217.0,8.0,3.8676674,86.0
410,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050828,294.0,133.0,217.0,8.0,1.0002,86.0
420,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050828,294.0,133.0,217.0,8.0,1.0002,86.0
425,309.75,E,43.5105,-112.1889,20040806,20040807,16019.0,20040806,306.0,78.0,194.0,0.0,2.1446254,114.0
439,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050831,294.0,133.0,217.0,8.0,3.605542,86.0
442,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050825,294.0,133.0,217.0,8.0,3.4580956,86.0
448,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050902,294.0,133.0,217.0,8.0,3.2160296,86.0
462,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050825,294.0,133.0,217.0,8.0,3.4580956,86.0
506,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050824,294.0,133.0,217.0,8.0,4.0029206,86.0
517,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050904,294.0,133.0,217.0,8.0,3.8676674,86.0
549,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050905,294.0,133.0,217.0,8.0,1.1423676,86.0
551,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050826,294.0,133.0,217.0,8.0,2.6773860000000003,86.0
572,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050826,294.0,133.0,217.0,8.0,2.6773860000000003,86.0
573,0.1,A,43.3252,-111.1713,20040808,20040808,16019.0,20040808,278.0,39.0,161.0,0.0,3.7215605,114.0
580,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050903,294.0,133.0,217.0,8.0,2.5522196,86.0
612,3.7,B,43.4389,-111.8014,20050725,20050726,16019.0,20050725,294.0,89.0,194.0,0.0,3.295879,79.0
617,20.23852813852814,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050811,294.0,133.0,217.0,8.0,2.6669366,79.0
639,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050812,294.0,133.0,217.0,8.0,2.1626167,79.0
647,0.1,A,43.38611111,-111.30027778,20040817,20040817,16019.0,20040817,250.0,133.0,194.0,64.0,2.2638483,110.0
652,0.05,A,43.21083333,-111.03444444,20050621,20050622,16019.0,20050622,328.0,89.0,211.0,41.0,2.1468365,197.0
654,3.7,B,43.4389,-111.8014,20050725,20050726,16019.0,20050726,256.0,61.0,161.0,0.0,0.88255584,142.0
661,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050726,256.0,61.0,161.0,0.0,0.88255584,142.0
681,0.1,A,43.13111111,-111.06972222,20050907,20050908,16019.0,20050907,294.0,133.0,217.0,8.0,2.7166128,96.0
692,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050907,294.0,133.0,217.0,8.0,2.7166128,96.0
703,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050810,294.0,133.0,217.0,8.0,2.0068467,79.0
710,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050810,294.0,133.0,217.0,8.0,2.0068467,79.0
711,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050907,294.0,133.0,217.0,8.0,2.7166128,96.0
715,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050812,294.0,133.0,217.0,8.0,2.1626167,79.0
718,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050815,294.0,133.0,217.0,8.0,2.5997647999999995,79.0
736,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050814,294.0,133.0,217.0,8.0,0.4741297,79.0
764,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050815,294.0,133.0,217.0,8.0,2.5997647999999995,79.0
778,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050813,294.0,133.0,217.0,8.0,3.649994,79.0
780,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050813,294.0,133.0,217.0,8.0,3.649994,79.0
800,7.0,B,43.5867,-111.7539,20050812,20050812,16019.0,20050812,294.0,133.0,217.0,8.0,2.1626167,79.0
809,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050814,294.0,133.0,217.0,8.0,0.4741297,79.0
839,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050802,294.0,133.0,217.0,8.0,0.5243173000000001,79.0
847,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050802,294.0,133.0,217.0,8.0,0.5243173000000001,79.0
848,5.333333333333333,C,43.3688,-111.9697,20040707,20040709,16019.0,20040707,283.0,106.0,194.0,0.0,2.6707518,146.0
867,5.333333333333333,C,43.3688,-111.9697,20040707,20040709,16019.0,20040708,244.0,67.0,156.0,0.0,2.6890228,146.0
873,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050729,278.0,117.0,200.0,3.0,3.3354213,79.0
876,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050803,294.0,133.0,217.0,8.0,2.7733257,79.0
878,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050803,294.0,133.0,217.0,8.0,2.7733257,79.0
893,5.333333333333333,C,43.3688,-111.9697,20040707,20040709,16019.0,20040709,283.0,44.0,167.0,0.0,1.8880931,146.0
894,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050730,306.0,122.0,217.0,0.0,2.0886648,79.0
896,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050730,306.0,122.0,217.0,0.0,2.0886648,79.0
898,0.1,A,43.22361111,-111.07583333,20040910,20040910,16019.0,20040910,267.0,61.0,167.0,0.0,1.569846,99.0
928,20.23852813852814,C,43.28777778,-111.265,20050727,20050930,16019.0,20050731,294.0,133.0,217.0,8.0,1.7819421000000002,79.0
934,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050801,294.0,133.0,217.0,8.0,2.3560164,79.0
953,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050801,294.0,133.0,217.0,8.0,2.3560164,79.0
964,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050804,294.0,133.0,217.0,8.0,1.7426428,79.0
970,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050808,294.0,133.0,217.0,8.0,1.049236,79.0
972,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050808,294.0,133.0,217.0,8.0,1.049236,79.0
977,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050728,333.0,50.0,194.0,0.0,1.7269689,79.0
989,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050728,333.0,50.0,194.0,0.0,1.7269689,79.0
993,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050807,294.0,133.0,217.0,8.0,4.6304207,79.0
995,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050908,294.0,133.0,217.0,8.0,2.324185,96.0
1002,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050727,300.0,39.0,172.0,0.0,0.44598547,79.0
1007,20.23852813852814,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050809,294.0,133.0,217.0,8.0,1.0248871,79.0
1013,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050727,300.0,39.0,172.0,0.0,0.44598547,79.0
1020,0.1,A,43.13111111,-111.06972222,20050907,20050908,16019.0,20050908,294.0,133.0,217.0,8.0,2.324185,96.0
1026,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050807,294.0,133.0,217.0,8.0,4.6304207,79.0
1030,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050805,294.0,133.0,217.0,8.0,1.8262722,79.0
1032,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050805,294.0,133.0,217.0,8.0,1.8262722,79.0
1046,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050729,278.0,117.0,200.0,3.0,3.3354213,79.0
1048,0.05,A,43.21083333,-111.03444444,20050621,20050622,16019.0,20050621,283.0,100.0,194.0,0.0,4.322612,197.0
1058,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050804,294.0,133.0,217.0,8.0,1.7426428,79.0
1068,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050908,294.0,133.0,217.0,8.0,2.324185,96.0
1073,0.0043478260869565,A,43.60972222,-111.38916667,20050908,20050930,16019.0,20050908,294.0,133.0,217.0,8.0,2.324185,96.0
1077,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050806,294.0,133.0,217.0,8.0,1.3679546,79.0
1083,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050806,294.0,133.0,217.0,8.0,1.3679546,79.0
1089,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050816,294.0,133.0,217.0,8.0,3.539264,79.0
1104,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050817,294.0,133.0,217.0,8.0,1.9433975,79.0
1154,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050819,294.0,133.0,217.0,8.0,0.46098384,79.0
1190,0.1,A,42.84638889,-112.07944444,20050820,20050820,16019.0,20050820,306.0,122.0,217.0,0.0,1.3509222,79.0
1207,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050818,294.0,133.0,217.0,8.0,3.2040339,79.0
1228,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050817,294.0,133.0,217.0,8.0,1.9433975,79.0
1232,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050820,306.0,122.0,217.0,0.0,1.3509222,79.0
1247,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050820,306.0,122.0,217.0,0.0,1.3509222,79.0
1256,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050818,294.0,133.0,217.0,8.0,3.2040339,79.0
1288,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050821,294.0,133.0,217.0,8.0,1.9039433,79.0
1299,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050821,294.0,133.0,217.0,8.0,1.9039433,79.0
1308,0.8,B,43.5208,-112.2075,20050816,20050816,16019.0,20050816,294.0,133.0,217.0,8.0,3.539264,79.0
1321,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050816,294.0,133.0,217.0,8.0,3.539264,79.0
1355,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050906,294.0,133.0,217.0,8.0,2.7294357,96.0
1360,0.2575757575757575,C,43.28777778,-111.265,20050727,20050930,16019.0,20050819,294.0,133.0,217.0,8.0,0.46098384,79.0
1370,19.98095238095238,F,43.45166667,-111.14944444,20050726,20051107,16019.0,20050906,294.0,133.0,217.0,8.0,2.7294357,96.0
