,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,59.598214285714285,G,48.90694444,-116.53388889,20150729,20151117,16021.0,20151011,102.0,36.0,65.0,0.0,6.455327,130.25
1,0.0333333333333333,A,48.835,-116.5775,20150710,20150712,16021.0,20150710,277.0,131.0,196.0,0.0,2.2751374,177.125
2,0.1,A,48.69222222,-116.48638889,20151017,20151017,16021.0,20151017,197.0,38.0,90.0,0.0,1.2257651000000005,130.25
3,0.0333333333333333,B,48.80972222,-116.13916667,20151013,20151021,16021.0,20151016,180.0,57.0,119.0,0.0,2.1772976,133.25
5,1.757471264367816,C,48.87638889,-116.70222222,20150701,20150729,16021.0,20150704,283.0,129.0,203.0,0.0,1.9573579,204.125
7,59.598214285714285,G,48.90694444,-116.53388889,20150729,20151117,16021.0,20151005,177.0,67.0,118.0,0.0,1.0213349,130.25
8,0.0333333333333333,A,48.55083333,-116.15138889,20140802,20140804,16021.0,20140802,275.0,94.0,172.0,25.0,0.65794474,192.25
9,59.598214285714285,G,48.90694444,-116.53388889,20150729,20151117,16021.0,20150823,218.0,45.0,125.0,0.0,1.5051993,127.75
11,59.598214285714285,G,48.90694444,-116.53388889,20150729,20151117,16021.0,20150808,245.0,75.0,155.0,0.0,1.0547512,165.75
12,59.598214285714285,G,48.90694444,-116.53388889,20150729,20151117,16021.0,20151018,93.0,72.0,82.0,0.0,1.3238204,130.25
13,59.598214285714285,G,48.90694444,-116.53388889,20150729,20151117,16021.0,20151001,178.0,92.0,130.0,0.0,1.4022304,130.25
14,59.598214285714285,G,48.90694444,-116.53388889,20150729,20151117,16021.0,20150918,136.0,90.0,109.0,25.0,3.3898747000000005,130.25
15,0.0625,B,48.74111111,-116.51055556,20140811,20140818,16021.0,20140815,204.0,121.0,147.0,152.0,0.2879297,174.875
16,0.0533333333333333,A,48.95055556,-116.99277778,20150711,20150715,16021.0,20150711,210.0,154.0,176.0,51.0,3.5973082,177.125
18,59.598214285714285,G,48.90694444,-116.53388889,20150729,20151117,16021.0,20151025,126.0,23.0,82.0,0.0,3.325,130.25
19,0.125,B,48.23583333,-116.12583333,20140805,20140808,16021.0,20140808,248.0,166.0,204.0,0.0,2.8627675,192.25
20,59.598214285714285,G,48.90694444,-116.53388889,20150729,20151117,16021.0,20150830,93.0,60.0,76.0,406.0,3.5920050000000003,127.75
21,59.598214285714285,G,48.90694444,-116.53388889,20150729,20151117,16021.0,20150901,147.0,80.0,100.0,0.0,3.6946752,127.75
22,59.598214285714285,G,48.90694444,-116.53388889,20150729,20151117,16021.0,20150828,215.0,166.0,190.0,0.0,2.4151864,127.75
23,59.598214285714285,G,48.90694444,-116.53388889,20150729,20151117,16021.0,20150831,98.0,59.0,74.0,76.0,4.3313537,127.75
24,0.0625,B,48.74111111,-116.51055556,20140811,20140818,16021.0,20140812,240.0,150.0,200.0,25.0,1.26563,192.25
26,59.598214285714285,G,48.90694444,-116.53388889,20150729,20151117,16021.0,20150917,124.0,-2.0,60.0,0.0,1.4564511999999998,130.25
27,1.7241379310344829,C,48.87638889,-116.70222222,20150701,20150729,16021.0,20150723,245.0,130.0,188.0,0.0,2.4956212000000004,177.125
28,1.7241379310344829,C,48.87638889,-116.70222222,20150701,20150729,16021.0,20150703,292.0,123.0,205.0,0.0,2.0132375,204.125
29,0.05,A,48.95527778,-116.78194444,20150713,20150714,16021.0,20150714,222.0,117.0,166.0,0.0,1.3829317,177.125
30,0.3,B,48.78194444,-116.24972222,20150729,20150729,16021.0,20150729,227.0,70.0,142.0,0.0,2.2505555,165.75
31,59.598214285714285,G,48.90694444,-116.53388889,20150729,20151117,16021.0,20150804,258.0,156.0,207.0,0.0,3.2868106,165.75
32,59.598214285714285,G,48.90694444,-116.53388889,20150729,20151117,16021.0,20150905,102.0,64.0,79.0,51.0,1.5652476999999998,133.25
33,59.598214285714285,G,48.90694444,-116.53388889,20150729,20151117,16021.0,20150915,132.0,62.0,90.0,0.0,3.0745935,130.25
35,1.7241379310344829,C,48.87638889,-116.70222222,20150701,20150729,16021.0,20150710,277.0,131.0,196.0,0.0,2.2751374,177.125
36,59.598214285714285,G,48.90694444,-116.53388889,20150729,20151117,16021.0,20150730,270.0,82.0,165.0,0.0,0.7150175,165.75
37,59.598214285714285,G,48.90694444,-116.53388889,20150729,20151117,16021.0,20150811,307.0,158.0,234.0,0.0,1.0502975,148.875
38,0.025,A,48.73666667,-116.52138889,20140804,20140807,16021.0,20140806,287.0,178.0,227.0,0.0,2.9210541,192.25
