,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.1,A,43.55961,-116.6516,20150703,20150703,16027.0,20150703,324.0,154.0,246.0,0.0,2.0202105,95.0
1,29.0,C,43.4494,-116.73139,20150801,20150802,16027.0,20150801,300.0,197.0,241.0,0.0,1.7528549999999998,84.0
2,0.5,B,43.37964,-116.64035,20100802,20100803,16027.0,20100803,262.0,154.0,197.0,0.0,1.8283333,79.0
3,603.0,F,43.29772,-116.51551,20140612,20140613,16027.0,20140613,130.0,42.0,85.0,0.0,5.654677,104.0
4,0.3,B,43.57452,-116.74621,20130712,20130712,16027.0,20130712,290.0,110.0,213.0,0.0,1.9958507,52.0
5,29.0,C,43.4494,-116.73139,20150801,20150802,16027.0,20150802,316.0,166.0,239.0,0.0,1.8050278,84.0
6,3.0,B,43.83542,-116.86855,20120707,20120707,16027.0,20120707,289.0,156.0,219.0,0.0,2.1002110000000003,116.0
7,0.5,B,43.37964,-116.64035,20100802,20100803,16027.0,20100802,267.0,161.0,217.0,0.0,2.071926,89.0
8,603.0,F,43.29772,-116.51551,20140612,20140613,16027.0,20140612,264.0,109.0,190.0,25.0,2.4537532000000004,104.0
9,0.1,A,43.45222,-116.73835,20150905,20150905,16027.0,20150905,132.0,6.0,70.0,0.0,3.6416,69.0
10,0.1,A,43.5463,-116.633,20140501,20140501,16027.0,20140501,195.0,65.0,139.0,0.0,0.95525265,185.0
11,16.0,C,43.30326,-116.53201,20140715,20140715,16027.0,20140715,284.0,173.0,234.0,0.0,4.6970563,80.0
12,0.5,B,43.79346,-116.65252,20100705,20100705,16027.0,20100705,187.0,74.0,125.0,0.0,3.0083168,116.0
13,2.5,B,43.78405,-116.65093,20120625,20120626,16027.0,20120625,217.0,101.0,156.0,0.0,1.8663934,140.0
14,0.1,A,43.30142,-116.54273,20090726,20090726,16027.0,20090726,306.0,151.0,228.0,0.0,1.9319602,95.0
16,963.3333333333334,F,43.77513,-116.61729,20110719,20110721,16027.0,20110719,239.0,86.0,180.0,0.0,2.2410896,111.0
17,56.0,C,43.48531,-116.72307,20070612,20070612,16027.0,20070612,201.0,87.0,139.0,0.0,1.7415215,95.0
18,4.5,B,43.84665,-116.86186,20070704,20070705,16027.0,20070705,337.0,198.0,266.0,0.0,2.1766467,95.0
19,4.5,B,43.84665,-116.86186,20070704,20070705,16027.0,20070704,304.0,165.0,240.0,0.0,2.8575816,95.0
20,0.2,A,43.30762,-116.57208,20040730,20040730,16027.0,20040730,279.0,160.0,205.0,0.0,2.627709,86.0
23,156.5,E,43.83124,-116.87748,20070716,20070717,16027.0,20070717,291.0,178.0,237.0,51.0,2.0426784,77.0
24,156.5,E,43.83124,-116.87748,20070716,20070717,16027.0,20070716,296.0,200.0,250.0,0.0,1.1947447,77.0
25,963.3333333333334,F,43.77513,-116.61729,20110719,20110721,16027.0,20110720,201.0,76.0,144.0,0.0,2.3813648,111.0
26,3.0,B,43.77385,-116.60675,20070602,20070603,16027.0,20070602,276.0,157.0,220.0,0.0,2.3135502,95.0
27,3.0,B,43.77385,-116.60675,20070602,20070603,16027.0,20070603,304.0,110.0,207.0,0.0,0.7421621,95.0
28,67.5,D,43.30851,-116.53666,20070702,20070703,16027.0,20070703,319.0,87.0,216.0,51.0,2.2388618,95.0
29,963.3333333333334,F,43.77513,-116.61729,20110719,20110721,16027.0,20110721,221.0,119.0,166.0,0.0,2.557834,111.0
30,67.5,D,43.30851,-116.53666,20070702,20070703,16027.0,20070702,296.0,111.0,215.0,0.0,2.110668,95.0
31,6.0,B,43.80747,-116.85665,20070701,20070701,16027.0,20070701,322.0,105.0,222.0,0.0,0.46572104,95.0
33,512.0,E,43.82343,-116.86037,20070723,20070723,16027.0,20070723,300.0,186.0,237.0,0.0,1.8591362,76.0
34,0.1,A,43.82829,-116.66279,20080706,20080706,16027.0,20080706,245.0,131.0,192.0,0.0,4.146923999999999,125.0
35,29.0,C,43.47714,-116.69172,20070817,20070817,16027.0,20070817,266.0,152.0,213.0,0.0,0.40607145,37.0
36,528.0,E,43.3494,-116.49836,20020531,20020531,16027.0,20020531,226.0,94.0,170.0,0.0,3.198327,121.0
38,1.0,B,43.40856,-116.68626,20041008,20041009,16027.0,20041009,137.0,20.0,83.0,0.0,1.958796,71.0
40,1.0,B,43.40856,-116.68626,20041008,20041009,16027.0,20041008,254.0,30.0,142.0,0.0,3.2500615,71.0
45,130.0,D,43.78937,-116.5893,20020817,20020817,16027.0,20020817,295.0,77.0,200.0,0.0,0.80777586,46.0
47,0.1,A,43.29995,-116.52937,20090729,20090729,16027.0,20090729,252.0,144.0,189.0,0.0,2.1360002,95.0
49,7.0,B,43.48999,-116.71913,20020708,20020708,16027.0,20020708,264.0,116.0,193.0,0.0,3.4845927000000003,58.0
50,47.0,C,43.83356,-116.86702,20070802,20070802,16027.0,20070802,271.0,187.0,222.0,0.0,0.92194617,76.0
51,77.0,C,43.48651,-116.70639,20020708,20020708,16027.0,20020708,264.0,116.0,193.0,0.0,3.4845927000000003,58.0
52,2.5,B,43.78405,-116.65093,20120625,20120626,16027.0,20120626,147.0,35.0,87.0,0.0,3.7996051,116.0
