,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.0666666666666666,B,42.3992,-114.1833,20140621,20140705,16031.0,20140622,186.0,66.0,131.0,0.0,2.1393737999999995,36.778
1,0.3,B,42.4039,-114.1831,20120719,20120719,16031.0,20120719,268.0,136.0,190.0,0.0,2.686138,43.667
2,0.0333333333333333,A,42.14138889,-114.19611111,20150705,20150707,16031.0,20150705,200.0,107.0,144.0,51.0,3.4402943,100.75
3,420.55555555555554,F,42.0594,-113.9003,20100826,20100903,16031.0,20100826,288.0,122.0,202.0,0.0,3.0010664,98.0
4,420.55555555555554,F,42.0594,-113.9003,20100826,20100903,16031.0,20100830,118.0,15.0,63.0,25.0,2.2620560000000003,98.0
5,0.1,A,42.53233,-113.98628,20150621,20150621,16031.0,20150621,241.0,107.0,173.0,0.0,3.4003677000000003,130.5
6,0.05,A,42.34583333,-113.58611111,20150711,20150712,16031.0,20150711,185.0,92.0,122.0,51.0,2.6922342999999995,100.75
7,0.5,B,42.2686,-113.9703,20120710,20120710,16031.0,20120710,283.0,156.0,207.0,0.0,0.8859935,54.3
8,0.0333333333333333,A,42.3175,-113.54333333,20150815,20150817,16031.0,20150815,214.0,79.0,144.0,0.0,2.048475,37.6
9,198.0,D,42.5608,-113.1164,20120711,20120711,16031.0,20120711,279.0,155.0,212.0,0.0,0.7184024999999999,54.3
10,25.0,C,42.05638889,-113.02166667,20120709,20120709,16031.0,20120709,268.0,124.0,186.0,0.0,0.7539198,54.3
11,0.1,A,42.18138889,-113.99888889,20140712,20140712,16031.0,20140712,254.0,136.0,189.0,0.0,1.0304356,100.5
12,19.0,C,42.3992,-114.1833,20140701,20140702,16031.0,20140701,218.0,52.0,145.0,0.0,2.8211327,118.75
13,0.2,A,42.1669444,-113.755278,20100907,20100907,16031.0,20100907,210.0,31.0,125.0,0.0,3.5440178,98.0
14,0.1,A,42.1777778,-114.285278,20100908,20100908,16031.0,20100908,197.0,35.0,92.0,25.0,4.300294,82.25
15,0.0666666666666666,B,42.3992,-114.1833,20140621,20140705,16031.0,20140701,218.0,52.0,145.0,0.0,2.8211327,118.75
16,167.0,E,42.6386,-113.53069,20100918,20100919,16031.0,20100919,216.0,71.0,148.0,0.0,3.86464,82.25
17,0.1,A,42.32611111,-113.60944444,20150810,20150810,16031.0,20150810,221.0,114.0,157.0,0.0,3.980264,65.571
18,0.05,A,42.1286,-113.9706,20150814,20150815,16031.0,20150814,265.0,125.0,184.0,25.0,3.8344655,37.6
20,0.1,A,42.21638889,-114.24916667,20140802,20140802,16031.0,20140802,247.0,118.0,181.0,0.0,1.418732,91.5
21,0.0666666666666666,B,42.3992,-114.1833,20140621,20140705,16031.0,20140630,195.0,68.0,125.0,0.0,3.658257,118.75
22,913.0,F,42.5958,-113.2997,20100826,20100827,16031.0,20100826,288.0,122.0,202.0,0.0,3.0010664,98.0
23,0.05,A,42.1286,-113.9706,20150814,20150815,16031.0,20150815,214.0,79.0,144.0,0.0,2.048475,37.6
24,19.0,C,42.3992,-114.1833,20140701,20140702,16031.0,20140702,276.0,119.0,193.0,0.0,1.1029115,118.75
25,0.1,A,42.32888889,-113.62055556,20130705,20130705,16031.0,20130705,240.0,100.0,156.0,229.0,0.7518585,42.667
26,0.1,A,42.3175,-113.62555556,20130812,20130812,16031.0,20130812,257.0,126.0,187.0,0.0,0.6103313,83.0
27,5.25,C,42.1919,-113.5361,20140715,20140718,16031.0,20140717,256.0,140.0,191.0,0.0,2.071926,100.5
28,0.05,A,42.14694444,-114.24944444,20150804,20150805,16031.0,20150804,226.0,87.0,138.0,25.0,2.6698549,98.5
29,7.333333333333333,C,42.3956,-114.1436,20100806,20100808,16031.0,20100806,251.0,128.0,177.0,0.0,3.8741784,95.75
30,1333.5555555555557,F,42.0594,-113.9003,20100826,20100903,16031.0,20100827,216.0,86.0,142.0,0.0,2.243422,98.0
31,97.0,C,42.5314,-113.3597,20130813,20130813,16031.0,20130813,241.0,119.0,172.0,0.0,0.25495157,83.0
32,0.0666666666666666,B,42.3992,-114.1833,20140621,20140705,16031.0,20140702,276.0,119.0,193.0,0.0,1.1029115,118.75
33,0.1,A,42.4197,-113.6531,20150804,20150804,16031.0,20150804,226.0,87.0,138.0,25.0,2.6698549,98.5
34,0.1,A,41.99888889,-114.07222222,20150630,20150630,16031.0,20150630,265.0,139.0,200.0,0.0,2.3690715,78.444
35,27.666666666666668,C,42.11305556,-114.07805556,20140714,20140716,16031.0,20140716,247.0,108.0,174.0,0.0,3.9677877,100.5
36,0.0333333333333333,A,42.5325,-113.96,20150628,20150630,16031.0,20150630,265.0,139.0,200.0,0.0,2.3690715,78.444
37,0.0333333333333333,A,42.3175,-113.54333333,20150815,20150817,16031.0,20150816,207.0,66.0,134.0,25.0,2.263018,104.0
38,420.55555555555554,F,42.0594,-113.9003,20100826,20100903,16031.0,20100902,182.0,29.0,102.0,0.0,2.9545321,98.0
39,0.0333333333333333,A,42.3175,-113.54333333,20150815,20150817,16031.0,20150817,188.0,91.0,139.0,0.0,2.9130093999999995,104.0
40,109.5,D,42.5472,-113.4831,20100817,20100818,16031.0,20100818,249.0,118.0,181.0,0.0,2.472428,94.75
41,0.0333333333333333,A,42.5325,-113.96,20150628,20150630,16031.0,20150628,284.0,137.0,210.0,0.0,0.57008773,89.333
42,2.0,B,42.2661,-113.3164,20140809,20140809,16031.0,20140809,204.0,88.0,131.0,0.0,2.1256533,65.333
43,0.3,B,42.5731,-113.5192,20100819,20100819,16031.0,20100819,235.0,111.0,168.0,0.0,0.41879785,94.75
44,0.1,A,42.15472222,-114.25555556,20140723,20140723,16031.0,20140723,288.0,115.0,195.0,0.0,2.8448799,25.833
45,0.0333333333333333,A,42.5325,-113.96,20150628,20150630,16031.0,20150629,275.0,148.0,205.0,0.0,1.3759089,89.333
46,420.55555555555554,F,42.0594,-113.9003,20100826,20100903,16031.0,20100828,193.0,54.0,119.0,0.0,3.3464828,98.0
47,0.05,A,42.14694444,-114.24944444,20150804,20150805,16031.0,20150805,186.0,64.0,108.0,102.0,3.1773612,98.5
49,0.25,A,42.04555556,-114.02555556,20130707,20130707,16031.0,20130707,238.0,124.0,177.0,0.0,1.6807799,42.667
50,25.0,C,42.3731,-113.2708,20130709,20130709,16031.0,20130709,241.0,95.0,171.0,0.0,1.1001728000000002,42.667
51,0.5,B,42.2478,-113.8378,20100826,20100826,16031.0,20100826,288.0,122.0,202.0,0.0,3.0010664,98.0
52,0.1,A,42.1192,-113.5533,20140721,20140722,16031.0,20140722,267.0,105.0,184.0,0.0,1.4855345,32.333
53,7.4,B,42.5311,-113.9906,20100829,20100829,16031.0,20100829,118.0,27.0,62.0,0.0,2.7973204,98.0
54,27.86666666666667,C,42.11305556,-114.07805556,20140714,20140716,16031.0,20140714,305.0,164.0,210.0,0.0,1.5404207,100.5
55,0.2,A,42.16364,-113.94164,20150830,20150830,16031.0,20150830,213.0,80.0,138.0,0.0,2.7528393,27.833
56,1.7,B,42.5481,-113.4719,20130702,20130702,16031.0,20130702,273.0,134.0,205.0,0.0,3.132869,35.143
