,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
1,0.1,A,45.0983,-113.9497,20100725,20100725,16059.0,20100725,269.0,77.0,176.0,0.0,1.388277,53.167
3,7.181818181818182,D,45.33694444,-113.96527778,20150814,20150915,16059.0,20150831,163.0,47.0,102.0,0.0,1.6278819,65.5
4,5.222222222222222,E,45.25611111,-114.57305556,20140801,20141029,16059.0,20140924,230.0,62.0,131.0,0.0,2.7001636,68.533
5,7.181818181818182,D,45.33694444,-113.96527778,20150814,20150915,16059.0,20150826,307.0,84.0,182.0,0.0,1.4073468,99.25
6,0.004,A,44.91,-113.92472222,20140830,20140923,16059.0,20140830,135.0,40.0,74.0,127.0,1.8745087,115.0
7,5.0,B,45.14138889,-114.58972222,20150816,20150816,16059.0,20150816,207.0,45.0,124.0,0.0,1.7501785,80.933
8,0.1,A,45.3652778,-113.966389,20100920,20100920,16059.0,20100920,118.0,14.0,53.0,0.0,2.6000085,79.667
9,5.222222222222222,E,45.25611111,-114.57305556,20140801,20141029,16059.0,20141002,74.0,-6.0,30.0,0.0,3.5205686000000003,114.0
10,0.02,A,45.40527778,-113.99972222,20141016,20141020,16059.0,20141020,127.0,60.0,84.0,0.0,3.1016126,114.0
11,0.15,B,45.20313,-113.88078,20140415,20140416,16059.0,20140415,59.0,-51.0,-1.0,0.0,3.9592185,89.4
12,0.004,A,44.91,-113.92472222,20140830,20140923,16059.0,20140907,181.0,84.0,123.0,0.0,1.9248208,95.0
13,0.25,B,44.99,-114.62277778,20140801,20140804,16059.0,20140803,233.0,78.0,152.0,0.0,0.38118714,92.0
14,0.004,A,44.91,-113.92472222,20140830,20140923,16059.0,20140910,82.0,-21.0,26.0,0.0,2.546081,95.0
15,0.0833333333333333,A,45.3425,-114.19166667,20150813,20150815,16059.0,20150814,251.0,89.0,184.0,0.0,2.897952,80.933
17,5.222222222222222,E,45.25611111,-114.57305556,20140801,20141029,16059.0,20140820,164.0,54.0,91.0,102.0,2.488475,82.444
18,0.4342105263157895,B,45.44111111,-113.80472222,20150814,20150901,16059.0,20150831,163.0,47.0,102.0,0.0,1.6278819,65.5
20,0.004,A,44.91,-113.92472222,20140830,20140923,16059.0,20140911,58.0,-34.0,-1.0,0.0,3.2729878,95.0
22,7.181818181818182,D,45.33694444,-113.96527778,20150814,20150915,16059.0,20150905,81.0,-2.0,28.0,51.0,2.186607,65.267
