,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,159.0,E,43.8083,-116.86912,20150621,20150622,16075.0,20150622,216.0,87.0,147.0,0.0,1.1305419,143.0
1,7.5,C,44.0612,-116.53597,20150803,20150804,16075.0,20150803,234.0,122.0,189.0,0.0,0.86313385,86.5
2,0.1,A,43.88928,-116.8047,20150722,20150722,16075.0,20150722,270.0,128.0,185.0,25.0,1.1448253000000002,112.5
3,7.5,C,44.0612,-116.53597,20150803,20150804,16075.0,20150804,251.0,122.0,178.0,0.0,1.2272937,86.5
4,9.0,B,43.82484,-116.8048,20120622,20120622,16075.0,20120622,258.0,132.0,205.0,0.0,4.299178599999999,111.0
5,4.0,B,43.8358,-116.90759,20120723,20120723,16075.0,20120723,198.0,96.0,137.0,0.0,3.0875385,86.0
6,0.1,A,44.12555556,-116.77666667,20130614,20130614,16075.0,20130614,165.0,35.0,96.0,76.0,1.1399163,75.0
7,1.0,B,43.83609,-116.9141,20140603,20140603,16075.0,20140603,232.0,114.0,171.0,0.0,3.9379396,128.0
8,0.5,B,43.89418,-116.77829,20150813,20150813,16075.0,20150813,300.0,172.0,228.0,0.0,1.6326741000000002,94.0
9,8.0,B,43.82553,-116.84946,20140726,20140726,16075.0,20140726,249.0,100.0,173.0,0.0,2.3901380000000003,86.0
10,159.0,E,43.8083,-116.86912,20150621,20150622,16075.0,20150621,257.0,125.0,187.0,0.0,2.3592901,143.0
11,28.0,C,43.8889,-116.80388,20100903,20100903,16075.0,20100903,239.0,112.0,167.0,0.0,2.1598387000000003,73.0
12,0.1,A,43.87168,-116.78669,20130523,20130523,16075.0,20130523,100.0,-20.0,33.0,25.0,2.2705433,144.0
13,0.6,B,43.91362,-116.82388,20140715,20140715,16075.0,20140715,292.0,187.0,237.0,0.0,4.8011336,84.0
14,1.0,B,43.88703,-116.77004,20100712,20100712,16075.0,20100712,263.0,125.0,196.0,0.0,3.722266,94.0
15,5.0,B,44.03248,-116.72084,20130512,20130512,16075.0,20130512,227.0,118.0,167.0,0.0,1.975683,144.0
16,21.0,C,44.14621,-116.74366,20040702,20040703,16075.0,20040702,274.0,147.0,209.0,0.0,2.831052,99.0
18,0.0043478260869565,A,42.62307,-116.9042,20090712,20090803,16075.0,20090719,240.0,109.0,176.0,0.0,2.7663157000000003,98.0
19,21.0,C,44.14621,-116.74366,20040702,20040703,16075.0,20040703,262.0,146.0,198.0,0.0,1.9836501,99.0
20,0.0043478260869565,A,42.62307,-116.9042,20090712,20090803,16075.0,20090712,254.0,128.0,187.0,0.0,1.2277243,98.0
21,75.5,D,43.93826,-116.8626,20060626,20060627,16075.0,20060626,269.0,130.0,194.0,0.0,1.2364882,153.0
22,72.0,C,44.05376,-116.65206,20021005,20021005,16075.0,20021005,93.0,32.0,59.0,0.0,2.1041129,52.0
23,0.0043478260869565,A,42.62307,-116.9042,20090712,20090803,16075.0,20090731,307.0,184.0,242.0,0.0,2.2219079,85.0
24,0.1,A,43.82814,-116.76042,20020619,20020619,16075.0,20020619,152.0,4.0,78.0,0.0,2.9580047,94.0
26,0.0043478260869565,A,42.62307,-116.9042,20090712,20090803,16075.0,20090729,293.0,174.0,222.0,0.0,2.139244,85.0
29,42.5,C,43.85224,-116.8622,20060804,20060805,16075.0,20060805,256.0,128.0,176.0,0.0,2.350076,94.0
30,0.0043478260869565,A,42.62307,-116.9042,20090712,20090803,16075.0,20090803,278.0,154.0,207.0,0.0,3.4541147000000003,85.0
32,163.0,D,43.81762,-116.86911,20070725,20070725,16075.0,20070725,318.0,184.0,238.0,0.0,1.7367772,78.0
35,55.0,D,44.08249,-116.56694,20080810,20080811,16075.0,20080811,194.0,68.0,126.0,25.0,2.2432144,95.0
37,7.0,B,43.82175,-116.83255,20050607,20050607,16075.0,20050607,110.0,29.0,64.0,25.0,2.2947283,203.0
38,4.0,B,43.81724,-116.79522,20070917,20070918,16075.0,20070918,104.0,36.0,59.0,0.0,1.2419739,86.0
39,0.1,A,43.8414,-116.61778,20020913,20020913,16075.0,20020913,296.0,150.0,224.0,0.0,0.6158779999999999,69.0
40,0.0043478260869565,A,42.62307,-116.9042,20090712,20090803,16075.0,20090718,297.0,162.0,220.0,0.0,0.95020753,98.0
42,9.0,C,43.81666,-116.79276,20120712,20120713,16075.0,20120713,229.0,143.0,185.0,0.0,2.1290593,86.0
43,55.0,D,44.08249,-116.56694,20080810,20080811,16075.0,20080810,232.0,108.0,167.0,0.0,3.1104026,95.0
44,505.0,E,44.18002,-116.57657,20090803,20090803,16075.0,20090803,278.0,154.0,207.0,0.0,3.4541147000000003,85.0
45,0.0043478260869565,A,42.62307,-116.9042,20090712,20090803,16075.0,20090727,287.0,141.0,209.0,0.0,2.8426929,85.0
46,42.5,C,43.85224,-116.8622,20060804,20060805,16075.0,20060804,309.0,182.0,240.0,0.0,2.0724065,94.0
47,93.5,D,44.06797,-116.51283,20130530,20130531,16075.0,20130531,124.0,-3.0,63.0,0.0,2.1551917,105.0
49,7.0,B,44.05595,-116.68848,20030815,20030815,16075.0,20030815,293.0,179.0,225.0,0.0,1.8139484,70.0
50,0.0043478260869565,A,42.62307,-116.9042,20090712,20090803,16075.0,20090726,242.0,127.0,173.0,0.0,3.029257,85.0
51,67.0,C,43.812,-116.86958,20070710,20070710,16075.0,20070710,338.0,178.0,257.0,0.0,2.53671,83.0
52,26.0,C,43.86293,-116.85931,20070810,20070811,16075.0,20070811,252.0,102.0,174.0,0.0,0.6560578,44.0
53,0.0043478260869565,A,42.62307,-116.9042,20090712,20090803,16075.0,20090720,241.0,116.0,173.0,0.0,1.3865385,98.0
