,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,62.0,D,42.7633,-114.9214,20140630,20140701,16083.0,20140630,195.0,61.0,131.0,0.0,3.658257,138.333
1,909.0,F,42.8722,-115.0311,20100710,20100712,16083.0,20100710,263.0,79.0,163.0,0.0,0.7805754,128.667
2,4581.666666666667,G,42.0094,-114.6083,20100820,20100822,16083.0,20100821,268.0,99.0,164.0,25.0,3.9813204,93.333
3,0.3,B,42.0617,-114.6736,20100928,20100928,16083.0,20100928,274.0,88.0,153.0,0.0,1.2649062,84.0
4,5.5,C,42.1511,-115.0078,20130707,20130708,16083.0,20130707,245.0,119.0,181.0,0.0,1.6807799,47.857
5,0.1,A,42.39522,-114.44811,20100928,20100928,16083.0,20100928,274.0,88.0,153.0,0.0,1.2649062,84.0
6,82.0,C,42.3797,-114.7175,20100629,20100629,16083.0,20100629,256.0,133.0,177.0,0.0,1.7432424,153.333
7,62.0,D,42.7633,-114.9214,20140630,20140701,16083.0,20140701,251.0,70.0,166.0,0.0,2.8211327,138.333
8,0.1,A,42.21722222,-114.28666667,20120531,20120531,16083.0,20120531,206.0,45.0,121.0,0.0,2.419628,50.833
9,17.0,C,42.1569,-114.7919,20100816,20100816,16083.0,20100816,265.0,83.0,168.0,0.0,1.6802605,93.333
10,288.1666666666667,F,42.1069,-114.7933,20100806,20100811,16083.0,20100806,268.0,117.0,182.0,0.0,3.8741784,108.333
11,8.5,C,42.7697,-114.9578,20140630,20140701,16083.0,20140701,251.0,70.0,166.0,0.0,2.8211327,138.333
12,3.0,B,42.46,-114.8778,20130513,20130513,16083.0,20130513,234.0,92.0,174.0,0.0,2.4865453,195.667
13,12.5,C,42.76969,-114.957803,20140630,20140701,16083.0,20140701,251.0,70.0,166.0,0.0,2.8211327,138.333
14,52.0,C,42.3167,-114.5647,20120619,20120619,16083.0,20120619,147.0,-2.0,65.0,0.0,3.902431200000001,44.667
15,0.4,B,42.5336,-114.9997,20130612,20130612,16083.0,20130612,214.0,76.0,139.0,0.0,1.4396236999999998,52.714
16,37.0,C,42.2447,-114.4842,20100709,20100709,16083.0,20100709,234.0,116.0,168.0,0.0,1.6250567,128.667
17,177.0,E,42.7972,-114.9664,20140726,20140727,16083.0,20140727,279.0,135.0,205.0,0.0,2.3632514,76.0
18,102.0,D,42.5872,-114.9775,20120620,20120620,16083.0,20120620,173.0,11.0,98.0,0.0,3.3786702000000006,88.333
19,0.1,A,42.2372,-114.5794,20120720,20120720,16083.0,20120720,260.0,117.0,193.0,0.0,2.5544107000000005,48.8
21,18.0,C,42.4178,-114.3942,20120621,20120621,16083.0,20120621,269.0,46.0,163.0,0.0,2.7536376,88.333
22,13.0,C,42.6503,-114.9686,20120907,20120907,16083.0,20120907,208.0,90.0,143.0,0.0,1.9825232,75.0
23,0.1,A,42.105,-113.9536,20140721,20140721,16083.0,20140721,245.0,89.0,157.0,0.0,2.3127682000000003,42.0
24,2.5,B,42.2589,-114.4797,20100709,20100709,16083.0,20100709,234.0,116.0,168.0,0.0,1.6250567,128.667
25,288.1666666666667,F,42.1069,-114.7933,20100806,20100811,16083.0,20100809,199.0,90.0,132.0,0.0,2.3760843,93.333
26,11.0,C,42.3428,-114.4331,20120806,20120806,16083.0,20120806,262.0,100.0,189.0,0.0,0.8676415000000001,67.0
27,90.0,C,42.4975,-114.6558,20120922,20120922,16083.0,20120922,241.0,99.0,168.0,0.0,2.5921774,65.0
28,0.3,B,42.6819,-114.9878,20120608,20120608,16083.0,20120608,190.0,-6.0,94.0,0.0,3.5167348,121.667
30,0.4,B,42.3839,-114.5947,20120722,20120722,16083.0,20120722,267.0,134.0,185.0,0.0,0.94175464,48.8
31,14.45,C,42.22416667,-114.44972222,20140702,20140703,16083.0,20140702,295.0,96.0,188.0,0.0,1.1029115,138.333
32,78.5,E,42.6517,-114.9094,20130607,20130610,16083.0,20130610,256.0,124.0,188.0,0.0,1.7720016,180.0
33,7.6,B,42.0981,-114.6775,20120722,20120722,16083.0,20120722,267.0,134.0,185.0,0.0,0.94175464,48.8
34,4581.666666666667,G,42.0094,-114.6083,20100820,20100822,16083.0,20100820,261.0,100.0,180.0,0.0,2.4558864,93.333
35,78.5,E,42.6517,-114.9094,20130607,20130610,16083.0,20130609,287.0,72.0,171.0,0.0,1.0599045,180.0
36,4581.666666666667,G,42.0094,-114.6083,20100820,20100822,16083.0,20100822,184.0,28.0,106.0,0.0,3.6846244,93.333
37,0.1,A,42.0789,-114.6825,20100629,20100629,16083.0,20100629,256.0,133.0,177.0,0.0,1.7432424,153.333
38,34.0,C,42.5311,-114.0411,20130809,20130809,16083.0,20130809,247.0,85.0,175.0,0.0,2.5223947,44.286
39,177.0,E,42.7972,-114.9664,20140726,20140727,16083.0,20140726,250.0,86.0,179.0,0.0,1.6918857,76.0
40,2.0,B,42.68,-114.8789,20150813,20150814,16083.0,20150814,280.0,126.0,172.0,51.0,3.8344655,51.833
41,909.0,F,42.8722,-115.0311,20100710,20100712,16083.0,20100712,251.0,92.0,162.0,0.0,2.9585352000000005,128.667
42,2.5,B,42.5928,-114.8883,20100716,20100717,16083.0,20100716,310.0,106.0,191.0,0.0,1.9363072,128.667
43,17.0,C,42.115,-115.0133,20100821,20100821,16083.0,20100821,268.0,99.0,164.0,25.0,3.9813204,93.333
44,16.5,C,42.3456,-114.2975,20150711,20150712,16083.0,20150712,187.0,89.0,138.0,25.0,0.99999994,105.333
45,0.5,B,42.2119,-114.7308,20140705,20140705,16083.0,20140705,274.0,135.0,201.0,0.0,2.3325706000000004,49.333
46,0.1,A,42.3958,-114.3667,20120424,20120424,16083.0,20120424,174.0,73.0,122.0,0.0,2.0799994,148.0
47,288.1666666666667,F,42.1069,-114.7933,20100806,20100811,16083.0,20100807,220.0,108.0,159.0,0.0,1.877479,108.333
48,0.1,A,42.28277778,-114.26305556,20131025,20131025,16083.0,20131025,149.0,49.0,89.0,0.0,0.19999695,60.286
49,1.0,B,42.6758,-114.7031,20100721,20100721,16083.0,20100721,272.0,100.0,167.0,0.0,2.2897427,128.667
50,319.0,E,42.8811,-114.9689,20130705,20130705,16083.0,20130705,246.0,100.0,163.0,0.0,0.7518585,47.857
51,67.5,D,42.8708,-114.9194,20140702,20140703,16083.0,20140703,249.0,126.0,185.0,0.0,0.62393504,49.333
52,2.2,B,42.3664,-114.5678,20120810,20120810,16083.0,20120810,280.0,128.0,181.0,0.0,1.0700572,67.0
53,288.1666666666667,F,42.1069,-114.7933,20100806,20100811,16083.0,20100808,238.0,103.0,161.0,0.0,3.186983,93.333
54,24.5,C,42.8925,-114.9561,20130705,20130706,16083.0,20130706,235.0,109.0,169.0,25.0,0.93775535,47.857
55,6.0,C,42.1411,-114.8208,20150629,20150630,16083.0,20150629,318.0,132.0,190.0,25.0,1.3759089,99.4
56,0.1,A,42.1256,-114.6833,20120924,20120924,16083.0,20120924,153.0,48.0,81.0,25.0,0.3482856,65.0
57,0.1,A,42.90008,-114.99653,20150723,20150723,16083.0,20150723,181.0,72.0,125.0,0.0,1.3383758999999995,105.667
58,5.0,B,42.3967,-114.3336,20120707,20120707,16083.0,20120707,280.0,84.0,164.0,25.0,1.258969,91.5
59,24.5,C,42.8925,-114.9561,20130705,20130706,16083.0,20130705,246.0,100.0,163.0,0.0,0.7518585,47.857
60,78.5,E,42.6517,-114.9094,20130607,20130610,16083.0,20130607,248.0,77.0,160.0,0.0,2.1323514,180.0
61,293.5,E,42.6322,-114.5372,20100722,20100723,16083.0,20100723,242.0,81.0,149.0,0.0,2.250089,108.333
62,288.1666666666667,F,42.1069,-114.7933,20100806,20100811,16083.0,20100810,235.0,87.0,167.0,0.0,3.300382,93.333
63,0.1,A,42.4544,-114.3728,20120628,20120628,16083.0,20120628,251.0,81.0,179.0,0.0,2.3726192000000004,40.143
