,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.075,A,44.705,-116.70361111,20141004,20141005,16087.0,20141004,187.0,77.0,119.0,0.0,0.65000916,53.0
1,0.0625,B,44.17,-116.78803,20130916,20130923,16087.0,20130921,177.0,82.0,139.0,0.0,1.3479203000000002,51.5
2,1.1,B,44.2825,-117.10861111,20140530,20140530,16087.0,20140530,208.0,92.0,146.0,0.0,2.1648088,90.0
3,0.0625,B,44.17,-116.78803,20130916,20130923,16087.0,20130922,113.0,50.0,73.0,0.0,3.3521545,51.5
4,443.3333333333333,F,44.2806,-116.84908,20150817,20150819,16087.0,20150817,258.0,131.0,191.0,0.0,2.623452,43.667
5,26.5,C,44.25616,-116.60161,20130916,20130917,16087.0,20130917,175.0,76.0,138.0,0.0,3.3778458,58.0
6,0.06,A,44.6625,-116.935,20140803,20140804,16087.0,20140804,292.0,165.0,229.0,0.0,2.7504518,58.5
7,0.0625,B,44.17,-116.78803,20130916,20130923,16087.0,20130919,185.0,67.0,123.0,0.0,2.7810771,51.5
8,14.5,C,44.66,-116.91833333,20140803,20140803,16087.0,20140803,271.0,146.0,207.0,0.0,2.2101982,58.5
9,546.0,F,44.2661,-116.8997,20150612,20150613,16087.0,20150612,198.0,72.0,134.0,0.0,3.0052037,102.6
10,0.0625,B,44.17,-116.78803,20130916,20130923,16087.0,20130917,175.0,76.0,138.0,0.0,3.3778458,58.0
11,5.0,B,44.38,-117.20777778,20140913,20140913,16087.0,20140913,220.0,89.0,139.0,0.0,1.3097278,55.0
12,4.9,B,44.33722222,-117.18194444,20140615,20140615,16087.0,20140615,185.0,87.0,124.0,0.0,2.3334546,75.0
13,30.0,C,44.77777778,-116.91416667,20130711,20130711,16087.0,20130711,218.0,115.0,151.0,0.0,2.3478646,55.0
14,1.5,B,44.57777778,-116.94555556,20140805,20140805,16087.0,20140805,262.0,129.0,188.0,0.0,3.025529,58.5
15,0.05,A,44.56916667,-117.00638889,20150623,20150624,16087.0,20150623,241.0,110.0,164.0,0.0,1.7878058,71.167
16,0.1,A,44.7825,-116.74583333,20150723,20150723,16087.0,20150723,209.0,91.0,126.0,76.0,1.415318,66.5
17,6.0,B,44.39138889,-117.0025,20130808,20130808,16087.0,20130808,326.0,175.0,237.0,0.0,3.830507,51.5
18,4.25,C,44.75722222,-116.70722222,20140714,20140721,16087.0,20140720,264.0,108.0,184.0,0.0,1.4229863,58.5
19,546.0,F,44.2661,-116.8997,20150612,20150613,16087.0,20150613,181.0,59.0,109.0,0.0,2.486589,102.6
20,2.0,B,44.23495,-116.62976,20130916,20130917,16087.0,20130916,192.0,100.0,138.0,0.0,2.130092,58.0
21,0.05,A,44.675,-116.85833333,20150708,20150709,16087.0,20150708,248.0,85.0,154.0,254.0,2.7805126,101.5
22,1.0,B,44.37555556,-117.22916667,20120630,20120630,16087.0,20120630,253.0,100.0,163.0,0.0,1.820102,84.0
23,75.0,D,44.55361111,-116.83694444,20150605,20150607,16087.0,20150605,239.0,106.0,163.0,0.0,3.3928232000000005,102.6
