,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
6,19.08,E,61.26667,-163.75,20150625,20150813,2050.0,20150724,234.0,95.0,156.0,0.0,3.4825456,185.0
8,630.7272727272727,G,61.33694,-162.52333,20150622,20150826,2050.0,20150725,197.0,92.0,141.0,25.0,1.265158,185.0
12,19.08,E,61.26667,-163.75,20150625,20150813,2050.0,20150628,126.0,73.0,89.0,178.0,4.692081,185.0
16,0.0125,A,61.33333,-162.66667,20150622,20150629,2050.0,20150626,139.0,91.0,113.0,0.0,3.3136084,185.0
17,22.58823529411765,F,60.25695,-159.83722,20150620,20150826,2050.0,20150630,161.0,31.0,99.0,0.0,1.7897276000000002,185.0
18,377.6595744680851,G,60.89389,-160.75833,20150620,20150921,2050.0,20150808,183.0,55.0,126.0,0.0,2.6890986,185.0
19,765.4545454545455,G,61.2051667,-160.3365,20150531,20150702,2050.0,20150625,178.0,96.0,141.0,0.0,3.7997534,185.0
21,347.89230769230767,G,61.30694,-163.2175,20150623,20150826,2050.0,20150627,148.0,87.0,112.0,76.0,4.45926,185.0
22,22.42222222222222,F,61.0853833,-163.2413333,20150629,20150812,2050.0,20150728,141.0,91.0,114.0,25.0,0.40388733,185.0
23,10.764705882352942,E,60.1508333,-160.09,20150623,20150812,2050.0,20150708,156.0,101.0,125.0,0.0,1.6568041,185.0
25,10.764705882352942,E,60.1508333,-160.09,20150623,20150812,2050.0,20150707,183.0,113.0,148.0,25.0,4.0635576,185.0
26,1741.5,G,61.35333,-162.56417,20150622,20150629,2050.0,20150624,196.0,57.0,132.0,0.0,1.0404326,185.0
27,630.7272727272727,G,61.33694,-162.52333,20150622,20150826,2050.0,20150711,209.0,84.0,156.0,0.0,1.9629378,185.0
28,339.8791208791209,G,61.31867,-159.85467,20150623,20150921,2050.0,20150805,165.0,76.0,126.0,25.0,3.625,185.0
30,630.7272727272727,G,61.33694,-162.52333,20150622,20150826,2050.0,20150719,178.0,82.0,137.0,0.0,3.644345,185.0
31,347.89230769230767,G,61.30694,-163.2175,20150623,20150826,2050.0,20150630,161.0,31.0,99.0,0.0,1.7897276000000002,185.0
32,347.89230769230767,G,61.30694,-163.2175,20150623,20150826,2050.0,20150719,178.0,82.0,137.0,0.0,3.644345,185.0
33,13.74,E,61.04083,-163.54806,20150624,20150812,2050.0,20150627,148.0,87.0,112.0,76.0,4.45926,185.0
34,587.8125,G,61.27507,-162.92148,20150622,20150707,2050.0,20150705,200.0,128.0,158.0,18.0,4.704054,185.0
35,2.314814814814815,D,60.5666667,-160.1611,20150620,20150812,2050.0,20150706,139.0,107.0,122.0,457.0,6.060167,185.0
36,377.6595744680851,G,60.89389,-160.75833,20150620,20150921,2050.0,20150805,165.0,76.0,126.0,25.0,3.625,185.0
37,2.314814814814815,D,60.5666667,-160.1611,20150620,20150812,2050.0,20150724,234.0,95.0,156.0,0.0,3.4825456,185.0
38,13.74,E,61.04083,-163.54806,20150624,20150812,2050.0,20150729,159.0,103.0,124.0,0.0,1.6326742,185.0
40,2.314814814814815,D,60.5666667,-160.1611,20150620,20150812,2050.0,20150630,161.0,31.0,99.0,0.0,1.7897276000000002,185.0
41,10.764705882352942,E,60.1508333,-160.09,20150623,20150812,2050.0,20150701,154.0,57.0,108.0,0.0,0.8062258000000001,185.0
42,10.764705882352942,E,60.1508333,-160.09,20150623,20150812,2050.0,20150805,165.0,76.0,126.0,25.0,3.625,185.0
43,630.7272727272727,G,61.33694,-162.52333,20150622,20150826,2050.0,20150807,200.0,100.0,152.0,0.0,1.8270538,185.0
44,22.42222222222222,F,61.0853833,-163.2413333,20150629,20150812,2050.0,20150802,182.0,86.0,141.0,0.0,1.3860917,185.0
45,347.89230769230767,G,61.30694,-163.2175,20150623,20150826,2050.0,20150727,177.0,58.0,112.0,25.0,1.1305419,185.0
46,630.7272727272727,G,61.33694,-162.52333,20150622,20150826,2050.0,20150729,159.0,103.0,124.0,0.0,1.6326742,185.0
47,2.314814814814815,D,60.5666667,-160.1611,20150620,20150812,2050.0,20150713,113.0,76.0,93.0,102.0,3.2035139,185.0
48,10.764705882352942,E,60.1508333,-160.09,20150623,20150812,2050.0,20150702,181.0,48.0,113.0,0.0,5.313308999999999,185.0
49,630.7272727272727,G,61.33694,-162.52333,20150622,20150826,2050.0,20150630,161.0,31.0,99.0,0.0,1.7897276000000002,185.0
