,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,370.4654205607477,G,62.45,-141.62,20150609,20150923,2240.0,20150829,99.0,-5.0,43.0,0.0,1.5878445,249.333
2,370.4654205607477,G,62.45,-141.62,20150609,20150923,2240.0,20150728,189.0,81.0,131.0,0.0,1.2412193,249.333
4,370.4654205607477,G,62.45,-141.62,20150609,20150923,2240.0,20150626,200.0,117.0,169.0,0.0,3.0233464,111.0
6,370.4654205607477,G,62.45,-141.62,20150609,20150923,2240.0,20150618,250.0,67.0,171.0,0.0,2.2390008,111.0
8,370.4654205607477,G,62.45,-141.62,20150609,20150923,2240.0,20150817,211.0,-3.0,111.0,0.0,2.0983624,249.333
10,370.4654205607477,G,62.45,-141.62,20150609,20150923,2240.0,20150609,176.0,16.0,114.0,0.0,4.4643025000000005,111.0
12,0.4823529411764706,C,62.7936,-141.783,20130702,20130924,2240.0,20130717,196.0,122.0,149.0,51.0,2.825672,107.667
13,370.4654205607477,G,62.45,-141.62,20150609,20150923,2240.0,20150621,216.0,102.0,156.0,0.0,3.0984876,111.0
14,370.4654205607477,G,62.45,-141.62,20150609,20150923,2240.0,20150617,253.0,115.0,192.0,0.0,2.1179292000000003,111.0
15,370.4654205607477,G,62.45,-141.62,20150609,20150923,2240.0,20150709,217.0,104.0,138.0,51.0,1.1502716999999998,111.0
16,0.4823529411764706,C,62.7936,-141.783,20130702,20130924,2240.0,20130716,225.0,142.0,180.0,0.0,2.372007,107.667
17,370.4654205607477,G,62.45,-141.62,20150609,20150923,2240.0,20150811,131.0,47.0,83.0,0.0,2.260669,249.333
18,370.4654205607477,G,62.45,-141.62,20150609,20150923,2240.0,20150803,228.0,106.0,152.0,0.0,2.0471015,249.333
20,370.4654205607477,G,62.45,-141.62,20150609,20150923,2240.0,20150806,200.0,111.0,167.0,61.0,3.0761175,249.333
24,0.4823529411764706,C,62.7936,-141.783,20130702,20130924,2240.0,20130706,235.0,26.0,152.0,0.0,1.8245332,107.667
28,370.4654205607477,G,62.45,-141.62,20150609,20150923,2240.0,20150827,100.0,39.0,100.0,46.0,5.6405897000000005,249.333
29,370.4654205607477,G,62.45,-141.62,20150609,20150923,2240.0,20150807,211.0,78.0,147.0,0.0,0.81432486,249.333
33,370.4654205607477,G,62.45,-141.62,20150609,20150923,2240.0,20150818,118.0,88.0,103.0,102.0,2.0691183,249.333
34,370.4654205607477,G,62.45,-141.62,20150609,20150923,2240.0,20150718,172.0,78.0,138.0,23.0,4.96645,111.0
35,1.0,B,62.83,-141.88,20130716,20130716,2240.0,20130716,225.0,142.0,180.0,0.0,2.372007,107.667
36,370.4654205607477,G,62.45,-141.62,20150609,20150923,2240.0,20150828,68.0,9.0,42.0,25.0,4.265046599999999,249.333
37,370.4654205607477,G,62.45,-141.62,20150609,20150923,2240.0,20150821,192.0,-16.0,95.0,0.0,1.5907938,249.333
39,370.4654205607477,G,62.45,-141.62,20150609,20150923,2240.0,20150721,223.0,58.0,143.0,0.0,1.8499999,111.0
40,370.4654205607477,G,62.45,-141.62,20150609,20150923,2240.0,20150724,261.0,87.0,168.0,0.0,1.22602,111.0
44,370.4654205607477,G,62.45,-141.62,20150609,20150923,2240.0,20150917,82.0,34.0,49.0,0.0,2.4434862,249.333
45,0.4823529411764706,C,62.7936,-141.783,20130702,20130924,2240.0,20130726,241.0,87.0,166.0,0.0,2.6591256000000003,107.667
46,370.4654205607477,G,62.45,-141.62,20150609,20150923,2240.0,20150704,277.0,41.0,170.0,0.0,1.8981898,111.0
47,370.4654205607477,G,62.45,-141.62,20150609,20150923,2240.0,20150612,144.0,33.0,81.0,0.0,3.4111032,111.0
49,370.4654205607477,G,62.45,-141.62,20150609,20150923,2240.0,20150804,267.0,111.0,181.0,0.0,0.75,249.333
50,1.295774647887324,C,62.7476,-141.77316,20130716,20130924,2240.0,20130716,225.0,142.0,180.0,0.0,2.372007,107.667
51,370.4654205607477,G,62.45,-141.62,20150609,20150923,2240.0,20150916,94.0,34.0,57.0,0.0,2.3660357000000003,249.333
53,370.4654205607477,G,62.45,-141.62,20150609,20150923,2240.0,20150623,252.0,103.0,177.0,0.0,2.650118,111.0
56,370.4654205607477,G,62.45,-141.62,20150609,20150923,2240.0,20150820,156.0,72.0,95.0,5.0,2.5842068,249.333
57,370.4654205607477,G,62.45,-141.62,20150609,20150923,2240.0,20150719,157.0,87.0,108.0,51.0,3.4685192,111.0
59,370.4654205607477,G,62.45,-141.62,20150609,20150923,2240.0,20150909,196.0,24.0,102.0,0.0,3.9897525,249.333
