,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,22.7,C,44.54916667,-83.66638889,20150318,20150318,26001.0,20150318,33.0,-88.0,-22.0,0.0,3.4311078,120.0
2,0.1,A,44.55194444,-83.70583333,20130819,20130819,26001.0,20130819,300.0,106.0,202.0,0.0,2.9815767,110.0
4,236.0,E,44.63916667,-83.64583333,20150503,20150504,26001.0,20150503,272.0,56.0,171.0,0.0,3.7192907,101.0
5,0.1,A,44.56861111,-83.65527778,20140525,20140525,26001.0,20140525,289.0,67.0,176.0,0.0,2.9355226,96.0
6,1.23,B,44.51194444,-83.65166667,20150503,20150503,26001.0,20150503,272.0,56.0,171.0,0.0,3.7192907,101.0
8,0.3,B,44.65555556,-83.88444444,20150716,20150716,26001.0,20150716,233.0,56.0,153.0,0.0,3.0640047000000004,103.5
9,0.01,A,44.61222222,-83.83722222,20150809,20150809,26001.0,20150809,267.0,111.0,188.0,0.0,1.8858023,106.5
10,0.9,B,44.59277778,-83.61361111,20130422,20130422,26001.0,20130422,139.0,0.0,54.0,0.0,3.8440735,121.5
13,0.5,B,44.66888889,-83.75166667,20130505,20130505,26001.0,20130505,206.0,6.0,119.0,0.0,1.8439138,108.0
14,0.2,A,44.55222222,-83.76,20150705,20150705,26001.0,20150705,267.0,94.0,185.0,0.0,1.8560712,103.5
15,236.0,E,44.63916667,-83.64583333,20150503,20150504,26001.0,20150504,228.0,78.0,188.0,13.0,2.9360897999999995,101.0
16,0.2,A,44.57361111,-83.69972222,20140722,20140722,26001.0,20140722,317.0,172.0,250.0,102.0,4.4155273,108.0
17,0.1,A,44.59666667,-83.63305556,20130525,20130525,26001.0,20130525,156.0,11.0,91.0,0.0,2.632741,96.0
18,0.1,A,44.52361111,-83.69583333,20130428,20130428,26001.0,20130428,183.0,22.0,123.0,0.0,3.1760490000000003,108.0
19,0.1,A,44.33,-83.42,20130719,20130719,26001.0,20130719,322.0,178.0,269.0,178.0,5.4561977,126.0
20,0.1,A,44.4575,-83.78777778,20130426,20130426,26001.0,20130426,150.0,-43.0,53.0,0.0,2.9521928,108.0
21,0.1,A,44.5625,-83.72472222,20140531,20140531,26001.0,20140531,244.0,72.0,163.0,0.0,2.46483,94.0
22,0.1,A,44.55472222,-83.63805556,20150523,20150523,26001.0,20150523,261.0,-32.0,116.0,0.0,3.6239653,97.0
23,27.0,C,44.51666667,-83.65388889,20130502,20130503,26001.0,20130503,200.0,50.0,125.0,0.0,3.4515028,108.0
25,0.1,A,44.64888889,-83.62611111,20030823,20030823,26001.0,20030823,239.0,78.0,161.0,0.0,3.195311,109.0
28,0.5,B,44.60583333,-83.86916667,20020825,20020825,26001.0,20020825,261.0,144.0,206.0,0.0,2.1020486000000003,93.0
29,1.0,B,44.625,-83.86861111,20020828,20020828,26001.0,20020828,222.0,72.0,150.0,0.0,2.5512576,93.0
30,0.1,A,44.62361111,-83.8675,20020908,20020908,26001.0,20020908,339.0,144.0,244.0,0.0,2.546159,93.0
31,25.32,C,44.58333333,-83.875,20030428,20030429,26001.0,20030429,139.0,-17.0,61.0,0.0,1.9353536,96.5
34,0.65,B,44.61944444,-83.8725,20020908,20020909,26001.0,20020908,339.0,144.0,244.0,0.0,2.546159,93.0
36,0.1,A,44.64888889,-83.62611111,20030823,20030823,26001.0,20030823,239.0,78.0,161.0,0.0,3.195311,109.0
37,0.5,B,44.62111111,-83.84666667,20020826,20020826,26001.0,20020826,283.0,144.0,217.0,0.0,1.8350477,93.0
38,2.0,B,44.53194444,-83.82694444,20030526,20030526,26001.0,20030526,194.0,89.0,144.0,0.0,2.10237,94.0
41,27.0,C,44.51666667,-83.65388889,20130502,20130503,26001.0,20130502,217.0,56.0,142.0,0.0,2.319999,108.0
42,0.5,B,44.65111111,-83.85805556,20030604,20030604,26001.0,20030604,172.0,44.0,111.0,10.0,4.205291000000001,86.0
43,3.0,B,44.61944444,-83.86944444,20020912,20020913,26001.0,20020913,256.0,139.0,200.0,0.0,2.619647,93.0
46,3.0,B,44.61944444,-83.86944444,20020912,20020913,26001.0,20020912,267.0,78.0,172.0,0.0,3.6828573,93.0
48,531.0,E,44.42472222,-83.56361111,20030428,20030428,26001.0,20030428,228.0,28.0,128.0,0.0,4.5988364,96.5
50,4.8,B,44.54805556,-83.62138889,20030601,20030601,26001.0,20030601,200.0,17.0,111.0,0.0,3.0805862,86.0
51,6.0,C,44.50194444,-83.745,20030428,20030429,26001.0,20030428,228.0,28.0,128.0,0.0,4.5988364,96.5
52,97.5,C,44.64166667,-83.84944444,20030604,20030604,26001.0,20030604,172.0,44.0,111.0,10.0,4.205291000000001,86.0
58,0.65,B,44.61944444,-83.8725,20020908,20020909,26001.0,20020909,322.0,139.0,233.0,0.0,2.2627504000000003,93.0
60,25.32,C,44.58333333,-83.875,20030428,20030429,26001.0,20030428,228.0,28.0,128.0,0.0,4.5988364,96.5
61,13.0,C,44.58083333,-83.53416667,20020518,20020518,26001.0,20020518,72.0,0.0,39.0,0.0,3.5584357000000004,75.5
63,0.1,A,44.61361111,-83.86916667,20020829,20020829,26001.0,20020829,250.0,61.0,156.0,0.0,0.7443174,93.0
64,6.0,C,44.50194444,-83.745,20030428,20030429,26001.0,20030429,139.0,-17.0,61.0,0.0,1.9353536,96.5
67,5.4,B,44.62138889,-83.84222222,20030413,20030413,26001.0,20030413,61.0,-67.0,0.0,0.0,1.0804541,108.0
70,4.0,B,44.64944444,-83.70638889,20020413,20020413,26001.0,20020413,122.0,-11.0,56.0,0.0,2.5465407000000004,104.0
