,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
1,0.1,A,44.63777778,-84.19972222,20140428,20140428,26135.0,20140428,133.0,33.0,74.0,0.0,6.8210497000000005,112.5
2,0.02,A,44.6325,-84.13,20140801,20140804,26135.0,20140801,267.0,89.0,182.0,0.0,1.1560243,108.0
4,0.1,A,44.63,-84.27055556,20130512,20130512,26135.0,20130512,28.0,-10.0,21.0,23.0,7.491662,105.0
5,0.02,A,44.6325,-84.13,20140801,20140804,26135.0,20140804,267.0,144.0,198.0,18.0,0.8500061,108.0
7,1.2,B,44.52638889,-84.25,20140704,20140704,26135.0,20140704,250.0,78.0,164.0,0.0,2.4881535,108.0
8,0.1,A,44.57305556,-84.04888889,20131007,20131007,26135.0,20131007,144.0,50.0,114.0,18.0,4.470717400000002,116.0
9,0.1285714285714286,B,44.59888889,-84.26,20140524,20140530,26135.0,20140525,272.0,72.0,183.0,0.0,2.7153108,96.0
10,0.1,A,44.65916667,-84.12083333,20150711,20150711,26135.0,20150711,283.0,100.0,206.0,0.0,2.823119,103.5
11,0.1285714285714286,B,44.59888889,-84.26,20140524,20140530,26135.0,20140524,250.0,56.0,157.0,0.0,1.9241624,96.0
12,0.2,A,44.60444444,-84.12972222,20150426,20150426,26135.0,20150426,133.0,-21.0,55.0,0.0,3.7253356,101.0
13,0.1,A,44.61888889,-84.12944444,20140701,20140701,26135.0,20140701,256.0,189.0,224.0,18.0,5.4115660000000005,108.0
14,0.3,B,44.61861111,-84.12972222,20140801,20140801,26135.0,20140801,267.0,89.0,182.0,0.0,1.1560243,108.0
16,0.1285714285714286,B,44.59888889,-84.26,20140524,20140530,26135.0,20140526,272.0,133.0,207.0,0.0,3.8767133,96.0
20,0.1,A,44.57972222,-84.08722222,20130428,20130428,26135.0,20130428,217.0,28.0,129.0,0.0,2.4613788,108.0
21,0.1,A,44.55583333,-84.12916667,20130508,20130508,26135.0,20130508,267.0,61.0,174.0,0.0,0.26248866,105.0
22,0.1285714285714286,B,44.59888889,-84.26,20140524,20140530,26135.0,20140529,244.0,67.0,156.0,0.0,1.0241543,94.0
23,1.0,B,44.6025,-84.11666667,20150426,20150426,26135.0,20150426,133.0,-21.0,55.0,0.0,3.7253356,101.0
25,0.1,A,44.64527778,-84.16944444,20150730,20150730,26135.0,20150730,289.0,161.0,239.0,0.0,5.8137765,106.5
26,0.1285714285714286,B,44.59888889,-84.26,20140524,20140530,26135.0,20140527,289.0,167.0,220.0,0.0,1.9779943,94.0
27,0.1,A,44.62722222,-84.27527778,20150330,20150330,26135.0,20150330,67.0,-21.0,28.0,0.0,5.3570633,113.5
28,0.1,A,44.595,-84.19027778,20150502,20150502,26135.0,20150502,233.0,44.0,136.0,0.0,3.096066,101.0
29,0.1,A,44.66333333,-84.02027778,20150527,20150527,26135.0,20150527,217.0,122.0,188.0,0.0,5.1795870000000015,97.0
31,0.1,A,44.64222222,-84.13,20140808,20140808,26135.0,20140808,256.0,94.0,177.0,0.0,1.3792688999999998,108.0
32,0.6,B,44.57388889,-84.33527778,20150520,20150520,26135.0,20150520,144.0,-16.0,57.0,0.0,2.768122,97.0
33,0.1285714285714286,B,44.59888889,-84.26,20140524,20140530,26135.0,20140528,250.0,94.0,179.0,0.0,3.934055,94.0
34,0.5,B,44.62083333,-84.24972222,20130422,20130422,26135.0,20130422,167.0,6.0,73.0,0.0,4.31195,121.5
36,0.01,A,44.59055556,-84.28583333,20150705,20150705,26135.0,20150705,278.0,106.0,194.0,0.0,2.4052026,103.5
37,0.1,A,44.66333333,-84.02027778,20150727,20150727,26135.0,20150727,328.0,128.0,230.0,0.0,1.2789155,106.5
38,0.1,A,44.63972222,-84.20083333,20140428,20140428,26135.0,20140428,133.0,33.0,74.0,0.0,6.8210497000000005,112.5
39,0.1,A,44.6175,-84.31166667,20130818,20130818,26135.0,20130818,283.0,78.0,192.0,0.0,2.066504,110.0
41,0.1,A,44.54527778,-84.12722222,20140524,20140524,26135.0,20140524,250.0,56.0,157.0,0.0,1.9241624,96.0
42,0.1285714285714286,B,44.59888889,-84.26,20140524,20140530,26135.0,20140530,300.0,83.0,186.0,0.0,0.6135151999999999,94.0
43,1.0,B,44.36666667,-83.58305556,20130713,20130713,26135.0,20130713,289.0,100.0,203.0,0.0,2.4201841,126.0
45,0.17,A,44.40694444,-84.16583333,20150718,20150718,26135.0,20150718,300.0,150.0,255.0,3.0,2.9681644,106.5
46,0.1,A,44.6175,-84.31166667,20130818,20130818,26135.0,20130818,283.0,78.0,192.0,0.0,2.066504,110.0
47,1.3,B,44.64888889,-83.935,20150320,20150320,26135.0,20150320,78.0,-43.0,9.0,0.0,3.6000867,120.0
51,0.1,A,44.62583333,-84.13,20130530,20130530,26135.0,20130530,289.0,161.0,218.0,155.0,4.5693913,96.0
