,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.01,A,47.88305556,-91.84416667,20130825,20130825,27137.0,20130825,344.0,250.0,286.0,13.0,2.6210296000000004,33.0
1,0.1,A,47.94694444,-91.875,20150728,20150728,27137.0,20150728,294.0,200.0,241.0,0.0,5.23474,118.0
2,0.7222222222222222,C,47.96666667,-91.33333333,20140630,20140717,27137.0,20140705,278.0,172.0,218.0,0.0,1.8866422,122.0
3,0.35,B,48.12194444,-92.11472222,20141012,20141015,27137.0,20141015,144.0,0.0,77.0,0.0,3.005632,107.0
6,0.7222222222222222,C,47.96666667,-91.33333333,20140630,20140717,27137.0,20140706,283.0,178.0,234.0,218.0,2.8792331,122.0
7,0.7222222222222222,C,47.96666667,-91.33333333,20140630,20140717,27137.0,20140715,217.0,106.0,153.0,0.0,2.939547,40.0
8,0.25,A,47.87083333,-91.85444444,20130507,20130507,27137.0,20130507,244.0,39.0,144.0,0.0,4.422584,219.0
9,0.1,A,47.77472222,-91.67527778,20140613,20140613,27137.0,20140613,222.0,56.0,132.0,0.0,3.195824,79.125
10,0.7222222222222222,C,47.96666667,-91.33333333,20140630,20140717,27137.0,20140710,256.0,122.0,187.0,0.0,2.63246,40.0
11,0.25,A,47.82722222,-91.78472222,20151006,20151006,27137.0,20151006,189.0,39.0,137.0,0.0,1.8045081000000005,102.5
13,0.7222222222222222,C,47.96666667,-91.33333333,20140630,20140717,27137.0,20140703,239.0,106.0,172.0,0.0,2.298369,122.0
14,0.1,A,47.66083333,-92.5275,20130506,20130506,27137.0,20130506,217.0,11.0,99.0,0.0,3.0565534,219.0
15,0.7222222222222222,C,47.96666667,-91.33333333,20140630,20140717,27137.0,20140717,250.0,128.0,188.0,0.0,2.5143194,131.0
16,0.7222222222222222,C,47.96666667,-91.33333333,20140630,20140717,27137.0,20140712,233.0,144.0,208.0,5.0,2.1280005,40.0
17,0.7222222222222222,C,47.96666667,-91.33333333,20140630,20140717,27137.0,20140714,167.0,100.0,130.0,64.0,2.775846,40.0
18,0.01,A,47.85111111,-91.83777778,20140923,20140923,27137.0,20140923,228.0,100.0,163.0,0.0,4.6469727,104.4
23,2.0,B,47.625,-92.43222222,20130506,20130506,27137.0,20130506,217.0,11.0,99.0,0.0,3.0565534,219.0
24,0.1,A,47.73333333,-91.9,20150619,20150619,27137.0,20150619,211.0,56.0,143.0,0.0,2.015099,93.875
26,0.1,A,47.66194444,-92.63777778,20140428,20140428,27137.0,20140428,61.0,11.0,17.0,18.0,1.6286527,29.2
