,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
1,0.05,A,45.69194444,-113.92555556,20140808,20140809,30001.0,20140808,164.0,73.0,103.0,0.0,1.7920395,15.0
5,1.6875,C,46.42222222,-113.58305556,20140725,20140801,30001.0,20140727,251.0,73.0,161.0,0.0,1.0532322,7.0
9,0.8,B,45.0233,-112.8667,20140829,20140829,30001.0,20140829,283.0,100.0,192.0,3.0,1.9942214,11.0
14,0.1666666666666666,B,45.8925,-112.34,20140801,20140806,30001.0,20140804,211.0,122.0,189.0,5.0,1.2887567,7.0
17,0.4,B,44.9767,-112.8,20140714,20140714,30001.0,20140714,204.0,92.0,132.0,0.0,1.8064578,9.0
18,22.5,C,44.9011,-113.0125,20130731,20130803,30001.0,20130801,221.0,58.0,120.0,0.0,0.7271847,16.0
20,0.1,A,44.982167,-112.704,20120909,20120909,30001.0,20120909,263.0,47.0,147.0,127.0,3.3147316,8.0
21,0.1,A,45.6763889,-112.995833,20100807,20100807,30001.0,20100807,229.0,61.0,129.0,0.0,1.1350827,17.0
28,0.1,A,45.53694444,-112.38305556,20120728,20120728,30001.0,20120728,251.0,72.0,153.0,0.0,0.6280157,12.0
30,1.6875,C,46.42222222,-113.58305556,20140725,20140801,30001.0,20140731,202.0,77.0,129.0,0.0,1.0404323,7.0
42,41.5,C,44.6907,-111.7522,20140721,20140721,30001.0,20140721,250.0,144.0,203.0,20.0,2.7891648,9.0
44,0.1,A,45.85722222,-113.08333333,20130705,20130705,30001.0,20130705,220.0,72.0,138.0,51.0,2.481712,16.0
45,0.1,A,45.35666667,-113.54972222,20130823,20130823,30001.0,20130823,183.0,71.0,113.0,0.0,1.7774704,16.0
51,1.6875,C,46.42222222,-113.58305556,20140725,20140801,30001.0,20140801,317.0,89.0,204.0,0.0,0.559017,7.0
58,0.0142857142857142,A,45.52194444,-112.92638889,20140719,20140725,30001.0,20140723,234.0,88.0,165.0,0.0,1.5008332,9.0
65,0.1,A,44.62861111,-112.74,20120903,20120903,30001.0,20120903,214.0,6.0,104.0,0.0,2.1840405,8.0
86,0.0142857142857142,A,45.52194444,-112.92638889,20140719,20140725,30001.0,20140720,300.0,128.0,219.0,0.0,3.045863,9.0
87,0.1666666666666666,B,45.8925,-112.34,20140801,20140806,30001.0,20140805,213.0,75.0,136.0,0.0,0.7280072,7.0
91,0.1,A,45.43611111,-112.91333333,20120826,20120826,30001.0,20120826,216.0,90.0,130.0,0.0,2.7933145,8.0
95,0.25,A,45.66611111,-113.0,20140801,20140801,30001.0,20140801,317.0,89.0,204.0,0.0,0.559017,7.0
96,0.0073529411764705,B,46.14138889,-112.33361111,20140925,20141201,30001.0,20140925,221.0,144.0,180.0,25.0,3.72066,11.0
98,0.05,A,45.69194444,-113.92555556,20140808,20140809,30001.0,20140809,221.0,40.0,128.0,102.0,0.8746412,15.0
99,1.6875,C,46.42222222,-113.58305556,20140725,20140801,30001.0,20140729,257.0,75.0,156.0,0.0,0.85146034,7.0
101,0.1,A,45.32027778,-112.93972222,20130505,20130505,30001.0,20130505,108.0,-12.0,42.0,25.0,3.743698,15.0
111,0.1,A,45.424167,-112.6015,20100810,20100810,30001.0,20100810,165.0,47.0,85.0,178.0,2.0515635,17.0
112,22.5,C,44.9011,-113.0125,20130731,20130803,30001.0,20130731,245.0,61.0,143.0,0.0,0.912636,16.0
115,0.0142857142857142,A,45.52194444,-112.92638889,20140719,20140725,30001.0,20140721,250.0,144.0,203.0,20.0,2.7891648,9.0
118,0.1,A,45.88527778,-113.33361111,20120817,20120817,30001.0,20120817,243.0,90.0,164.0,0.0,1.7507080000000002,8.0
119,0.25,A,44.97888889,-113.43333333,20130823,20130823,30001.0,20130823,183.0,71.0,113.0,0.0,1.7774704,16.0
120,0.0142857142857142,A,45.52194444,-112.92638889,20140719,20140725,30001.0,20140724,220.0,62.0,171.0,0.0,2.7038672000000004,7.0
