,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,726.75,G,46.0553,-111.4421,20150814,20150825,30007.0,20150817,156.0,27.0,91.0,0.0,2.4395182,11.333
1,78.0,E,46.9906,-111.5461,20130721,20130725,30007.0,20130722,268.0,107.0,179.0,0.0,0.65000916,8.0
2,726.75,G,46.0553,-111.4421,20150814,20150825,30007.0,20150820,203.0,77.0,138.0,0.0,3.4908807,11.333
3,726.75,G,46.0553,-111.4421,20150814,20150825,30007.0,20150815,197.0,85.0,153.0,0.0,4.225296,11.333
4,0.1,A,46.6375,-111.54,20130803,20130803,30007.0,20130803,246.0,-4.0,126.0,0.0,1.3692704,26.333
5,726.75,G,46.0553,-111.4421,20150814,20150825,30007.0,20150822,127.0,2.0,51.0,0.0,4.240357,11.333
6,2.0,C,46.33888889,-111.62972222,20150827,20150902,30007.0,20150829,263.0,102.0,189.0,0.0,2.3751316000000005,9.0
7,726.75,G,46.0553,-111.4421,20150814,20150825,30007.0,20150821,212.0,32.0,144.0,0.0,4.8180003,11.333
8,2.0,C,46.33888889,-111.62972222,20150827,20150902,30007.0,20150831,183.0,56.0,121.0,0.0,3.880158,9.0
9,78.0,E,46.9906,-111.5461,20130721,20130725,30007.0,20130724,277.0,98.0,179.0,0.0,1.8069303,8.0
10,726.75,G,46.0553,-111.4421,20150814,20150825,30007.0,20150818,127.0,9.0,67.0,0.0,0.67546284,11.333
11,726.75,G,46.0553,-111.4421,20150814,20150825,30007.0,20150819,169.0,16.0,83.0,0.0,0.90173435,11.333
12,30.0,C,46.2942,-111.6028,20130724,20130724,30007.0,20130724,277.0,98.0,179.0,0.0,1.8069303,8.0
14,2.0,C,46.33888889,-111.62972222,20150827,20150902,30007.0,20150901,215.0,100.0,159.0,0.0,1.6326741000000002,9.0
15,726.75,G,46.0553,-111.4421,20150814,20150825,30007.0,20150816,192.0,76.0,124.0,0.0,2.341207,11.333
16,726.75,G,46.0553,-111.4421,20150814,20150825,30007.0,20150814,249.0,109.0,163.0,25.0,2.6801353,11.333
17,0.1,A,46.3566667,-111.117778,20100727,20100727,30007.0,20100727,185.0,94.0,140.0,0.0,2.1510215,11.0
18,78.0,E,46.9906,-111.5461,20130721,20130725,30007.0,20130725,238.0,98.0,162.0,0.0,3.332078,8.0
19,2.0,C,46.33888889,-111.62972222,20150827,20150902,30007.0,20150827,223.0,32.0,122.0,0.0,2.167516,11.333
20,726.75,G,46.0553,-111.4421,20150814,20150825,30007.0,20150824,287.0,-11.0,141.0,0.0,2.0483224,11.333
21,2.0,C,46.33888889,-111.62972222,20150827,20150902,30007.0,20150830,204.0,53.0,129.0,0.0,2.4603102000000003,9.0
22,726.75,G,46.0553,-111.4421,20150814,20150825,30007.0,20150823,188.0,37.0,113.0,0.0,1.0606601,11.333
23,2.0,C,46.33888889,-111.62972222,20150827,20150902,30007.0,20150902,250.0,103.0,186.0,0.0,2.1357083,9.0
24,78.0,E,46.9906,-111.5461,20130721,20130725,30007.0,20130721,226.0,83.0,159.0,0.0,1.5373356000000002,8.0
25,726.75,G,46.0553,-111.4421,20150814,20150825,30007.0,20150825,277.0,87.0,184.0,0.0,1.2442367,11.333
27,2.0,C,46.33888889,-111.62972222,20150827,20150902,30007.0,20150828,228.0,43.0,140.0,0.0,2.9516943,9.0
28,78.0,E,46.9906,-111.5461,20130721,20130725,30007.0,20130723,229.0,78.0,150.0,0.0,1.4142071000000005,8.0
36,11.0,C,46.53138889,-111.70138889,20130514,20130518,30007.0,20130515,159.0,-4.0,56.0,0.0,1.0977238,68.833
42,0.1,A,46.48333333,-111.85027778,20090719,20090719,30007.0,20090719,240.0,132.0,185.0,0.0,2.8482955000000003,18.0
43,11.0,C,46.53138889,-111.70138889,20130514,20130518,30007.0,20130516,134.0,30.0,73.0,51.0,1.2080489,68.833
45,80.0,E,46.33388889,-111.5875,20120701,20120706,30007.0,20120703,238.0,99.0,171.0,0.0,2.3345282000000003,8.0
49,11.0,C,46.53138889,-111.70138889,20130514,20130518,30007.0,20130514,198.0,18.0,114.0,0.0,5.627997,68.833
51,80.0,E,46.33388889,-111.5875,20120701,20120706,30007.0,20120704,243.0,31.0,144.0,0.0,2.3612309,8.0
52,11.0,C,46.53138889,-111.70138889,20130514,20130518,30007.0,20130518,103.0,16.0,54.0,178.0,1.6640026999999995,68.833
54,0.3125,B,46.64194444,-111.56694444,20130818,20130821,30007.0,20130820,256.0,97.0,182.0,0.0,3.2029612000000003,26.5
56,0.1,A,45.08916667,-109.40638889,20060806,20060806,30007.0,20060806,283.0,44.0,153.0,0.0,1.7613912,13.0
58,80.0,E,46.33388889,-111.5875,20120701,20120706,30007.0,20120702,238.0,71.0,165.0,0.0,1.0034398000000002,8.0
59,11.0,C,46.53138889,-111.70138889,20130514,20130518,30007.0,20130517,125.0,30.0,68.0,0.0,0.8926963,68.833
62,0.25,A,46.425,-111.70083333,20070812,20070812,30007.0,20070812,283.0,80.0,200.0,0.0,1.5308157,14.0
65,0.3125,B,46.64194444,-111.56694444,20130818,20130821,30007.0,20130821,244.0,81.0,166.0,0.0,2.4083946,26.5
70,0.3125,B,46.64194444,-111.56694444,20130818,20130821,30007.0,20130819,279.0,84.0,179.0,0.0,3.724353,26.5
71,80.0,E,46.33388889,-111.5875,20120701,20120706,30007.0,20120705,186.0,29.0,100.0,0.0,1.9087607,47.286
77,80.0,E,46.33388889,-111.5875,20120701,20120706,30007.0,20120706,261.0,66.0,157.0,0.0,0.74652743,47.286
80,0.3125,B,46.64194444,-111.56694444,20130818,20130821,30007.0,20130818,310.0,99.0,208.0,0.0,1.789105,32.714
91,80.0,E,46.33388889,-111.5875,20120701,20120706,30007.0,20120701,268.0,12.0,154.0,0.0,0.7212531999999999,8.0
96,7.0,B,46.33722222,-111.2475,20090925,20090925,30007.0,20090925,227.0,41.0,127.0,0.0,1.4148498,11.0
97,0.05,A,46.40305556,-111.75805556,20070604,20070605,30007.0,20070605,188.0,66.0,116.0,76.0,2.0700314,24.0
99,0.05,A,46.40305556,-111.75805556,20070604,20070605,30007.0,20070604,217.0,67.0,144.0,0.0,2.2109697,24.0
