,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
1,1.6,B,45.24282,-104.95292,20120910,20120910,30011.0,20120910,280.0,166.0,218.0,0.0,2.8111362,48.667
3,2.0,B,45.64803,-104.58435,20120716,20120716,30011.0,20120716,296.0,155.0,218.0,0.0,1.8352071,65.0
4,7.0,C,45.7,-104.8186,20100821,20100822,30011.0,20100821,296.0,129.0,223.0,0.0,2.7518759,62.167
12,3.466666666666667,C,45.62128,-104.21182,20130515,20130517,30011.0,20130517,191.0,85.0,134.0,102.0,1.8361386,91.4
14,5.5,B,45.9106,-104.40103,20120626,20120626,30011.0,20120626,339.0,165.0,260.0,0.0,2.7083008,65.0
20,3.1,B,45.36507,-104.17882,20100820,20100820,30011.0,20100820,267.0,147.0,198.0,0.0,2.939464,62.167
22,7.0,C,45.7,-104.8186,20100821,20100822,30011.0,20100822,318.0,149.0,241.0,0.0,5.0807357,62.167
25,3.466666666666667,C,45.62128,-104.21182,20130515,20130517,30011.0,20130516,174.0,84.0,131.0,25.0,2.7789185,91.4
26,0.1,A,45.7018,-104.73507,20100818,20100819,30011.0,20100819,260.0,140.0,197.0,25.0,0.6280157,62.167
28,0.3,B,45.62807,-104.39913,20130510,20130510,30011.0,20130510,179.0,15.0,90.0,25.0,1.202412,36.0
30,0.1,A,45.5415,-104.28083,20100818,20100818,30011.0,20100818,286.0,128.0,214.0,0.0,0.69999695,62.167
31,0.0333333333333333,A,45.7288,-104.73995,20130722,20130724,30011.0,20130722,258.0,109.0,167.0,152.0,1.7861655,110.333
32,3.466666666666667,C,45.62128,-104.21182,20130515,20130517,30011.0,20130515,215.0,66.0,138.0,0.0,0.90553313,91.4
35,0.2,A,45.79468,-104.80332,20120711,20120711,30011.0,20120711,299.0,163.0,224.0,0.0,3.5000572,65.0
36,0.1,A,45.58808,-104.2164,20120722,20120722,30011.0,20120722,308.0,162.0,226.0,0.0,1.7741761000000005,64.333
42,0.0333333333333333,A,45.7288,-104.73995,20130722,20130724,30011.0,20130724,244.0,125.0,183.0,0.0,0.9329527,110.333
45,0.1,A,45.7312,-104.38295,20120721,20120721,30011.0,20120721,294.0,158.0,214.0,0.0,2.2514176,64.333
47,0.5,B,45.78485,-104.8128,20120711,20120711,30011.0,20120711,299.0,163.0,224.0,0.0,3.5000572,65.0
50,280.1,A,45.75365,-104.88463,20120802,20120802,30011.0,20120802,272.0,115.0,176.0,51.0,1.3471514999999998,64.833
56,17.0,C,45.5503,-104.2539,20120913,20120913,30011.0,20120913,184.0,71.0,117.0,0.0,1.4136428,46.667
62,0.1,A,45.7018,-104.73507,20100818,20100819,30011.0,20100818,286.0,128.0,214.0,0.0,0.69999695,62.167
63,0.0333333333333333,A,45.7288,-104.73995,20130722,20130724,30011.0,20130723,239.0,107.0,178.0,0.0,2.7739646,110.333
65,0.1,A,45.59978,-104.25689,20120721,20120721,30011.0,20120721,294.0,158.0,214.0,0.0,2.2514176,64.333
69,0.05,A,45.6148,-104.23498,20120723,20120724,30011.0,20120723,297.0,148.0,218.0,0.0,2.9456728,64.333
71,4.825,C,45.7853,-104.93764,20090916,20090919,30011.0,20090919,224.0,142.0,176.0,0.0,4.276842,57.667
73,0.05,A,45.59027778,-104.15472222,20050810,20050811,30011.0,20050811,205.0,89.0,141.0,0.0,0.7905627,54.667
74,1.0,B,45.5978,-104.1883,20120717,20120719,30011.0,20120718,300.0,157.0,229.0,0.0,0.60415506,64.333
75,2.033333333333333,B,45.5306,-104.2914,20050914,20050916,30011.0,20050915,191.0,72.0,135.0,0.0,1.1157075,46.5
76,0.25,B,45.58527778,-104.20638889,20060612,20060613,30011.0,20060613,256.0,139.0,195.0,25.0,3.9622433,105.0
77,1.8,B,45.70666667,-104.74277778,20080706,20080708,30011.0,20080706,239.0,108.0,167.0,102.0,1.4848522,80.833
78,2.0,B,45.825,-104.1494,20000706,20000706,30011.0,20000706,285.0,147.0,212.0,0.0,4.741236,124.0
79,0.2333333333333333,B,45.8075,-104.49138889,20090902,20090904,30011.0,20090903,223.0,116.0,163.0,0.0,1.4589063999999998,59.333
80,2.0,B,45.92027778,-104.48305556,20060816,20060816,30011.0,20060816,254.0,129.0,189.0,0.0,1.4003305,30.0
81,0.25,B,45.6475,-104.6661,20000801,20000802,30011.0,20000802,249.0,130.0,188.0,0.0,4.5952725,50.8
82,1.0,B,45.572,-104.143,20120703,20120704,30011.0,20120703,321.0,158.0,234.0,0.0,1.9066439,65.0
83,4.1,B,45.6869,-104.87,20120716,20120717,30011.0,20120717,222.0,124.0,159.0,127.0,1.5565667,64.333
84,0.5,B,45.78361111,-104.15638889,20060830,20060831,30011.0,20060831,162.0,41.0,104.0,25.0,1.7600534,48.5
85,3.4,C,45.80666667,-104.56222222,20070829,20070902,30011.0,20070831,289.0,164.0,224.0,51.0,3.9554849,131.5
87,44.0,C,45.65272,-104.90381,20070708,20070709,30011.0,20070708,232.0,131.0,168.0,25.0,3.4154072,147.0
88,54.333333333333336,D,45.7122,-104.9231,20050905,20050907,30011.0,20050906,196.0,77.0,141.0,0.0,3.8347056,46.5
89,2.0,B,45.5783,-104.2669,20000907,20000907,30011.0,20000907,186.0,50.0,128.0,0.0,1.9176016,42.6
90,0.5,B,45.78361111,-104.15638889,20060830,20060831,30011.0,20060830,279.0,152.0,215.0,0.0,5.536239,48.5
91,2.833333333333333,B,45.59416667,-104.2225,20050809,20050811,30011.0,20050811,205.0,89.0,141.0,0.0,0.7905627,54.667
92,1.0,B,45.5978,-104.1883,20120717,20120719,30011.0,20120717,222.0,124.0,159.0,127.0,1.5565667,64.333
93,48.05,C,45.2194,-104.7356,20120703,20120704,30011.0,20120703,321.0,158.0,234.0,0.0,1.9066439,65.0
94,0.25,B,45.4936,-104.20442,20120717,20120718,30011.0,20120717,222.0,124.0,159.0,127.0,1.5565667,64.333
96,2.4444444444444446,C,45.9486,-104.4256,20050909,20050917,30011.0,20050915,191.0,72.0,135.0,0.0,1.1157075,46.5
97,0.05,A,45.6148,-104.23498,20120723,20120724,30011.0,20120724,288.0,136.0,212.0,127.0,2.0255654,64.333
98,0.05,A,45.5497,-104.8552,20030819,20030820,30011.0,20030819,234.0,131.0,174.0,0.0,2.4994872000000004,58.6
99,1.0,B,45.5561,-104.2758,20010905,20010905,30011.0,20010905,295.0,132.0,211.0,0.0,5.7800126,38.4
100,0.25,B,45.5575,-104.2819,20050823,20050824,30011.0,20050824,227.0,108.0,162.0,0.0,3.6555965,54.667
101,0.05,A,45.7225,-104.69222222,20060619,20060620,30011.0,20060619,226.0,73.0,150.0,25.0,3.1113267,105.0
102,1.0,B,45.572,-104.143,20120703,20120704,30011.0,20120704,250.0,128.0,182.0,0.0,3.118237,65.0
103,0.1,A,45.7664,-104.6836,20000710,20000711,30011.0,20000711,236.0,131.0,171.0,0.0,0.57429034,124.0
104,48.05,C,45.2194,-104.7356,20120703,20120704,30011.0,20120704,250.0,128.0,182.0,0.0,3.118237,65.0
105,0.25,B,45.6875,-104.7533,20060720,20060721,30011.0,20060720,190.0,123.0,171.0,0.0,4.1780896,50.5
107,674.3,F,45.89645,-104.91148,20120714,20120715,30011.0,20120715,296.0,177.0,223.0,0.0,3.8729007000000006,65.0
108,2.7,B,45.6114,-104.2431,20120720,20120722,30011.0,20120721,294.0,158.0,214.0,0.0,2.2514176,64.333
109,0.05,A,45.7225,-104.69222222,20060619,20060620,30011.0,20060620,222.0,95.0,153.0,25.0,0.97591317,105.0
111,674.3,F,45.89645,-104.91148,20120714,20120715,30011.0,20120714,314.0,157.0,234.0,0.0,5.2002435,65.0
112,54.333333333333336,D,45.7122,-104.9231,20050905,20050907,30011.0,20050905,252.0,114.0,188.0,0.0,1.1500092,46.5
113,0.5,B,45.1169,-104.9939,20050907,20050908,30011.0,20050907,244.0,120.0,182.0,0.0,4.2737584,46.5
114,1.8,B,45.70666667,-104.74277778,20080706,20080708,30011.0,20080707,218.0,110.0,161.0,51.0,1.8288779,80.833
115,0.2333333333333333,B,45.8075,-104.49138889,20090902,20090904,30011.0,20090904,251.0,137.0,187.0,0.0,3.3038510000000003,59.333
116,1.8,B,45.70666667,-104.74277778,20080706,20080708,30011.0,20080708,206.0,95.0,152.0,0.0,0.89999694,80.833
118,54.333333333333336,D,45.7122,-104.9231,20050905,20050907,30011.0,20050907,244.0,120.0,182.0,0.0,4.2737584,46.5
119,0.05,A,45.59027778,-104.15472222,20050810,20050811,30011.0,20050810,242.0,82.0,174.0,0.0,3.8056383,68.667
120,0.25,B,45.58527778,-104.20638889,20060612,20060613,30011.0,20060612,241.0,117.0,170.0,0.0,3.972961,105.0
121,0.1,A,45.6164,-104.1644,20010720,20010721,30011.0,20010721,288.0,177.0,225.0,0.0,1.8181913,48.6
122,0.1,A,45.6164,-104.1644,20010720,20010721,30011.0,20010720,296.0,170.0,222.0,25.0,2.3127718,48.6
123,1.0,B,45.5978,-104.1883,20120717,20120719,30011.0,20120719,332.0,193.0,253.0,0.0,3.4431028,64.333
125,2.833333333333333,B,45.59416667,-104.2225,20050809,20050811,30011.0,20050810,242.0,82.0,174.0,0.0,3.8056383,68.667
126,0.1,A,45.58944444,-104.18027778,20060612,20060612,30011.0,20060612,241.0,117.0,170.0,0.0,3.972961,105.0
127,44.0,C,45.65272,-104.90381,20070708,20070709,30011.0,20070709,265.0,104.0,190.0,0.0,2.310377,118.0
128,3.0,B,45.58694444,-104.08194444,20060719,20060720,30011.0,20060719,264.0,125.0,195.0,0.0,2.972344,50.5
129,2.7,B,45.6114,-104.2431,20120720,20120722,30011.0,20120722,308.0,162.0,226.0,0.0,1.7741761000000005,64.333
130,30.0,C,46.0722,-104.9716,20000811,20000811,30011.0,20000811,319.0,151.0,228.0,0.0,4.2682257,41.0
131,4.1,B,45.6869,-104.87,20120716,20120717,30011.0,20120716,296.0,155.0,218.0,0.0,1.8352071,65.0
