,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
5,0.1,A,47.09472222,-110.79138889,20130601,20130601,30013.0,20130601,200.0,50.0,113.0,0.0,0.9481045,86.389
7,0.1,A,46.86194444,-110.67527778,20140902,20140902,30013.0,20140902,256.0,89.0,154.0,0.0,4.121098,90.5
9,33.0,C,47.653,-111.319,20140815,20140815,30013.0,20140815,272.0,128.0,199.0,117.0,0.7006395000000001,90.5
15,0.05,A,46.85277778,-110.65166667,20130831,20130901,30013.0,20130901,339.0,78.0,200.0,0.0,2.0576267,99.5
16,0.0083333333333333,A,46.91277778,-110.76638889,20130822,20130902,30013.0,20130822,322.0,94.0,204.0,0.0,0.8633044,99.5
31,0.0083333333333333,A,46.91277778,-110.76638889,20130822,20130902,30013.0,20130901,339.0,78.0,200.0,0.0,2.0576267,99.5
38,0.19375,B,47.12055556,-111.00888889,20130819,20130903,30013.0,20130901,339.0,78.0,200.0,0.0,2.0576267,99.5
46,0.19375,B,47.12055556,-111.00888889,20130819,20130903,30013.0,20130823,322.0,183.0,261.0,0.0,1.5976555,99.5
47,0.19375,B,47.12055556,-111.00888889,20130819,20130903,30013.0,20130822,322.0,94.0,204.0,0.0,0.8633044,99.5
66,0.19375,B,47.12055556,-111.00888889,20130819,20130903,30013.0,20130821,278.0,83.0,188.0,0.0,2.4083946,99.5
83,0.19375,B,47.12055556,-111.00888889,20130819,20130903,30013.0,20130902,333.0,128.0,238.0,0.0,2.0130794,99.5
88,0.19375,B,47.12055556,-111.00888889,20130819,20130903,30013.0,20130831,272.0,94.0,190.0,0.0,1.8069303,99.5
93,0.05,A,46.85277778,-110.65166667,20130831,20130901,30013.0,20130831,272.0,94.0,190.0,0.0,1.8069303,99.5
94,0.05,A,46.84805556,-110.7175,20130809,20130810,30013.0,20130810,294.0,122.0,209.0,0.0,1.2358351,99.5
98,0.0083333333333333,A,46.91277778,-110.76638889,20130822,20130902,30013.0,20130824,322.0,144.0,238.0,0.0,1.3595558,99.5
112,0.19375,B,47.12055556,-111.00888889,20130819,20130903,30013.0,20130824,322.0,144.0,238.0,0.0,1.3595558,99.5
131,0.0083333333333333,A,46.91277778,-110.76638889,20130822,20130902,30013.0,20130831,272.0,94.0,190.0,0.0,1.8069303,99.5
134,0.05,A,46.84805556,-110.7175,20130809,20130810,30013.0,20130809,272.0,111.0,179.0,0.0,4.143662,99.5
138,0.0083333333333333,A,46.91277778,-110.76638889,20130822,20130902,30013.0,20130902,333.0,128.0,238.0,0.0,2.0130794,99.5
182,0.0083333333333333,A,46.91277778,-110.76638889,20130822,20130902,30013.0,20130823,322.0,183.0,261.0,0.0,1.5976555,99.5
196,0.19375,B,47.12055556,-111.00888889,20130819,20130903,30013.0,20130830,322.0,100.0,212.0,0.0,1.6813332,99.5
219,0.0083333333333333,A,46.91277778,-110.76638889,20130822,20130902,30013.0,20130829,344.0,117.0,225.0,3.0,1.3823584,99.5
269,0.19375,B,47.12055556,-111.00888889,20130819,20130903,30013.0,20130826,333.0,117.0,216.0,28.0,1.2897336,99.5
271,0.0083333333333333,A,46.91277778,-110.76638889,20130822,20130902,30013.0,20130828,333.0,117.0,224.0,15.0,2.154067,99.5
296,0.19375,B,47.12055556,-111.00888889,20130819,20130903,30013.0,20130828,333.0,117.0,224.0,15.0,2.154067,99.5
303,0.19375,B,47.12055556,-111.00888889,20130819,20130903,30013.0,20130829,344.0,117.0,225.0,3.0,1.3823584,99.5
304,0.0083333333333333,A,46.91277778,-110.76638889,20130822,20130902,30013.0,20130826,333.0,117.0,216.0,28.0,1.2897336,99.5
317,0.19375,B,47.12055556,-111.00888889,20130819,20130903,30013.0,20130903,333.0,139.0,237.0,0.0,1.7007366000000002,99.5
319,0.19375,B,47.12055556,-111.00888889,20130819,20130903,30013.0,20130820,322.0,128.0,241.0,0.0,3.2029612000000003,99.5
353,0.0083333333333333,A,46.91277778,-110.76638889,20130822,20130902,30013.0,20130827,333.0,111.0,220.0,0.0,0.8287324,99.5
358,0.0083333333333333,A,46.91277778,-110.76638889,20130822,20130902,30013.0,20130825,333.0,139.0,249.0,3.0,1.688137,99.5
367,0.19375,B,47.12055556,-111.00888889,20130819,20130903,30013.0,20130819,339.0,133.0,239.0,0.0,3.724353,99.5
382,0.19375,B,47.12055556,-111.00888889,20130819,20130903,30013.0,20130827,333.0,111.0,220.0,0.0,0.8287324,99.5
391,0.0083333333333333,A,46.91277778,-110.76638889,20130822,20130902,30013.0,20130830,322.0,100.0,212.0,0.0,1.6813332,99.5
404,0.19375,B,47.12055556,-111.00888889,20130819,20130903,30013.0,20130825,333.0,139.0,249.0,3.0,1.688137,99.5
