,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
100,0.1,A,46.3744,-105.6561,20050805,20050805,30017.0,20050805,367.0,161.0,267.0,0.0,3.186995,66.667
176,0.1,A,46.4039,-105.8519,20050722,20050722,30017.0,20050722,344.0,156.0,250.0,0.0,3.8470807,107.5
204,1.0,B,46.5053,-106.2939,20050817,20050817,30017.0,20050817,367.0,161.0,267.0,0.0,0.5024940999999999,97.0
244,36.333333333333336,D,46.0494,-106.1408,20040808,20040810,30017.0,20040809,228.0,111.0,172.0,0.0,3.2649693,65.0
254,64.66666666666667,D,46.2394,-104.9866,20040807,20040809,30017.0,20040809,228.0,111.0,172.0,0.0,3.2649693,65.0
267,36.333333333333336,D,46.0494,-106.1408,20040808,20040810,30017.0,20040810,217.0,106.0,161.0,0.0,2.8352091,65.0
276,64.66666666666667,D,46.2394,-104.9866,20040807,20040809,30017.0,20040807,294.0,167.0,233.0,0.0,0.7071046,65.0
298,64.66666666666667,D,46.2394,-104.9866,20040807,20040809,30017.0,20040808,244.0,133.0,189.0,0.0,6.519608,65.0
300,36.333333333333336,D,46.0494,-106.1408,20040808,20040810,30017.0,20040808,244.0,133.0,189.0,0.0,6.519608,65.0
303,1.0,B,46.5031,-105.7342,20040410,20040410,30017.0,20040410,150.0,-61.0,44.0,0.0,1.084619,85.0
330,15.3,C,45.8814,-106.1172,20040505,20040506,30017.0,20040506,211.0,44.0,128.0,0.0,4.4835615,69.0
331,15.3,C,45.8814,-106.1172,20040505,20040506,30017.0,20040505,244.0,78.0,161.0,0.0,3.1197007,69.0
551,0.1,A,46.5053,-105.7417,20050816,20050816,30017.0,20050816,367.0,161.0,267.0,0.0,3.1756837000000004,97.0
553,1.6,B,45.265,-106.20694444,20050811,20050812,30017.0,20050811,367.0,161.0,267.0,0.0,2.0763943,97.0
563,1.6,B,45.265,-106.20694444,20050811,20050812,30017.0,20050812,367.0,161.0,267.0,0.0,2.020743,97.0
591,0.1,A,46.3739,-105.6569,20040716,20040716,30017.0,20040716,344.0,161.0,256.0,0.0,2.0591288,77.0
615,191.66666666666663,E,45.8978,-106.1183,20040714,20040716,30017.0,20040715,317.0,189.0,256.0,0.0,2.2121933,77.0
622,191.66666666666663,E,45.8978,-106.1183,20040714,20040716,30017.0,20040716,344.0,161.0,256.0,0.0,2.0591288,77.0
648,191.66666666666663,E,45.8978,-106.1183,20040714,20040716,30017.0,20040714,372.0,206.0,289.0,0.0,2.1213202,77.0
