,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.1,A,46.17111111,-113.165,20130727,20130727,30023.0,20130727,222.0,91.0,150.0,0.0,2.3864777000000004,69.833
2,0.5,B,46.21555556,-113.27333333,20120821,20120821,30023.0,20120821,262.0,73.0,143.0,0.0,0.7738843000000001,64.889
3,0.25,A,46.11555556,-113.2175,20130814,20130814,30023.0,20130814,219.0,64.0,132.0,0.0,0.65253776,69.833
4,0.25,A,46.25833333,-112.6075,20120909,20120909,30023.0,20120909,246.0,29.0,138.0,0.0,3.1380413,64.889
5,0.01,A,46.17194444,-113.16972222,20120625,20120625,30023.0,20120625,247.0,78.0,163.0,0.0,0.6744737,77.4
7,0.1,A,46.09694444,-113.11916667,20120812,20120812,30023.0,20120812,273.0,58.0,166.0,0.0,1.7189738,61.571
10,0.01,A,46.245,-113.15,20120812,20120812,30023.0,20120812,273.0,58.0,166.0,0.0,1.7189738,61.571
15,0.05,A,46.12722222,-113.18055556,20120821,20120822,30023.0,20120822,238.0,82.0,142.0,51.0,3.1707706,64.889
16,0.05,A,46.215,-113.26805556,20120821,20120822,30023.0,20120821,262.0,73.0,143.0,0.0,0.7738843000000001,64.889
21,0.05,A,46.12722222,-113.18055556,20120821,20120822,30023.0,20120821,262.0,73.0,143.0,0.0,0.7738843000000001,64.889
27,0.05,A,46.215,-113.26805556,20120821,20120822,30023.0,20120822,238.0,82.0,142.0,51.0,3.1707706,64.889
46,0.06,A,46.1575,-113.14138889,20090922,20090922,30023.0,20090922,222.0,6.0,114.0,0.0,1.0016997,66.833
