,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,206.56,F,47.11059,-108.77745,20140819,20140823,30027.0,20140823,95.0,33.0,69.0,1143.0,5.227707,66.6
1,3.8,B,47.5247,-109.0278,20150721,20150722,30027.0,20150722,238.0,76.0,145.0,0.0,3.0751016,62.286
2,206.56,F,47.11059,-108.77745,20140819,20140823,30027.0,20140822,120.0,63.0,92.0,127.0,3.4715111000000003,66.6
4,1.3,B,47.0922,-109.1294,20130818,20130818,30027.0,20130818,262.0,102.0,168.0,0.0,2.0461872,149.125
5,0.15,B,47.57306,-108.91879,20130829,20130830,30027.0,20130829,268.0,87.0,175.0,25.0,1.1686816,149.125
6,0.05,A,46.78553,-108.90445,20140806,20140807,30027.0,20140807,258.0,100.0,166.0,0.0,0.7080301999999999,66.6
7,8.0,B,47.5122,-108.7675,20130915,20130915,30027.0,20130915,162.0,47.0,120.0,25.0,4.434345,149.125
8,0.05,A,47.19976,-109.53849,20140802,20140803,30027.0,20140803,251.0,97.0,165.0,51.0,1.8517199,66.6
10,206.56,F,47.11059,-108.77745,20140819,20140823,30027.0,20140820,210.0,89.0,129.0,0.0,2.3075507,66.6
11,0.05,A,47.19976,-109.53849,20140802,20140803,30027.0,20140802,262.0,132.0,189.0,0.0,2.5404315,66.6
12,0.05,A,46.78553,-108.90445,20140806,20140807,30027.0,20140806,245.0,80.0,156.0,0.0,0.6628723000000001,66.6
13,7.666666666666667,C,47.5608,-108.5253,20130829,20130831,30027.0,20130829,268.0,87.0,175.0,25.0,1.1686816,149.125
16,206.56,F,47.11059,-108.77745,20140819,20140823,30027.0,20140819,259.0,79.0,162.0,0.0,1.1011385,66.6
17,100.0,D,47.4564,-108.6806,20120730,20120730,30027.0,20120730,298.0,124.0,209.0,0.0,3.3587692,76.643
18,206.56,F,47.11059,-108.77745,20140819,20140823,30027.0,20140821,117.0,59.0,92.0,152.0,2.4753547,66.6
19,2.333333333333333,B,47.7397,-109.0756,20150831,20150902,30027.0,20150901,238.0,65.0,141.0,0.0,1.8195124,62.286
22,11.175,C,46.9814,-108.8864,20100806,20100809,30027.0,20100807,237.0,84.0,150.0,25.0,2.7540967,16.944
29,0.6,B,47.5472,-109.0117,20150812,20150813,30027.0,20150812,265.0,143.0,197.0,0.0,0.4031129000000001,62.286
30,7.666666666666667,C,47.5608,-108.5253,20130829,20130831,30027.0,20130831,210.0,56.0,120.0,0.0,3.0552967,149.125
31,0.1,A,47.1167,-109.35,20140602,20140602,30027.0,20140602,184.0,22.0,108.0,0.0,1.3341701,66.0
32,0.15,B,47.57306,-108.91879,20130829,20130830,30027.0,20130830,273.0,86.0,159.0,0.0,1.258967,149.125
34,2.333333333333333,B,47.7397,-109.0756,20150831,20150902,30027.0,20150831,194.0,34.0,101.0,0.0,4.570558,62.286
35,0.6,B,47.5472,-109.0117,20150812,20150813,30027.0,20150813,293.0,110.0,193.0,0.0,1.6779823,62.286
37,14.85,C,47.573333,-108.494722,20150815,20150816,30027.0,20150816,169.0,66.0,102.0,102.0,3.549824,62.286
38,0.1,A,47.3167,-109.4831,20120811,20120811,30027.0,20120811,223.0,88.0,148.0,76.0,2.7658584,76.643
39,1.3,B,47.59489,-108.84639,20130718,20130719,30027.0,20130719,256.0,81.0,171.0,0.0,1.1842229,70.5
42,1.3,B,47.59489,-108.84639,20130718,20130719,30027.0,20130718,246.0,89.0,162.0,25.0,3.0445528,70.5
46,12.0,C,47.43259,-108.11565,20140816,20140818,30027.0,20140816,199.0,74.0,124.0,51.0,3.459043,66.6
48,3.0,B,47.1056,-109.2367,20120516,20120516,30027.0,20120516,232.0,47.0,127.0,25.0,2.6076868,80.385
49,0.2,A,47.2022,-109.2555,20100729,20100729,30027.0,20100729,262.0,100.0,171.0,0.0,1.8646225,61.9469999999999
50,1.0,B,47.1839,-109.2567,20150830,20150830,30027.0,20150830,224.0,42.0,121.0,406.0,2.5465662,62.286
51,2.333333333333333,B,47.7397,-109.0756,20150831,20150902,30027.0,20150902,254.0,58.0,153.0,0.0,2.3109791,62.286
53,11.175,C,46.9814,-108.8864,20100806,20100809,30027.0,20100809,252.0,80.0,141.0,25.0,1.162973,16.944
54,0.5,B,46.9575,-109.4386,20120721,20120721,30027.0,20120721,290.0,104.0,181.0,0.0,0.19999695,62.071
56,11.175,C,46.9814,-108.8864,20100806,20100809,30027.0,20100808,251.0,81.0,153.0,0.0,2.529832,16.944
57,7.666666666666667,C,47.5608,-108.5253,20130829,20130831,30027.0,20130830,273.0,86.0,159.0,0.0,1.258967,149.125
58,12.0,C,47.43259,-108.11565,20140816,20140818,30027.0,20140818,247.0,76.0,145.0,0.0,0.99317044,66.6
59,12.0,C,47.43259,-108.11565,20140816,20140818,30027.0,20140817,199.0,69.0,133.0,0.0,3.5032587,66.6
60,14.85,C,47.573333,-108.494722,20150815,20150816,30027.0,20150815,221.0,71.0,156.0,25.0,4.7671404000000015,62.286
61,3.8,B,47.5247,-109.0278,20150721,20150722,30027.0,20150721,257.0,91.0,150.0,25.0,0.7846178,62.286
62,11.175,C,46.9814,-108.8864,20100806,20100809,30027.0,20100806,268.0,93.0,171.0,25.0,2.030387,61.9469999999999
63,0.3,B,47.5003,-109.063,20120702,20120703,30027.0,20120702,246.0,73.0,164.0,0.0,2.6227417,109.833
64,0.4333333333333333,B,47.1897,-109.2214,20070812,20070814,30027.0,20070812,305.0,120.0,205.0,0.0,2.663999,124.0
69,0.05,A,46.75833333,-109.56194444,20080817,20080818,30027.0,20080818,294.0,106.0,200.0,0.0,2.1551971,117.0
72,0.05,A,47.6736,-108.9781,20090728,20090731,30027.0,20090731,150.0,50.0,97.0,102.0,3.2200778,105.75
73,0.06,B,46.78527778,-109.46777778,20080731,20080804,30027.0,20080802,269.0,75.0,172.0,25.0,2.2597795,128.333
77,0.1,A,47.1942,-109.2183,20090909,20090909,30027.0,20090909,219.0,28.0,113.0,0.0,2.9258883,94.286
78,89.0,E,47.5358,-109.6097,20120810,20120813,30027.0,20120811,223.0,88.0,148.0,76.0,2.7658584,76.643
79,245.0,F,47.2083,-109.4789,20071112,20071117,30027.0,20071114,49.0,-54.0,-21.0,0.0,6.004032,106.333
81,245.0,F,47.2083,-109.4789,20071112,20071117,30027.0,20071116,93.0,20.0,64.0,25.0,7.6952567,106.333
83,39.333333333333336,D,47.5239,-108.845,20070719,20070721,30027.0,20070720,301.0,117.0,213.0,0.0,1.0643731,118.0
84,0.05,A,46.75833333,-109.56194444,20080817,20080818,30027.0,20080817,273.0,97.0,185.0,0.0,1.5299925,117.0
86,245.0,F,47.2083,-109.4789,20071112,20071117,30027.0,20071115,86.0,27.0,66.0,0.0,7.66975,106.333
88,9.8,C,47.4919,-109.5644,20070714,20070716,30027.0,20070716,318.0,128.0,211.0,0.0,1.3354003,118.0
92,0.05,A,46.8561,-109.4981,20070727,20070728,30027.0,20070728,294.0,123.0,207.0,0.0,1.2949528,136.333
94,0.05,A,46.8561,-109.4981,20070727,20070728,30027.0,20070727,259.0,136.0,194.0,0.0,1.8974794,136.333
96,3.1,B,47.4858,-109.3017,20080722,20080722,30027.0,20080722,282.0,88.0,177.0,0.0,0.64031816,119.0
97,39.333333333333336,D,47.5239,-108.845,20070719,20070721,30027.0,20070719,319.0,190.0,246.0,0.0,6.5669520000000015,118.0
98,0.1,A,47.5833,-108.4525,20090826,20090826,30027.0,20090826,264.0,91.0,157.0,0.0,1.162459,181.0
101,0.05,A,47.6736,-108.9781,20090728,20090731,30027.0,20090728,189.0,64.0,107.0,51.0,0.93775535,105.75
103,245.0,F,47.2083,-109.4789,20071112,20071117,30027.0,20071113,91.0,-29.0,4.0,0.0,10.800785,106.333
107,0.2,B,46.815,-109.35638889,20080722,20080725,30027.0,20080723,226.0,82.0,141.0,0.0,4.011642,119.0
109,1.7666666666666666,B,47.6925,-109.5944,20090713,20090715,30027.0,20090713,228.0,78.0,138.0,25.0,1.8101916,87.25
116,0.4,B,46.7864,-109.0469,20070820,20070821,30027.0,20070820,182.0,76.0,117.0,0.0,7.542267,124.0
119,1.7666666666666666,B,47.6925,-109.5944,20090713,20090715,30027.0,20090714,142.0,58.0,88.0,152.0,7.336983,87.25
121,0.4333333333333333,B,47.1897,-109.2214,20070812,20070814,30027.0,20070814,258.0,69.0,167.0,0.0,2.1889179,124.0
124,89.5,E,47.5358,-109.6097,20120810,20120813,30027.0,20120812,232.0,78.0,158.0,0.0,3.4514441,65.5
