,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.0561728395061728,B,45.45388889,-110.92388889,20140711,20140929,30031.0,20140825,143.0,2.0,63.0,0.0,1.6422286,16.0
3,0.1,A,44.7155556,-111.111944,20100729,20100729,30031.0,20100729,241.0,80.0,162.0,0.0,2.4253902000000003,133.0
7,0.0061728395061728,B,45.45388889,-110.92388889,20140711,20140929,30031.0,20140815,242.0,74.0,143.0,0.0,0.65069073,16.0
8,0.05,A,44.66777778,-111.10166667,20140707,20140708,30031.0,20140707,214.0,83.0,153.0,0.0,1.8388323,16.0
10,0.025,A,45.20555556,-111.24055556,20140822,20140825,30031.0,20140825,143.0,2.0,63.0,0.0,1.6422286,16.0
11,0.1,A,44.73888889,-111.16694444,20120805,20120805,30031.0,20120805,268.0,118.0,204.0,0.0,1.0066229,36.667
17,0.0061728395061728,B,45.45388889,-110.92388889,20140711,20140929,30031.0,20140803,253.0,80.0,160.0,0.0,0.48103514,16.0
19,0.0061728395061728,B,45.45388889,-110.92388889,20140711,20140929,30031.0,20140724,226.0,99.0,167.0,0.0,3.4277232000000004,16.0
20,0.05,A,44.66777778,-111.10166667,20140707,20140708,30031.0,20140708,267.0,76.0,173.0,0.0,1.9263481,16.0
21,0.1,A,45.56333333,-111.07166667,20120826,20120826,30031.0,20120826,209.0,69.0,119.0,25.0,2.153907,11.5
22,0.1,A,45.44027778,-111.19027778,20130628,20130628,30031.0,20130628,259.0,78.0,162.0,0.0,0.93407124,17.667
23,0.1186440677966101,B,45.38305556,-111.25611111,20140802,20140929,30031.0,20140825,143.0,2.0,63.0,0.0,1.6422286,16.0
24,0.1,A,45.37361111,-111.15333333,20120802,20120802,30031.0,20120802,263.0,70.0,167.0,0.0,2.4804997,36.667
25,0.05,A,45.31861111,-111.18611111,20140802,20140803,30031.0,20140803,253.0,80.0,160.0,0.0,0.48103514,16.0
26,0.1,A,45.47277778,-110.95916667,20120722,20120722,30031.0,20120722,287.0,104.0,180.0,0.0,1.0000061,36.667
28,0.1,A,45.24972222,-111.30888889,20120806,20120806,30031.0,20120806,224.0,61.0,118.0,25.0,1.9325988,36.667
29,0.0061728395061728,B,45.45388889,-110.92388889,20140711,20140929,30031.0,20140731,218.0,78.0,145.0,0.0,0.6053161,16.0
31,0.1186440677966101,B,45.38305556,-111.25611111,20140802,20140929,30031.0,20140827,240.0,-7.0,124.0,0.0,0.890447,16.0
32,0.1,A,44.7388889,-111.165833,20100802,20100802,30031.0,20100802,213.0,59.0,122.0,0.0,2.5488048,133.0
33,0.1186440677966101,B,45.38305556,-111.25611111,20140802,20140929,30031.0,20140815,242.0,74.0,143.0,0.0,0.65069073,16.0
34,0.1,A,45.5258333,-111.022222,20100803,20100803,30031.0,20100803,267.0,52.0,139.0,51.0,1.7923380000000002,133.0
35,0.0061728395061728,B,45.45388889,-110.92388889,20140711,20140929,30031.0,20140827,240.0,-7.0,124.0,0.0,0.890447,16.0
36,0.1186440677966101,B,45.38305556,-111.25611111,20140802,20140929,30031.0,20140826,195.0,45.0,112.0,0.0,0.8002530999999999,16.0
38,0.1186440677966101,B,45.38305556,-111.25611111,20140802,20140929,30031.0,20140804,190.0,98.0,135.0,0.0,0.9799957,16.0
39,0.0061728395061728,B,45.45388889,-110.92388889,20140711,20140929,30031.0,20140711,228.0,81.0,142.0,76.0,1.7007321,16.0
41,0.1186440677966101,B,45.38305556,-111.25611111,20140802,20140929,30031.0,20140823,87.0,31.0,62.0,25.0,2.2366085,16.0
42,0.1186440677966101,B,45.38305556,-111.25611111,20140802,20140929,30031.0,20140806,234.0,82.0,150.0,0.0,0.45309803,16.0
43,0.1186440677966101,B,45.38305556,-111.25611111,20140802,20140929,30031.0,20140803,253.0,80.0,160.0,0.0,0.48103514,16.0
44,0.0061728395061728,B,45.45388889,-110.92388889,20140711,20140929,30031.0,20140823,87.0,31.0,62.0,25.0,2.2366085,16.0
45,0.0061728395061728,B,45.45388889,-110.92388889,20140711,20140929,30031.0,20140810,234.0,92.0,166.0,0.0,0.64413524,16.0
48,0.1999999999999999,B,45.52138889,-110.97222222,20140729,20140731,30031.0,20140730,232.0,80.0,138.0,0.0,1.3738298,16.0
52,0.0061728395061728,B,45.45388889,-110.92388889,20140711,20140929,30031.0,20140729,241.0,73.0,150.0,51.0,1.1374587,16.0
53,0.1186440677966101,B,45.38305556,-111.25611111,20140802,20140929,30031.0,20140810,234.0,92.0,166.0,0.0,0.64413524,16.0
59,0.0061728395061728,B,45.45388889,-110.92388889,20140711,20140929,30031.0,20140807,174.0,68.0,104.0,51.0,1.1359615,16.0
61,0.1248169073027829,B,45.38305556,-111.25611111,20140802,20140929,30031.0,20140822,123.0,75.0,93.0,229.0,2.124237,16.0
62,0.0061728395061728,B,45.45388889,-110.92388889,20140711,20140929,30031.0,20140730,232.0,80.0,138.0,0.0,1.3738298,16.0
64,0.025,A,45.20555556,-111.24055556,20140822,20140825,30031.0,20140822,123.0,75.0,93.0,229.0,2.124237,16.0
65,0.1186440677966101,B,45.38305556,-111.25611111,20140802,20140929,30031.0,20140818,222.0,62.0,124.0,25.0,0.22203295,16.0
66,0.1186440677966101,B,45.38305556,-111.25611111,20140802,20140929,30031.0,20140802,204.0,80.0,122.0,0.0,0.8080271,16.0
68,0.025,A,45.20555556,-111.24055556,20140822,20140825,30031.0,20140823,87.0,31.0,62.0,25.0,2.2366085,16.0
69,0.0061728395061728,B,45.45388889,-110.92388889,20140711,20140929,30031.0,20140806,234.0,82.0,150.0,0.0,0.45309803,16.0
70,0.0061728395061728,B,45.45388889,-110.92388889,20140711,20140929,30031.0,20140717,200.0,81.0,136.0,25.0,1.7392623,16.0
77,0.1186440677966101,B,45.38305556,-111.25611111,20140802,20140929,30031.0,20140816,180.0,64.0,113.0,0.0,1.9525589,16.0
81,0.1,A,45.39138889,-111.135,20140715,20140715,30031.0,20140715,183.0,66.0,116.0,51.0,0.7158899999999999,16.0
83,0.0061728395061728,B,45.45388889,-110.92388889,20140711,20140929,30031.0,20140816,180.0,64.0,113.0,0.0,1.9525589,16.0
84,0.0561728395061728,B,45.45388889,-110.92388889,20140711,20140929,30031.0,20140728,250.0,119.0,181.0,0.0,1.084619,16.0
85,0.1,A,44.72666667,-111.22416667,20120915,20120915,30031.0,20120915,216.0,13.0,110.0,25.0,3.0645366000000003,11.5
88,0.1186440677966101,B,45.38305556,-111.25611111,20140802,20140929,30031.0,20140811,239.0,81.0,137.0,0.0,0.36999512,16.0
90,0.05,A,45.25944444,-111.09722222,20140816,20140817,30031.0,20140816,180.0,64.0,113.0,0.0,1.9525589,16.0
91,0.0061728395061728,B,45.45388889,-110.92388889,20140711,20140929,30031.0,20140716,208.0,77.0,147.0,0.0,1.8580877,16.0
92,0.1999999999999999,B,45.52138889,-110.97222222,20140729,20140731,30031.0,20140729,241.0,73.0,150.0,51.0,1.1374587,16.0
93,0.05,A,45.31861111,-111.18611111,20140802,20140803,30031.0,20140802,204.0,80.0,122.0,0.0,0.8080271,16.0
96,0.05,A,45.3675,-111.08277778,20140813,20140814,30031.0,20140814,246.0,87.0,164.0,51.0,0.7826238,16.0
100,0.1248169073027829,B,45.45388889,-110.92388889,20140711,20140929,30031.0,20140817,191.0,110.0,143.0,0.0,2.277592,16.0
102,0.05,A,45.25944444,-111.09722222,20140816,20140817,30031.0,20140817,191.0,110.0,143.0,0.0,2.277592,16.0
106,0.1186440677966101,B,45.38305556,-111.25611111,20140802,20140929,30031.0,20140814,246.0,87.0,164.0,51.0,0.7826238,16.0
107,0.0061728395061728,B,45.45388889,-110.92388889,20140711,20140929,30031.0,20140818,222.0,62.0,124.0,25.0,0.22203295,16.0
112,0.0061728395061728,B,45.45388889,-110.92388889,20140711,20140929,30031.0,20140808,180.0,44.0,92.0,76.0,1.6507607,16.0
