,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.375,B,46.97944444,-110.47444444,20151028,20151029,30045.0,20151029,5.0,-24.0,-12.0,25.0,3.401654,12.0
1,0.3333333333333333,B,46.89,-110.57638889,20150815,20150817,30045.0,20150815,170.0,60.0,115.0,25.0,4.225296,14.0
2,0.0499999999999999,A,47.01583333,-110.55666667,20140705,20140707,30045.0,20140707,166.0,61.0,111.0,0.0,2.401327,12.0
3,0.375,B,46.97944444,-110.47444444,20151028,20151029,30045.0,20151028,38.0,-39.0,-8.0,0.0,1.801562,12.0
4,0.0499999999999999,A,47.01583333,-110.55666667,20140705,20140707,30045.0,20140705,208.0,118.0,155.0,0.0,3.2810056000000003,12.0
5,0.0499999999999999,A,47.01583333,-110.55666667,20140705,20140707,30045.0,20140706,224.0,108.0,157.0,0.0,2.7097752,12.0
6,0.3333333333333333,B,46.89,-110.57638889,20150815,20150817,30045.0,20150816,134.0,53.0,80.0,0.0,2.341207,14.0
7,0.1,A,46.82277778,-110.66361111,20120721,20120721,30045.0,20120721,233.0,106.0,167.0,0.0,1.5611877,16.0
8,0.3333333333333333,B,46.89,-110.57638889,20150815,20150817,30045.0,20150817,98.0,33.0,61.0,0.0,2.4395182,14.0
9,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100904,193.0,61.0,114.0,25.0,2.7193594,95.0
15,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100920,83.0,15.0,43.0,0.0,3.7030954,17.0
20,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100922,41.0,13.0,25.0,0.0,3.344978,17.0
24,0.7071428571428572,B,47.3503,-110.2594,20120723,20120805,30045.0,20120801,216.0,92.0,147.0,0.0,1.526438,16.0
25,0.7071428571428572,B,47.3503,-110.2594,20120723,20120805,30045.0,20120731,238.0,97.0,170.0,0.0,2.5233567000000003,16.0
26,0.025,A,46.7425,-110.56194444,20120801,20120804,30045.0,20120801,216.0,92.0,147.0,0.0,1.526438,16.0
28,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100829,119.0,18.0,55.0,76.0,2.8840532000000003,95.0
39,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100731,221.0,84.0,142.0,0.0,0.65794474,82.0
52,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100830,42.0,-4.0,22.0,330.0,1.8179669,95.0
57,0.7071428571428572,B,47.3503,-110.2594,20120723,20120805,30045.0,20120724,193.0,76.0,126.0,0.0,3.4238026,16.0
58,0.7071428571428572,B,47.3503,-110.2594,20120723,20120805,30045.0,20120727,212.0,84.0,131.0,25.0,0.8062276999999999,16.0
65,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100901,71.0,11.0,30.0,102.0,5.6004453000000005,95.0
67,0.7071428571428572,B,47.3503,-110.2594,20120723,20120805,30045.0,20120729,229.0,108.0,160.0,0.0,2.142192,16.0
70,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100921,95.0,19.0,51.0,0.0,0.37121502,17.0
71,0.7071428571428572,B,47.3503,-110.2594,20120723,20120805,30045.0,20120725,197.0,50.0,119.0,0.0,2.3286293,16.0
72,0.7071428571428572,B,47.3503,-110.2594,20120723,20120805,30045.0,20120730,251.0,116.0,179.0,25.0,1.5587795,16.0
74,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100902,121.0,7.0,53.0,25.0,2.9193993,95.0
76,0.7071428571428572,B,47.3503,-110.2594,20120723,20120805,30045.0,20120726,208.0,79.0,131.0,0.0,0.84219056,16.0
78,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100831,72.0,9.0,31.0,25.0,3.4344482000000003,95.0
82,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100730,229.0,97.0,147.0,0.0,0.7479228,82.0
86,0.125,A,46.80361111,-110.57611111,20120722,20120723,30045.0,20120722,246.0,109.0,162.0,0.0,1.6341364,16.0
89,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100903,180.0,52.0,110.0,0.0,1.6702788,95.0
92,0.7071428571428572,B,47.3503,-110.2594,20120723,20120805,30045.0,20120728,238.0,96.0,156.0,25.0,1.341046,16.0
94,0.125,A,46.80361111,-110.57611111,20120722,20120723,30045.0,20120723,242.0,97.0,155.0,0.0,1.8120762,16.0
95,0.1875,B,47.11361111,-110.69555556,20130825,20130828,30045.0,20130825,226.0,90.0,148.0,0.0,1.688137,13.0
97,0.7071428571428572,B,47.3503,-110.2594,20120723,20120805,30045.0,20120723,242.0,97.0,155.0,0.0,1.8120762,16.0
111,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100801,179.0,79.0,122.0,0.0,2.2947302000000005,82.0
113,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100819,196.0,86.0,131.0,0.0,4.3555660000000005,82.0
115,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100810,184.0,60.0,111.0,0.0,1.4396236999999998,82.0
118,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20101005,73.0,24.0,53.0,0.0,1.8440175,17.0
119,0.125,A,46.75027778,-110.01305556,20120812,20120813,30045.0,20120812,213.0,72.0,137.0,0.0,2.5951524,13.0
121,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100818,230.0,91.0,150.0,0.0,0.80950487,82.0
123,0.1875,B,47.11361111,-110.69555556,20130825,20130828,30045.0,20130828,213.0,88.0,138.0,0.0,2.154067,13.0
126,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100811,200.0,58.0,114.0,51.0,1.0822685,82.0
128,0.0999999999999999,B,46.78027778,-110.54722222,20130906,20130908,30045.0,20130906,225.0,97.0,150.0,0.0,0.48465928,13.0
129,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20101004,179.0,71.0,120.0,0.0,1.5935513,17.0
135,0.1875,B,46.90361111,-110.57527778,20130826,20130829,30045.0,20130827,225.0,98.0,153.0,0.0,0.8287324,13.0
136,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100927,179.0,75.0,120.0,0.0,2.4060223,17.0
138,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100822,183.0,29.0,114.0,0.0,1.9866731,82.0
139,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100821,241.0,100.0,168.0,0.0,2.1915581000000004,82.0
140,0.1875,B,46.90361111,-110.57527778,20130826,20130829,30045.0,20130829,227.0,86.0,151.0,25.0,1.3823584,13.0
143,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100809,178.0,87.0,120.0,0.0,0.4272066,82.0
144,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100820,198.0,64.0,128.0,0.0,3.9319298,82.0
147,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100928,186.0,73.0,132.0,0.0,5.0504885,17.0
149,0.125,A,46.75027778,-110.01305556,20120812,20120813,30045.0,20120813,222.0,88.0,150.0,0.0,0.64559376,13.0
150,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20101003,219.0,114.0,155.0,0.0,1.5692422,17.0
154,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20101002,181.0,75.0,127.0,0.0,1.5811388000000002,17.0
156,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100815,178.0,25.0,88.0,76.0,1.1583593,82.0
158,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100930,175.0,43.0,92.0,25.0,1.0648004,17.0
159,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100813,78.0,39.0,51.0,102.0,2.7108867,82.0
161,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100814,101.0,43.0,63.0,152.0,2.1455293,82.0
163,0.1875,B,46.90361111,-110.57527778,20130826,20130829,30045.0,20130828,213.0,88.0,138.0,0.0,2.154067,13.0
164,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20101001,132.0,31.0,75.0,0.0,2.6305792,17.0
172,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100929,156.0,51.0,77.0,0.0,0.8154169,17.0
173,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100817,204.0,87.0,138.0,0.0,0.8720093000000001,82.0
179,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100812,157.0,49.0,99.0,25.0,3.3536932,82.0
180,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100816,186.0,42.0,115.0,0.0,1.9516374,82.0
188,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100823,111.0,25.0,52.0,127.0,3.8948734,82.0
192,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100828,127.0,41.0,64.0,0.0,1.7499968999999995,95.0
194,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100802,184.0,72.0,120.0,25.0,2.9215472,82.0
195,0.7071428571428572,B,47.3503,-110.2594,20120723,20120805,30045.0,20120804,194.0,31.0,110.0,51.0,0.6378809,13.0
196,0.1875,B,47.11361111,-110.69555556,20130825,20130828,30045.0,20130826,215.0,98.0,147.0,0.0,1.2897336,13.0
200,0.7071428571428572,B,47.3503,-110.2594,20120723,20120805,30045.0,20120805,242.0,93.0,169.0,25.0,1.024608,13.0
203,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100803,172.0,71.0,104.0,0.0,3.134525,82.0
204,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100923,98.0,14.0,48.0,25.0,1.1423676,17.0
205,0.1875,B,46.90361111,-110.57527778,20130826,20130829,30045.0,20130826,215.0,98.0,147.0,0.0,1.2897336,13.0
210,0.025,A,46.7425,-110.56194444,20120801,20120804,30045.0,20120802,185.0,63.0,128.0,0.0,2.4614809,13.0
212,0.7071428571428572,B,47.3503,-110.2594,20120723,20120805,30045.0,20120802,185.0,63.0,128.0,0.0,2.4614809,13.0
218,0.025,A,46.7425,-110.56194444,20120801,20120804,30045.0,20120803,114.0,18.0,59.0,25.0,3.209188,13.0
219,0.0999999999999999,B,46.78027778,-110.54722222,20130906,20130908,30045.0,20130908,170.0,41.0,95.0,51.0,1.0396643,13.0
221,0.7071428571428572,B,47.3503,-110.2594,20120723,20120805,30045.0,20120803,114.0,18.0,59.0,25.0,3.209188,13.0
225,0.025,A,46.7425,-110.56194444,20120801,20120804,30045.0,20120804,194.0,31.0,110.0,51.0,0.6378809,13.0
228,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100827,157.0,50.0,108.0,0.0,3.6698008,95.0
238,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100807,191.0,82.0,131.0,0.0,2.4476175,82.0
240,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100926,199.0,90.0,133.0,25.0,4.0582438,17.0
241,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100824,171.0,19.0,92.0,25.0,0.8633158999999999,82.0
244,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100808,201.0,80.0,126.0,0.0,2.39286,82.0
245,0.1875,B,47.11361111,-110.69555556,20130825,20130828,30045.0,20130827,225.0,98.0,153.0,0.0,0.8287324,13.0
248,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100925,185.0,40.0,112.0,25.0,2.2730577000000003,17.0
249,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100825,227.0,80.0,153.0,0.0,1.3506986,95.0
250,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100804,115.0,65.0,86.0,25.0,3.671511,82.0
256,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100826,250.0,128.0,181.0,0.0,3.3738067000000003,95.0
258,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100805,198.0,62.0,127.0,51.0,3.834229,82.0
261,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100806,218.0,85.0,138.0,0.0,1.1494813999999998,82.0
266,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100924,96.0,29.0,55.0,0.0,4.51359,17.0
272,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100906,58.0,-12.0,12.0,25.0,3.6676052,95.0
278,0.0999999999999999,B,46.78027778,-110.54722222,20130906,20130908,30045.0,20130907,194.0,57.0,123.0,127.0,1.8620683,13.0
282,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100919,181.0,62.0,110.0,0.0,1.57003,17.0
284,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100909,109.0,18.0,49.0,0.0,2.2418249,95.0
309,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100913,162.0,61.0,100.0,25.0,1.4300079,95.0
313,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100916,90.0,52.0,68.0,51.0,3.9560127,95.0
315,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100908,136.0,43.0,83.0,51.0,1.4361014,95.0
321,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100914,147.0,37.0,76.0,0.0,2.4159694,95.0
327,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100907,117.0,17.0,62.0,25.0,1.6347758999999995,95.0
342,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100918,119.0,5.0,68.0,25.0,1.7911992,95.0
353,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100912,151.0,36.0,89.0,0.0,2.5094423,95.0
370,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100915,129.0,27.0,72.0,25.0,0.41232094,95.0
381,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100917,55.0,-13.0,11.0,102.0,2.7193506000000003,95.0
391,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100910,50.0,7.0,25.0,102.0,4.901029599999998,95.0
394,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100911,122.0,4.0,56.0,25.0,4.8486443,95.0
398,0.0014705882352941,A,46.8266667,-110.671111,20100730,20101005,30045.0,20100905,73.0,-13.0,29.0,25.0,3.7914767,95.0
