,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
1,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20141006,131.0,61.0,102.0,0.0,3.5626568999999995,12.0
3,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20150930,187.0,70.0,118.0,0.0,0.87070376,73.0
4,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20140901,107.0,39.0,66.0,25.0,3.0678039,12.0
5,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20151005,121.0,22.0,63.0,0.0,1.1535271,73.0
6,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20150919,119.0,33.0,73.0,0.0,2.832402,73.0
7,0.05,A,47.65694444,-113.94805556,20150922,20150923,30047.0,20150923,162.0,56.0,100.0,0.0,0.7158909999999999,73.0
9,0.1,B,47.84194444,-113.86777778,20140805,20140809,30047.0,20140806,278.0,130.0,188.0,0.0,1.8911407,93.0
10,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20140903,81.0,21.0,40.0,76.0,4.737876,12.0
11,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20141007,197.0,106.0,137.0,0.0,1.9780136,12.0
12,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20140927,72.0,43.0,59.0,0.0,3.4430803999999995,12.0
13,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20141014,130.0,58.0,93.0,0.0,3.192007,12.0
15,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20150909,147.0,58.0,100.0,0.0,1.7148252,78.0
16,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20140904,129.0,25.0,74.0,0.0,0.79176515,12.0
17,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20150831,172.0,57.0,112.0,0.0,2.5240097,78.0
18,0.025,A,47.66388889,-113.91722222,20150826,20150829,30047.0,20150827,270.0,141.0,195.0,0.0,1.9132761000000005,78.0
19,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20140830,191.0,97.0,128.0,0.0,3.26455,12.0
20,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20140907,227.0,79.0,135.0,0.0,1.9906018,12.0
21,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20150912,212.0,106.0,156.0,0.0,1.6688318,73.0
22,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20150923,162.0,56.0,100.0,0.0,0.7158909999999999,73.0
24,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20150904,120.0,34.0,80.0,0.0,2.0313172,78.0
25,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20140923,175.0,92.0,127.0,0.0,1.8881037,12.0
26,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20151004,94.0,21.0,55.0,0.0,3.0872722,73.0
27,2.583333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20150822,158.0,24.0,84.0,0.0,1.8208857,41.0
29,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20141011,78.0,15.0,47.0,127.0,3.777088200000001,12.0
30,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20150903,90.0,47.0,70.0,127.0,2.2388613,78.0
31,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20140930,82.0,45.0,64.0,152.0,4.770675,12.0
32,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20150908,134.0,39.0,89.0,0.0,1.9411659,78.0
34,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20150915,114.0,33.0,62.0,152.0,2.4520397000000003,73.0
35,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20150927,131.0,33.0,70.0,25.0,1.9290541,73.0
36,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20140905,165.0,43.0,90.0,0.0,1.0830045,12.0
37,0.38,B,47.65833333,-113.76194444,20150815,20150816,30047.0,20150816,204.0,83.0,135.0,0.0,1.527457,41.0
38,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20150905,96.0,20.0,58.0,305.0,0.9646891,78.0
39,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20140917,214.0,110.0,155.0,0.0,0.8260812,12.0
40,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20150926,188.0,73.0,126.0,0.0,2.1623194,73.0
41,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20141013,116.0,32.0,77.0,0.0,2.8095950000000003,12.0
42,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20140906,207.0,59.0,113.0,0.0,0.3231109,12.0
43,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20141003,83.0,-17.0,31.0,0.0,1.5769627,12.0
44,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20141010,154.0,62.0,93.0,0.0,0.8005661000000001,12.0
45,0.1,A,47.90861111,-113.83388889,20140716,20140716,30047.0,20140716,222.0,138.0,175.0,0.0,1.7088032,112.5
46,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20150917,121.0,13.0,70.0,0.0,1.9080422,73.0
47,0.1,A,47.75972222,-113.71638889,20140810,20140811,30047.0,20140811,279.0,129.0,196.0,0.0,0.61845547,29.4
48,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20140902,152.0,37.0,94.0,0.0,3.5195854,12.0
50,0.01,A,47.96194444,-114.03666667,20120921,20120921,30047.0,20120921,215.0,100.0,147.0,0.0,0.31321105,73.0
51,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20150922,171.0,63.0,109.0,0.0,0.1457737999999999,73.0
52,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20151003,111.0,61.0,82.0,51.0,3.0269623,73.0
53,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20141018,73.0,33.0,61.0,25.0,1.1521381000000002,12.0
56,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20140916,212.0,100.0,146.0,25.0,0.9588511,12.0
57,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20150911,218.0,84.0,135.0,0.0,1.261943,78.0
58,0.1,B,47.84194444,-113.86777778,20140805,20140809,30047.0,20140805,263.0,125.0,183.0,0.0,0.7815999,93.0
59,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20140911,79.0,0.0,29.0,0.0,3.8056884,12.0
62,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20140912,115.0,-21.0,43.0,0.0,1.9830557,12.0
63,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20140922,223.0,109.0,154.0,0.0,1.9258481,12.0
64,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20150830,144.0,45.0,78.0,0.0,2.8196855,78.0
65,0.05,A,47.95111111,-113.84972222,20150615,20150616,30047.0,20150616,176.0,57.0,122.0,0.0,1.2769591999999998,123.0
66,0.025,A,47.66388889,-113.91722222,20150826,20150829,30047.0,20150829,254.0,111.0,175.0,25.0,1.2554879,78.0
67,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20150920,207.0,93.0,138.0,0.0,3.4457402000000004,73.0
68,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20141004,159.0,69.0,113.0,0.0,2.8675506,12.0
69,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20140926,93.0,39.0,64.0,0.0,2.7140021,12.0
70,0.05,A,47.65694444,-113.94805556,20150922,20150923,30047.0,20150922,171.0,63.0,109.0,0.0,0.1457737999999999,73.0
71,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20150913,223.0,87.0,149.0,0.0,4.536587,73.0
72,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20150827,270.0,141.0,195.0,0.0,1.9132761000000005,78.0
73,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20150829,254.0,111.0,175.0,25.0,1.2554879,78.0
74,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20150902,140.0,51.0,90.0,0.0,1.980688,78.0
76,121.0,D,47.66111111,-113.91916667,20150924,20150924,30047.0,20150924,198.0,55.0,132.0,0.0,0.93038964,73.0
77,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20150824,221.0,115.0,164.0,0.0,0.8514693999999999,78.0
78,0.01,A,47.9083333,-113.790556,20100809,20100809,30047.0,20100809,197.0,77.0,128.0,25.0,1.1884909,60.0
79,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20150929,175.0,38.0,92.0,0.0,0.8514693000000001,73.0
80,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20150924,198.0,55.0,132.0,0.0,0.93038964,73.0
81,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20141005,126.0,57.0,89.0,0.0,2.7613401,12.0
82,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20141012,86.0,33.0,52.0,0.0,4.242636,12.0
83,0.1,B,47.84194444,-113.86777778,20140805,20140809,30047.0,20140808,215.0,94.0,146.0,0.0,2.4909804,93.0
84,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20140915,178.0,64.0,113.0,0.0,0.71610093,12.0
85,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20150910,156.0,54.0,104.0,0.0,1.1781871000000002,78.0
86,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20140920,189.0,80.0,123.0,0.0,0.88255584,12.0
87,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20140924,215.0,103.0,157.0,0.0,1.2608715,12.0
88,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20140918,208.0,121.0,150.0,0.0,1.8923271,12.0
89,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20140831,115.0,76.0,90.0,102.0,3.9954233,12.0
91,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20141001,89.0,40.0,51.0,0.0,3.5701334000000005,12.0
92,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20150828,227.0,101.0,154.0,0.0,1.2198873,78.0
93,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20140913,109.0,1.0,49.0,25.0,2.0261483,12.0
94,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20140910,44.0,-29.0,9.0,0.0,1.6620673,12.0
95,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20141015,130.0,44.0,73.0,25.0,1.9746662,12.0
96,0.1,A,47.75972222,-113.71638889,20140810,20140811,30047.0,20140810,260.0,112.0,175.0,0.0,0.5053665,29.4
98,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20141009,146.0,52.0,85.0,0.0,1.613184,12.0
99,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20150901,219.0,78.0,138.0,0.0,1.5051994,78.0
100,0.1,A,47.86388889,-113.83944444,20150705,20150705,30047.0,20150705,189.0,116.0,146.0,0.0,2.497624,49.412
102,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20150916,38.0,-8.0,15.0,0.0,1.2752452,73.0
103,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20150907,81.0,21.0,35.0,25.0,2.0274677,78.0
104,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20140928,140.0,63.0,101.0,0.0,5.187001,12.0
105,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20140909,108.0,24.0,61.0,25.0,1.2439114,12.0
106,0.05,A,47.94194444,-113.80222222,20150822,20150823,30047.0,20150823,190.0,63.0,132.0,25.0,1.3612953,78.0
107,0.1,B,47.84194444,-113.86777778,20140805,20140809,30047.0,20140809,197.0,72.0,138.0,25.0,1.0475152,29.4
108,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20150914,146.0,46.0,84.0,102.0,2.9526472000000004,73.0
110,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20150921,184.0,72.0,122.0,0.0,3.0565503,73.0
111,0.38,B,47.65833333,-113.76194444,20150815,20150816,30047.0,20150815,148.0,74.0,100.0,0.0,4.7532225,81.5
112,0.1,A,47.99972222,-114.01055556,20150628,20150628,30047.0,20150628,329.0,169.0,250.0,0.0,1.6405029999999998,52.25
113,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20140908,222.0,81.0,136.0,0.0,3.5848187999999994,12.0
114,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20151001,159.0,79.0,119.0,0.0,1.1876973,73.0
115,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20140914,145.0,29.0,81.0,25.0,0.76537037,12.0
116,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20150823,190.0,63.0,132.0,25.0,1.3612953,78.0
117,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20150928,128.0,25.0,67.0,0.0,1.3372079,73.0
118,0.025,A,47.66388889,-113.91722222,20150826,20150829,30047.0,20150826,256.0,132.0,188.0,0.0,1.0612493,78.0
119,0.1,B,47.84194444,-113.86777778,20140805,20140809,30047.0,20140807,214.0,95.0,155.0,0.0,2.5793264,93.0
120,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20150918,122.0,56.0,81.0,0.0,2.753407,73.0
121,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20141017,104.0,-3.0,50.0,0.0,1.8768393,12.0
122,0.1,A,47.94472222,-114.02916667,20120720,20120720,30047.0,20120720,250.0,92.0,173.0,0.0,0.5738559,90.5
123,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20150906,41.0,11.0,22.0,51.0,4.028725,78.0
126,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20150826,256.0,132.0,188.0,0.0,1.0612493,78.0
127,0.05,A,47.95111111,-113.84972222,20150615,20150616,30047.0,20150615,149.0,45.0,96.0,0.0,3.6006947,123.0
128,0.025,A,47.66388889,-113.91722222,20150826,20150829,30047.0,20150828,227.0,101.0,154.0,0.0,1.2198873,78.0
129,3.195588235294118,D,47.77611111,-113.68777778,20140830,20141105,30047.0,20140929,97.0,48.0,63.0,25.0,1.0983642,12.0
131,2.533333333333333,D,47.7225,-113.72444444,20150822,20151005,30047.0,20151002,148.0,62.0,100.0,0.0,1.8008678,73.0
