,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.0625,A,45.24333333,-111.51861111,20140818,20140821,30057.0,20140818,210.0,69.0,134.0,0.0,0.36249682,11.0
1,0.01,A,45.41861111,-111.85583333,20120417,20120417,30057.0,20120417,90.0,1.0,43.0,0.0,2.6974308,16.0
2,19.666666666666668,D,45.5239,-112.1394,20130808,20130813,30057.0,20130811,245.0,100.0,159.0,0.0,1.4508588,16.0
3,0.1,A,45.27305556,-112.25777778,20120727,20120727,30057.0,20120727,248.0,80.0,145.0,0.0,1.7745143,12.0
7,0.02,A,45.1289,-112.0497,20130702,20130706,30057.0,20130702,276.0,119.0,195.0,0.0,0.48825654,16.0
11,19.666666666666668,D,45.5239,-112.1394,20130808,20130813,30057.0,20130810,276.0,86.0,175.0,0.0,1.8760022,16.0
17,0.02,A,45.1289,-112.0497,20130702,20130706,30057.0,20130706,191.0,64.0,107.0,25.0,1.1962016000000002,16.0
23,0.01,A,45.3575,-111.572778,20100801,20100801,30057.0,20100801,234.0,86.0,155.0,0.0,1.9500028000000005,11.0
26,0.125,B,45.5333,-112.6183,20140720,20140723,30057.0,20140721,232.0,122.0,155.0,51.0,2.7891648,9.0
31,0.0625,A,45.24333333,-111.51861111,20140818,20140821,30057.0,20140821,152.0,64.0,88.0,76.0,1.1715444,11.0
32,0.1,A,45.5166667,-111.991111,20100805,20100805,30057.0,20100805,224.0,65.0,114.0,102.0,2.1163416,11.0
34,0.01,A,44.89,-111.58722222,20120804,20120804,30057.0,20120804,205.0,13.0,104.0,0.0,0.92702794,12.0
36,0.125,B,45.5333,-112.6183,20140720,20140723,30057.0,20140723,238.0,87.0,160.0,0.0,1.5008332,9.0
43,0.125,B,45.5333,-112.6183,20140720,20140723,30057.0,20140720,251.0,106.0,181.0,0.0,3.045863,9.0
47,19.666666666666668,D,45.5239,-112.1394,20130808,20130813,30057.0,20130812,286.0,84.0,161.0,0.0,0.9740643,16.0
49,19.666666666666668,D,45.5239,-112.1394,20130808,20130813,30057.0,20130813,245.0,80.0,146.0,0.0,0.5981618000000001,16.0
52,0.125,B,45.5333,-112.6183,20140720,20140723,30057.0,20140722,221.0,101.0,161.0,25.0,0.58309674,9.0
53,0.1,A,44.7777778,-111.558611,20100930,20100930,30057.0,20100930,201.0,47.0,113.0,0.0,0.7119678,17.0
54,0.1,A,45.5928,-111.5753,20110802,20110802,30057.0,20110802,199.0,77.0,112.0,51.0,2.3313692,11.0
57,0.0625,A,45.24333333,-111.51861111,20140818,20140821,30057.0,20140820,217.0,72.0,113.0,51.0,2.488475,11.0
61,19.666666666666668,D,45.5239,-112.1394,20130808,20130813,30057.0,20130808,206.0,80.0,126.0,0.0,0.7302698000000001,16.0
63,0.02,A,45.1289,-112.0497,20130702,20130706,30057.0,20130704,258.0,99.0,162.0,25.0,2.2953842,16.0
64,0.02,A,45.1289,-112.0497,20130702,20130706,30057.0,20130705,217.0,83.0,136.0,0.0,2.481712,16.0
66,19.666666666666668,D,45.5239,-112.1394,20130808,20130813,30057.0,20130809,182.0,59.0,104.0,0.0,2.4427292,16.0
69,0.02,A,45.1289,-112.0497,20130702,20130706,30057.0,20130703,250.0,129.0,186.0,0.0,2.6760616,16.0
70,0.0625,A,45.24333333,-111.51861111,20140818,20140821,30057.0,20140819,225.0,65.0,124.0,51.0,1.5976555,11.0
73,1278.4166666666667,G,45.6128,-111.555,20120625,20120706,30057.0,20120704,200.0,27.0,120.0,0.0,0.7451757,10.0
