,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
99,0.25,B,47.4333,-108.084,20040803,20040804,30069.0,20040803,250.0,167.0,211.0,23.0,2.035781,65.0
100,0.1,B,47.4069,-108.2473,20050811,20050815,30069.0,20050815,378.0,133.0,256.0,0.0,0.9013878,97.0
138,0.1,B,47.4069,-108.2473,20050811,20050815,30069.0,20050811,378.0,133.0,256.0,0.0,3.588931,97.0
149,0.1,B,47.4069,-108.2473,20050811,20050815,30069.0,20050812,378.0,133.0,256.0,0.0,4.0809,97.0
203,0.1,B,47.4069,-108.2473,20050811,20050815,30069.0,20050813,378.0,133.0,256.0,0.0,2.6960828,97.0
273,1.1333333333333333,B,47.2128,-108.2757,20050715,20050720,30069.0,20050715,350.0,161.0,256.0,0.0,1.8500061,107.5
292,0.1,B,47.4069,-108.2473,20050811,20050815,30069.0,20050814,378.0,133.0,256.0,0.0,1.2398797,97.0
296,0.25,B,47.4333,-108.084,20040803,20040804,30069.0,20040804,294.0,156.0,228.0,18.0,3.830841,65.0
301,3.0,B,47.2833,-108.1865,20040713,20040713,30069.0,20040713,317.0,89.0,206.0,0.0,4.2418528,46.5
308,0.1333333333333333,B,47.2128,-108.2757,20050715,20050720,30069.0,20050719,239.0,111.0,178.0,0.0,4.1037016,107.5
310,1.0,B,47.3194,-108.0396,20050714,20050716,30069.0,20050714,283.0,156.0,222.0,8.0,4.3027706,107.5
333,0.1333333333333333,B,47.2128,-108.2757,20050715,20050720,30069.0,20050720,239.0,111.0,178.0,0.0,2.1980412,107.5
351,1.0,B,47.3194,-108.0396,20050714,20050716,30069.0,20050716,344.0,167.0,256.0,13.0,4.651084,107.5
358,0.3,B,47.38,-108.1026,20040806,20040806,30069.0,20040806,317.0,156.0,239.0,0.0,0.89022416,65.0
363,0.1333333333333333,B,47.2128,-108.2757,20050715,20050720,30069.0,20050718,239.0,111.0,178.0,0.0,2.6633308,107.5
365,0.1333333333333333,B,47.2128,-108.2757,20050715,20050720,30069.0,20050717,239.0,111.0,178.0,0.0,5.9985404,107.5
373,0.3333333333333333,B,47.1205,-108.1437,20050716,20050718,30069.0,20050718,239.0,111.0,178.0,0.0,2.6633308,107.5
374,14.75,C,47.3333,-108.1173,20040804,20040805,30069.0,20040805,306.0,156.0,233.0,64.0,3.7726974,65.0
375,14.75,C,47.3333,-108.1173,20040804,20040805,30069.0,20040804,294.0,156.0,228.0,18.0,3.830841,65.0
376,0.3333333333333333,B,47.1205,-108.1437,20050716,20050718,30069.0,20050717,239.0,111.0,178.0,0.0,5.9985404,107.5
382,0.3333333333333333,B,47.1205,-108.1437,20050716,20050718,30069.0,20050716,344.0,167.0,256.0,13.0,4.651084,107.5
384,0.1333333333333333,B,47.2128,-108.2757,20050715,20050720,30069.0,20050716,344.0,167.0,256.0,13.0,4.651084,107.5
