,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.02,A,48.19333333,-112.9425,20150820,20150824,30073.0,20150820,213.0,141.0,169.0,0.0,4.0808244,97.0
1,60.0,C,48.14083333,-113.0925,20150812,20150812,30073.0,20150812,273.0,166.0,222.0,0.0,1.104536,79.0
2,0.02,A,48.19333333,-112.9425,20150820,20150824,30073.0,20150824,242.0,157.0,194.0,0.0,1.8663132,87.25
3,203.0,D,48.18194444,-112.96638889,20150813,20150813,30073.0,20150813,284.0,203.0,241.0,0.0,1.7016535,79.0
4,0.02,A,48.19333333,-112.9425,20150820,20150824,30073.0,20150822,156.0,15.0,86.0,0.0,2.1888924,97.0
5,0.02,A,48.19333333,-112.9425,20150820,20150824,30073.0,20150823,207.0,96.0,155.0,0.0,1.4484906000000002,87.25
6,53640.0,G,48.17166667,-113.05638889,20150812,20150812,30073.0,20150812,273.0,166.0,222.0,0.0,1.104536,79.0
7,0.02,A,48.19333333,-112.9425,20150820,20150824,30073.0,20150821,166.0,23.0,108.0,0.0,4.454492,97.0
8,0.25,B,48.26694444,-113.04861111,20040810,20040811,30073.0,20040810,212.0,50.0,126.0,0.0,2.507987,57.0
10,0.25,B,48.26694444,-113.04861111,20040810,20040811,30073.0,20040811,238.0,68.0,159.0,0.0,1.2007489,57.0
