,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,8.59375,E,47.04055556,-112.76333333,20150913,20151115,30077.0,20151014,134.0,49.0,85.0,25.0,2.2373254,73.091
1,0.0166666666666666,A,47.35416667,-113.29111111,20150814,20150828,30077.0,20150818,173.0,83.0,118.0,0.0,1.5103806,116.0
2,8.59375,E,47.04055556,-112.76333333,20150913,20151115,30077.0,20151101,64.0,-4.0,27.0,76.0,5.255057,73.091
3,8.59375,E,47.04055556,-112.76333333,20150913,20151115,30077.0,20151011,83.0,20.0,48.0,25.0,6.9832387,73.091
4,8.59375,E,47.04055556,-112.76333333,20150913,20151115,30077.0,20150913,225.0,106.0,156.0,0.0,4.976507,13.0
5,0.05,A,46.87138889,-112.82138889,20150610,20150611,30077.0,20150611,245.0,98.0,167.0,0.0,1.3050383,75.533
6,8.59375,E,47.04055556,-112.76333333,20150913,20151115,30077.0,20151023,64.0,-6.0,21.0,0.0,1.1792476,73.091
7,8.59375,E,47.04055556,-112.76333333,20150913,20151115,30077.0,20151013,139.0,71.0,103.0,0.0,3.771273,73.091
8,0.0625,A,47.41888889,-113.18472222,20150809,20150812,30077.0,20150809,243.0,98.0,159.0,0.0,1.0965856,76.818
9,0.0307692307692307,B,47.43388889,-113.08638889,20140730,20141002,30077.0,20140816,181.0,75.0,119.0,0.0,3.3800945,15.0
10,0.0166666666666666,A,47.35416667,-113.29111111,20150814,20150828,30077.0,20150823,221.0,50.0,139.0,0.0,1.1236101,73.75
11,0.0666666666666666,A,47.02861111,-112.86138889,20150809,20150811,30077.0,20150809,243.0,98.0,159.0,0.0,1.0965856,76.818
12,0.05,A,47.23777778,-113.43777778,20140801,20140802,30077.0,20140801,273.0,128.0,191.0,0.0,1.9028579,81.167
13,8.59375,E,47.04055556,-112.76333333,20150913,20151115,30077.0,20151022,92.0,12.0,47.0,25.0,2.5112247,73.091
14,8.59375,E,47.04055556,-112.76333333,20150913,20151115,30077.0,20151112,-9.0,-53.0,-35.0,0.0,3.417327,73.091
15,0.0333333333333333,A,47.3775,-113.25694444,20150827,20150829,30077.0,20150828,264.0,120.0,177.0,0.0,2.2808988,82.667
