,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,2.333333333333333,B,45.3192,-106.6356,20150728,20150730,30087.0,20150728,239.0,122.0,153.0,0.0,10.802894,101.0
1,0.1333333333333333,B,45.32547,-106.56995,20130725,20130727,30087.0,20130725,289.0,156.0,238.0,0.0,3.232854,88.5
2,69.2,D,45.9325,-106.8708,20140724,20140725,30087.0,20140724,378.0,183.0,277.0,0.0,2.3711853,99.25
3,1.3333333333333333,B,45.39353,-106.24442,20130725,20130727,30087.0,20130726,294.0,128.0,202.0,0.0,4.3072643,88.5
4,294.2,D,45.7653,-106.8,20150816,20150816,30087.0,20150816,217.0,111.0,188.0,0.0,3.305015,101.0
5,31.175,D,45.5153,-106.2436,20150711,20150714,30087.0,20150714,306.0,150.0,227.0,46.0,1.9355233,101.0
6,0.1333333333333333,B,45.88033,-106.24288,20130824,20130826,30087.0,20130826,344.0,228.0,284.0,0.0,1.1101874,88.5
7,3.6666666666666665,C,45.25058,-106.37823,20130715,20130717,30087.0,20130716,233.0,156.0,218.0,0.0,4.4376190000000015,120.25
8,1.4,B,45.35112,-106.60697,20150728,20150730,30087.0,20150728,239.0,122.0,153.0,0.0,10.802894,101.0
9,1.3333333333333333,B,45.39353,-106.24442,20130725,20130727,30087.0,20130727,322.0,144.0,216.0,3.0,5.5885,88.5
10,4681.5,G,46.5721,-106.59078,20140725,20140726,30087.0,20140726,306.0,122.0,225.0,0.0,5.074871,99.25
11,12.133333333333333,C,45.4169,-106.45,20150728,20150730,30087.0,20150728,239.0,122.0,153.0,0.0,10.802894,101.0
14,1.3333333333333333,B,45.39353,-106.24442,20130725,20130727,30087.0,20130725,289.0,156.0,238.0,0.0,3.232854,88.5
15,5.733333333333333,C,45.30653,-106.76625,20140803,20140805,30087.0,20140805,244.0,172.0,204.0,0.0,2.3501709,92.75
17,27.33333333333333,C,45.723,-106.8747,20140729,20140731,30087.0,20140731,339.0,167.0,254.0,0.0,1.8343946,92.75
18,1.2666666666666666,B,45.32495,-106.43435,20130730,20130801,30087.0,20130731,311.0,117.0,191.0,0.0,0.8906693000000001,88.5
19,1.2666666666666666,B,45.32495,-106.43435,20130730,20130801,30087.0,20130801,283.0,156.0,231.0,46.0,4.3628936,88.5
22,0.1,A,45.37083333,-106.20333333,20150728,20150728,30087.0,20150728,239.0,122.0,153.0,0.0,10.802894,101.0
23,0.1333333333333333,B,45.32547,-106.56995,20130725,20130727,30087.0,20130727,322.0,144.0,216.0,3.0,5.5885,88.5
24,5.78,C,45.7472,-106.83,20150505,20150519,30087.0,20150508,67.0,33.0,66.0,43.0,2.4393902,114.25
26,5.78,C,45.7472,-106.83,20150505,20150519,30087.0,20150509,67.0,22.0,40.0,3.0,3.952847,114.25
27,3.6666666666666665,C,45.25058,-106.37823,20130715,20130717,30087.0,20130717,278.0,150.0,183.0,0.0,3.8729072,120.25
28,7.25,C,45.2514,-106.74,20150807,20150808,30087.0,20150807,283.0,122.0,206.0,0.0,2.8553677000000004,101.0
29,5.78,C,45.7472,-106.83,20150505,20150519,30087.0,20150510,133.0,6.0,59.0,0.0,0.7071066999999999,114.25
30,7.433333333333334,C,45.20972,-106.37193,20140719,20140721,30087.0,20140719,361.0,156.0,238.0,0.0,2.6055505,99.25
32,2.333333333333333,B,45.3192,-106.6356,20150728,20150730,30087.0,20150730,322.0,139.0,224.0,0.0,1.4792312,101.0
33,7.424444444444445,C,45.7472,-106.83,20150505,20150519,30087.0,20150511,172.0,-5.0,83.0,0.0,2.5851740000000003,114.25
34,7.424444444444445,C,45.73,-106.8,20150511,20150519,30087.0,20150512,172.0,72.0,122.0,10.0,2.0814657,114.25
35,0.1333333333333333,B,45.88033,-106.24288,20130824,20130826,30087.0,20130824,311.0,200.0,243.0,0.0,1.9646971,88.5
36,1.6444444444444446,C,45.73,-106.8,20150511,20150519,30087.0,20150513,206.0,67.0,119.0,0.0,3.7872317,114.25
37,7.433333333333334,C,45.20972,-106.37193,20140719,20140721,30087.0,20140720,350.0,172.0,265.0,0.0,4.5218735,99.25
38,1.6444444444444446,C,45.73,-106.8,20150511,20150519,30087.0,20150514,167.0,61.0,106.0,28.0,4.026164499999998,114.25
40,7.424444444444445,C,45.7472,-106.83,20150505,20150519,30087.0,20150515,150.0,78.0,112.0,122.0,5.8576875,114.25
41,7.424444444444445,C,45.7472,-106.83,20150505,20150519,30087.0,20150516,161.0,72.0,109.0,109.0,3.0955615,114.25
42,7.424444444444445,C,45.7472,-106.83,20150505,20150519,30087.0,20150517,78.0,39.0,76.0,33.0,6.440352,114.25
43,7.424444444444445,C,45.7472,-106.83,20150505,20150519,30087.0,20150518,111.0,33.0,57.0,0.0,2.3430748,114.25
44,0.3333333333333333,B,45.32412,-106.68523,20140613,20140615,30087.0,20140613,250.0,111.0,191.0,0.0,1.2349163,114.75
45,5.78,C,45.7472,-106.83,20150505,20150519,30087.0,20150519,117.0,56.0,87.0,0.0,4.2462487,114.25
46,5.78,C,45.7472,-106.83,20150505,20150519,30087.0,20150513,206.0,67.0,119.0,0.0,3.7872317,114.25
47,1.6444444444444446,C,45.73,-106.8,20150511,20150519,30087.0,20150519,117.0,56.0,87.0,0.0,4.2462487,114.25
48,0.85,B,45.38,-106.25922,20130823,20130824,30087.0,20130824,311.0,200.0,243.0,0.0,1.9646971,88.5
49,5.78,C,45.7472,-106.83,20150505,20150519,30087.0,20150506,139.0,89.0,131.0,38.0,4.0695515,114.25
50,5.733333333333333,C,45.30653,-106.76625,20140803,20140805,30087.0,20140803,322.0,156.0,236.0,0.0,2.7404072,92.75
51,3.6666666666666665,C,45.25058,-106.37823,20130715,20130717,30087.0,20130715,356.0,156.0,242.0,0.0,2.9416451,120.25
52,0.1666666666666666,B,45.33558,-106.60745,20130726,20130728,30087.0,20130726,294.0,128.0,202.0,0.0,4.3072643,88.5
54,983.65,F,45.8047,-106.7675,20150815,20150816,30087.0,20150816,217.0,111.0,188.0,0.0,3.305015,101.0
56,7.25,C,45.2514,-106.74,20150807,20150808,30087.0,20150808,200.0,133.0,184.0,46.0,2.4587853,101.0
57,983.65,F,45.8047,-106.7675,20150815,20150816,30087.0,20150815,328.0,167.0,290.0,0.0,4.4598203000000005,101.0
58,0.4333333333333333,B,45.465,-106.275,20130726,20130727,30087.0,20130726,294.0,128.0,202.0,0.0,4.3072643,88.5
59,5.3,C,45.7331,-106.8164,20150630,20150701,30087.0,20150630,356.0,194.0,269.0,0.0,1.0201104,101.0
60,5.733333333333333,C,45.30653,-106.76625,20140803,20140805,30087.0,20140804,278.0,156.0,236.0,0.0,2.7761312,92.75
61,4681.5,G,46.5721,-106.59078,20140725,20140726,30087.0,20140725,322.0,139.0,228.0,0.0,4.8322296,99.25
62,5.78,C,45.7472,-106.83,20150505,20150519,30087.0,20150507,111.0,44.0,87.0,0.0,4.4043303,114.25
65,102.45,D,45.69668,-106.4102,20150814,20150815,30087.0,20150815,328.0,167.0,290.0,0.0,4.4598203000000005,101.0
66,0.1666666666666666,B,45.33558,-106.60745,20130726,20130728,30087.0,20130728,278.0,156.0,240.0,10.0,3.807886,88.5
67,27.33333333333333,C,45.723,-106.8747,20140729,20140731,30087.0,20140729,322.0,189.0,255.0,0.0,2.7621142999999995,99.25
69,1.4,B,45.35112,-106.60697,20150728,20150730,30087.0,20150730,322.0,139.0,224.0,0.0,1.4792312,101.0
70,3.0,B,45.7847,-106.6953,20150812,20150812,30087.0,20150812,333.0,189.0,275.0,0.0,0.52974045,101.0
71,0.85,B,45.38,-106.25922,20130823,20130824,30087.0,20130823,350.0,189.0,272.0,0.0,2.2289917,88.5
72,5.3,C,45.7331,-106.8164,20150630,20150701,30087.0,20150701,350.0,172.0,267.0,0.0,1.9540023,101.0
73,2.35,B,45.7694,-106.8831,20140801,20140802,30087.0,20140801,344.0,183.0,260.0,0.0,2.0518243000000003,92.75
74,1145.7,F,45.7403,-106.7717,20150729,20150730,30087.0,20150729,289.0,117.0,193.0,0.0,4.4250703,101.0
75,72.85,D,46.1178,-106.7886,20150806,20150807,30087.0,20150807,283.0,122.0,206.0,0.0,2.8553677000000004,101.0
76,5.78,C,45.7472,-106.83,20150505,20150519,30087.0,20150505,267.0,72.0,166.0,3.0,4.806376,114.25
77,214.3,D,45.6742,-106.2133,20150423,20150423,30087.0,20150423,178.0,83.0,135.0,0.0,1.3950806999999998,114.25
78,0.1,A,45.4175,-106.243,20130907,20130907,30087.0,20130907,311.0,111.0,236.0,333.0,3.5654438,88.5
79,5.78,C,45.7472,-106.83,20150505,20150519,30087.0,20150514,167.0,61.0,106.0,28.0,4.026164499999998,114.25
80,25.25,C,45.7675,-106.7836,20150801,20150802,30087.0,20150801,372.0,156.0,264.0,0.0,1.8256848,101.0
82,7.65,C,45.40055556,-106.27583333,20150614,20150615,30087.0,20150614,200.0,128.0,170.0,0.0,3.3433702000000003,117.75
83,1.4,B,45.35112,-106.60697,20150728,20150730,30087.0,20150729,289.0,117.0,193.0,0.0,4.4250703,101.0
85,7.65,C,45.40055556,-106.27583333,20150614,20150615,30087.0,20150615,178.0,122.0,144.0,0.0,3.1953092,117.75
86,27.25,B,45.7669,-106.8167,20150802,20150802,30087.0,20150802,306.0,167.0,256.0,0.0,2.8802128,101.0
87,7.433333333333334,C,45.20972,-106.37193,20140719,20140721,30087.0,20140721,283.0,172.0,250.0,0.0,1.3341701,99.25
88,1169.1,F,45.7178,-106.7806,20150731,20150802,30087.0,20150731,356.0,144.0,244.0,0.0,0.22638462,101.0
89,2.1,B,45.755,-106.8497,20150729,20150730,30087.0,20150729,289.0,117.0,193.0,0.0,4.4250703,101.0
90,1169.1,F,45.7178,-106.7806,20150731,20150802,30087.0,20150802,306.0,167.0,256.0,0.0,2.8802128,101.0
91,102.45,D,45.69668,-106.4102,20150814,20150815,30087.0,20150814,372.0,194.0,288.0,0.0,3.7583241,101.0
92,27.33333333333333,C,45.723,-106.8747,20140729,20140731,30087.0,20140730,322.0,172.0,246.0,0.0,1.3124346000000002,92.75
93,69.2,D,45.9325,-106.8708,20140724,20140725,30087.0,20140725,322.0,139.0,228.0,0.0,4.8322296,99.25
94,2.1,B,45.755,-106.8497,20150729,20150730,30087.0,20150730,322.0,139.0,224.0,0.0,1.4792312,101.0
96,1157.8333333333337,F,45.7403,-106.7717,20150729,20150730,30087.0,20150730,322.0,139.0,224.0,0.0,1.4792312,101.0
97,31.175,D,45.5153,-106.2436,20150711,20150714,30087.0,20150713,328.0,156.0,241.0,25.0,4.287335400000001,101.0
98,0.1333333333333333,B,45.88033,-106.24288,20130824,20130826,30087.0,20130825,333.0,183.0,245.0,0.0,1.0793546,88.5
100,1169.1,F,45.7178,-106.7806,20150731,20150802,30087.0,20150801,372.0,156.0,264.0,0.0,1.8256848,101.0
101,12.133333333333333,C,45.4169,-106.45,20150728,20150730,30087.0,20150729,289.0,117.0,193.0,0.0,4.4250703,101.0
102,31.175,D,45.5153,-106.2436,20150711,20150714,30087.0,20150711,322.0,150.0,223.0,48.0,4.335104,101.0
103,6.6,B,45.7331,-106.7425,20140729,20140729,30087.0,20140729,322.0,189.0,255.0,0.0,2.7621142999999995,99.25
105,0.1,A,45.3555,-106.36007,20130824,20130824,30087.0,20130824,311.0,200.0,243.0,0.0,1.9646971,88.5
107,0.3333333333333333,B,45.32412,-106.68523,20140613,20140615,30087.0,20140614,194.0,94.0,139.0,28.0,5.434737999999999,114.75
108,1.4,B,45.7368,-106.8092,20140730,20140730,30087.0,20140730,322.0,172.0,246.0,0.0,1.3124346000000002,92.75
109,31.175,D,45.5153,-106.2436,20150711,20150714,30087.0,20150712,311.0,144.0,226.0,0.0,4.8523190000000005,101.0
110,2.2,B,45.32668,-106.79303,20140803,20140803,30087.0,20140803,322.0,156.0,236.0,0.0,2.7404072,92.75
112,2.333333333333333,B,45.3192,-106.6356,20150728,20150730,30087.0,20150729,289.0,117.0,193.0,0.0,4.4250703,101.0
113,72.85,D,46.1178,-106.7886,20150806,20150807,30087.0,20150806,294.0,139.0,196.0,3.0,3.2097507000000003,101.0
115,0.3333333333333333,B,45.32412,-106.68523,20140613,20140615,30087.0,20140615,228.0,94.0,146.0,10.0,4.170298000000002,114.75
116,2.35,B,45.7694,-106.8831,20140801,20140802,30087.0,20140802,333.0,156.0,245.0,0.0,2.4953804,92.75
117,0.3,B,45.465,-106.275,20130726,20130727,30087.0,20130727,322.0,144.0,216.0,3.0,5.5885,88.5
118,1.2666666666666666,B,45.32495,-106.43435,20130730,20130801,30087.0,20130730,261.0,133.0,198.0,13.0,2.667167,88.5
119,0.9,B,45.33,-106.31138889,20150614,20150614,30087.0,20150614,200.0,128.0,170.0,0.0,3.3433702000000003,117.75
120,0.1666666666666666,B,45.33558,-106.60745,20130726,20130728,30087.0,20130727,322.0,144.0,216.0,3.0,5.5885,88.5
135,7.5,C,45.7944,-106.8411,20040806,20040807,30087.0,20040806,328.0,161.0,244.0,0.0,1.6332091999999998,65.0
138,1.0,B,45.6967,-106.7878,20040806,20040806,30087.0,20040806,328.0,161.0,244.0,0.0,1.6332091999999998,65.0
190,239.8,F,45.30833333,-106.35833333,20050405,20050409,30087.0,20050405,161.0,39.0,100.0,0.0,4.5241213,92.0
194,10.0,C,46.1553,-106.1833,20041004,20041004,30087.0,20041004,228.0,39.0,133.0,0.0,1.789105,66.333
243,239.8,F,45.30833333,-106.35833333,20050405,20050409,30087.0,20050406,211.0,6.0,111.0,0.0,3.372679,92.0
244,239.8,F,45.30833333,-106.35833333,20050405,20050409,30087.0,20050408,200.0,61.0,133.0,132.0,2.433113,92.0
278,7.5,C,45.7944,-106.8411,20040806,20040807,30087.0,20040807,278.0,133.0,206.0,0.0,2.4043357000000003,65.0
279,239.8,F,45.30833333,-106.35833333,20050405,20050409,30087.0,20050407,250.0,83.0,167.0,0.0,4.2970834,92.0
280,23.0,C,45.6847,-106.5675,20040807,20040807,30087.0,20040807,278.0,133.0,206.0,0.0,2.4043357000000003,65.0
296,239.8,F,45.30833333,-106.35833333,20050405,20050409,30087.0,20050409,67.0,28.0,50.0,10.0,10.6397085,92.0
321,101.66666666666669,E,45.9664,-106.3464,20040413,20040415,30087.0,20040414,228.0,61.0,144.0,0.0,0.8668239999999999,85.0
324,101.66666666666669,E,45.9664,-106.3464,20040413,20040415,30087.0,20040413,244.0,67.0,156.0,0.0,1.9664509,85.0
325,126.0,E,45.1,-105.6506,20040711,20040714,30087.0,20040714,372.0,183.0,278.0,0.0,0.35340866,77.0
330,0.4,B,45.2383,-106.6972,20050724,20050725,30087.0,20050724,328.0,167.0,250.0,0.0,1.2366393999999998,66.667
333,1.5,B,46.2739,-106.7698,20040405,20040406,30087.0,20040406,217.0,56.0,139.0,0.0,2.2486496,85.0
334,1.5,B,46.2739,-106.7698,20040405,20040406,30087.0,20040405,211.0,61.0,139.0,0.0,2.431827,85.0
350,0.1,A,45.338,-106.6292,20040415,20040415,30087.0,20040415,194.0,39.0,117.0,0.0,2.3119364,85.0
361,126.0,E,45.1,-105.6506,20040711,20040714,30087.0,20040711,328.0,150.0,239.0,0.0,1.3823513,46.5
364,126.0,E,45.1,-105.6506,20040711,20040714,30087.0,20040712,289.0,139.0,217.0,0.0,3.6458838,46.5
366,101.66666666666669,E,45.9664,-106.3464,20040413,20040415,30087.0,20040415,194.0,39.0,117.0,0.0,2.3119364,85.0
