,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.6,B,45.68,-109.7358,20130801,20130802,30097.0,20130802,214.0,100.0,150.0,0.0,1.5883613,32.0
1,0.6,B,45.68,-109.7358,20130801,20130802,30097.0,20130801,229.0,111.0,155.0,25.0,4.2613900000000005,32.0
3,1.5,B,45.8675,-109.93444444,20140802,20140802,30097.0,20140802,194.0,19.0,98.0,0.0,1.7084756999999997,40.5
4,3.375,B,45.63583333,-109.89972222,20140813,20140814,30097.0,20140813,196.0,67.0,135.0,0.0,0.7102189999999999,40.5
6,750.0,F,46.0169,-109.766847,20150726,20150727,30097.0,20150726,267.0,102.0,185.0,0.0,1.1781873,50.0
7,3.375,B,45.63583333,-109.89972222,20140813,20140814,30097.0,20140814,237.0,108.0,150.0,0.0,1.0440315,40.5
8,750.0,F,46.0169,-109.766847,20150726,20150727,30097.0,20150727,188.0,56.0,104.0,25.0,3.2925105,50.0
20,0.05,A,46.09694444,-110.20944444,20130905,20130906,30097.0,20130905,273.0,102.0,171.0,0.0,1.4480753,43.6
23,0.0333333333333333,A,45.3402778,-110.250278,20100731,20100802,30097.0,20100802,251.0,74.0,161.0,25.0,2.9215472,61.25
31,0.0416666666666666,A,45.49916667,-110.19277778,20120729,20120803,30097.0,20120803,126.0,-11.0,58.0,25.0,3.209188,43.0
39,0.05,A,45.53666667,-110.10361111,20120728,20120729,30097.0,20120729,213.0,27.0,98.0,25.0,2.142192,43.75
47,0.0416666666666666,A,45.49916667,-110.19277778,20120729,20120803,30097.0,20120729,213.0,27.0,98.0,25.0,2.142192,43.75
150,0.125,A,46.13277778,-110.3525,20130728,20130729,30097.0,20130729,203.0,70.0,131.0,25.0,2.7586186,32.0
219,0.0416666666666666,A,45.49916667,-110.19277778,20120729,20120803,30097.0,20120801,218.0,45.0,134.0,0.0,1.526438,43.0
236,0.0416666666666666,A,45.49916667,-110.19277778,20120729,20120803,30097.0,20120731,237.0,23.0,130.0,0.0,2.5233567000000003,43.0
237,0.0333333333333333,A,45.3402778,-110.250278,20100731,20100802,30097.0,20100731,236.0,65.0,128.0,0.0,0.65794474,69.6
245,0.125,A,46.13277778,-110.3525,20130728,20130729,30097.0,20130728,218.0,89.0,139.0,0.0,1.0456074,32.0
270,0.0416666666666666,A,45.49916667,-110.19277778,20120729,20120803,30097.0,20120730,305.0,75.0,185.0,0.0,1.5587795,43.75
271,0.05,A,46.09694444,-110.20944444,20130905,20130906,30097.0,20130906,288.0,112.0,187.0,0.0,0.48465928,43.6
276,0.0333333333333333,A,45.3402778,-110.250278,20100731,20100802,30097.0,20100801,237.0,80.0,150.0,0.0,2.2947302000000005,61.25
304,0.05,A,45.53666667,-110.10361111,20120728,20120729,30097.0,20120728,218.0,27.0,119.0,0.0,1.341046,43.75
326,0.0416666666666666,A,45.49916667,-110.19277778,20120729,20120803,30097.0,20120802,272.0,81.0,176.0,0.0,2.4614809,43.0
