,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.1,A,47.64888889,-112.84666667,20121103,20121103,30099.0,20121103,86.0,5.0,58.0,25.0,2.3323793,82.545
1,0.01,A,48.07638889,-112.87416667,20150809,20150809,30099.0,20150809,245.0,58.0,144.0,0.0,2.2610838,76.818
2,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070916,175.0,73.0,124.0,0.0,4.1976266,33.2
3,0.0047169811320754,A,47.76666667,-112.81666667,20060810,20061001,30099.0,20060924,172.0,4.0,66.0,0.0,3.1084576,49.0
4,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070812,244.0,101.0,172.0,0.0,1.6770509999999998,49.5
5,0.0047169811320754,A,47.76666667,-112.81666667,20060810,20061001,30099.0,20060917,44.0,7.0,23.0,0.0,3.1662185000000003,49.0
6,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070728,304.0,170.0,232.0,0.0,3.4574306000000004,35.4
7,0.0018181818181818,A,47.72166667,-112.97416667,20060808,20061001,30099.0,20060925,178.0,107.0,139.0,0.0,2.6234589,49.0
8,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070811,190.0,44.0,130.0,0.0,1.4577379,49.5
9,17.514285714285716,E,48.01916667,-112.78555556,20060819,20060922,30099.0,20060917,44.0,7.0,23.0,0.0,3.1662185000000003,49.0
10,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070818,249.0,111.0,180.0,0.0,1.80936,42.333
11,0.0018181818181818,A,47.72166667,-112.97416667,20060808,20061001,30099.0,20060917,44.0,7.0,23.0,0.0,3.1662185000000003,49.0
14,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070917,107.0,29.0,68.0,0.0,3.6674297,33.2
16,69.47058823529412,F,48.01694444,-112.83777778,20060820,20060922,30099.0,20060917,44.0,7.0,23.0,0.0,3.1662185000000003,49.0
17,0.0047169811320754,A,47.76666667,-112.81666667,20060810,20061001,30099.0,20060925,178.0,107.0,139.0,0.0,2.6234589,49.0
18,0.0047169811320754,A,47.76666667,-112.81666667,20060810,20061001,30099.0,20060928,166.0,123.0,144.0,0.0,3.651981,49.0
19,0.0018181818181818,A,47.72166667,-112.97416667,20060808,20061001,30099.0,20060924,172.0,4.0,66.0,0.0,3.1084576,49.0
21,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070813,200.0,80.0,148.0,0.0,1.285611,49.5
22,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070806,233.0,88.0,168.0,0.0,2.2606175,108.0
23,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070914,185.0,57.0,114.0,25.0,0.6236092,33.2
25,0.0047169811320754,A,47.76666667,-112.81666667,20060810,20061001,30099.0,20060927,155.0,47.0,84.0,0.0,0.5685913,49.0
26,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070807,236.0,72.0,144.0,0.0,4.0697517,108.0
27,0.0065351629502572,A,47.72166667,-112.97416667,20060808,20061001,30099.0,20060920,115.0,50.0,70.0,0.0,2.650179,49.0
29,17.514285714285716,E,48.01916667,-112.78555556,20060819,20060922,30099.0,20060920,115.0,50.0,70.0,0.0,2.650179,49.0
31,69.47058823529412,F,48.01694444,-112.83777778,20060820,20060922,30099.0,20060920,115.0,50.0,70.0,0.0,2.650179,49.0
33,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070922,153.0,58.0,118.0,25.0,3.9761536,51.2
35,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070821,104.0,55.0,80.0,25.0,4.88231,42.333
36,0.0018181818181818,A,47.72166667,-112.97416667,20060808,20061001,30099.0,20060929,182.0,80.0,125.0,0.0,3.181014,49.0
37,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070731,245.0,118.0,189.0,25.0,2.734854,7.0
38,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070817,264.0,131.0,198.0,0.0,1.1374587,42.333
39,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070801,205.0,100.0,152.0,0.0,1.2366393999999998,7.0
40,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070814,258.0,82.0,171.0,0.0,0.7211204000000001,49.5
41,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070805,192.0,51.0,123.0,0.0,1.0312109,108.0
43,17.514285714285716,E,48.01916667,-112.78555556,20060819,20060922,30099.0,20060919,108.0,53.0,84.0,25.0,0.6499916,49.0
44,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070803,268.0,97.0,184.0,0.0,3.960022,7.0
45,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070804,233.0,84.0,158.0,0.0,2.338036,7.0
47,69.47058823529412,F,48.01694444,-112.83777778,20060820,20060922,30099.0,20060919,108.0,53.0,84.0,25.0,0.6499916,49.0
49,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070802,274.0,65.0,175.0,0.0,1.1947447,7.0
50,0.0047169811320754,A,47.76666667,-112.81666667,20060810,20061001,30099.0,20060919,108.0,53.0,84.0,25.0,0.6499916,49.0
52,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070918,110.0,15.0,55.0,102.0,0.6103313,51.2
53,0.0065351629502572,A,47.76666667,-112.81666667,20060810,20061001,30099.0,20060930,191.0,74.0,130.0,0.0,5.0435050000000015,49.0
54,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070913,129.0,2.0,60.0,0.0,2.5244641,33.2
55,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070815,247.0,104.0,176.0,0.0,1.3146793,49.5
56,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070923,58.0,6.0,16.0,127.0,3.920623,51.2
57,0.0018181818181818,A,47.72166667,-112.97416667,20060808,20061001,30099.0,20060919,108.0,53.0,84.0,25.0,0.6499916,49.0
58,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070730,305.0,119.0,204.0,0.0,2.4897346,7.0
59,0.0047169811320754,A,47.76666667,-112.81666667,20060810,20061001,30099.0,20060929,182.0,80.0,125.0,0.0,3.181014,49.0
61,0.125,A,47.62555556,-112.79277778,20081129,20081130,30099.0,20081129,42.0,13.0,24.0,0.0,5.0102754,65.8
62,0.0047169811320754,A,47.76666667,-112.81666667,20060810,20061001,30099.0,20060926,136.0,57.0,108.0,0.0,2.739125,49.0
63,0.0018181818181818,A,47.72166667,-112.97416667,20060808,20061001,30099.0,20060918,177.0,-11.0,69.0,0.0,1.6434426,49.0
64,17.519002695417793,A,47.76666667,-112.81666667,20060810,20061001,30099.0,20060922,51.0,-2.0,22.0,152.0,3.7529786,49.0
65,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070819,255.0,58.0,156.0,0.0,2.2269785,42.333
66,0.0047169811320754,A,47.76666667,-112.81666667,20060810,20061001,30099.0,20060918,177.0,-11.0,69.0,0.0,1.6434426,49.0
67,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070810,169.0,54.0,112.0,25.0,2.752341,49.5
69,0.0018181818181818,A,47.72166667,-112.97416667,20060808,20061001,30099.0,20060922,51.0,-2.0,22.0,152.0,3.7529786,49.0
70,0.0018181818181818,A,47.72166667,-112.97416667,20060808,20061001,30099.0,20060926,136.0,57.0,108.0,0.0,2.739125,49.0
71,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070816,229.0,118.0,174.0,0.0,2.9754512,42.333
72,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070729,308.0,119.0,206.0,0.0,2.436666,7.0
73,69.47058823529412,F,48.01694444,-112.83777778,20060820,20060922,30099.0,20060922,51.0,-2.0,22.0,152.0,3.7529786,49.0
74,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070919,35.0,2.0,12.0,51.0,2.9123437,51.2
75,0.0065351629502572,A,47.72166667,-112.97416667,20060808,20061001,30099.0,20060923,107.0,-15.0,34.0,0.0,2.4253943,49.0
76,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070920,68.0,14.0,41.0,51.0,3.3602510000000003,51.2
77,17.514285714285716,E,48.01916667,-112.78555556,20060819,20060922,30099.0,20060918,177.0,-11.0,69.0,0.0,1.6434426,49.0
78,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070921,99.0,11.0,55.0,0.0,4.0853424,51.2
80,0.0047169811320754,A,47.76666667,-112.81666667,20060810,20061001,30099.0,20060921,102.0,17.0,47.0,102.0,4.1558366,49.0
82,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070808,225.0,86.0,152.0,0.0,4.72175,108.0
83,0.0018181818181818,A,47.72166667,-112.97416667,20060808,20061001,30099.0,20060927,155.0,47.0,84.0,0.0,0.5685913,49.0
86,0.0047169811320754,A,47.76666667,-112.81666667,20060810,20061001,30099.0,20061001,153.0,40.0,99.0,0.0,3.9121525,49.0
89,0.0018181818181818,A,47.72166667,-112.97416667,20060808,20061001,30099.0,20060921,102.0,17.0,47.0,102.0,4.1558366,49.0
90,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070915,220.0,78.0,149.0,0.0,1.4208816999999998,33.2
91,17.514285714285716,E,48.01916667,-112.78555556,20060819,20060922,30099.0,20060921,102.0,17.0,47.0,102.0,4.1558366,49.0
92,69.47058823529412,F,48.01694444,-112.83777778,20060820,20060922,30099.0,20060918,177.0,-11.0,69.0,0.0,1.6434426,49.0
93,69.47058823529412,F,48.01694444,-112.83777778,20060820,20060922,30099.0,20060921,102.0,17.0,47.0,102.0,4.1558366,49.0
94,0.0018181818181818,A,47.72166667,-112.97416667,20060808,20061001,30099.0,20061001,153.0,40.0,99.0,0.0,3.9121525,49.0
96,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070924,57.0,-7.0,29.0,51.0,1.4277343,51.2
97,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070809,210.0,91.0,151.0,0.0,1.0530465,49.5
99,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070820,117.0,53.0,85.0,51.0,5.5635757,42.333
100,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070822,154.0,42.0,98.0,0.0,1.7928789,42.333
101,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20071011,62.0,-8.0,32.0,0.0,4.170532700000001,41.6
102,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070717,288.0,136.0,226.0,127.0,1.030976,91.0
103,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070711,245.0,109.0,185.0,0.0,1.529481,80.5
104,17.514285714285716,E,48.01916667,-112.78555556,20060819,20060922,30099.0,20060821,265.0,116.0,190.0,0.0,0.73170626,37.5
106,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070712,252.0,66.0,161.0,0.0,1.8971759,80.5
107,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20071117,72.0,22.0,49.0,25.0,3.1942732000000005,41.6
110,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070906,182.0,44.0,109.0,0.0,4.1857476,33.2
111,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20071118,37.0,-17.0,6.0,0.0,5.478144,41.6
112,0.0065351629502572,A,47.72166667,-112.97416667,20060808,20061001,30099.0,20060814,242.0,27.0,128.0,0.0,1.4406211000000002,37.5
113,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20071119,-14.0,-111.0,-39.0,76.0,1.0340736,41.6
114,0.0047169811320754,A,47.76666667,-112.81666667,20060810,20061001,30099.0,20060909,205.0,52.0,128.0,0.0,2.6514852,40.25
116,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20070831,257.0,113.0,199.0,0.0,3.314709,91.5
117,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20071116,57.0,22.0,36.0,76.0,4.517167,41.6
118,69.47058823529412,F,48.01694444,-112.83777778,20060820,20060922,30099.0,20060821,265.0,116.0,190.0,0.0,0.73170626,37.5
119,69.47058823529412,F,48.01694444,-112.83777778,20060820,20060922,30099.0,20060830,158.0,41.0,99.0,25.0,5.6855726,37.5
120,69.4724064171123,A,47.72166667,-112.97416667,20060808,20061001,30099.0,20060909,205.0,52.0,128.0,0.0,2.6514852,40.25
121,402.9395973154362,G,47.92333333,-112.98805556,20070704,20071129,30099.0,20071113,14.0,-36.0,-21.0,51.0,8.095798,41.6
122,69.4724064171123,F,48.01694444,-112.83777778,20060820,20060922,30099.0,20060820,222.0,54.0,127.0,0.0,0.63905364,37.5
123,0.0018181818181818,A,47.72166667,-112.97416667,20060808,20061001,30099.0,20060904,267.0,33.0,137.0,0.0,0.98478514,40.25
124,0.0047169811320754,A,47.76666667,-112.81666667,20060810,20061001,30099.0,20060820,222.0,54.0,127.0,0.0,0.63905364,37.5
