,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.05,A,46.67527778,-110.09222222,20140919,20140920,30107.0,20140920,176.0,51.0,98.0,0.0,1.543015,40.5
1,0.1,A,46.73277778,-110.00861111,20120811,20120811,30107.0,20120811,207.0,88.0,142.0,0.0,2.668101,38.5
2,0.05,A,46.67527778,-110.09222222,20140919,20140920,30107.0,20140919,133.0,64.0,90.0,0.0,4.6994658,40.5
3,0.1,A,46.6327778,-110.135,20100918,20100918,30107.0,20100918,156.0,10.0,92.0,51.0,1.7911992,66.4
4,0.1,A,46.74361111,-109.96583333,20120811,20120811,30107.0,20120811,207.0,88.0,142.0,0.0,2.668101,38.5
6,0.0166666666666666,A,46.69,-110.21777778,20120707,20120712,30107.0,20120707,222.0,99.0,148.0,25.0,1.7857212,50.75
8,0.0166666666666666,A,46.69,-110.21777778,20120707,20120712,30107.0,20120712,274.0,141.0,211.0,0.0,1.7534539,50.75
10,0.0375,B,46.69472222,-110.225,20120707,20120714,30107.0,20120712,274.0,141.0,211.0,0.0,1.7534539,50.75
14,0.0541666666666666,B,46.69472222,-110.225,20120707,20120714,30107.0,20120709,289.0,58.0,163.0,0.0,1.1520814,50.75
15,0.0375,B,46.69472222,-110.225,20120707,20120714,30107.0,20120711,273.0,79.0,171.0,0.0,1.75,50.75
18,0.0375,B,46.69472222,-110.225,20120707,20120714,30107.0,20120710,268.0,128.0,204.0,0.0,0.08000183,50.75
20,0.25,B,46.71333333,-109.84333333,20120708,20120709,30107.0,20120709,289.0,58.0,163.0,0.0,1.1520814,50.75
26,0.0166666666666666,A,46.69,-110.21777778,20120707,20120712,30107.0,20120710,268.0,128.0,204.0,0.0,0.08000183,50.75
27,0.0166666666666666,A,46.69,-110.21777778,20120707,20120712,30107.0,20120711,273.0,79.0,171.0,0.0,1.75,50.75
29,0.0375,B,46.69472222,-110.225,20120707,20120714,30107.0,20120713,243.0,150.0,195.0,0.0,2.4185371,50.75
31,0.2666666666666666,B,46.71333333,-109.84333333,20120708,20120709,30107.0,20120708,264.0,57.0,150.0,76.0,1.7923521,50.75
33,0.0375,B,46.69472222,-110.225,20120707,20120714,30107.0,20120708,264.0,57.0,150.0,76.0,1.7923521,50.75
45,0.0375,B,46.69472222,-110.225,20120707,20120714,30107.0,20120714,209.0,110.0,156.0,0.0,0.053856067,50.75
54,0.0375,B,46.69472222,-110.225,20120707,20120714,30107.0,20120707,222.0,99.0,148.0,25.0,1.7857212,50.75
