,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,5.0,B,45.80297,-108.50572,20150402,20150402,30111.0,20150402,78.0,-16.0,41.0,0.0,5.6882,138.0
7,155.0,E,45.8947,-108.6611,20150926,20150928,30111.0,20150927,250.0,122.0,209.0,0.0,3.3950331,66.2
8,54.0,D,46.042,-108.0464,20150618,20150619,30111.0,20150618,261.0,117.0,171.0,18.0,2.7596421,181.5
9,291.85714285714283,F,46.064281,-108.319317,20150328,20150403,30111.0,20150401,128.0,28.0,114.0,0.0,7.794428999999999,138.0
12,291.85714285714283,F,46.064281,-108.319317,20150328,20150403,30111.0,20150403,122.0,-32.0,31.0,0.0,4.231504,138.0
13,291.85714285714283,F,46.064281,-108.319317,20150328,20150403,30111.0,20150402,78.0,-16.0,41.0,0.0,5.6882,138.0
21,0.4,B,45.7747,-108.4642,20150610,20150610,30111.0,20150610,278.0,156.0,223.0,10.0,2.2980970000000003,181.5
22,4.25,B,46.01089,-107.981388,20130806,20130807,30111.0,20130806,306.0,139.0,216.0,0.0,3.145293,127.5
24,0.5,B,45.9997,-108.3196,20140702,20140702,30111.0,20140702,289.0,111.0,197.0,0.0,2.4051986000000003,132.0
26,4.25,B,46.01089,-107.981388,20130806,20130807,30111.0,20130807,317.0,139.0,217.0,0.0,1.5116165,127.5
29,155.0,E,45.8947,-108.6611,20150926,20150928,30111.0,20150926,339.0,189.0,266.0,0.0,3.1349843,66.2
30,0.4,B,46.0167,-108.4806,20150312,20150312,30111.0,20150312,194.0,78.0,134.0,0.0,6.8909364,84.0
34,64.0,C,46.00274,-108.31692,20130823,20130823,30111.0,20130823,350.0,189.0,272.0,0.0,1.5720694,127.5
36,155.0,E,45.8947,-108.6611,20150926,20150928,30111.0,20150928,206.0,100.0,159.0,0.0,3.7835994,66.2
37,4.5,B,46.02103,-108.49033,20150314,20150315,30111.0,20150314,217.0,78.0,139.0,0.0,6.8441577,84.0
39,4.5,B,46.02103,-108.49033,20150314,20150315,30111.0,20150315,239.0,67.0,171.0,0.0,6.448691999999999,84.0
41,54.0,D,46.042,-108.0464,20150618,20150619,30111.0,20150619,283.0,139.0,201.0,99.0,1.4002231,181.5
43,3.65,B,46.0275,-107.9755,20130805,20130806,30111.0,20130806,306.0,139.0,216.0,0.0,3.145293,127.5
45,4.2,B,46.20927,-108.05113,20140602,20140602,30111.0,20140602,244.0,94.0,157.0,23.0,1.3341701,166.5
46,200.0,D,46.08042,-108.30989,20150327,20150327,30111.0,20150327,250.0,67.0,153.0,0.0,6.400879,138.0
47,3.65,B,46.0275,-107.9755,20130805,20130806,30111.0,20130805,333.0,161.0,234.0,0.0,0.6586422,127.5
50,291.85714285714283,F,46.064281,-108.319317,20150328,20150403,30111.0,20150328,267.0,72.0,162.0,0.0,8.989056,138.0
53,500.0,E,46.0572222,-107.5480556,20150328,20150328,30111.0,20150328,267.0,72.0,162.0,0.0,8.989056,138.0
55,291.85714285714283,F,46.064281,-108.319317,20150328,20150403,30111.0,20150329,178.0,50.0,107.0,0.0,6.853694,138.0
56,291.85714285714283,F,46.064281,-108.319317,20150328,20150403,30111.0,20150330,217.0,78.0,142.0,0.0,5.355487999999999,138.0
57,291.85714285714283,F,46.064281,-108.319317,20150328,20150403,30111.0,20150331,244.0,83.0,164.0,0.0,4.5307975,138.0
59,25.6,C,46.00458,-107.89841,20140903,20140903,30111.0,20140903,289.0,100.0,187.0,0.0,4.726617299999999,137.0
