,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,238.1875,F,39.2725,-117.7844,20150814,20150829,32001.0,20150821,350.0,144.0,250.0,0.0,2.9804573,127.0
1,2.4,B,39.49388889,-118.59027778,20130224,20130224,32001.0,20130224,18.0,-135.0,-56.0,0.0,2.2394888,96.0
2,83.72727272727273,E,39.5225,-117.8839,20100729,20100808,32001.0,20100801,197.0,87.0,134.0,0.0,2.2571878,138.0
3,238.1875,F,39.2725,-117.7844,20150814,20150829,32001.0,20150822,289.0,45.0,175.0,0.0,0.75911134,127.0
5,5.6,C,39.1989,-117.8231,20130701,20130702,32001.0,20130701,269.0,138.0,204.0,0.0,1.6101202,102.0
6,238.1875,F,39.2725,-117.7844,20150814,20150829,32001.0,20150814,214.0,95.0,153.0,0.0,3.791108,127.0
7,8.0,B,39.6644,-117.4233,20120815,20120815,32001.0,20120815,225.0,84.0,150.0,25.0,1.9258493000000003,120.0
8,0.4666666666666666,B,39.7336,-117.7717,20140722,20140724,32001.0,20140722,175.0,82.0,121.0,0.0,1.7670651999999998,84.0
9,26.875,D,39.3775,-117.7869,20140701,20140708,32001.0,20140705,215.0,107.0,155.0,0.0,2.6227417,84.0
11,83.72727272727273,E,39.5225,-117.8839,20100729,20100808,32001.0,20100804,207.0,106.0,149.0,0.0,2.1769073,138.0
12,6.0,C,39.7228,-117.7389,20150810,20150815,32001.0,20150815,212.0,82.0,147.0,0.0,0.642748,99.0
13,0.1,A,39.6092,-117.4867,20130711,20130711,32001.0,20130711,192.0,115.0,148.0,0.0,2.7245967,102.0
14,238.1875,F,39.2725,-117.7844,20150814,20150829,32001.0,20150816,221.0,109.0,164.0,0.0,1.175266,127.0
15,238.1875,F,39.2725,-117.7844,20150814,20150829,32001.0,20150824,356.0,156.0,250.0,0.0,2.34654,127.0
16,0.1,A,39.5042,-117.7664,20150803,20150803,32001.0,20150803,213.0,73.0,142.0,0.0,1.9924859,99.0
17,26.875,D,39.3775,-117.7869,20140701,20140708,32001.0,20140706,262.0,115.0,186.0,0.0,1.4713638,84.0
19,0.0166666666666666,A,39.6853,-118.2125,20140719,20140724,32001.0,20140724,253.0,84.0,170.0,0.0,1.6514895,84.0
20,238.1875,F,39.2725,-117.7844,20150814,20150829,32001.0,20150818,367.0,150.0,269.0,0.0,2.1438866,127.0
21,83.72727272727273,E,39.5225,-117.8839,20100729,20100808,32001.0,20100802,206.0,76.0,141.0,0.0,2.5811863,138.0
22,0.05,A,39.23675,-117.77036,20130726,20130727,32001.0,20130727,225.0,92.0,157.0,0.0,2.5947855,102.0
23,26.875,D,39.3775,-117.7869,20140701,20140708,32001.0,20140702,274.0,85.0,202.0,0.0,4.3798895,84.0
24,238.1875,F,39.2725,-117.7844,20150814,20150829,32001.0,20150817,372.0,139.0,261.0,0.0,1.6974245,127.0
26,6.0,C,39.7228,-117.7389,20150810,20150815,32001.0,20150812,195.0,71.0,130.0,0.0,2.1708293,99.0
27,26.875,D,39.3775,-117.7869,20140701,20140708,32001.0,20140704,199.0,108.0,147.0,0.0,3.893911,84.0
28,8.466666666666667,C,39.4367,-117.9983,20130515,20130517,32001.0,20130517,93.0,3.0,41.0,0.0,3.293177,95.0
30,0.05,A,39.23675,-117.77036,20130726,20130727,32001.0,20130726,224.0,100.0,161.0,0.0,1.8252137,102.0
31,238.1875,F,39.2725,-117.7844,20150814,20150829,32001.0,20150825,235.0,128.0,167.0,0.0,2.1050537,127.0
32,0.1,A,39.51242,-117.76067,20150913,20150913,32001.0,20150913,194.0,102.0,147.0,0.0,1.6690191000000003,121.0
33,238.1875,F,39.2725,-117.7844,20150814,20150829,32001.0,20150823,208.0,120.0,154.0,0.0,2.1692452,127.0
35,238.1875,F,39.2725,-117.7844,20150814,20150829,32001.0,20150819,367.0,167.0,273.0,0.0,2.298369,127.0
38,66.0,D,39.225,-118.1375,20140613,20140615,32001.0,20140614,142.0,-6.0,80.0,0.0,1.5231514,84.0
