,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.1,A,40.1411,-114.8122,20140908,20140908,32007.0,20140908,229.0,115.0,167.0,0.0,1.5620476,89.5
1,71.8,E,41.6589,-114.4669,20130717,20130721,32007.0,20130720,304.0,169.0,230.0,0.0,1.8620683,104.0
2,7.775,C,41.695,-116.295,20150628,20150701,32007.0,20150629,275.0,186.0,224.0,51.0,1.3759089,214.0
3,0.05,A,41.1036,-114.7853,20151001,20151002,32007.0,20151002,90.0,53.0,71.0,152.0,3.1683,71.5
5,362.625,F,41.1808,-116.2081,20130716,20130723,32007.0,20130717,274.0,121.0,203.0,0.0,1.4989298999999998,104.0
6,0.15,B,40.5656,-115.5428,20151001,20151002,32007.0,20151002,90.0,53.0,71.0,152.0,3.1683,71.5
7,4.2,B,40.9178,-116.1831,20150702,20150702,32007.0,20150702,255.0,154.0,192.0,0.0,2.335193,136.5
8,26.666666666666668,C,40.53,-115.5733,20130719,20130721,32007.0,20130720,304.0,169.0,230.0,0.0,1.8620683,104.0
9,7.0,C,40.5697,-115.6172,20100508,20100509,32007.0,20100508,98.0,-22.0,39.0,0.0,1.0632076,169.0
11,0.15,B,40.7141,-114.822,20100821,20100822,32007.0,20100821,258.0,120.0,189.0,0.0,3.9813204,61.0
13,0.1,A,40.8336,-115.7667,20150622,20150622,32007.0,20150622,260.0,121.0,196.0,0.0,2.1357083,214.0
14,11.02,C,40.4872,-115.8006,20140722,20140726,32007.0,20140726,276.0,69.0,177.0,0.0,1.6918857,89.0
15,0.1,A,40.9919,-117.0089,20120805,20120805,32007.0,20120805,289.0,95.0,176.0,0.0,2.5488029,60.0
16,91.66666666666669,D,41.6169,-114.5017,20100805,20100807,32007.0,20100806,238.0,100.0,164.0,0.0,3.8741784,60.0
17,0.1,A,40.6444,-115.9183,20120805,20120805,32007.0,20120805,289.0,95.0,176.0,0.0,2.5488029,60.0
18,895.6666666666666,F,40.4005,-116.0723,20100806,20100808,32007.0,20100806,238.0,100.0,164.0,0.0,3.8741784,60.0
19,0.2,A,40.6761,-116.1942,20120707,20120707,32007.0,20120707,258.0,102.0,179.0,0.0,1.258969,60.0
20,0.05,A,40.3189,-115.175,20150814,20150815,32007.0,20150815,238.0,92.0,162.0,0.0,2.048475,81.0
21,0.2,A,40.7883,-115.6967,20120616,20120616,32007.0,20120616,210.0,71.0,148.0,0.0,3.1442838,90.5
22,0.1,A,40.8347,-115.7503,20130616,20130616,32007.0,20130616,210.0,64.0,153.0,0.0,2.055487,181.5
23,71.8,E,41.6589,-114.4669,20130717,20130721,32007.0,20130719,281.0,115.0,191.0,0.0,2.4719973,104.0
24,7.0,C,40.5697,-115.6172,20100508,20100509,32007.0,20100509,125.0,-14.0,50.0,0.0,3.0413759,169.0
25,2023.025,G,41.4092,-116.4353,20130817,20130824,32007.0,20130821,215.0,92.0,151.0,25.0,0.3858756,88.5
26,14.0,C,41.41138889,-116.03638889,20150708,20150709,32007.0,20150708,228.0,93.0,147.0,178.0,1.2886524,136.5
27,0.4333333333333333,B,41.7125,-114.6439,20130903,20130905,32007.0,20130904,256.0,106.0,176.0,0.0,3.2844245,108.0
28,0.55,A,40.5589,-115.5775,20130719,20130720,32007.0,20130720,304.0,169.0,230.0,0.0,1.8620683,104.0
29,2201.391666666667,G,41.4092,-116.4353,20130817,20130824,32007.0,20130817,250.0,142.0,188.0,0.0,0.78090197,88.5
30,14.8,C,40.61,-115.6497,20151001,20151002,32007.0,20151002,90.0,53.0,71.0,152.0,3.1683,71.5
31,26.666666666666668,C,40.53,-115.5733,20130719,20130721,32007.0,20130719,281.0,115.0,191.0,0.0,2.4719973,104.0
32,0.15,B,40.3189,-114.4233,20130716,20130717,32007.0,20130717,274.0,121.0,203.0,0.0,1.4989298999999998,104.0
33,2.0,B,40.6786,-116.2997,20130902,20130902,32007.0,20130902,272.0,106.0,182.0,25.0,1.94743,108.0
34,0.3,B,40.8622,-115.7331,20120823,20120823,32007.0,20120823,244.0,80.0,164.0,0.0,0.76485175,73.0
35,0.075,B,40.9469,-115.6447,20150825,20150828,32007.0,20150826,220.0,97.0,159.0,0.0,2.387729,81.0
36,0.3,B,41.5894,-114.1497,20140818,20140818,32007.0,20140818,255.0,132.0,190.0,0.0,0.931336,113.0
37,0.1,A,41.88916667,-115.47694444,20120807,20120807,32007.0,20120807,285.0,129.0,208.0,0.0,1.7548223000000005,73.0
38,244.0,E,40.6183,-115.0517,20130720,20130721,32007.0,20130721,279.0,101.0,197.0,0.0,2.0796650000000003,104.0
39,0.1,A,40.15194444,-115.6975,20140731,20140731,32007.0,20140731,252.0,115.0,175.0,0.0,2.0494883,89.0
40,344.6,E,41.1477,-115.9345,20100728,20100729,32007.0,20100729,251.0,129.0,186.0,0.0,1.6385615000000002,60.0
41,0.2,A,40.2792,-116.3208,20120805,20120805,32007.0,20120805,289.0,95.0,176.0,0.0,2.5488029,60.0
42,0.075,B,40.9469,-115.6447,20150825,20150828,32007.0,20150825,254.0,-695.0,-246.0,0.0,1.4876573999999998,81.0
43,7.15,C,41.4617,-116.1703,20130822,20130823,32007.0,20130823,221.0,96.0,156.0,25.0,2.6219032,88.5
45,757.5,F,41.2589,-116.0964,20130820,20130823,32007.0,20130821,215.0,92.0,151.0,25.0,0.3858756,88.5
46,16.266666666666666,C,41.0097,-116.2931,20150815,20150817,32007.0,20150817,232.0,85.0,159.0,0.0,2.9130093999999995,81.0
47,117.8,E,40.4089,-115.9297,20150814,20150816,32007.0,20150815,238.0,92.0,162.0,0.0,2.048475,81.0
48,0.05,A,40.1911,-115.3164,20150702,20150703,32007.0,20150703,285.0,121.0,181.0,0.0,1.2013013,136.5
49,91.66666666666669,D,41.6169,-114.5017,20100805,20100807,32007.0,20100805,286.0,125.0,214.0,25.0,3.5384254,60.0
50,0.1,A,40.8397,-115.7331,20130705,20130705,32007.0,20130705,214.0,105.0,150.0,0.0,0.7518585,139.5
51,0.5,B,40.6761,-116.1942,20120706,20120706,32007.0,20120706,221.0,100.0,147.0,25.0,1.2348253,60.0
52,0.15,B,41.0086,-114.61,20150814,20150815,32007.0,20150815,238.0,92.0,162.0,0.0,2.048475,81.0
53,0.25,B,40.2092,-114.5217,20130703,20130704,32007.0,20130704,225.0,102.0,158.0,0.0,3.1563365,139.5
54,302.6,C,41.0475,-116.2517,20150702,20150703,32007.0,20150703,285.0,121.0,181.0,0.0,1.2013013,136.5
55,136.0,D,41.1267,-116.7058,20130613,20130613,32007.0,20130613,157.0,19.0,91.0,0.0,2.6577024,181.5
