,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,4.0,B,37.79277778,-118.16888889,20150503,20150503,32009.0,20150503,135.0,33.0,74.0,0.0,3.365728,109.0
1,0.1,A,37.71416667,-118.23305556,20130817,20130817,32009.0,20130817,220.0,85.0,145.0,0.0,3.1492512,123.5
2,0.1,A,37.4252,-117.622,20000426,20000426,32009.0,20000426,176.0,20.0,88.0,0.0,0.8360009,4.0
3,192.75,E,37.5185,-117.5118,19990824,19990827,32009.0,19990826,189.0,23.0,91.0,25.0,1.0742482,6.0
4,0.25,B,37.83222222,-118.32944444,20070716,20070717,32009.0,20070716,235.0,133.0,173.0,0.0,2.486974,4.0
5,192.75,E,37.5185,-117.5118,19990824,19990827,32009.0,19990827,175.0,54.0,112.0,25.0,2.2360055,6.0
6,3.0,B,37.7097,-117.2431,19990618,19990619,32009.0,19990619,229.0,69.0,137.0,0.0,4.088642,145.0
7,0.1499999999999999,B,37.431,-117.5481,19990826,19990828,32009.0,19990827,175.0,54.0,112.0,25.0,2.2360055,6.0
8,3.0,B,37.7097,-117.2431,19990618,19990619,32009.0,19990618,172.0,45.0,106.0,0.0,3.6707208,145.0
9,0.1,A,37.4941,-117.1959,20000803,20000803,32009.0,20000803,209.0,73.0,141.0,51.0,1.6967308999999997,100.0
10,0.0999999999999999,B,37.431,-117.5481,19990826,19990828,32009.0,19990826,189.0,23.0,91.0,25.0,1.0742482,6.0
11,192.75,E,37.5185,-117.5118,19990824,19990827,32009.0,19990825,208.0,62.0,134.0,25.0,0.29546764,6.0
12,2.0,B,39.9016,-117.3037,20070716,20070717,32009.0,20070717,206.0,106.0,151.0,0.0,3.9713247,4.0
13,28.0,C,39.0663,-117.3926,20040617,20040617,32009.0,20040617,190.0,45.0,105.0,0.0,3.3596597000000004,169.0
14,192.75,E,37.5185,-117.5118,19990824,19990827,32009.0,19990824,214.0,76.0,142.0,0.0,1.5132188999999998,6.0
15,0.02,A,37.4599,-117.4331,20040617,20040621,32009.0,20040617,190.0,45.0,105.0,0.0,3.3596597000000004,169.0
16,0.05,A,37.4788,-117.5676,19990827,19990828,32009.0,19990828,213.0,33.0,124.0,51.0,2.5962477,6.0
17,47.333333333333336,D,37.3739,-117.5603,20060723,20060725,32009.0,20060724,311.0,86.0,197.0,25.0,2.0012243,5.0
18,0.0999999999999999,B,37.431,-117.5481,19990826,19990828,32009.0,19990828,213.0,33.0,124.0,51.0,2.5962477,6.0
19,0.02,A,37.4599,-117.4331,20040617,20040621,32009.0,20040621,213.0,58.0,121.0,0.0,0.48466495,8.0
20,47.333333333333336,D,37.3739,-117.5603,20060723,20060725,32009.0,20060725,234.0,125.0,175.0,0.0,1.1737999,5.0
21,0.1,A,39.6602,-116.077,20020714,20020714,32009.0,20020714,250.0,102.0,169.0,0.0,3.9134982,8.0
22,1.0,B,37.3913,-117.6312,19990901,19990902,32009.0,19990902,145.0,6.0,59.0,0.0,3.2451997,6.0
23,0.25,B,37.83222222,-118.32944444,20070716,20070717,32009.0,20070717,206.0,106.0,151.0,0.0,3.9713247,4.0
24,0.02,A,37.4599,-117.4331,20040617,20040621,32009.0,20040619,218.0,22.0,112.0,0.0,3.1325498,8.0
25,0.02,A,37.4599,-117.4331,20040617,20040621,32009.0,20040618,206.0,18.0,108.0,0.0,3.694167,169.0
26,0.1,A,37.87416667,-118.2875,20070616,20070616,32009.0,20070616,206.0,55.0,132.0,0.0,4.9061556,5.0
27,2.0,B,39.9016,-117.3037,20070716,20070717,32009.0,20070716,235.0,133.0,173.0,0.0,2.486974,4.0
28,0.02,A,37.4599,-117.4331,20040617,20040621,32009.0,20040620,246.0,21.0,144.0,0.0,2.5461578,8.0
29,47.333333333333336,D,37.3739,-117.5603,20060723,20060725,32009.0,20060723,210.0,113.0,160.0,0.0,1.7773093999999998,5.0
30,1.0,B,37.3913,-117.6312,19990901,19990902,32009.0,19990901,99.0,-48.0,34.0,0.0,5.0440025,6.0
31,0.1,A,37.87555556,-118.27916667,20070616,20070616,32009.0,20070616,206.0,55.0,132.0,0.0,4.9061556,5.0
32,0.1,A,37.4616,-117.5723,20030723,20030723,32009.0,20030723,264.0,127.0,184.0,0.0,3.1715777000000003,12.0
