,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,15.35,C,41.3061,-117.8164,20140616,20140617,32013.0,20140616,74.0,-15.0,26.0,0.0,3.2334087000000005,111.875
1,0.6,B,41.0244,-117.7408,20150825,20150825,32013.0,20150825,281.0,172.0,232.0,0.0,1.8929144,60.1
2,0.1,A,40.92181,-117.65722,20140714,20140714,32013.0,20140714,260.0,166.0,212.0,0.0,1.5940173,70.333
3,1.7,B,41.949797,-117.6632,20120714,20120714,32013.0,20120714,283.0,136.0,213.0,0.0,2.6172569,68.0
4,0.1,A,41.9761,-117.6242,20100927,20100928,32013.0,20100928,229.0,133.0,178.0,0.0,3.880327,88.0
5,2.1,B,40.92367,-117.8155,20130522,20130522,32013.0,20130522,74.0,-68.0,-1.0,0.0,4.5963416,178.0
7,0.1,A,40.0167,-118.5669,20150709,20150709,32013.0,20150709,181.0,68.0,112.0,0.0,3.0506144,111.5
8,2.9,B,41.87453,-117.70856,20120824,20120824,32013.0,20120824,237.0,83.0,156.0,0.0,4.336866400000001,124.0
9,5.3,C,41.45153,-118.04378,20130702,20130703,32013.0,20130702,263.0,128.0,201.0,76.0,2.639273,137.0
10,0.05,A,41.2272,-118.5625,20100709,20100710,32013.0,20100709,266.0,163.0,205.0,0.0,3.4230032,150.0
11,7.6,C,41.50544,-118.02894,20130702,20130703,32013.0,20130702,263.0,128.0,201.0,76.0,2.639273,137.0
12,0.3,B,40.8836,-117.9142,20140702,20140702,32013.0,20140702,265.0,138.0,199.0,0.0,5.6862364,124.0
13,15.35,C,41.3061,-117.8164,20140616,20140617,32013.0,20140617,96.0,6.0,58.0,0.0,4.4863553,111.875
14,1.8,B,41.8733,-117.7089,20150912,20150912,32013.0,20150912,274.0,151.0,214.0,0.0,2.5943449,55.5
15,3.2,B,41.48572,-118.01522,20130702,20130703,32013.0,20130702,263.0,128.0,201.0,76.0,2.639273,137.0
16,0.0333333333333333,A,41.2383,-118.5414,20100709,20100711,32013.0,20100711,214.0,128.0,170.0,0.0,2.9628344,150.0
17,8.45,C,41.2889,-118.4914,20100709,20100710,32013.0,20100710,272.0,143.0,223.0,0.0,3.6582065,150.0
18,0.5,B,40.934233,-117.733508,20120601,20120601,32013.0,20120601,263.0,131.0,201.0,0.0,5.071105,118.5
19,0.35,B,41.10094,-118.49819,20140723,20140724,32013.0,20140723,188.0,101.0,143.0,0.0,4.0517716,70.333
20,44.0,C,41.1222,-117.5425,20120805,20120805,32013.0,20120805,252.0,128.0,176.0,0.0,1.3346211,81.5
21,0.1,A,40.9203,-117.6492,20151016,20151016,32013.0,20151016,194.0,102.0,138.0,0.0,1.25,69.0
22,2.4,B,40.9311,-117.6556,20130721,20130722,32013.0,20130721,394.0,172.0,300.0,0.0,1.8378808,89.5
23,0.1,A,40.9242,-117.6636,20140710,20140710,32013.0,20140710,285.0,169.0,222.0,0.0,1.8034711,91.0
24,28.65,C,41.4019,-117.1444,20130702,20130703,32013.0,20130702,263.0,128.0,201.0,76.0,2.639273,137.0
25,0.1,A,40.9536,-117.4547,20140911,20140911,32013.0,20140911,174.0,67.0,118.0,0.0,2.0906684,39.5
26,30.0,C,41.67708,-117.26256,20130701,20130703,32013.0,20130701,339.0,197.0,269.0,51.0,3.7725964,137.0
27,0.1,A,40.9264,-117.6664,20140810,20140810,32013.0,20140810,218.0,111.0,163.0,0.0,2.6925898,62.75
28,0.1,A,40.9211,-117.6633,20100410,20100410,32013.0,20100410,52.0,-42.0,10.0,0.0,0.82006824,211.0
29,30.0,C,41.67708,-117.26256,20130701,20130703,32013.0,20130702,263.0,128.0,201.0,76.0,2.639273,137.0
30,0.05,A,40.88953,-117.66544,20130904,20130905,32013.0,20130905,328.0,128.0,219.0,10.0,2.9083347,122.0
31,0.05,A,40.92158,-117.65661,20140710,20140711,32013.0,20140711,282.0,169.0,213.0,0.0,1.6753828999999998,91.0
32,0.1,A,40.92069,-117.65044,20130721,20130721,32013.0,20130721,394.0,172.0,300.0,0.0,1.8378808,89.5
33,0.1,A,41.9397,-117.83811,20140601,20140601,32013.0,20140601,191.0,24.0,105.0,0.0,4.966981400000001,101.5
34,0.1,A,41.26231,-117.18411,20150702,20150702,32013.0,20150702,389.0,206.0,306.0,0.0,1.9557608,79.833
35,0.05,A,40.9078,-117.85183,20140815,20140816,32013.0,20140816,200.0,102.0,156.0,0.0,2.1130307,48.5
36,1.6,B,40.92456,-117.783417,20140612,20140612,32013.0,20140612,197.0,63.0,133.0,0.0,3.3083093,65.5
37,23.0,C,41.6661,-117.7778,20100907,20100907,32013.0,20100907,231.0,48.0,150.0,0.0,3.4809291,88.0
38,0.1,A,40.92086,-117.65269,20140702,20140702,32013.0,20140702,265.0,138.0,199.0,0.0,5.6862364,124.0
39,0.1,A,40.92064,-117.65042,20140727,20140727,32013.0,20140727,241.0,136.0,185.0,0.0,0.5028903,63.25
40,0.1,A,40.91742,-117.66047,20140710,20140710,32013.0,20140710,285.0,169.0,222.0,0.0,1.8034711,91.0
41,0.05,A,40.9567,-117.4253,20140725,20140726,32013.0,20140726,226.0,94.0,161.0,0.0,4.617873,63.25
42,0.0333333333333333,A,41.2383,-118.5414,20100709,20100711,32013.0,20100709,266.0,163.0,205.0,0.0,3.4230032,150.0
43,9093.0,G,41.0889,-117.9917,20130701,20130704,32013.0,20130702,263.0,128.0,201.0,76.0,2.639273,137.0
44,0.05,A,41.2272,-118.5625,20100709,20100710,32013.0,20100710,272.0,143.0,223.0,0.0,3.6582065,150.0
45,36.3,C,41.72911,-117.76967,20120702,20120702,32013.0,20120702,279.0,116.0,201.0,0.0,5.370186299999999,86.75
46,5.4,C,41.9342,-118.5569,20140731,20140802,32013.0,20140802,283.0,94.0,195.0,25.0,2.9945557000000003,63.25
47,0.0333333333333333,A,41.2383,-118.5414,20100709,20100711,32013.0,20100710,272.0,143.0,223.0,0.0,3.6582065,150.0
48,8.45,C,41.2889,-118.4914,20100709,20100710,32013.0,20100709,266.0,163.0,205.0,0.0,3.4230032,150.0
49,0.1,A,40.92178,-117.65714,20140727,20140727,32013.0,20140727,241.0,136.0,185.0,0.0,0.5028903,63.25
50,3.2,B,41.48572,-118.04764,20130702,20130703,32013.0,20130702,263.0,128.0,201.0,76.0,2.639273,137.0
51,6.7,B,41.87992,-117.7086,20120824,20120824,32013.0,20120824,237.0,83.0,156.0,0.0,4.336866400000001,124.0
52,0.05,A,41.6761,-118.7153,20140720,20140721,32013.0,20140721,185.0,118.0,139.0,51.0,3.8407555,70.333
53,0.5,B,41.2639,-117.1686,20150702,20150702,32013.0,20150702,389.0,206.0,306.0,0.0,1.9557608,79.833
54,176.4,E,41.00439,-118.06283,20130701,20130705,32013.0,20130702,263.0,128.0,201.0,76.0,2.639273,137.0
55,2.6,B,41.8711,-117.7083,20120824,20120824,32013.0,20120824,237.0,83.0,156.0,0.0,4.336866400000001,124.0
56,4.9,B,40.9061,-117.8572,20120702,20120702,32013.0,20120702,279.0,116.0,201.0,0.0,5.370186299999999,86.75
57,1000.0,F,40.925833,-117.018611,20060630,20060701,32013.0,20060630,255.0,140.0,192.0,0.0,1.8294449,146.0
58,0.1,A,40.76769,-118.1228,20130609,20130609,32013.0,20130609,240.0,127.0,181.0,0.0,1.4054464,159.5
59,0.15,B,41.0183,-117.755,20100806,20100807,32013.0,20100806,273.0,102.0,177.0,0.0,2.0796650000000003,61.5
60,0.1,A,40.9772,-117.3967,20120710,20120710,32013.0,20120710,314.0,142.0,229.0,0.0,5.225221,68.0
61,0.1,A,40.9353,-117.8997,20100728,20100728,32013.0,20100728,251.0,138.0,203.0,25.0,1.7464293000000002,99.5
62,0.1,A,40.92061,-117.65042,20130728,20130728,32013.0,20130728,266.0,155.0,212.0,0.0,5.282522,94.0
63,4.5,B,41.5125,-118.0319,20130703,20130703,32013.0,20130703,265.0,176.0,223.0,0.0,3.28038,137.0
64,0.1,A,40.32331,-118.32886,20120817,20120817,32013.0,20120817,294.0,131.0,207.0,0.0,2.0094254,124.0
65,51.4,C,41.4714,-118.0581,20130703,20130703,32013.0,20130703,265.0,176.0,223.0,0.0,3.28038,137.0
66,0.2,A,41.75161,-117.12928,20140304,20140304,32013.0,20140304,74.0,4.0,36.0,76.0,2.498991,96.0
67,0.3,B,40.9997,-117.6564,20130715,20130715,32013.0,20130715,372.0,72.0,242.0,0.0,0.70879394,67.5
68,176.4333333333333,E,41.41367,-117.76431,20130609,20130611,32013.0,20130609,240.0,127.0,181.0,0.0,1.4054464,159.5
69,3.8,B,41.6911,-117.9389,20120810,20120810,32013.0,20120810,271.0,148.0,202.0,0.0,5.435672,81.5
70,27.25,C,41.1231,-117.79339,20130609,20130610,32013.0,20130609,240.0,127.0,181.0,0.0,1.4054464,159.5
71,9093.0,G,41.0889,-117.9917,20130701,20130704,32013.0,20130704,372.0,172.0,286.0,64.0,2.3322554,137.0
72,0.5,B,40.56447,-118.27342,20120617,20120617,32013.0,20120617,224.0,128.0,171.0,0.0,5.6860037000000005,137.2
73,22.7,C,41.1283,-117.4433,20120818,20120818,32013.0,20120818,207.0,130.0,176.0,25.0,2.4711113,124.0
74,0.1,A,41.9186,-118.61456,20140602,20140602,32013.0,20140602,232.0,114.0,173.0,0.0,4.642784,67.5
75,0.1,A,40.68533,-117.87911,20120713,20120713,32013.0,20120713,273.0,188.0,226.0,0.0,1.741529,68.0
76,90.1,C,41.4664,-117.8303,20150615,20150615,32013.0,20150615,248.0,131.0,194.0,0.0,5.165813,69.429
77,422.0,E,41.08014,-117.7333,20120409,20120409,32013.0,20120409,168.0,68.0,122.0,0.0,3.234022,134.0
78,0.05,A,40.92419,-117.6635,20140710,20140711,32013.0,20140710,285.0,169.0,222.0,0.0,1.8034711,91.0
79,0.1,A,41.4031,-117.7869,20130729,20130729,32013.0,20130729,258.0,150.0,211.0,0.0,3.7007318,94.0
80,0.1,A,41.69769,-118.06586,20120522,20120522,32013.0,20120522,170.0,41.0,105.0,0.0,2.997129,136.0
81,0.1,A,40.9072,-117.7203,20100605,20100605,32013.0,20100605,160.0,74.0,119.0,0.0,2.8769667,212.5
82,0.7,B,40.95708,-117.73167,20140623,20140623,32013.0,20140623,333.0,89.0,233.0,0.0,5.047771,130.0
83,203.6833333333333,C,41.1231,-117.79339,20130609,20130610,32013.0,20130610,232.0,71.0,149.0,76.0,4.353498,126.0
84,1.0,B,41.3572,-117.1194,20130703,20130703,32013.0,20130703,265.0,176.0,223.0,0.0,3.28038,137.0
85,116.1,D,41.1217,-117.7889,20130610,20130611,32013.0,20130610,232.0,71.0,149.0,76.0,4.353498,126.0
86,0.05,A,40.9283,-118.6497,20100730,20100731,32013.0,20100731,196.0,123.0,159.0,0.0,4.461532,99.5
87,20.2,C,41.0519,-117.6472,20120805,20120805,32013.0,20120805,252.0,128.0,176.0,0.0,1.3346211,81.5
88,277.90000000000003,E,41.825,-118.6208,20100809,20100811,32013.0,20100809,238.0,116.0,170.0,0.0,2.175176,98.0
89,0.05,A,40.9567,-117.4253,20140725,20140726,32013.0,20140725,339.0,139.0,231.0,0.0,2.1821527,63.25
90,1.15,B,41.78638889,-119.09972222,20130412,20130415,32013.0,20130415,29.0,-58.0,-17.0,0.0,4.84472,180.0
91,0.3,B,41.0292,-117.7508,20150825,20150825,32013.0,20150825,281.0,172.0,232.0,0.0,1.8929144,60.1
92,20.6,C,41.53,-117.7719,20100819,20100819,32013.0,20100819,202.0,103.0,152.0,0.0,1.8020563000000005,64.5
93,0.1,A,40.93025,-117.67522,20150711,20150711,32013.0,20150711,135.0,65.0,97.0,25.0,2.7291253,111.5
94,0.1,A,40.9211,-117.6569,20150720,20150720,32013.0,20150720,279.0,172.0,224.0,0.0,1.7307874,89.5
95,0.1,A,41.265,-117.7092,20100821,20100821,32013.0,20100821,232.0,128.0,185.0,0.0,3.968733,64.5
96,0.05,A,40.88953,-117.66544,20130904,20130905,32013.0,20130904,235.0,136.0,187.0,0.0,1.9368539,95.0
98,6.0,B,41.5236,-117.8103,20100718,20100718,32013.0,20100718,280.0,161.0,226.0,0.0,2.0260546,105.0
99,0.1,A,40.92164,-117.65661,20120815,20120815,32013.0,20120815,307.0,192.0,241.0,0.0,1.9639994,8.0
100,0.1,A,40.92067,-117.65036,20130726,20130726,32013.0,20130726,285.0,147.0,230.0,0.0,2.734026,94.0
101,0.5,B,41.0164,-117.575,20140612,20140612,32013.0,20140612,197.0,63.0,133.0,0.0,3.3083093,65.5
102,1.15,B,41.78638889,-119.09972222,20130412,20130415,32013.0,20130412,130.0,-9.0,71.0,0.0,0.29732025,180.0
103,0.05,A,41.03408,-118.57608,20150803,20150804,32013.0,20150803,233.0,101.0,159.0,0.0,2.3771043,94.0
104,1.15,B,41.78638889,-119.09972222,20130412,20130415,32013.0,20130413,103.0,-5.0,69.0,0.0,4.728525,180.0
105,14.7,C,41.2114,-117.4461,20130704,20130705,32013.0,20130705,209.0,118.0,158.0,0.0,0.60415506,137.0
