,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.05,A,39.7319,-117.0044,20130609,20130610,32015.0,20130610,244.0,102.0,180.0,0.0,1.7720016,85.0
1,0.1,A,39.4875,-117.0664,20120704,20120704,32015.0,20120704,262.0,121.0,196.0,0.0,0.6444399000000001,112.5
2,0.1,A,39.4906,-117.1997,20130505,20130505,32015.0,20130505,149.0,56.0,102.0,0.0,4.091804,92.0
3,0.1,A,40.6735,-116.9767,20120422,20120422,32015.0,20120422,237.0,105.0,168.0,0.0,1.8738427,94.0
4,221.11111111111111,F,40.3436,-116.9361,20130630,20130708,32015.0,20130630,313.0,162.0,223.0,76.0,2.4748738,105.0
5,2.0,B,39.4061,-116.9486,20100913,20100913,32015.0,20100913,215.0,104.0,152.0,0.0,2.5852150000000003,60.5
6,0.1,A,40.0675,-117.0886,20140812,20140812,32015.0,20140812,206.0,110.0,144.0,25.0,2.324418,124.0
7,0.1,A,39.61258,-117.437983,20120815,20120815,32015.0,20120815,221.0,142.0,174.0,0.0,1.0520952,119.0
8,0.05,A,40.6086,-117.0164,20130609,20130610,32015.0,20130610,244.0,102.0,180.0,0.0,1.7720016,85.0
9,0.2,B,39.80336,-117.1683,20140722,20140723,32015.0,20140723,255.0,130.0,183.0,0.0,2.8448799,54.0
10,224.66666666666663,E,39.8178,-116.8569,20150920,20150922,32015.0,20150921,237.0,114.0,168.0,0.0,1.8950595,76.8
11,224.66666666666663,E,39.8178,-116.8569,20150920,20150922,32015.0,20150920,222.0,93.0,151.0,0.0,1.4870272,76.8
12,0.1,A,39.49836,-116.75794,20150629,20150629,32015.0,20150629,260.0,152.0,194.0,0.0,1.3759089,200.0
13,0.05,A,39.8242,-116.8322,20150502,20150503,32015.0,20150502,200.0,76.0,131.0,0.0,1.6554832,82.667
14,221.11111111111111,F,40.3436,-116.9361,20130630,20130708,32015.0,20130703,275.0,156.0,216.0,0.0,3.6386034,94.0
15,0.1,A,39.8369,-116.7367,20150502,20150503,32015.0,20150502,200.0,76.0,131.0,0.0,1.6554832,82.667
16,0.05,A,39.8242,-116.8322,20150502,20150503,32015.0,20150503,158.0,58.0,95.0,0.0,0.425,82.667
17,79.66666666666667,D,40.0725,-117.0364,20150715,20150717,32015.0,20150717,231.0,95.0,168.0,0.0,3.92882,87.0
18,0.1,A,40.6169,-116.8986,20120617,20120617,32015.0,20120617,255.0,137.0,191.0,0.0,2.0607316000000004,123.333
19,0.1,A,39.8369,-116.7367,20150502,20150503,32015.0,20150503,158.0,58.0,95.0,0.0,0.425,82.667
20,1.4,B,40.27794,-117.02589,20120519,20120519,32015.0,20120519,165.0,31.0,94.0,0.0,0.8819372999999999,91.5
21,0.1,A,40.3831,-117.0375,20100706,20100706,32015.0,20100706,206.0,117.0,154.0,0.0,4.390900599999998,59.75
22,2.0,B,39.6836,-117.2536,20140828,20140830,32015.0,20140828,217.0,114.0,160.0,0.0,0.9060381,74.8
23,0.05,A,39.6367,-117.0211,20150814,20150815,32015.0,20150815,251.0,107.0,178.0,0.0,2.048475,81.0
24,79.66666666666667,D,40.0725,-117.0364,20150715,20150717,32015.0,20150716,250.0,133.0,185.0,0.0,2.2512496,107.0
25,0.2,B,39.8506,-117.1044,20100820,20100821,32015.0,20100821,233.0,132.0,179.0,0.0,3.9813204,72.0
26,0.05,A,40.59786,-117.22714,20140809,20140810,32015.0,20140809,226.0,126.0,166.0,0.0,2.1256533,124.0
27,0.1,A,39.50333333,-116.91055556,20120808,20120808,32015.0,20120808,301.0,165.0,218.0,0.0,2.1431067,114.0
28,0.15,B,40.30481,-117.28789,20140809,20140810,32015.0,20140809,226.0,126.0,166.0,0.0,2.1256533,124.0
29,221.11111111111111,F,40.3436,-116.9361,20130630,20130708,32015.0,20130704,276.0,124.0,195.0,0.0,3.1563365,94.0
30,0.2,B,39.80336,-117.1683,20140722,20140723,32015.0,20140722,241.0,121.0,179.0,0.0,1.4855345,54.0
31,0.15,B,37.7114,-114.1092,20150813,20150814,32015.0,20150813,239.0,142.0,178.0,0.0,3.3203917,81.0
32,0.1,A,39.48125,-116.79536,20130731,20130731,32015.0,20130731,237.0,133.0,178.0,0.0,1.7611946,80.0
