,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
748,21.3,D,38.4344,-114.7975,20020725,20020803,32017.0,20020728,367.0,117.0,244.0,0.0,1.3448001,74.333
752,0.1,A,37.3919,-114.3922,19990825,19990825,32017.0,19990825,333.0,133.0,233.0,0.0,0.29546764,98.333
753,2.0,B,37.3033,-114.6425,20000818,20000818,32017.0,20000818,350.0,150.0,250.0,0.0,3.9892397000000006,112.333
754,0.1,A,38.2683,-114.7475,20020601,20020601,32017.0,20020601,317.0,161.0,239.0,3.0,4.3640685,145.333
755,0.05,A,37.6286,-114.3819,20020801,20020802,32017.0,20020802,344.0,211.0,278.0,0.0,3.1780593,74.333
758,5.0,C,37.5864,-114.138,20000725,20000726,32017.0,20000725,378.0,167.0,272.0,0.0,1.1869695,111.333
759,0.0545454545454545,B,38.1783,-114.3825,20011005,20011026,32017.0,20011018,261.0,-6.0,128.0,0.0,2.105226,86.667
761,0.0047619047619047,A,37.965,-114.3322,20000807,20000827,32017.0,20000823,289.0,156.0,222.0,18.0,3.3193126000000004,112.333
762,0.1,A,37.5464,-114.4164,20020802,20020803,32017.0,20020802,344.0,211.0,278.0,0.0,3.1780593,74.333
766,17.0,C,37.5705,-114.6367,20000624,20000627,32017.0,20000627,339.0,128.0,233.0,0.0,1.9277226000000005,112.667
770,0.1,A,38.2766,-114.3261,20010705,20010705,32017.0,20010705,383.0,194.0,289.0,0.0,2.891093,99.0
772,0.0681818181818181,B,38.0405,-114.2744,20011005,20011026,32017.0,20011018,261.0,-6.0,128.0,0.0,2.105226,86.667
776,0.05,A,38.1683,-114.4689,19990707,19990708,32017.0,19990707,322.0,217.0,272.0,0.0,3.826549,141.333
777,0.1,A,38.2302,-114.6014,20020601,20020601,32017.0,20020601,317.0,161.0,239.0,3.0,4.3640685,145.333
780,1.6666666666666667,B,37.4408,-114.218,20010716,20010718,32017.0,20010716,306.0,83.0,194.0,0.0,4.445443,110.333
783,0.05,A,38.2505,-114.7817,20020916,20020917,32017.0,20020916,289.0,100.0,194.0,0.0,2.89233,58.667
784,4.285714285714286,C,38.2736,-114.3786,20020727,20020802,32017.0,20020802,344.0,211.0,278.0,0.0,3.1780593,74.333
786,0.5,B,37.6286,-114.5747,20010904,20010904,32017.0,20010904,317.0,144.0,233.0,36.0,1.9235466,93.333
788,21.3,D,38.4344,-114.7975,20020725,20020803,32017.0,20020802,344.0,211.0,278.0,0.0,3.1780593,74.333
789,2.375,C,38.2233,-114.6514,20010704,20010711,32017.0,20010704,400.0,178.0,289.0,0.0,2.7772179,99.0
793,0.15,B,38.0336,-114.1458,20000802,20000803,32017.0,20000802,378.0,183.0,283.0,0.0,1.6699982,111.333
795,0.1,A,37.9102,-114.4172,20010904,20010904,32017.0,20010904,317.0,144.0,233.0,36.0,1.9235466,93.333
798,0.1,A,38.0955,-114.6456,19990825,19990825,32017.0,19990825,333.0,133.0,233.0,0.0,0.29546764,98.333
799,4.285714285714286,C,38.2736,-114.3786,20020727,20020802,32017.0,20020727,344.0,150.0,250.0,0.0,3.197252,74.333
803,0.0333333333333333,A,38.3183,-114.3592,20000731,20000802,32017.0,20000802,378.0,183.0,283.0,0.0,1.6699982,111.333
805,0.1,A,38.2866,-114.7389,20020601,20020601,32017.0,20020601,317.0,161.0,239.0,3.0,4.3640685,145.333
806,0.0018867924528301,A,38.645,-114.6469,20020709,20020830,32017.0,20020821,294.0,117.0,206.0,0.0,2.6828794,66.333
807,0.1,A,37.8022,-114.363,20000627,20000627,32017.0,20000627,339.0,128.0,233.0,0.0,1.9277226000000005,112.667
808,2.375,C,38.2233,-114.6514,20010704,20010711,32017.0,20010710,344.0,150.0,250.0,0.0,0.9352058,110.333
811,0.0999999999999999,B,37.925,-114.57,20000731,20000802,32017.0,20000802,378.0,183.0,283.0,0.0,1.6699982,111.333
814,72.79310344827586,F,38.1405,-114.2972,20000801,20000829,32017.0,20000828,300.0,161.0,233.0,30.0,0.80950487,112.333
817,0.0018867924528301,A,38.645,-114.6469,20020709,20020830,32017.0,20020723,361.0,156.0,261.0,0.0,3.6034787000000006,74.333
822,0.0285714285714285,A,38.0564,-114.1486,20010808,20010814,32017.0,20010810,356.0,150.0,256.0,61.0,0.69000244,115.333
824,1.6666666666666667,B,37.7627,-114.5692,19990707,19990709,32017.0,19990707,322.0,217.0,272.0,0.0,3.826549,141.333
825,39.310344827586206,F,38.22,-114.0894,20020601,20020629,32017.0,20020617,372.0,94.0,233.0,0.0,2.217402,115.0
830,710.5833333333334,G,38.0,-114.1341,20020711,20020722,32017.0,20020711,383.0,167.0,278.0,30.0,1.0024415,60.0
831,2.375,C,38.2233,-114.6514,20010704,20010711,32017.0,20010708,333.0,150.0,244.0,0.0,1.4166173999999998,110.333
834,39.310344827586206,F,38.22,-114.0894,20020601,20020629,32017.0,20020607,356.0,117.0,239.0,0.0,5.4895735,145.333
835,1.3888888888888888,C,37.5066,-114.3897,20010628,20010715,32017.0,20010709,300.0,172.0,239.0,0.0,1.6347818,110.333
836,25.0,C,38.2141,-114.5519,19990707,19990707,32017.0,19990707,322.0,217.0,272.0,0.0,3.826549,141.333
837,1.0,B,38.3333,-114.4342,20000805,20000805,32017.0,20000805,383.0,156.0,272.0,0.0,1.8197031000000004,111.333
838,0.1,A,37.5983,-114.6706,20010812,20010812,32017.0,20010812,350.0,139.0,244.0,5.0,2.0201032,115.333
839,39.310344827586206,F,38.22,-114.0894,20020601,20020629,32017.0,20020612,300.0,33.0,167.0,0.0,1.1820819,115.0
842,1.3333333333333333,B,37.043,-115.132,20000724,20000726,32017.0,20000726,367.0,150.0,261.0,0.0,2.9436457000000003,111.333
845,23.5,E,38.5,-114.6342,20010703,20010803,32017.0,20010722,339.0,72.0,206.0,0.0,0.912636,93.0
850,1964.875,G,38.2666,-114.1341,20000727,20000803,32017.0,20000802,378.0,183.0,283.0,0.0,1.6699982,111.333
851,45.0,C,38.1033,-114.5708,20020709,20020710,32017.0,20020709,417.0,144.0,283.0,0.0,3.2284515,60.0
852,0.3333333333333333,B,38.1283,-114.6206,20010911,20010925,32017.0,20010920,328.0,56.0,194.0,0.0,1.566045,71.333
853,1.3888888888888888,C,37.5066,-114.3897,20010628,20010715,32017.0,20010708,333.0,150.0,244.0,0.0,1.4166173999999998,110.333
858,0.2272727272727272,B,38.4016,-114.3892,20010815,20010905,32017.0,20010828,383.0,117.0,250.0,0.0,0.42202398,96.333
860,0.15,B,38.0336,-114.1458,20000802,20000803,32017.0,20000803,367.0,200.0,283.0,0.0,1.6967308999999997,111.333
861,0.05,A,37.6575,-114.3897,20000825,20000826,32017.0,20000826,294.0,161.0,228.0,10.0,2.5763645,112.333
864,0.2,A,37.9216,-114.5725,20000807,20000807,32017.0,20000807,350.0,144.0,250.0,0.0,1.9659573,111.333
