,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.05,A,39.27733,-119.45994,20130913,20130914,32019.0,20130913,171.0,82.0,119.0,25.0,1.4951253999999998,98.0
1,0.2666666666666666,B,39.3333,-119.1492,20150802,20150804,32019.0,20150803,213.0,73.0,142.0,0.0,1.9924859,109.5
2,0.1,A,38.8106,-119.2347,20140824,20140824,32019.0,20140824,241.0,11.0,134.0,0.0,0.79924244,115.0
3,0.3,B,39.2847,-119.2419,20150803,20150803,32019.0,20150803,213.0,73.0,142.0,0.0,1.9924859,109.5
5,0.1,A,39.0072,-119.4189,20130817,20130817,32019.0,20130817,273.0,77.0,179.0,0.0,2.0615528000000003,130.5
6,0.1,A,38.61638889,-119.24,20120805,20120805,32019.0,20120805,221.0,100.0,157.0,0.0,2.9510832,82.0
7,0.1,A,38.8797,-119.44,20120804,20120804,32019.0,20120804,259.0,120.0,178.0,0.0,0.45276657,82.0
8,0.1,A,38.8472,-119.4114,20150701,20150701,32019.0,20150701,378.0,194.0,279.0,0.0,2.4141512,144.5
9,6.0,B,39.4433,-119.2544,20120423,20120423,32019.0,20120423,152.0,49.0,95.0,0.0,1.8010026,212.0
10,0.1,A,38.63416667,-119.22972222,20120722,20120722,32019.0,20120722,215.0,119.0,161.0,0.0,2.4777603,118.0
11,0.1,A,38.62888889,-119.2725,20120804,20120804,32019.0,20120804,259.0,120.0,178.0,0.0,0.45276657,82.0
12,0.2666666666666666,B,39.3333,-119.1492,20150802,20150804,32019.0,20150804,333.0,156.0,247.0,3.0,2.3480043,109.5
13,0.1,A,39.47819,-119.23481,20130808,20130808,32019.0,20130808,306.0,144.0,226.0,262.0,3.5356703,115.0
14,0.1,A,39.5964,-119.2394,20100802,20100802,32019.0,20100802,206.0,76.0,141.0,0.0,2.5811863,61.0
15,0.1,A,39.14342,-119.54369,20150721,20150721,32019.0,20150721,201.0,87.0,121.0,25.0,2.8636734,96.0
16,0.1,A,39.2039,-119.5925,20120423,20120423,32019.0,20120423,152.0,49.0,95.0,0.0,1.8010026,212.0
17,0.5,B,39.2161,-119.61,20100905,20100906,32019.0,20100906,179.0,29.0,102.0,0.0,2.4305072,60.0
18,1.5,B,38.71222222,-119.36222222,20150802,20150803,32019.0,20150803,213.0,73.0,142.0,0.0,1.9924859,109.5
19,0.1,A,39.06036,-119.60786,20140701,20140701,32019.0,20140701,267.0,137.0,188.0,0.0,0.6109901,78.0
20,13.0,C,39.3875,-119.3564,20120421,20120421,32019.0,20120421,162.0,60.0,105.0,0.0,1.6370958,212.0
21,0.3,B,39.2944,-119.3144,20140601,20140601,32019.0,20140601,179.0,28.0,105.0,0.0,0.73681325,125.0
22,0.1,A,38.61027778,-119.25277778,20120805,20120805,32019.0,20120805,221.0,100.0,157.0,0.0,2.9510832,82.0
23,0.25,A,38.63666667,-119.39083333,20130613,20130613,32019.0,20130613,261.0,100.0,189.0,0.0,4.351361,158.5
24,0.2666666666666666,B,39.3333,-119.1492,20150802,20150804,32019.0,20150802,267.0,100.0,188.0,0.0,2.95,109.5
25,0.05,A,38.8283,-119.4178,20140811,20140812,32019.0,20140812,176.0,78.0,130.0,0.0,2.2837293,87.0
26,1.6,B,38.7372,-119.4075,20140526,20140527,32019.0,20140526,164.0,81.0,120.0,0.0,3.7944467,125.0
27,0.1,A,38.65416667,-119.30305556,20130704,20130704,32019.0,20130704,361.0,206.0,287.0,0.0,1.16055,148.5
28,0.1,A,38.52444444,-118.96166667,20140414,20140414,32019.0,20140414,239.0,33.0,121.0,0.0,1.9988186,206.0
29,0.1,A,38.62777778,-119.27361111,20130817,20130817,32019.0,20130817,273.0,77.0,179.0,0.0,2.0615528000000003,130.5
30,0.1,A,39.2589,-119.5089,20120625,20120625,32019.0,20120625,110.0,12.0,57.0,0.0,3.8773437,141.5
31,0.5,B,39.2942,-119.2494,20100716,20100717,32019.0,20100716,253.0,141.0,189.0,0.0,2.3202012,61.0
32,0.3,B,39.5889,-119.1586,20100722,20100722,32019.0,20100722,231.0,82.0,156.0,0.0,1.199997,61.0
33,0.1,A,38.43222222,-119.185,20140717,20140717,32019.0,20140717,201.0,121.0,155.0,0.0,2.155413,60.0
35,0.1,A,38.4325,-119.11472222,20130704,20130704,32019.0,20130704,361.0,206.0,287.0,0.0,1.16055,148.5
36,0.1,A,39.8107,-119.2284,20150906,20150906,32019.0,20150906,220.0,-23.0,89.0,0.0,1.4407028,100.0
37,0.1,A,39.302637,-119.198622,20150604,20150604,32019.0,20150604,109.0,11.0,55.0,0.0,1.9501601,149.667
38,0.1,A,38.47138889,-119.14944444,20130818,20130818,32019.0,20130818,361.0,161.0,262.0,0.0,1.2723583,130.5
39,0.05,A,38.64527778,-119.29305556,20150722,20150723,32019.0,20150723,306.0,144.0,230.0,0.0,3.3205795,126.5
40,0.05,A,39.27733,-119.45994,20130913,20130914,32019.0,20130914,322.0,133.0,217.0,0.0,0.99367,98.0
41,0.5,B,39.2161,-119.61,20100905,20100906,32019.0,20100905,178.0,48.0,115.0,0.0,2.3745308,60.0
42,32.0,C,39.2567,-119.6511,20130630,20130702,32019.0,20130702,271.0,79.0,170.0,330.0,1.6541974999999998,148.5
43,32.0,C,39.2567,-119.6511,20130630,20130702,32019.0,20130630,394.0,189.0,301.0,0.0,0.60033846,91.0
44,0.1,A,39.2267,-119.6436,20120728,20120728,32019.0,20120728,223.0,72.0,139.0,0.0,2.908425,118.5
45,0.1,A,38.39138889,-119.19888889,20140715,20140715,32019.0,20140715,389.0,217.0,297.0,0.0,3.1200593,60.0
46,0.1,A,39.2269,-119.6308,20120728,20120728,32019.0,20120728,223.0,72.0,139.0,0.0,2.908425,118.5
47,0.05,A,39.00653,-119.41156,20130817,20130818,32019.0,20130818,361.0,161.0,262.0,0.0,1.2723583,130.5
48,0.1,A,38.8097,-119.2261,20150823,20150823,32019.0,20150823,208.0,120.0,154.0,0.0,2.1692452,101.0
49,1.5,B,38.71222222,-119.36222222,20150802,20150803,32019.0,20150802,267.0,100.0,188.0,0.0,2.95,109.5
50,0.7,B,39.41825,-119.19142,20140409,20140409,32019.0,20140409,164.0,51.0,118.0,0.0,2.9436383,206.0
51,6.0,B,39.2644,-119.5881,20121030,20121030,32019.0,20121030,122.0,47.0,77.0,0.0,1.4230298,103.5
52,0.05,A,38.8283,-119.4178,20140811,20140812,32019.0,20140811,322.0,161.0,235.0,0.0,1.2030358,87.0
53,32.0,C,39.2567,-119.6511,20130630,20130702,32019.0,20130701,269.0,138.0,204.0,0.0,1.6101202,148.5
54,0.5,B,39.2942,-119.2494,20100716,20100717,32019.0,20100717,251.0,128.0,182.0,0.0,3.345721,61.0
55,0.05,A,39.00653,-119.41156,20130817,20130818,32019.0,20130817,273.0,77.0,179.0,0.0,2.0615528000000003,130.5
56,0.1,A,38.81053,-119.22628,20150905,20150905,32019.0,20150905,188.0,2.0,86.0,0.0,1.1543397,100.0
57,1.6,B,38.7372,-119.4075,20140526,20140527,32019.0,20140527,174.0,54.0,117.0,0.0,3.630342,125.0
58,0.05,A,38.64527778,-119.29305556,20150722,20150723,32019.0,20150722,173.0,80.0,114.0,0.0,3.3712943,126.5
59,0.05,A,39.2941,-119.4254,20000617,20000618,32019.0,20000617,207.0,38.0,119.0,0.0,3.3900003,82.0
60,2.0,B,39.1658,-119.5008,20060818,20060819,32019.0,20060818,208.0,92.0,140.0,0.0,1.9992255,118.0
61,0.1,A,39.4169,-119.4177,20040722,20040722,32019.0,20040722,295.0,81.0,176.0,0.0,0.73165095,62.0
62,27.0,D,39.2761,-119.5886,20060526,20060530,32019.0,20060529,123.0,-56.0,23.0,76.0,0.8668239999999999,187.0
63,0.05,A,39.1132,-119.5429,20030607,20030608,32019.0,20030607,225.0,96.0,145.0,51.0,2.961379,92.0
64,1085.2857142857142,G,39.4852,-119.3793,20000629,20000705,32019.0,20000705,233.0,83.0,161.0,0.0,3.7898517,67.0
66,30.916666666666668,F,38.8361,-119.3928,20110930,20111104,32019.0,20111004,68.0,-4.0,16.0,25.0,3.3655410000000003,125.5
67,0.1,A,38.62333333,-119.34,20090705,20090705,32019.0,20090705,185.0,84.0,125.0,0.0,2.934707,85.0
68,1085.2857142857142,G,39.4852,-119.3793,20000629,20000705,32019.0,20000704,267.0,94.0,183.0,0.0,2.0838745,67.0
69,0.125,A,38.49805556,-119.02472222,20090702,20090703,32019.0,20090703,183.0,91.0,132.0,0.0,2.546086,85.0
70,0.1,A,39.1802,-119.5366,20010710,20010710,32019.0,20010710,204.0,57.0,110.0,152.0,2.2157693,88.0
71,30.916666666666668,F,38.8361,-119.3928,20110930,20111104,32019.0,20111013,153.0,87.0,111.0,0.0,1.7712523,125.5
72,0.1,A,38.9888,-119.4341,19990731,19990731,32019.0,19990731,232.0,49.0,139.0,0.0,0.90272665,48.0
