,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
11,6.0,C,38.946,-118.801,20020405,20020406,32021.0,20020406,178.0,61.0,122.0,0.0,3.5293339999999995,100.0
12,0.15,B,38.4699,-118.891,20010810,20010811,32021.0,20010811,361.0,161.0,261.0,0.0,0.51419723,127.0
17,0.05,A,38.1975,-118.73027778,20050728,20050729,32021.0,20050729,317.0,161.0,239.0,5.0,3.051774,149.0
21,391.0,F,38.0305,-118.4426,20030622,20030624,32021.0,20030623,222.0,89.0,156.0,0.0,2.7819602000000003,104.0
22,13.333333333333334,C,38.8996,-118.7049,20040624,20040626,32021.0,20040625,328.0,133.0,233.0,0.0,3.0197313,120.0
23,0.1,A,38.2908,-118.291,19990810,19990810,32021.0,19990810,261.0,122.0,194.0,3.0,2.9125514,128.0
24,2.5,B,38.5438,-118.5443,20000622,20000623,32021.0,20000623,367.0,211.0,283.0,0.0,3.7447758,110.0
31,6.0,C,38.946,-118.801,20020405,20020406,32021.0,20020405,267.0,89.0,178.0,0.0,3.705520200000001,100.0
33,0.1,A,38.521,-117.8084,20000803,20000804,32021.0,20000804,389.0,228.0,311.0,0.0,3.0336895,135.0
37,3.0,B,38.4908,-118.8299,20020713,20020714,32021.0,20020714,372.0,189.0,283.0,0.0,3.9134982,117.0
43,40.0,C,38.25555556,-118.48611111,20050717,20050718,32021.0,20050717,383.0,183.0,283.0,0.0,1.94743,136.0
44,0.05,A,38.1975,-118.73027778,20050728,20050729,32021.0,20050728,400.0,217.0,311.0,56.0,2.687938,149.0
48,40.0,C,38.25555556,-118.48611111,20050717,20050718,32021.0,20050718,383.0,211.0,300.0,0.0,0.58309674,136.0
58,0.15,B,38.4699,-118.891,20010810,20010811,32021.0,20010810,356.0,167.0,261.0,0.0,0.69000244,127.0
59,0.1,A,38.4244,-118.7704,20030823,20030823,32021.0,20030823,367.0,194.0,283.0,0.0,2.792303,136.0
61,1.0,B,38.836,-118.8382,20010810,20010811,32021.0,20010810,356.0,167.0,261.0,0.0,0.69000244,127.0
62,7.5,C,38.4896,-117.9659,19990810,19990811,32021.0,19990811,317.0,150.0,233.0,0.0,2.0084853,128.0
64,13.333333333333334,C,38.8996,-118.7049,20040624,20040626,32021.0,20040626,372.0,172.0,272.0,0.0,2.956255,120.0
65,4.0,B,38.9321,-118.8576,20000903,20000904,32021.0,20000904,256.0,61.0,161.0,0.0,3.5192049,126.0
68,0.25,A,38.17916667,-118.71166667,20050715,20050715,32021.0,20050715,383.0,189.0,289.0,0.0,0.9617652,136.0
71,0.1,A,38.17333333,-118.71388889,20050729,20050729,32021.0,20050729,317.0,161.0,239.0,5.0,3.051774,149.0
72,391.0,F,38.0305,-118.4426,20030622,20030624,32021.0,20030622,328.0,156.0,244.0,0.0,2.4824462000000005,104.0
86,9.0,B,39.2438,-117.3137,20000914,20000914,32021.0,20000914,378.0,161.0,272.0,0.0,2.403515,126.0
91,13.333333333333334,C,38.8996,-118.7049,20040624,20040626,32021.0,20040624,322.0,117.0,222.0,0.0,2.583125,120.0
92,3.0,B,38.4908,-118.8299,20020713,20020714,32021.0,20020713,394.0,178.0,289.0,0.0,1.5489688999999998,117.0
93,0.1,A,38.17638889,-118.71416667,20050728,20050728,32021.0,20050728,400.0,217.0,311.0,56.0,2.687938,149.0
95,4.0,B,38.9321,-118.8576,20000903,20000904,32021.0,20000903,300.0,139.0,222.0,0.0,2.1426377,126.0
97,7.5,C,38.4896,-117.9659,19990810,19990811,32021.0,19990810,261.0,122.0,194.0,3.0,2.9125514,128.0
98,2.5,B,38.5438,-118.5443,20000622,20000623,32021.0,20000622,367.0,239.0,300.0,33.0,3.3817945,110.0
99,0.1,A,38.521,-117.8084,20000803,20000804,32021.0,20000803,400.0,239.0,322.0,0.0,1.6967308999999997,135.0
100,391.0,F,38.0305,-118.4426,20030622,20030624,32021.0,20030624,294.0,150.0,222.0,0.0,4.223389599999999,111.0
101,1.0,B,38.836,-118.8382,20010810,20010811,32021.0,20010811,361.0,161.0,261.0,0.0,0.51419723,127.0
