,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
125,0.0416666666666666,B,40.4516,-118.0762,20010807,20010830,32027.0,20010823,300.0,44.0,172.0,0.0,2.851617,69.5
127,1077.0,F,40.4774,-119.2268,20010812,20010813,32027.0,20010813,356.0,150.0,256.0,0.0,2.9666536,69.5
128,319.0,F,40.3996,-117.616,19990804,19990810,32027.0,19990810,267.0,117.0,194.0,0.0,3.776907,88.0
129,481.1666666666667,F,40.8282,-118.6527,19990804,19990809,32027.0,19990806,228.0,111.0,172.0,0.0,3.0491002000000003,88.0
131,7.541666666666667,C,40.3405,-119.1621,20010815,20010816,32027.0,20010815,372.0,94.0,233.0,0.0,1.1588408,69.5
133,2378.85,G,40.6243,-118.1671,20000717,20000722,32027.0,20000717,339.0,161.0,250.0,13.0,2.710128,74.0
137,3.78,C,40.2219,-117.7882,20000720,20000729,32027.0,20000727,361.0,117.0,239.0,0.0,2.2022808,80.0
138,62.5,D,40.6102,-118.4413,19990804,19990807,32027.0,19990806,228.0,111.0,172.0,0.0,3.0491002000000003,88.0
139,1778.571428571429,G,40.5896,-117.5382,19990804,19990810,32027.0,19990809,322.0,83.0,206.0,0.0,0.7203437,88.0
141,0.0999999999999999,B,40.7041,-117.8746,20040404,20040406,32027.0,20040404,233.0,56.0,144.0,0.0,3.3365393,248.0
142,1.0,B,40.7349,-117.6904,19990822,19990823,32027.0,19990823,350.0,122.0,239.0,8.0,1.637128,73.0
143,1778.571428571429,G,40.5896,-117.5382,19990804,19990810,32027.0,19990805,339.0,150.0,244.0,0.0,5.030803700000001,88.0
145,0.6666666666666666,B,40.801,-119.6127,19990917,19990919,32027.0,19990917,328.0,67.0,200.0,3.0,3.2718205,95.5
151,256.0,F,40.511,-118.2324,20010703,20010707,32027.0,20010703,400.0,150.0,278.0,0.0,5.05253,71.0
153,20.5,C,40.298,-118.2001,19990901,19990902,32027.0,19990901,244.0,67.0,156.0,0.0,3.0647194,73.0
156,3.78,C,40.2219,-117.7882,20000720,20000729,32027.0,20000720,367.0,117.0,244.0,0.0,2.166213,74.0
158,256.0,F,40.511,-118.2324,20010703,20010707,32027.0,20010705,339.0,178.0,261.0,0.0,5.350756,71.0
159,0.0416666666666666,B,40.4516,-118.0762,20010807,20010830,32027.0,20010830,356.0,83.0,222.0,0.0,3.900411,69.5
164,2206.3,G,40.908,-117.8124,19990804,19990813,32027.0,19990813,322.0,89.0,206.0,0.0,2.4423294,73.0
165,51.4,D,40.7055,-117.8649,20000718,20000722,32027.0,20000720,367.0,117.0,244.0,0.0,2.166213,74.0
167,0.9,B,40.7027,-118.5288,20030904,20030905,32027.0,20030904,333.0,189.0,261.0,0.0,1.6020048999999998,76.5
168,941.55,F,40.5999,-118.60099,19990612,19990613,32027.0,19990613,356.0,150.0,256.0,0.0,1.0002,167.5
170,300.0,F,40.428,-118.1793,20010812,20010816,32027.0,20010815,372.0,94.0,233.0,0.0,1.1588408,69.5
171,100.0,D,40.6021,-118.0368,20010905,20010905,32027.0,20010905,339.0,117.0,228.0,0.0,6.095943,89.0
172,2206.3,G,40.908,-117.8124,19990804,19990813,32027.0,19990811,272.0,100.0,189.0,0.0,2.5394886000000003,88.0
