,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.1,A,38.7203,-114.6581,20120805,20120805,32033.0,20120805,197.0,112.0,152.0,0.0,2.9841213,100.5
1,0.1,A,39.34694444,-114.65166667,20130824,20130824,32033.0,20130824,125.0,51.0,80.0,51.0,4.274685400000001,106.0
2,69.02816901408451,F,38.8311,-114.1686,20130701,20130909,32033.0,20130702,264.0,174.0,213.0,0.0,2.9261675,95.333
3,0.1,A,38.865,-115.29083333,20130716,20130716,32033.0,20130716,213.0,114.0,161.0,25.0,3.603028,97.667
4,2.333333333333333,B,39.6981,-114.0883,20140412,20140414,32033.0,20140414,94.0,-37.0,21.0,0.0,1.5520663,160.0
5,0.1,A,39.0061,-114.2081,20130707,20130707,32033.0,20130707,198.0,76.0,129.0,0.0,3.1630325,99.5
6,0.0004651162790697,A,39.4167,-114.8167,20130501,20131201,32033.0,20130708,280.0,135.0,211.0,0.0,2.6723237,99.5
7,0.0125,A,39.4131,-114.9083,20130820,20130827,32033.0,20130825,148.0,59.0,103.0,76.0,4.3052807,106.0
8,0.1,A,39.1983,-115.0658,20140809,20140809,32033.0,20140809,174.0,90.0,125.0,0.0,1.8969508,95.5
9,228.1818181818182,G,39.24805556,-114.13333333,20140716,20140908,32033.0,20140802,221.0,116.0,172.0,0.0,1.3974313,69.667
10,69.02816901408451,F,38.8311,-114.1686,20130701,20130909,32033.0,20130708,280.0,135.0,211.0,0.0,2.6723237,99.5
11,0.05,A,38.0625,-114.5242,20150708,20150709,32033.0,20150708,181.0,72.0,131.0,0.0,2.6844459,90.0
12,0.05,A,38.575,-114.7231,20150630,20150701,32033.0,20150701,243.0,117.0,176.0,76.0,3.1410587000000003,90.0
13,0.0004651162790697,A,39.4167,-114.8167,20130501,20131201,32033.0,20131026,128.0,34.0,72.0,0.0,1.1727676,98.0
14,0.1,A,39.7364,-114.4614,20150814,20150814,32033.0,20150814,222.0,116.0,170.0,0.0,3.7353044,79.667
15,0.1,A,39.4889,-114.6928,20120805,20120805,32033.0,20120805,197.0,112.0,152.0,0.0,2.9841213,100.5
16,0.0004651162790697,A,39.4167,-114.8167,20130501,20131201,32033.0,20131123,11.0,-38.0,-21.0,0.0,4.625227,98.0
17,183.3333333333333,F,40.0261,-114.4494,20130701,20130706,32033.0,20130702,264.0,174.0,213.0,0.0,2.9261675,95.333
18,69.02816901408451,F,38.8311,-114.1686,20130701,20130909,32033.0,20130715,259.0,116.0,173.0,25.0,1.4230298,99.5
19,69.02816901408451,F,38.8311,-114.1686,20130701,20130909,32033.0,20130709,238.0,114.0,170.0,0.0,2.2069056,99.5
20,61.8235294117647,F,40.07,-114.9053,20130808,20130824,32033.0,20130820,159.0,86.0,116.0,25.0,1.2010382,106.0
21,15.384615384615383,D,39.8822,-114.6281,20150419,20150501,32033.0,20150428,160.0,27.0,95.0,0.0,0.9034655,125.667
22,69.02816901408451,F,38.8311,-114.1686,20130701,20130909,32033.0,20130807,214.0,76.0,138.0,0.0,3.109872,76.333
23,1.0,B,39.3444,-114.4944,20130820,20130820,32033.0,20130820,159.0,86.0,116.0,25.0,1.2010382,106.0
24,0.0004651162790697,A,39.4167,-114.8167,20130501,20131201,32033.0,20130715,259.0,116.0,173.0,25.0,1.4230298,99.5
25,15.384615384615383,D,39.8822,-114.6281,20150419,20150501,32033.0,20150429,131.0,34.0,84.0,0.0,3.002603,125.667
26,189.5,G,38.2775,-115.5175,20140715,20140908,32033.0,20140821,147.0,72.0,108.0,0.0,3.8684595,95.5
27,0.0004651162790697,A,39.4167,-114.8167,20130501,20131201,32033.0,20130809,190.0,83.0,135.0,0.0,4.1007867,76.333
29,1.0,B,40.1175,-114.0667,20140624,20140624,32033.0,20140624,317.0,78.0,230.0,0.0,2.4741192,85.5
30,189.5,G,38.2775,-115.5175,20140715,20140908,32033.0,20140901,250.0,47.0,147.0,0.0,0.77934957,94.0
31,0.1,A,38.5806,-115.0333,20120722,20120722,32033.0,20120722,224.0,118.0,155.0,25.0,1.9231467,102.5
32,0.3,B,39.1714,-114.8097,20100927,20100927,32033.0,20100927,241.0,122.0,167.0,0.0,1.6620673,108.333
33,0.05,A,38.8072,-115.8031,20150701,20150702,32033.0,20150701,243.0,117.0,176.0,76.0,3.1410587000000003,90.0
34,0.0004651162790697,A,39.4167,-114.8167,20130501,20131201,32033.0,20131029,-43.0,-93.0,-67.0,51.0,2.4166064,98.0
35,0.15,B,38.575,-114.7231,20150630,20150701,32033.0,20150701,243.0,117.0,176.0,76.0,3.1410587000000003,90.0
36,0.01,A,39.18305556,-114.74194444,20120517,20120517,32033.0,20120517,141.0,41.0,89.0,0.0,2.6076834,87.0
37,20.857142857142858,D,39.0319,-114.3661,20130818,20130824,32033.0,20130824,125.0,51.0,80.0,51.0,4.274685400000001,106.0
38,28.0,C,38.8803,-115.0047,20120712,20120712,32033.0,20120712,225.0,97.0,144.0,102.0,1.5926094,70.0
