,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.1,A,35.17305556,-106.37972222,20140426,20140426,35001.0,20140426,228.0,33.0,193.0,0.0,4.927411,62.667
1,0.05,A,35.05055556,-106.35694444,20140518,20140519,35001.0,20140518,311.0,139.0,226.0,0.0,3.1921470000000003,68.333
6,0.05,A,35.05055556,-106.35694444,20140518,20140519,35001.0,20140519,317.0,111.0,233.0,0.0,3.8805764,68.333
10,0.1,A,35.21472222,-106.44888889,20141206,20141206,35001.0,20141206,133.0,50.0,91.0,5.0,2.45204,50.875
11,0.1,A,35.01916667,-106.31638889,20140526,20140526,35001.0,20140526,233.0,94.0,132.0,0.0,1.9704039,68.333
12,0.1,A,35.05,-106.35138889,20130321,20130321,35001.0,20130321,233.0,89.0,162.0,0.0,3.8759375,84.0
18,0.1,A,34.99833333,-106.32166667,20130527,20130527,35001.0,20130527,294.0,150.0,226.0,0.0,3.11174,84.0
25,0.1,A,35.22083333,-106.47777778,20130502,20130502,35001.0,20130502,161.0,28.0,118.0,0.0,4.5105305,81.5
26,1.0,B,35.10027778,-106.35388889,20140628,20140628,35001.0,20140628,344.0,178.0,272.0,0.0,3.2593575,101.333
27,0.2,A,35.22111111,-106.4775,20130502,20130502,35001.0,20130502,161.0,28.0,118.0,0.0,4.5105305,81.5
29,0.1,A,35.22083333,-106.47805556,20130502,20130502,35001.0,20130502,161.0,28.0,118.0,0.0,4.5105305,81.5
30,0.1,A,35.06305556,-106.25138889,20140612,20140612,35001.0,20140612,322.0,172.0,257.0,0.0,0.6003395,68.333
35,0.1,A,35.22111111,-106.47777778,20130503,20130503,35001.0,20130503,189.0,28.0,94.0,0.0,1.7620806,84.0
37,0.01,A,35.2,-106.40027778,20130401,20130401,35001.0,20130401,233.0,89.0,162.0,0.0,2.5634592,84.0
38,0.1,A,35.18111111,-106.45722222,20140606,20140606,35001.0,20140606,350.0,194.0,279.0,0.0,0.2915523,68.333
39,0.05,A,35.09361111,-106.41,20140525,20140526,35001.0,20140526,233.0,94.0,132.0,0.0,1.9704039,68.333
40,0.1,A,35.05055556,-106.35444444,20140608,20140608,35001.0,20140608,328.0,172.0,236.0,0.0,0.42426836,68.333
41,0.05,A,35.09361111,-106.41,20140525,20140526,35001.0,20140525,211.0,61.0,139.0,71.0,1.2010382,68.333
43,0.1,A,35.20611111,-106.4975,20130502,20130502,35001.0,20130502,161.0,28.0,118.0,0.0,4.5105305,81.5
