,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,9.44962962962963,E,33.54305556,-109.02527778,20140712,20140903,35003.0,20140817,223.0,115.0,146.0,0.0,0.9881331,107.667
1,0.025,A,34.07222222,-108.70166667,20150704,20150707,35003.0,20150704,187.0,92.0,129.0,356.0,0.82006097,29.75
2,0.125,A,33.6,-108.88305556,20140707,20140708,35003.0,20140708,271.0,114.0,155.0,0.0,1.1607811,84.5
3,0.1,A,33.68,-108.51638889,20140709,20140709,35003.0,20140709,216.0,102.0,142.0,76.0,0.3890925,84.5
4,13.0,C,34.00805556,-108.29972222,20120421,20120421,35003.0,20120421,112.0,-13.0,41.0,25.0,0.144219,81.0
5,0.0166666666666666,A,33.82666667,-108.61638889,20150426,20150501,35003.0,20150427,90.0,10.0,39.0,0.0,1.6507573,90.0
6,0.0833333333333333,A,33.255,-108.27861111,20140617,20140619,35003.0,20140618,218.0,104.0,156.0,0.0,3.752391,100.0
7,0.032258064516129,B,33.31194444,-108.84083333,20140522,20140722,35003.0,20140630,301.0,158.0,224.0,0.0,3.9677227,84.5
8,0.02,A,33.74111111,-108.94361111,20150713,20150717,35003.0,20150715,185.0,90.0,124.0,152.0,2.1489823,29.75
9,0.1,A,33.42583333,-108.61416667,20150714,20150714,35003.0,20150714,208.0,109.0,141.0,51.0,1.343968,29.75
11,1.0,B,33.50194444,-108.01861111,20130630,20130630,35003.0,20130630,302.0,144.0,207.0,0.0,1.1768691999999998,103.167
12,0.032258064516129,B,33.31194444,-108.84083333,20140522,20140722,35003.0,20140715,183.0,111.0,139.0,0.0,0.8736656999999999,108.0
13,0.032258064516129,B,33.31194444,-108.84083333,20140522,20140722,35003.0,20140608,221.0,93.0,156.0,0.0,2.8645797,119.75
14,0.05,B,33.41,-108.18138889,20150616,20150705,35003.0,20150629,266.0,122.0,179.0,25.0,0.5396758,29.75
15,8.12962962962963,E,33.54305556,-109.02527778,20140712,20140903,35003.0,20140829,244.0,106.0,170.0,0.0,1.9235328,107.667
16,0.05,B,33.41,-108.18138889,20150616,20150705,35003.0,20150621,272.0,131.0,202.0,0.0,2.7018511000000003,29.75
17,0.032258064516129,B,33.31194444,-108.84083333,20140522,20140722,35003.0,20140719,274.0,143.0,195.0,25.0,3.118495,108.0
18,0.005,A,34.16055556,-108.00277778,20140912,20140913,35003.0,20140912,247.0,104.0,151.0,0.0,1.7978828999999998,107.667
19,0.1,A,33.44611111,-108.53861111,20140705,20140705,35003.0,20140705,206.0,105.0,139.0,51.0,1.4144965,84.5
20,0.25,A,34.15388889,-108.4875,20120821,20120821,35003.0,20120821,220.0,128.0,159.0,51.0,1.7196794999999998,108.0
21,0.1,A,34.2108333,-108.518611,20100720,20100720,35003.0,20100720,285.0,119.0,181.0,0.0,1.3741895,107.0
22,1.32,C,33.81666667,-108.48333333,20140724,20140911,35003.0,20140811,240.0,115.0,157.0,0.0,2.8282146,104.667
23,1.32,C,33.81666667,-108.48333333,20140724,20140911,35003.0,20140828,187.0,87.0,132.0,0.0,2.4484415,107.667
24,0.05,B,33.41,-108.18138889,20150616,20150705,35003.0,20150617,240.0,108.0,162.0,0.0,1.2002604,29.75
25,0.0004,A,34.29555556,-107.89305556,20140708,20140801,35003.0,20140727,229.0,109.0,150.0,25.0,0.83629924,104.667
26,6.2,B,33.3625,-108.98194444,20150701,20150701,35003.0,20150701,230.0,115.0,167.0,0.0,1.881821,29.75
27,0.1,A,33.68194444,-108.81916667,20120711,20120711,35003.0,20120711,256.0,113.0,180.0,51.0,2.9055724,94.5
28,0.1,A,33.63833333,-108.41638889,20130710,20130710,35003.0,20130710,213.0,119.0,163.0,51.0,0.33301732,115.667
29,0.032258064516129,B,33.31194444,-108.84083333,20140522,20140722,35003.0,20140706,206.0,125.0,162.0,0.0,1.3479203000000002,84.5
31,0.05,B,33.41,-108.18138889,20150616,20150705,35003.0,20150622,311.0,162.0,227.0,0.0,2.426546,29.75
