,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.05,A,33.4533,-104.4169,20150704,20150705,35005.0,20150705,361.0,189.0,269.0,8.0,4.626689,92.0
2,1.0,B,33.5344,-104.375,20130315,20130317,35005.0,20130316,317.0,100.0,190.0,0.0,2.9320405,67.0
3,0.1666666666666666,B,32.8549,-105.228303,20150625,20150627,35005.0,20150625,350.0,183.0,265.0,0.0,3.838049700000001,99.7779999999999
6,0.1,A,33.3974,-104.4197,20150722,20150722,35005.0,20150722,367.0,172.0,265.0,0.0,3.6003473,118.142999999999
9,0.1666666666666666,B,32.8549,-105.228303,20150625,20150627,35005.0,20150627,306.0,200.0,260.0,56.0,2.2718384,99.7779999999999
10,0.0666666666666666,A,33.4188,-103.8563,20150603,20150605,35005.0,20150604,372.0,167.0,271.0,0.0,5.325646,89.786
11,0.1,A,32.817903,-104.2583,20150501,20150501,35005.0,20150501,311.0,89.0,196.0,0.0,3.466356,91.111
13,1.0,B,33.5344,-104.375,20130315,20130317,35005.0,20130317,317.0,100.0,190.0,0.0,2.5066740000000003,67.0
17,0.5,B,33.3525,-104.3558,20130408,20130410,35005.0,20130408,300.0,117.0,221.0,0.0,5.738107,168.0
19,0.3,B,33.4478,-105.5392,20130407,20130407,35005.0,20130407,311.0,100.0,207.0,0.0,4.301081,168.0
20,0.5,B,33.3525,-104.3558,20130408,20130410,35005.0,20130410,122.0,-10.0,59.0,0.0,3.9492831,168.0
21,0.1,A,32.821603,-104.268897,20150416,20150416,35005.0,20150416,256.0,100.0,183.0,0.0,6.389151,89.889
24,2.0,B,33.7016,-104.521897,20151116,20151117,35005.0,20151117,167.0,17.0,97.0,0.0,8.308467,104.429
25,0.1,A,33.3686,-104.8471,20150726,20150726,35005.0,20150726,394.0,211.0,298.0,0.0,3.9957788,118.142999999999
26,0.5,B,32.8689,-104.803497,20150828,20150829,35005.0,20150829,328.0,178.0,248.0,8.0,1.6159363000000002,155.0
29,0.1666666666666666,B,32.8549,-105.228303,20150625,20150627,35005.0,20150626,372.0,189.0,276.0,0.0,1.0594811000000002,99.7779999999999
30,1.0,B,33.0278,-104.4406,20130614,20130614,35005.0,20130614,311.0,183.0,263.0,3.0,3.5843287000000004,89.538
31,2.0,B,33.0061,-104.7994,20150723,20150724,35005.0,20150723,383.0,194.0,287.0,23.0,3.793827,118.142999999999
35,0.2,A,33.1895,-104.3508,20150704,20150704,35005.0,20150704,339.0,189.0,255.0,0.0,3.0154810000000003,92.0
38,0.3,B,33.4193,-104.192497,20150810,20150810,35005.0,20150810,383.0,206.0,268.0,20.0,2.81125,125.357
39,3.5,B,33.3186,-104.3525,20150821,20150822,35005.0,20150821,383.0,206.0,282.0,0.0,4.1773195,155.0
42,0.5,B,32.8689,-104.803497,20150828,20150829,35005.0,20150828,350.0,194.0,269.0,20.0,2.6012018,155.0
47,3.25,B,33.4445,-103.888803,20150613,20150614,35005.0,20150613,322.0,161.0,254.0,0.0,3.5771847,96.889
48,3.5,B,33.3186,-104.3525,20150821,20150822,35005.0,20150822,389.0,200.0,283.0,0.0,2.7658634,155.0
49,0.2,A,33.347697,-105.042197,20150531,20150531,35005.0,20150531,300.0,139.0,206.0,0.0,2.8289795,89.786
51,2.0,B,33.47,-104.4163,20140623,20140623,35005.0,20140623,322.0,189.0,261.0,0.0,2.6681066,85.8
53,5.0,B,33.3942,-104.681197,20150906,20150906,35005.0,20150906,361.0,206.0,281.0,0.0,3.0,121.5
58,4.0,B,33.3469,-104.863097,20150706,20150706,35005.0,20150706,367.0,200.0,286.0,0.0,2.987683,92.0
59,0.05,A,33.4533,-104.4169,20150704,20150705,35005.0,20150704,339.0,189.0,255.0,0.0,3.0154810000000003,92.0
61,0.1,A,33.0572,-104.440103,20151210,20151210,35005.0,20151210,256.0,11.0,104.0,0.0,4.201934,81.833
65,0.1,A,33.1072,-104.4417,20130530,20130530,35005.0,20130530,361.0,200.0,282.0,0.0,3.9654813,76.357
66,0.1,A,32.984,-104.439797,20150719,20150719,35005.0,20150719,389.0,222.0,312.0,0.0,2.9501057,110.0
67,5.0,C,33.6369,-103.8956,20130313,20130314,35005.0,20130313,317.0,100.0,190.0,0.0,1.995823,67.0
69,2.0,B,33.7016,-104.521897,20151116,20151117,35005.0,20151116,256.0,56.0,163.0,3.0,6.8196864,104.429
