,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
557,7.5,C,32.4144,-104.2689,20050713,20050714,35015.0,20050713,361.0,183.0,272.0,0.0,1.7755286,99.4
589,7.5,C,32.4144,-104.2689,20050713,20050714,35015.0,20050714,389.0,194.0,294.0,0.0,2.0106933,91.8
593,19.5,C,32.6158,-104.3947,20050407,20050407,35015.0,20050407,233.0,22.0,128.0,0.0,1.505455,86.333
624,11.0,C,32.8494,-104.5258,20050602,20050602,35015.0,20050602,361.0,156.0,261.0,0.0,3.7254343,200.0
634,0.3,B,32.8431,-104.5019,20050602,20050602,35015.0,20050602,361.0,156.0,261.0,0.0,3.7254343,200.0
694,0.3,B,32.4183,-104.3206,20050623,20050623,35015.0,20050623,361.0,172.0,267.0,0.0,4.5502777000000005,124.6
706,0.3,B,32.5431,-104.3672,20050624,20050624,35015.0,20050624,378.0,183.0,283.0,0.0,5.497351,124.6
719,0.1,A,32.1384,-104.7688,20040723,20040723,35015.0,20040723,317.0,217.0,267.0,0.0,3.0768347,100.0
748,78.0,C,32.6061,-104.3453,20050623,20050623,35015.0,20050623,361.0,172.0,267.0,0.0,4.5502777000000005,124.6
782,5.1,B,32.8219,-104.2697,20050618,20050618,35015.0,20050618,417.0,172.0,294.0,0.0,2.8535104,124.6
787,1.0,B,32.1597,-104.0731,20050621,20050621,35015.0,20050621,350.0,194.0,272.0,0.0,3.3539412000000004,124.6
799,14.0,C,32.7906,-104.6436,20050630,20050630,35015.0,20050630,417.0,211.0,317.0,0.0,5.6315055,99.4
814,1.0,B,32.8175,-104.6914,20050706,20050707,35015.0,20050706,383.0,228.0,306.0,3.0,4.1576943,99.4
845,0.1,A,32.4932,-104.238,20040223,20040223,35015.0,20040223,172.0,83.0,128.0,41.0,2.0457046,58.0
849,35.0,C,32.8783,-104.6669,20050630,20050630,35015.0,20050630,417.0,211.0,317.0,0.0,5.6315055,99.4
855,0.1,A,32.8394,-104.5508,20050630,20050630,35015.0,20050630,417.0,211.0,317.0,0.0,5.6315055,99.4
860,1.2,B,32.7481,-104.6914,20050630,20050630,35015.0,20050630,417.0,211.0,317.0,0.0,5.6315055,99.4
862,1.5,B,32.8247,-104.6778,20050630,20050630,35015.0,20050630,417.0,211.0,317.0,0.0,5.6315055,99.4
867,0.3,B,32.4139,-104.2969,20050702,20050702,35015.0,20050702,383.0,194.0,289.0,0.0,4.211001,99.4
886,1.0,B,32.5108,-104.38,20050511,20050511,35015.0,20050511,333.0,111.0,222.0,0.0,5.7606416,121.667
890,2.0,B,32.4117,-103.5983,20050620,20050620,35015.0,20050620,372.0,194.0,283.0,0.0,5.2450433,124.6
