,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.1,A,32.85055556,-105.60444444,20130703,20130703,35035.0,20130703,225.0,98.0,150.0,178.0,3.1608393,66.0
1,0.1,A,32.92222222,-105.74583333,20120709,20120709,35035.0,20120709,240.0,127.0,175.0,25.0,2.2357566,80.0
2,0.01,A,32.965,-105.60583333,20150531,20150531,35035.0,20150531,251.0,98.0,159.0,0.0,4.255143599999999,89.786
3,28.33333333333333,C,32.0753,-104.8964,20100823,20100825,35035.0,20100825,178.0,101.0,135.0,0.0,4.764281,134.0
4,112.5,D,32.485,-105.7606,20100623,20100624,35035.0,20100624,255.0,106.0,158.0,51.0,4.2167325,142.0
6,223.75,E,32.3039,-105.185,20150426,20150429,35035.0,20150428,108.0,5.0,51.0,25.0,4.609568599999999,91.111
7,205.0,D,33.2274,-105.5512,20151125,20151125,35035.0,20151125,117.0,43.0,71.0,25.0,3.0623724,104.429
8,0.75,B,32.98277778,-105.47805556,20121201,20121201,35035.0,20121201,144.0,41.0,89.0,0.0,0.7206259,61.0
9,0.1,A,32.93138889,-105.76138889,20150722,20150722,35035.0,20150722,217.0,120.0,158.0,0.0,1.2828191999999998,118.142999999999
10,0.2,A,32.82555556,-105.83055556,20140524,20140524,35035.0,20140524,178.0,44.0,107.0,0.0,2.303131,74.667
11,223.75,E,32.3039,-105.185,20150426,20150429,35035.0,20150429,155.0,21.0,94.0,25.0,2.8100266,91.111
12,0.25,A,32.90416667,-105.50472222,20120315,20120315,35035.0,20120315,166.0,47.0,103.0,0.0,0.5905961,75.0
13,0.1,A,32.96611111,-105.73611111,20150731,20150731,35035.0,20150731,205.0,111.0,159.0,25.0,2.6254761,118.142999999999
14,0.1,A,32.70472222,-105.70722222,20140621,20140621,35035.0,20140621,294.0,133.0,202.0,0.0,1.8310905,85.8
15,0.25,A,32.91361111,-105.74805556,20130711,20130711,35035.0,20130711,227.0,119.0,171.0,51.0,2.1742377,90.214
16,112.5,D,32.485,-105.7606,20100623,20100624,35035.0,20100623,280.0,144.0,213.0,0.0,0.5768886999999999,142.0
17,223.75,E,32.3039,-105.185,20150426,20150429,35035.0,20150427,97.0,7.0,39.0,25.0,2.0256174,89.889
18,0.0333333333333333,A,32.97694444,-105.76277778,20140607,20140609,35035.0,20140609,259.0,105.0,182.0,0.0,1.2093443,85.8
19,0.0333333333333333,A,32.97694444,-105.76277778,20140607,20140609,35035.0,20140607,282.0,119.0,196.0,0.0,2.9124804,85.8
20,3.0,B,32.4375,-106.51,20100624,20100624,35035.0,20100624,255.0,106.0,158.0,51.0,4.2167325,142.0
21,0.05,A,32.96555556,-105.735,20150625,20150626,35035.0,20150625,227.0,133.0,175.0,0.0,2.4679193,99.7779999999999
22,0.05,A,32.72055556,-105.65472222,20150924,20150925,35035.0,20150925,175.0,84.0,127.0,0.0,3.880158,112.857
23,0.85,B,32.66972222,-105.61555556,20140630,20140701,35035.0,20140630,287.0,163.0,211.0,0.0,3.2783275,85.8
