,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
1,0.0011494252873563,A,35.85472222,-106.52638889,20150706,20150930,35043.0,20150808,188.0,77.0,129.0,0.0,1.7714753,109.0
2,62.36231884057971,F,35.74722222,-106.58,20140813,20141020,35043.0,20140827,162.0,75.0,110.0,0.0,0.5755941,97.333
3,0.25,B,35.4886,-107.0365,20130630,20130701,35043.0,20130701,200.0,64.0,123.0,0.0,1.2238513,81.333
4,0.5886363636363636,C,35.66111111,-106.55611111,20140707,20140819,35043.0,20140804,180.0,94.0,136.0,0.0,1.3200073,97.333
5,0.0011494252873563,A,35.85472222,-106.52638889,20150706,20150930,35043.0,20150715,211.0,88.0,140.0,0.0,1.844756,118.333
6,0.5886363636363636,C,35.66111111,-106.55611111,20140707,20140819,35043.0,20140711,216.0,88.0,136.0,51.0,1.2953028999999998,74.333
7,0.023076923076923,B,35.77472222,-106.83861111,20150705,20150717,35043.0,20150717,177.0,95.0,132.0,0.0,1.892254,118.333
8,0.0011494252873563,A,35.85472222,-106.52638889,20150706,20150930,35043.0,20150819,209.0,34.0,134.0,0.0,2.66845,109.0
9,0.5886363636363636,C,35.66111111,-106.55611111,20140707,20140819,35043.0,20140725,263.0,115.0,186.0,0.0,1.6714648999999997,97.333
10,0.1,A,35.8586111,-106.627778,20100721,20100721,35043.0,20100721,219.0,105.0,145.0,0.0,1.4911082,99.667
11,0.0011494252873563,A,35.85472222,-106.52638889,20150706,20150930,35043.0,20150729,211.0,87.0,125.0,152.0,0.36055514,109.0
13,0.25,B,35.81083333,-106.62333333,20140504,20140505,35043.0,20140504,174.0,24.0,106.0,0.0,2.8877804,49.0
14,62.36231884057971,F,35.74722222,-106.58,20140813,20141020,35043.0,20140821,196.0,100.0,142.0,0.0,2.1914580000000004,97.333
15,0.0011494252873563,A,35.85472222,-106.52638889,20150706,20150930,35043.0,20150910,220.0,49.0,128.0,0.0,1.6446883999999995,24.4
16,0.0125,A,35.81222222,-106.52888889,20140817,20140824,35043.0,20140820,176.0,94.0,129.0,0.0,3.109809,97.333
17,0.0071428571428571,A,35.90055556,-106.47888889,20140709,20140722,35043.0,20140711,216.0,88.0,136.0,51.0,1.2953028999999998,74.333
18,0.1,A,36.00277778,-106.81638889,20120722,20120722,35043.0,20120722,251.0,82.0,166.0,0.0,0.5768886999999999,97.667
20,0.05,A,35.74861111,-106.7575,20140708,20140709,35043.0,20140708,223.0,46.0,120.0,229.0,1.4637246000000002,65.333
21,0.0083333333333333,A,35.88638889,-106.72611111,20140711,20140722,35043.0,20140721,234.0,116.0,172.0,0.0,2.8940144,74.333
22,0.0208333333333333,A,36.035,-106.89333333,20140728,20140808,35043.0,20140803,203.0,20.0,132.0,25.0,1.8973665,97.333
