,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
1,0.1,A,35.53333333,-105.49388889,20130618,20130618,35047.0,20130618,170.0,60.0,107.0,0.0,4.384276,73.2
2,0.1,A,35.755,-105.6625,20140615,20140615,35047.0,20140615,163.0,31.0,105.0,0.0,0.6708272,99.5
4,0.0166666666666666,A,35.60333333,-105.55305556,20140801,20140806,35047.0,20140801,115.0,53.0,76.0,152.0,1.8788279,81.4
5,0.05,A,35.67055556,-105.77055556,20140713,20140714,35047.0,20140713,146.0,70.0,91.0,76.0,1.7032111,81.6
7,0.0166666666666666,A,35.60333333,-105.55305556,20140801,20140806,35047.0,20140804,142.0,68.0,89.0,127.0,2.9068973,81.6
9,0.25,B,35.58222222,-105.69472222,20150413,20150414,35047.0,20150413,65.0,-23.0,7.0,0.0,5.621499,70.4
10,0.1,A,35.70583333,-105.41222222,20120603,20120603,35047.0,20120603,191.0,65.0,108.0,0.0,1.8246446,93.333
11,0.1,A,35.72,-105.46833333,20130708,20130708,35047.0,20130708,166.0,68.0,100.0,229.0,4.8202667,73.2
15,0.1,A,35.6475,-105.64194444,20120805,20120805,35047.0,20120805,162.0,39.0,110.0,0.0,3.0565484,99.5
16,0.0166666666666666,A,35.76055556,-105.68,20140802,20140807,35047.0,20140806,180.0,79.0,123.0,0.0,2.5044987,81.6
17,0.0166666666666666,A,35.60333333,-105.55305556,20140801,20140806,35047.0,20140802,103.0,37.0,70.0,25.0,1.8780072,81.6
18,0.05,A,35.64138889,-105.62527778,20140729,20140730,35047.0,20140729,119.0,70.0,90.0,51.0,3.2009969,81.6
19,0.05,A,35.64138889,-105.62527778,20140729,20140730,35047.0,20140730,172.0,76.0,106.0,25.0,2.0632262,81.6
20,0.0166666666666666,A,35.60333333,-105.55305556,20140801,20140806,35047.0,20140803,146.0,47.0,90.0,0.0,2.2401803,81.6
24,0.0166666666666666,A,35.76055556,-105.68,20140802,20140807,35047.0,20140807,172.0,34.0,90.0,203.0,1.5247333,81.6
25,0.0166666666666666,A,35.76055556,-105.68,20140802,20140807,35047.0,20140803,146.0,47.0,90.0,0.0,2.2401803,81.6
