,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,26.5,C,33.37916667,-107.89277778,20150626,20150626,35051.0,20150626,252.0,139.0,194.0,0.0,1.4128871,114.5
1,2.0,B,33.38333333,-107.95666667,20140701,20140703,35051.0,20140702,244.0,106.0,160.0,51.0,2.620859,48.857
2,0.05,A,33.35472222,-107.83138889,20150630,20150701,35051.0,20150701,261.0,130.0,198.0,0.0,2.1505814,50.286
3,2.0,B,33.38333333,-107.95666667,20140701,20140703,35051.0,20140703,214.0,124.0,162.0,25.0,3.4660193999999995,48.857
4,0.1,A,33.26333333,-107.82666667,20150810,20150810,35051.0,20150810,236.0,120.0,173.0,0.0,0.56678927,81.182
5,0.1,A,33.38027778,-107.89361111,20130706,20130706,35051.0,20130706,243.0,128.0,183.0,0.0,0.39051482,55.333
6,0.05,A,33.33111111,-107.84361111,20150601,20150602,35051.0,20150601,231.0,121.0,163.0,0.0,2.0458798,91.4
7,6.25,C,32.7558,-107.5331,20140410,20140413,35051.0,20140413,168.0,27.0,89.0,0.0,5.1295757,88.0
8,0.05,A,33.33111111,-107.84361111,20150601,20150602,35051.0,20150602,253.0,127.0,185.0,0.0,1.684117,78.333
9,0.05,A,33.33666667,-107.85944444,20140617,20140618,35051.0,20140617,256.0,109.0,166.0,25.0,3.5602562000000004,97.3639999999999
11,1.0,B,33.24111111,-107.84388889,20150623,20150623,35051.0,20150623,263.0,139.0,203.0,0.0,3.9739778,114.5
12,0.1,A,32.90361111,-107.71888889,20150422,20150422,35051.0,20150422,170.0,51.0,100.0,0.0,2.7057807,94.0
13,6.25,C,32.7558,-107.5331,20140410,20140413,35051.0,20140412,168.0,45.0,108.0,0.0,3.132881,88.0
14,14.0,C,32.8803,-107.3014,20150422,20150424,35051.0,20150422,170.0,51.0,100.0,0.0,2.7057807,94.0
15,0.1,A,33.32222222,-107.835,20120802,20120802,35051.0,20120802,285.0,133.0,191.0,0.0,2.4764955,116.0
16,20.0,C,33.25027778,-107.98861111,20120623,20120623,35051.0,20120623,262.0,143.0,209.0,0.0,3.2067802000000003,97.5
17,14.0,C,32.8803,-107.3014,20150422,20150424,35051.0,20150423,147.0,40.0,88.0,0.0,2.9261749,95.0
18,6.25,C,32.7558,-107.5331,20140410,20140413,35051.0,20140410,221.0,59.0,133.0,0.0,3.7845168,88.0
19,0.05,A,33.16944444,-108.18305556,20140701,20140702,35051.0,20140702,244.0,106.0,160.0,51.0,2.620859,48.857
20,73.0,C,33.02916667,-107.71305556,20120809,20120809,35051.0,20120809,242.0,154.0,198.0,0.0,2.5126915000000003,116.0
21,0.01,A,32.8305556,-107.699722,20100907,20100907,35051.0,20100907,210.0,139.0,172.0,0.0,1.9144167,114.0
24,0.4,B,32.8642,-107.3067,20150511,20150512,35051.0,20150511,166.0,52.0,109.0,0.0,0.6946222,95.0
25,0.1,A,33.33972222,-107.94388889,20150627,20150627,35051.0,20150627,206.0,117.0,163.0,0.0,2.8509865000000003,45.111
26,0.1,A,33.40638889,-107.88944444,20120806,20120806,35051.0,20120806,249.0,152.0,188.0,0.0,2.0930398,116.0
27,0.4,B,32.8642,-107.3067,20150511,20150512,35051.0,20150512,137.0,20.0,85.0,0.0,4.5657697,95.0
28,0.05,A,33.35472222,-107.83138889,20150630,20150701,35051.0,20150630,242.0,125.0,185.0,0.0,2.8153596000000003,45.111
29,14.0,C,32.8803,-107.3014,20150422,20150424,35051.0,20150424,119.0,3.0,49.0,0.0,3.67806,95.0
30,0.1,A,32.95083333,-107.75611111,20120705,20120705,35051.0,20120705,197.0,105.0,138.0,25.0,1.731411,97.5
31,0.1,A,33.46111111,-107.74611111,20120702,20120702,35051.0,20120702,260.0,141.0,191.0,0.0,2.748978,97.5
32,0.05,A,33.33666667,-107.85944444,20140617,20140618,35051.0,20140618,219.0,109.0,158.0,0.0,3.0972419,97.5
33,2.0,B,33.38333333,-107.95666667,20140701,20140703,35051.0,20140701,252.0,155.0,193.0,0.0,1.7102711,48.857
34,54.0,C,33.37416667,-107.90361111,20150627,20150627,35051.0,20150627,206.0,117.0,163.0,0.0,2.8509865000000003,45.111
35,0.05,A,33.16944444,-108.18305556,20140701,20140702,35051.0,20140701,252.0,155.0,193.0,0.0,1.7102711,48.857
36,6.25,C,32.7558,-107.5331,20140410,20140413,35051.0,20140411,195.0,85.0,129.0,0.0,2.4500787,88.0
62,0.0333333333333333,A,33.38972222,-107.96638889,20130705,20130707,35051.0,20130705,251.0,123.0,170.0,127.0,0.85843414,55.333
199,0.125,B,33.2952778,-108.0525,20100718,20100721,35051.0,20100721,227.0,126.0,166.0,25.0,2.3650172,108.0
240,0.675,B,33.3238889,-107.9225,20100719,20100722,35051.0,20100721,227.0,126.0,166.0,25.0,2.3650172,108.0
247,0.675,B,33.3238889,-107.9225,20100719,20100722,35051.0,20100719,262.0,147.0,192.0,0.0,1.2856553999999998,108.0
272,0.05,A,33.37555556,-107.855,20130707,20130708,35051.0,20130708,252.0,128.0,170.0,76.0,2.842342,55.333
308,0.05,A,32.9311111,-107.792222,20100721,20100722,35051.0,20100721,227.0,126.0,166.0,25.0,2.3650172,108.0
350,0.05,A,32.9311111,-107.792222,20100721,20100722,35051.0,20100722,216.0,128.0,163.0,25.0,1.67609,108.0
369,0.675,B,33.3238889,-107.9225,20100719,20100722,35051.0,20100720,273.0,121.0,192.0,330.0,1.8117682,108.0
376,0.1,A,33.3522222,-107.9225,20100625,20100625,35051.0,20100625,218.0,107.0,159.0,51.0,2.0906699,102.0
395,0.125,B,33.2952778,-108.0525,20100718,20100721,35051.0,20100720,273.0,121.0,192.0,330.0,1.8117682,108.0
454,0.1333333333333333,B,32.9163889,-107.748889,20100625,20100627,35051.0,20100626,239.0,143.0,175.0,0.0,1.3509318,102.0
485,0.05,A,33.2944444,-107.838333,20100625,20100626,35051.0,20100625,218.0,107.0,159.0,51.0,2.0906699,102.0
