,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.05,A,33.84694444,-106.86416667,20130906,20130907,35053.0,20130907,195.0,129.0,157.0,25.0,1.8969474,80.667
2,30.0,C,33.95456,-106.35839,20140727,20140728,35053.0,20140727,262.0,122.0,199.0,0.0,2.1641152000000003,57.0
3,2.0,B,33.8425,-107.151,20150703,20150704,35053.0,20150704,218.0,128.0,160.0,25.0,1.643548,70.833
4,28.541666666666668,E,33.6142,-107.0258,20150726,20150818,35053.0,20150813,244.0,166.0,200.0,0.0,1.3086252,70.833
5,220.28395061728395,G,33.75611111,-107.45555556,20150615,20150903,35053.0,20150617,272.0,134.0,197.0,0.0,1.1792476,40.333
6,28.541666666666668,E,33.6142,-107.0258,20150726,20150818,35053.0,20150730,195.0,107.0,138.0,152.0,2.1050534,70.833
7,220.28395061728395,G,33.75611111,-107.45555556,20150615,20150903,35053.0,20150714,215.0,119.0,152.0,51.0,0.5055937,70.833
8,220.28395061728395,G,33.75611111,-107.45555556,20150615,20150903,35053.0,20150730,195.0,107.0,138.0,152.0,2.1050534,70.833
9,28.541666666666668,E,33.6142,-107.0258,20150726,20150818,35053.0,20150810,236.0,120.0,173.0,0.0,0.56678927,70.833
10,220.28395061728395,G,33.75611111,-107.45555556,20150615,20150903,35053.0,20150805,253.0,159.0,202.0,0.0,1.1653862,70.833
11,0.1,A,33.78527778,-107.60527778,20150701,20150701,35053.0,20150701,261.0,130.0,198.0,0.0,2.1505814,70.833
12,28.541666666666668,E,33.6142,-107.0258,20150726,20150818,35053.0,20150814,267.0,161.0,204.0,0.0,1.1879604,70.833
13,220.28395061728395,G,33.75611111,-107.45555556,20150615,20150903,35053.0,20150706,237.0,113.0,166.0,102.0,2.6744158,70.833
14,220.28395061728395,G,33.75611111,-107.45555556,20150615,20150903,35053.0,20150804,255.0,143.0,198.0,0.0,1.25,70.833
15,184.16,E,34.368873,-106.599672,20140611,20140615,35053.0,20140611,278.0,135.0,194.0,0.0,3.371478,92.667
16,220.28395061728395,G,33.75611111,-107.45555556,20150615,20150903,35053.0,20150731,205.0,111.0,159.0,25.0,1.714825,70.833
17,28.541666666666668,E,33.6142,-107.0258,20150726,20150818,35053.0,20150806,261.0,156.0,194.0,0.0,1.0201104,70.833
18,220.28395061728395,G,33.75611111,-107.45555556,20150615,20150903,35053.0,20150817,279.0,157.0,197.0,0.0,1.3829316,70.833
21,220.28395061728395,G,33.75611111,-107.45555556,20150615,20150903,35053.0,20150823,210.0,113.0,151.0,0.0,0.055901684,70.833
22,220.28395061728395,G,33.75611111,-107.45555556,20150615,20150903,35053.0,20150812,234.0,154.0,190.0,25.0,2.9745798,70.833
23,0.3,B,33.877089,-106.4768,20141127,20141127,35053.0,20141127,132.0,35.0,90.0,0.0,0.14577378,55.667
24,0.5,B,33.88422,-106.42158,20140524,20140524,35053.0,20140524,178.0,44.0,107.0,0.0,0.26906532,54.667
25,0.05,A,33.6356,-107.0164,20140706,20140707,35053.0,20140707,239.0,125.0,178.0,0.0,1.50791,55.167
26,28.541666666666668,E,33.6142,-107.0258,20150726,20150818,35053.0,20150807,233.0,138.0,172.0,0.0,1.0819542,70.833
29,220.28395061728395,G,33.75611111,-107.45555556,20150615,20150903,35053.0,20150822,253.0,130.0,176.0,25.0,2.6740654,70.833
30,220.28395061728395,G,33.75611111,-107.45555556,20150615,20150903,35053.0,20150801,213.0,120.0,156.0,51.0,1.1768602,70.833
31,0.5,B,33.90722222,-107.4275,20150625,20150626,35053.0,20150626,252.0,139.0,194.0,0.0,1.4128871,40.333
32,220.28395061728395,G,33.75611111,-107.45555556,20150615,20150903,35053.0,20150627,206.0,117.0,163.0,0.0,2.8509865000000003,70.833
33,220.28395061728395,G,33.75611111,-107.45555556,20150615,20150903,35053.0,20150718,229.0,126.0,160.0,25.0,2.1095023,70.833
34,0.15,A,33.78472222,-107.42416667,20120622,20120622,35053.0,20120622,258.0,139.0,195.0,0.0,3.7495842000000006,99.667
35,220.28395061728395,G,33.75611111,-107.45555556,20150615,20150903,35053.0,20150710,195.0,112.0,144.0,51.0,0.625,70.833
37,0.05,A,33.84694444,-106.86416667,20130906,20130907,35053.0,20130906,220.0,139.0,175.0,0.0,2.082158,80.667
38,220.28395061728395,G,33.75611111,-107.45555556,20150615,20150903,35053.0,20150820,258.0,158.0,193.0,0.0,1.5751984,70.833
40,220.28395061728395,G,33.75611111,-107.45555556,20150615,20150903,35053.0,20150626,252.0,139.0,194.0,0.0,1.4128871,40.333
41,220.28395061728395,G,33.75611111,-107.45555556,20150615,20150903,35053.0,20150704,218.0,128.0,160.0,25.0,1.643548,70.833
43,220.28395061728395,G,33.75611111,-107.45555556,20150615,20150903,35053.0,20150701,261.0,130.0,198.0,0.0,2.1505814,70.833
44,220.28395061728395,G,33.75611111,-107.45555556,20150615,20150903,35053.0,20150807,233.0,138.0,172.0,0.0,1.0819542,70.833
45,28.541666666666668,E,33.6142,-107.0258,20150726,20150818,35053.0,20150802,214.0,128.0,159.0,0.0,1.2010412,70.833
46,0.1,A,33.79166667,-107.61694444,20150627,20150627,35053.0,20150627,206.0,117.0,163.0,0.0,2.8509865000000003,70.833
47,28.541666666666668,E,33.6142,-107.0258,20150726,20150818,35053.0,20150811,216.0,113.0,170.0,25.0,3.4389317000000004,70.833
48,0.05,A,34.241944,-106.944722,20130705,20130706,35053.0,20130706,243.0,128.0,183.0,0.0,0.39051482,57.667
49,0.5,B,34.116219,-106.884319,20141118,20141118,35053.0,20141118,82.0,-43.0,17.0,51.0,0.27041635,55.667
50,24.5,C,34.09194444,-107.13722222,20140713,20140713,35053.0,20140713,231.0,107.0,156.0,229.0,2.7613366000000004,90.0
51,28.541666666666668,E,33.6142,-107.0258,20150726,20150818,35053.0,20150728,226.0,143.0,166.0,0.0,1.4493535,70.833
52,220.28395061728395,G,33.75611111,-107.45555556,20150615,20150903,35053.0,20150723,241.0,129.0,169.0,25.0,1.3365067,70.833
54,0.1,A,34.1147,-106.9042,20120417,20120417,35053.0,20120417,187.0,44.0,109.0,0.0,1.9024488,116.667
57,28.541666666666668,E,33.6142,-107.0258,20150726,20150818,35053.0,20150817,279.0,157.0,197.0,0.0,1.3829316,70.833
59,220.28395061728395,G,33.75611111,-107.45555556,20150615,20150903,35053.0,20150629,250.0,131.0,192.0,0.0,1.0201102,70.833
60,220.28395061728395,G,33.75611111,-107.45555556,20150615,20150903,35053.0,20150622,298.0,168.0,230.0,0.0,1.2020813999999995,40.333
61,28.541666666666668,E,33.6142,-107.0258,20150726,20150818,35053.0,20150818,278.0,144.0,199.0,0.0,3.271563,70.833
62,0.8,B,34.26952,-106.73742,20140611,20140611,35053.0,20140611,278.0,135.0,194.0,0.0,3.371478,92.667
64,28.541666666666668,E,33.6142,-107.0258,20150726,20150818,35053.0,20150805,253.0,159.0,202.0,0.0,1.1653862,70.833
65,220.28395061728395,G,33.75611111,-107.45555556,20150615,20150903,35053.0,20150717,210.0,128.0,155.0,0.0,1.504161,70.833
66,220.28395061728395,G,33.75611111,-107.45555556,20150615,20150903,35053.0,20150821,249.0,119.0,170.0,0.0,2.8777158,70.833
67,1.6,B,33.71333333,-107.56444444,20140421,20140423,35053.0,20140421,171.0,74.0,122.0,0.0,0.66212285,56.0
68,220.28395061728395,G,33.75611111,-107.45555556,20150615,20150903,35053.0,20150806,261.0,156.0,194.0,0.0,1.0201104,70.833
70,220.28395061728395,G,33.75611111,-107.45555556,20150615,20150903,35053.0,20150616,209.0,117.0,156.0,0.0,3.257491,40.333
71,220.28395061728395,G,33.75611111,-107.45555556,20150615,20150903,35053.0,20150722,217.0,120.0,158.0,0.0,0.9414086,70.833
73,0.3,B,34.005,-106.9506,20150212,20150212,35053.0,20150212,126.0,5.0,61.0,0.0,2.4670327000000003,87.5
74,220.28395061728395,G,33.75611111,-107.45555556,20150615,20150903,35053.0,20150620,303.0,166.0,226.0,0.0,1.0854148,70.833
75,220.28395061728395,G,33.75611111,-107.45555556,20150615,20150903,35053.0,20150712,207.0,124.0,164.0,25.0,0.9410765,70.833
76,220.28395061728395,G,33.75611111,-107.45555556,20150615,20150903,35053.0,20150615,216.0,136.0,166.0,0.0,2.654242,40.333
78,184.16,E,34.368873,-106.599672,20140611,20140615,35053.0,20140612,269.0,126.0,192.0,0.0,2.3416448,92.667
80,0.1,A,34.1197,-106.9083,20130921,20130921,35053.0,20130921,179.0,96.0,128.0,0.0,2.1594641,80.667
82,220.28395061728395,G,33.75611111,-107.45555556,20150615,20150903,35053.0,20150719,191.0,113.0,139.0,25.0,2.2150056,70.833
83,0.1,A,34.2401,-107.0057,20120409,20120409,35053.0,20120409,177.0,85.0,125.0,0.0,2.0742204,116.667
84,220.28395061728395,G,33.75611111,-107.45555556,20150615,20150903,35053.0,20150726,249.0,137.0,183.0,25.0,0.3824265,70.833
85,0.5,B,33.90722222,-107.4275,20150625,20150626,35053.0,20150625,227.0,133.0,175.0,0.0,2.268397,70.833
86,220.28395061728395,G,33.75611111,-107.45555556,20150615,20150903,35053.0,20150705,203.0,120.0,148.0,0.0,1.7714753,70.833
87,220.28395061728395,G,33.75611111,-107.45555556,20150615,20150903,35053.0,20150724,232.0,134.0,161.0,102.0,1.0636023,70.833
88,28.541666666666668,E,33.6142,-107.0258,20150726,20150818,35053.0,20150815,260.0,158.0,198.0,0.0,1.5608491000000002,70.833
90,220.28395061728395,G,33.75611111,-107.45555556,20150615,20150903,35053.0,20150623,263.0,139.0,203.0,0.0,3.9739778,40.333
91,0.1,A,34.23392,-106.97064,20140117,20140117,35053.0,20140117,90.0,-31.0,26.0,0.0,0.6774184,80.0
93,220.28395061728395,G,33.75611111,-107.45555556,20150615,20150903,35053.0,20150709,192.0,106.0,140.0,25.0,1.6326742,70.833
94,220.28395061728395,G,33.75611111,-107.45555556,20150615,20150903,35053.0,20150824,203.0,123.0,156.0,0.0,2.2285085,70.833
