,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
4,0.3,B,38.74027778,-82.64888889,20151021,20151021,39087.0,20151021,222.0,28.0,118.0,0.0,2.0912018,60.143
15,0.5,B,38.54138889,-82.65333333,20140422,20140422,39087.0,20140422,239.0,94.0,187.0,18.0,3.6089344,43.667
25,0.5,B,38.69333333,-82.50694444,20130514,20130514,39087.0,20130514,256.0,28.0,125.0,0.0,3.4311097000000004,49.667
27,1.0,B,38.53638889,-82.6425,20140401,20140401,39087.0,20140401,267.0,50.0,157.0,0.0,3.1621823,43.667
30,0.25,A,38.57611111,-82.60166667,20140501,20140501,39087.0,20140501,167.0,100.0,129.0,0.0,3.8234692,43.667
31,0.5,B,38.54972222,-82.65333333,20140327,20140327,39087.0,20140327,178.0,-43.0,33.0,0.0,4.8013353,43.667
37,1.0,B,38.56722222,-82.68472222,20140401,20140401,39087.0,20140401,267.0,50.0,157.0,0.0,3.1621823,43.667
39,0.5,B,38.64638889,-82.61416667,20140418,20140418,39087.0,20140418,228.0,100.0,154.0,0.0,2.0324628,43.667
45,4.0,B,38.64555556,-82.74638889,20150908,20150908,39087.0,20150908,339.0,178.0,249.0,0.0,1.6994485,60.143
55,2.0,B,38.58833333,-82.55277778,20140420,20140420,39087.0,20140420,256.0,67.0,163.0,0.0,2.1170175,43.667
56,2.0,B,38.56833333,-82.57194444,20140424,20140424,39087.0,20140424,200.0,56.0,118.0,0.0,2.4382308,43.667
60,0.25,A,38.56,-82.595,20130410,20130410,39087.0,20130410,306.0,144.0,236.0,0.0,4.652141,67.6
61,0.5,B,38.56555556,-82.67138889,20150413,20150413,39087.0,20150413,278.0,128.0,208.0,99.0,4.094203500000001,74.8
62,5.5,B,38.69194444,-82.49472222,20130406,20130406,39087.0,20130406,211.0,28.0,114.0,0.0,3.2703846000000003,67.6
69,0.25,A,38.65083333,-82.68361111,20130422,20130422,39087.0,20130422,222.0,61.0,133.0,0.0,3.0610466,67.6
73,3.0,B,38.56388889,-82.71444444,20130405,20130405,39087.0,20130405,189.0,11.0,88.0,0.0,1.6464778000000002,67.6
77,1.0,B,38.61027778,-82.63166667,20150505,20150505,39087.0,20150505,283.0,139.0,216.0,0.0,1.6050701,74.8
78,1.6,B,38.56055556,-82.70305556,20130404,20130404,39087.0,20130404,122.0,11.0,61.0,8.0,2.687332,67.6
79,1.5,B,38.74305556,-82.62,20140410,20140410,39087.0,20140410,244.0,44.0,130.0,0.0,4.764812999999998,43.667
130,0.02,A,38.71861111,-82.50333333,20130421,20130425,39087.0,20130424,211.0,56.0,168.0,28.0,4.327871,67.6
145,0.02,A,38.71861111,-82.50333333,20130421,20130425,39087.0,20130423,233.0,67.0,162.0,0.0,3.5920022000000005,49.667
179,0.02,A,38.71861111,-82.50333333,20130421,20130425,39087.0,20130421,161.0,22.0,87.0,0.0,2.7973204,67.6
242,0.02,A,38.71861111,-82.50333333,20130421,20130425,39087.0,20130422,222.0,61.0,133.0,0.0,3.0610466,67.6
296,0.3333333333333333,B,38.56388889,-82.72027778,20130404,20130406,39087.0,20130405,189.0,11.0,88.0,0.0,1.6464778000000002,67.6
299,0.64,B,38.71861111,-82.50333333,20130427,20130501,39087.0,20130427,194.0,72.0,138.0,3.0,2.2161694,67.6
306,0.64,B,38.71861111,-82.50333333,20130427,20130501,39087.0,20130501,278.0,128.0,201.0,0.0,3.023638,67.6
309,0.3333333333333333,B,38.56388889,-82.72027778,20130404,20130406,39087.0,20130404,122.0,11.0,61.0,8.0,2.687332,67.6
315,0.64,B,38.71861111,-82.50333333,20130427,20130501,39087.0,20130429,183.0,117.0,158.0,5.0,1.8085309,67.6
339,0.64,B,38.71861111,-82.50333333,20130427,20130501,39087.0,20130430,267.0,78.0,168.0,0.0,2.1431043,67.6
348,0.64,B,38.71861111,-82.50333333,20130427,20130501,39087.0,20130428,200.0,128.0,154.0,56.0,5.134685,67.6
363,0.02,A,38.71861111,-82.50333333,20130421,20130425,39087.0,20130425,172.0,39.0,92.0,0.0,2.3623931,67.6
367,0.3,B,38.60583333,-82.57222222,20130425,20130426,39087.0,20130425,172.0,39.0,92.0,0.0,2.3623931,67.6
398,303.0,E,38.70666667,-82.66972222,20050417,20050417,39087.0,20050417,261.0,22.0,144.0,0.0,1.5764786,87.667
409,0.3333333333333333,B,38.56388889,-82.72027778,20130404,20130406,39087.0,20130406,211.0,28.0,114.0,0.0,3.2703846000000003,67.6
420,0.3,B,38.60583333,-82.57222222,20130425,20130426,39087.0,20130426,183.0,22.0,112.0,0.0,0.6444297,67.6
