,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.1,A,31.4425,-110.28416667,20140506,20140506,4003.0,20140506,294.0,122.0,219.0,0.0,4.4442043,101.0
1,0.01,A,31.42972222,-110.29111111,20140317,20140317,4003.0,20140317,272.0,-27.0,116.0,0.0,1.9825232,84.0
2,3.715384615384615,C,32.4867,-109.4947,20150822,20150903,4003.0,20150826,339.0,200.0,245.0,0.0,1.3975425,101.333
3,2.5,B,31.33500748,-109.26408439,20140321,20140321,4003.0,20140321,256.0,100.0,182.0,0.0,2.1360056,76.667
8,2.3,B,31.7758,-109.8081,20140620,20140621,4003.0,20140621,372.0,189.0,290.0,0.0,4.4680448,63.667
10,5.0,B,32.37111111,-110.13583333,20150627,20150627,4003.0,20150627,367.0,178.0,263.0,0.0,1.882817,80.0
11,2.6666666666666665,B,32.0833,-110.1272,20140522,20140524,4003.0,20140522,317.0,144.0,233.0,0.0,2.4601805,66.0
12,29.0,D,31.84361111,-109.89833333,20150831,20150909,4003.0,20150909,322.0,189.0,246.0,0.0,1.2562344,101.333
15,110.0,D,31.57611111,-109.40388889,20151001,20151001,4003.0,20151001,350.0,122.0,241.0,0.0,1.0307764,100.667
16,3.715384615384615,C,32.4867,-109.4947,20150822,20150903,4003.0,20150902,322.0,178.0,247.0,0.0,2.0756023,101.333
17,3.715384615384615,C,32.4867,-109.4947,20150822,20150903,4003.0,20150828,333.0,189.0,247.0,0.0,2.7189155,101.333
21,0.025,A,31.4953,-110.1369,20140824,20140827,4003.0,20140824,317.0,161.0,231.0,0.0,1.8642479,73.0
22,3.715384615384615,C,32.4867,-109.4947,20150822,20150903,4003.0,20150829,344.0,167.0,251.0,165.0,3.0413814,101.333
23,3.715384615384615,C,32.4867,-109.4947,20150822,20150903,4003.0,20150825,333.0,200.0,252.0,48.0,1.5495968,101.333
24,0.1,A,31.44888889,-110.28416667,20131130,20131130,4003.0,20131130,200.0,22.0,108.0,0.0,0.8062201,71.75
25,0.65,B,32.165,-109.5475,20150614,20150615,4003.0,20150615,383.0,183.0,284.0,0.0,3.9960139,80.0
26,0.65,B,32.165,-109.5475,20150614,20150615,4003.0,20150614,356.0,122.0,259.0,0.0,3.4807506,80.0
27,0.1,A,31.42777778,-110.4525,20140331,20140331,4003.0,20140331,267.0,22.0,162.0,0.0,2.3577175,76.667
30,2.0,B,31.89333333,-109.26638889,20140621,20140622,4003.0,20140621,372.0,189.0,290.0,0.0,4.4680448,63.667
31,2.6666666666666665,B,32.0833,-110.1272,20140522,20140524,4003.0,20140524,261.0,67.0,184.0,0.0,2.8690479,67.333
33,22.5,C,31.4133,-109.0711,20150520,20150521,4003.0,20150520,306.0,44.0,183.0,0.0,2.4839485,75.333
34,3.0,C,31.86666667,-109.38333333,20140610,20140614,4003.0,20140614,361.0,178.0,258.0,0.0,3.6458921,63.667
35,9.133333333333333,C,32.2408,-109.6461,20150809,20150811,4003.0,20150809,339.0,156.0,238.0,191.0,2.2561026,95.667
37,0.1,A,31.90861111,-109.28333333,20140309,20140309,4003.0,20140309,156.0,61.0,107.0,0.0,6.0415230000000015,84.0
39,0.25,A,31.46416667,-110.29166667,20140416,20140416,4003.0,20140416,294.0,50.0,183.0,0.0,2.6204724,88.5
41,0.1,A,31.44888889,-110.28388889,20140119,20140119,4003.0,20140119,200.0,-43.0,76.0,0.0,1.6796768,83.333
43,51.42857142857143,E,31.48861111,-109.08666667,20140626,20140702,4003.0,20140629,383.0,189.0,289.0,0.0,1.626319,63.667
45,48.0,D,31.44166667,-110.34555556,20140413,20140417,4003.0,20140416,294.0,50.0,183.0,0.0,2.6204724,88.5
46,51.42857142857143,E,31.48861111,-109.08666667,20140626,20140702,4003.0,20140701,383.0,178.0,293.0,0.0,3.0611162,63.667
47,5.769230769230769,C,31.49638889,-109.055,20150314,20150326,4003.0,20150321,233.0,44.0,145.0,0.0,2.2367668,82.333
49,0.005,A,31.42694444,-110.44416667,20140316,20140317,4003.0,20140317,272.0,-27.0,116.0,0.0,1.9825232,84.0
50,51.42857142857143,E,31.48861111,-109.08666667,20140626,20140702,4003.0,20140630,383.0,183.0,298.0,0.0,2.4698246,63.667
51,9.133333333333333,C,32.2408,-109.6461,20150809,20150811,4003.0,20150811,339.0,183.0,248.0,25.0,1.9411658,95.667
53,1.8,B,31.7722,-110.5872,20140504,20140505,4003.0,20140504,322.0,94.0,218.0,0.0,1.8970795,101.0
54,0.1,A,31.43916667,-110.28194444,20150505,20150505,4003.0,20150505,261.0,67.0,170.0,0.0,2.6355739,54.4289999999999
55,0.2,A,31.33401,-109.25348,20151217,20151217,4003.0,20151217,133.0,-93.0,-4.0,0.0,2.9992707000000003,87.333
56,33.85,C,31.6733,-109.5225,20140617,20140618,4003.0,20140618,333.0,206.0,271.0,0.0,2.9714944,63.667
57,2.6,B,32.2339,-109.8539,20140620,20140620,4003.0,20140620,367.0,161.0,273.0,0.0,3.3414526,63.667
58,5.769230769230769,C,31.49638889,-109.055,20150314,20150326,4003.0,20150322,250.0,50.0,149.0,0.0,2.0163393,82.333
59,3.0,B,31.49361111,-110.305,20150830,20150830,4003.0,20150830,333.0,172.0,240.0,0.0,2.4020824,101.333
61,5.769230769230769,C,31.49638889,-109.055,20150314,20150326,4003.0,20150314,217.0,61.0,156.0,0.0,4.7314110000000005,82.333
63,0.1,A,31.8775,-109.23388889,20140421,20140421,4003.0,20140421,300.0,61.0,189.0,0.0,1.7502565,92.0
64,0.05,A,31.82777778,-109.32805556,20140419,20140420,4003.0,20140419,222.0,83.0,138.0,33.0,2.4233098,92.0
65,51.42857142857143,E,31.48861111,-109.08666667,20140626,20140702,4003.0,20140702,361.0,200.0,296.0,0.0,2.937481,63.667
67,3.715384615384615,C,32.4867,-109.4947,20150822,20150903,4003.0,20150822,300.0,178.0,231.0,0.0,2.5491421,101.333
70,3.715384615384615,C,32.4867,-109.4947,20150822,20150903,4003.0,20150824,317.0,183.0,244.0,28.0,1.5350082,101.333
71,10.666666666666666,C,31.70138889,-109.45555556,20140611,20140613,4003.0,20140611,372.0,189.0,287.0,0.0,3.14282,67.333
73,3.715384615384615,C,32.4867,-109.4947,20150822,20150903,4003.0,20150823,333.0,167.0,230.0,94.0,2.350133,101.333
74,3.715384615384615,C,32.4867,-109.4947,20150822,20150903,4003.0,20150901,322.0,156.0,234.0,0.0,2.898707,101.333
75,272.0,E,31.6319,-110.5069,20140521,20140523,4003.0,20140523,294.0,117.0,217.0,0.0,3.1007965,67.333
76,0.05,A,31.82777778,-109.32805556,20140419,20140420,4003.0,20140420,261.0,39.0,136.0,0.0,1.8048013,92.0
77,48.0,D,31.44166667,-110.34555556,20140413,20140417,4003.0,20140414,250.0,61.0,173.0,0.0,3.6484103,88.5
78,5.769230769230769,C,31.49638889,-109.055,20150314,20150326,4003.0,20150318,172.0,106.0,143.0,119.0,2.4323342,82.333
79,29.0,D,31.84361111,-109.89833333,20150831,20150909,4003.0,20150902,322.0,178.0,247.0,0.0,2.0756023,101.333
81,3.0,C,31.86666667,-109.38333333,20140610,20140614,4003.0,20140610,378.0,139.0,273.0,0.0,3.4338474000000003,67.333
82,9.133333333333333,C,32.2408,-109.6461,20150809,20150811,4003.0,20150810,328.0,183.0,223.0,0.0,2.4909837,101.333
84,0.1,A,31.57055556,-109.365,20130709,20130709,4003.0,20130709,339.0,189.0,252.0,328.0,3.8036144,62.667
86,5.0,C,31.88333333,-109.93083333,20140502,20140505,4003.0,20140503,311.0,50.0,190.0,0.0,0.40050906,84.25
87,23.96666666666667,B,31.7758,-109.8081,20140620,20140621,4003.0,20140620,367.0,161.0,273.0,0.0,3.3414526,63.667
90,0.01,A,31.90333333,-109.26888889,20140315,20140315,4003.0,20140315,222.0,22.0,125.0,0.0,3.9042652,84.0
91,0.5,B,31.53527778,-110.37388889,20140725,20140725,4003.0,20140725,367.0,211.0,285.0,3.0,3.5870404,63.667
95,73.0,C,31.47527778,-110.29111111,20150310,20150310,4003.0,20150310,233.0,11.0,129.0,0.0,1.5524175,82.667
96,51.42857142857143,E,31.48861111,-109.08666667,20140626,20140702,4003.0,20140627,361.0,217.0,294.0,0.0,4.535467,63.667
98,0.5,B,31.4525,-110.30861111,20150622,20150623,4003.0,20150623,389.0,178.0,285.0,0.0,4.1365743,80.0
99,16.5,C,31.59027778,-110.455,20150512,20150513,4003.0,20150513,278.0,67.0,165.0,0.0,2.9421508,75.333
100,29.0,D,31.84361111,-109.89833333,20150831,20150909,4003.0,20150904,250.0,161.0,196.0,0.0,2.2154288,101.333
102,5.0,C,31.88333333,-109.93083333,20140502,20140505,4003.0,20140502,278.0,67.0,176.0,0.0,2.0529876,84.25
103,207.0,D,31.56888889,-110.34833333,20150629,20150629,4003.0,20150629,378.0,178.0,282.0,0.0,2.481179,80.0
104,32.0,C,31.52222222,-110.32888889,20150618,20150618,4003.0,20150618,400.0,161.0,301.0,0.0,4.430717,80.0
105,0.1,A,31.5506,-110.1417,20140423,20140423,4003.0,20140423,289.0,117.0,216.0,0.0,3.6778903,92.0
107,29.0,D,31.84361111,-109.89833333,20150831,20150909,4003.0,20150901,322.0,156.0,234.0,0.0,2.898707,101.333
108,0.1,A,31.42583333,-110.45666667,20150423,20150423,4003.0,20150423,250.0,106.0,176.0,3.0,3.5001786,54.4289999999999
110,3.715384615384615,C,32.4867,-109.4947,20150822,20150903,4003.0,20150831,328.0,161.0,233.0,0.0,3.0832207,101.333
112,8.0,B,31.52916667,-110.29666667,20130708,20130708,4003.0,20130708,356.0,206.0,268.0,274.0,3.1598053,62.667
114,5.769230769230769,C,31.49638889,-109.055,20150314,20150326,4003.0,20150317,228.0,67.0,162.0,0.0,2.0597332,82.333
117,0.1,A,32.2381,-109.4486,20150304,20150304,4003.0,20150304,133.0,22.0,83.0,0.0,2.288695,82.667
120,5.0,C,31.88333333,-109.93083333,20140502,20140505,4003.0,20140504,322.0,94.0,218.0,0.0,1.8970795,101.0
121,0.4,B,32.2714,-109.21,20150315,20150316,4003.0,20150315,217.0,83.0,152.0,0.0,5.329752,82.333
123,5.769230769230769,C,31.49638889,-109.055,20150314,20150326,4003.0,20150315,217.0,83.0,152.0,0.0,5.329752,82.333
128,2.0,B,31.89333333,-109.26638889,20140621,20140622,4003.0,20140622,372.0,194.0,289.0,0.0,3.126405,63.667
129,33.85,C,31.6733,-109.5225,20140617,20140618,4003.0,20140617,356.0,194.0,280.0,0.0,2.9005637,63.667
130,48.0,D,31.44166667,-110.34555556,20140413,20140417,4003.0,20140415,278.0,56.0,169.0,0.0,1.3038311000000002,88.5
132,0.1,A,31.89666667,-109.91888889,20150820,20150820,4003.0,20150820,333.0,194.0,255.0,0.0,1.9455076,101.333
135,5.769230769230769,C,31.49638889,-109.055,20150314,20150326,4003.0,20150319,178.0,83.0,116.0,15.0,2.586745,82.333
137,3.715384615384615,C,32.4867,-109.4947,20150822,20150903,4003.0,20150827,328.0,189.0,237.0,81.0,2.1239705,101.333
138,0.14,A,31.535,-110.37138889,20150621,20150621,4003.0,20150621,389.0,211.0,299.0,0.0,3.1484122,80.0
140,5.769230769230769,C,31.49638889,-109.055,20150314,20150326,4003.0,20150320,211.0,44.0,128.0,0.0,0.4315669,82.333
141,16.5,C,31.59027778,-110.455,20150512,20150513,4003.0,20150512,244.0,72.0,177.0,0.0,3.109763,75.333
142,46.5,C,31.45583333,-110.30944444,20140426,20140427,4003.0,20140426,250.0,117.0,202.0,0.0,6.09946,84.25
143,0.4,B,32.2714,-109.21,20150315,20150316,4003.0,20150316,239.0,117.0,171.0,0.0,2.9309769,82.333
145,22.5,C,31.4133,-109.0711,20150520,20150521,4003.0,20150521,278.0,111.0,205.0,0.0,4.651881,75.333
146,29.0,D,31.84361111,-109.89833333,20150831,20150909,4003.0,20150908,317.0,161.0,237.0,0.0,1.9869888,101.333
147,29.0,D,31.84361111,-109.89833333,20150831,20150909,4003.0,20150907,350.0,178.0,264.0,0.0,0.9450529,101.333
149,29.0,D,31.84361111,-109.89833333,20150831,20150909,4003.0,20150906,322.0,161.0,232.0,0.0,0.4506939,101.333
152,3.76,B,31.58472222,-110.45,20150712,20150712,4003.0,20150712,361.0,200.0,279.0,28.0,2.7623584,95.667
153,5.769230769230769,C,31.49638889,-109.055,20150314,20150326,4003.0,20150316,239.0,117.0,171.0,0.0,2.9309769,82.333
155,21.666666666666668,D,31.7356,-109.5356,20140618,20140623,4003.0,20140618,333.0,206.0,271.0,0.0,2.9714944,63.667
156,0.025,A,31.4953,-110.1369,20140824,20140827,4003.0,20140826,289.0,172.0,230.0,15.0,1.571757,73.0
158,0.1,A,31.7047,-110.0775,20140418,20140418,4003.0,20140418,233.0,106.0,188.0,13.0,1.5556436000000002,92.0
159,51.42857142857143,E,31.48861111,-109.08666667,20140626,20140702,4003.0,20140628,367.0,172.0,281.0,0.0,2.6162856,63.667
162,0.005,A,31.42694444,-110.44416667,20140316,20140317,4003.0,20140316,200.0,22.0,124.0,0.0,5.797628,84.0
163,2.6666666666666665,B,32.0833,-110.1272,20140522,20140524,4003.0,20140523,294.0,117.0,217.0,0.0,3.1007965,67.333
165,10.0,C,31.8925,-109.6464,20150614,20150614,4003.0,20150614,356.0,122.0,259.0,0.0,3.4807506,80.0
166,0.1,A,31.90694444,-109.28333333,20140313,20140313,4003.0,20140313,239.0,50.0,142.0,0.0,1.1401807,84.0
