,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
160,0.1,A,32.8898,-109.4815,20040601,20040601,4009.0,20040601,389.0,150.0,272.0,0.0,1.8006973999999998,88.0
162,753.8461538461538,G,32.73861111,-109.99055556,20040626,20040803,4009.0,20040725,339.0,228.0,283.0,0.0,1.9233769,82.0
176,753.8461538461538,G,32.73861111,-109.99055556,20040626,20040803,4009.0,20040718,394.0,239.0,317.0,0.0,2.3522954,82.0
195,753.8461538461538,G,32.73861111,-109.99055556,20040626,20040803,4009.0,20040803,372.0,233.0,306.0,0.0,1.6542122,100.0
203,13.5,C,32.9923,-109.4829,20050721,20050724,4009.0,20050723,394.0,256.0,328.0,0.0,1.3888484,89.0
204,753.8461538461538,G,32.73861111,-109.99055556,20040626,20040803,4009.0,20040630,367.0,178.0,272.0,3.0,2.6681297,84.0
205,0.2,A,32.4934,-109.4126,20040702,20040702,4009.0,20040702,389.0,167.0,278.0,0.0,1.2941808,84.0
209,5.666666666666667,C,32.9106,-109.3512,20050723,20050725,4009.0,20050723,394.0,256.0,328.0,0.0,1.3888484,89.0
213,0.3333333333333333,B,32.71888889,-109.96916667,20030713,20030715,4009.0,20030714,433.0,256.0,344.0,0.0,3.3255546,87.0
215,0.3333333333333333,B,32.71888889,-109.96916667,20030713,20030715,4009.0,20030713,433.0,256.0,344.0,0.0,3.2433672,87.0
216,172.33333333333334,E,32.8642,-110.5326,20050624,20050626,4009.0,20050624,383.0,222.0,306.0,0.0,2.6734562000000004,89.0
218,3.5,B,32.8845,-109.4826,20050629,20050630,4009.0,20050629,422.0,206.0,317.0,3.0,1.4447472,89.0
221,0.5,B,32.72277778,-109.85972222,20030722,20030723,4009.0,20030722,389.0,211.0,300.0,0.0,3.2046514,87.0
227,3.0,B,32.7248,-109.4767,20050902,20050902,4009.0,20050902,344.0,222.0,283.0,0.0,1.402458,89.0
230,0.0666666666666666,A,32.73722222,-110.25,20030724,20030726,4009.0,20030725,406.0,222.0,317.0,13.0,2.5347629,87.0
235,15.0,C,32.9056,-110.5276,20040719,20040720,4009.0,20040720,411.0,256.0,333.0,0.0,3.4231362,82.0
237,0.75,B,32.50722222,-109.77444444,20030713,20030714,4009.0,20030713,433.0,256.0,344.0,0.0,3.2433672,87.0
240,753.8461538461538,G,32.73861111,-109.99055556,20040626,20040803,4009.0,20040722,406.0,239.0,322.0,0.0,3.763628,82.0
248,0.75,B,32.75166667,-110.03055556,20030713,20030714,4009.0,20030713,433.0,256.0,344.0,0.0,3.2433672,87.0
251,0.1,A,32.8931,-109.4792,20040613,20040613,4009.0,20040613,383.0,156.0,272.0,0.0,1.9924918000000005,82.0
277,1.5,B,32.75194444,-110.08722222,20050718,20050719,4009.0,20050718,417.0,239.0,328.0,0.0,1.945876,89.0
283,0.05,A,32.57833333,-109.72333333,20030609,20030610,4009.0,20030609,333.0,233.0,283.0,0.0,2.1257768,98.0
284,753.8461538461538,G,32.73861111,-109.99055556,20040626,20040803,4009.0,20040728,356.0,200.0,278.0,13.0,3.072926,82.0
285,0.05,A,32.41722222,-110.72916667,20030820,20030821,4009.0,20030820,372.0,228.0,300.0,0.0,1.8243878,82.0
287,753.8461538461538,G,32.73861111,-109.99055556,20040626,20040803,4009.0,20040709,361.0,256.0,311.0,0.0,2.2682335,82.0
295,753.8461538461538,G,32.73861111,-109.99055556,20040626,20040803,4009.0,20040716,378.0,200.0,289.0,61.0,2.727875,82.0
301,0.5,B,32.68555556,-109.86916667,20050626,20050626,4009.0,20050626,400.0,211.0,306.0,3.0,2.854979,89.0
305,0.0666666666666666,A,32.73722222,-110.25,20030724,20030726,4009.0,20030724,406.0,244.0,328.0,0.0,1.2389126,87.0
312,0.2,A,32.5206,-109.4412,20030417,20030417,4009.0,20030417,289.0,78.0,183.0,0.0,3.9769804,80.0
316,5.5,C,32.7925,-110.08111111,20050718,20050719,4009.0,20050718,417.0,239.0,328.0,0.0,1.945876,89.0
327,0.1,A,32.75361111,-109.83138889,20050714,20050714,4009.0,20050714,422.0,250.0,339.0,0.0,2.5277064,89.0
338,15.0,C,32.9056,-110.5276,20040719,20040720,4009.0,20040719,406.0,217.0,311.0,0.0,3.2348726,82.0
344,753.8461538461538,G,32.73861111,-109.99055556,20040626,20040803,4009.0,20040726,322.0,211.0,267.0,0.0,2.8617806,82.0
349,0.0666666666666666,A,32.73722222,-110.25,20030724,20030726,4009.0,20030726,372.0,211.0,294.0,0.0,3.0386405,87.0
352,753.8461538461538,G,32.73861111,-109.99055556,20040626,20040803,4009.0,20040713,389.0,244.0,317.0,0.0,2.088063,82.0
361,0.6666666666666666,B,32.72277778,-109.97944444,20030531,20030602,4009.0,20030602,411.0,194.0,306.0,0.0,3.2733164,97.0
362,0.05,A,31.93638889,-109.3225,20030723,20030724,4009.0,20030724,406.0,244.0,328.0,0.0,1.2389126,87.0
363,19.8,C,32.7384,-109.5709,20050716,20050720,4009.0,20050718,417.0,239.0,328.0,0.0,1.945876,89.0
366,0.05,A,32.41722222,-110.72916667,20030820,20030821,4009.0,20030821,400.0,228.0,317.0,0.0,2.5159075,82.0
370,0.5,B,32.72277778,-109.85972222,20030722,20030723,4009.0,20030723,417.0,244.0,333.0,0.0,1.5305185,87.0
385,753.8461538461538,G,32.73861111,-109.99055556,20040626,20040803,4009.0,20040626,389.0,217.0,306.0,0.0,2.0831249,84.0
392,13.5,C,32.9923,-109.4829,20050721,20050724,4009.0,20050721,417.0,250.0,333.0,0.0,1.0056816,89.0
393,0.6666666666666666,B,32.59277778,-109.87694444,20030530,20030601,4009.0,20030601,389.0,189.0,289.0,0.0,2.6629367000000004,97.0
395,753.8461538461538,G,32.73861111,-109.99055556,20040626,20040803,4009.0,20040701,383.0,144.0,267.0,0.0,1.5182189,84.0
399,753.8461538461538,G,32.73861111,-109.99055556,20040626,20040803,4009.0,20040723,367.0,206.0,289.0,193.0,2.9328907,82.0
417,753.8461538461538,G,32.73861111,-109.99055556,20040626,20040803,4009.0,20040715,383.0,194.0,289.0,137.0,3.0265484,82.0
427,172.33333333333334,E,32.8642,-110.5326,20050624,20050626,4009.0,20050626,400.0,211.0,306.0,3.0,2.854979,89.0
431,0.1,A,32.8867,-111.5001,20030701,20030701,4009.0,20030701,406.0,233.0,322.0,0.0,3.2128625,92.0
