,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.24,B,33.51972222,-109.33361111,20150617,20150624,4011.0,20150623,268.0,116.0,185.0,0.0,1.6441183,90.0
1,1.3333333333333333,C,33.47666667,-109.08222222,20140705,20140725,4011.0,20140721,236.0,127.0,172.0,0.0,3.1471994,77.333
2,7.6,C,31.86833333,-109.33194444,20140617,20140621,4011.0,20140621,276.0,87.0,191.0,0.0,2.3906908,83.0
3,0.0625,B,33.37305556,-109.4,20140705,20140712,4011.0,20140712,234.0,94.0,163.0,0.0,1.1510805,77.333
4,1.4090909090909092,C,33.64194444,-109.07388889,20150623,20150714,4011.0,20150714,211.0,98.0,143.0,25.0,1.343968,90.0
5,1.4090909090909092,C,33.64194444,-109.07388889,20150623,20150714,4011.0,20150702,243.0,97.0,158.0,51.0,2.419969,90.0
6,0.1111111111111111,B,33.53444444,-109.10055556,20150626,20150713,4011.0,20150710,158.0,90.0,114.0,203.0,1.3520816999999998,90.0
7,1.25,B,33.50305556,-109.39444444,20140523,20140524,4011.0,20140523,110.0,1.0,64.0,0.0,2.1699982,73.0
8,81.95744680851064,F,33.51888889,-109.12027778,20140717,20140901,4011.0,20140813,177.0,106.0,131.0,25.0,1.656778,88.333
9,0.1,A,33.45111111,-109.20361111,20150624,20150624,4011.0,20150624,220.0,86.0,137.0,51.0,2.655772,90.0
10,0.24,B,33.51972222,-109.33361111,20150617,20150624,4011.0,20150619,251.0,81.0,174.0,0.0,0.6864766,84.667
11,0.0111111111111111,A,33.49472222,-109.06111111,20140730,20140807,4011.0,20140806,242.0,72.0,159.0,0.0,1.5587795,88.333
12,81.95744680851064,F,33.51888889,-109.12027778,20140717,20140901,4011.0,20140724,242.0,121.0,185.0,0.0,3.0988505,77.333
13,0.25,B,33.50333333,-109.39444444,20140522,20140525,4011.0,20140523,110.0,1.0,64.0,0.0,2.1699982,73.0
14,81.95744680851064,F,33.51888889,-109.12027778,20140717,20140901,4011.0,20140826,199.0,106.0,133.0,0.0,1.0606601,88.333
15,0.1111111111111111,B,33.53444444,-109.10055556,20150626,20150713,4011.0,20150711,191.0,90.0,134.0,0.0,1.6974243999999998,90.0
16,0.015625,A,33.53055556,-109.055,20140708,20140723,4011.0,20140721,236.0,127.0,172.0,0.0,3.1471994,77.333
17,0.1,A,33.73444444,-109.16361111,20130510,20130510,4011.0,20130510,115.0,-5.0,52.0,0.0,0.693106,73.25
18,7.6,C,31.86833333,-109.33194444,20140617,20140621,4011.0,20140618,188.0,55.0,128.0,0.0,3.752391,83.0
19,62.5,E,33.36777778,-109.44722222,20140420,20140425,4011.0,20140420,158.0,-3.0,72.0,25.0,1.8272605,60.333
20,81.95744680851064,F,33.51888889,-109.12027778,20140717,20140901,4011.0,20140901,250.0,63.0,156.0,0.0,2.47455,88.333
21,1.4090909090909092,C,33.64194444,-109.07388889,20150623,20150714,4011.0,20150623,268.0,116.0,185.0,0.0,1.6441183,90.0
22,0.015625,A,33.53055556,-109.055,20140708,20140723,4011.0,20140720,251.0,97.0,176.0,25.0,3.1469662,77.333
23,1.3333333333333333,C,33.47666667,-109.08222222,20140705,20140725,4011.0,20140718,251.0,92.0,178.0,25.0,2.9605713,77.333
24,0.009090909090909,A,33.52833333,-109.07888889,20140713,20140723,4011.0,20140717,222.0,105.0,153.0,0.0,4.0205693,77.333
25,0.00625,A,33.63277778,-109.24083333,20150628,20150713,4011.0,20150701,239.0,81.0,164.0,0.0,1.881821,90.0
26,0.025,A,33.53138889,-109.36694444,20140819,20140822,4011.0,20140821,209.0,79.0,144.0,0.0,2.0537243000000003,88.333
27,0.00625,A,33.63277778,-109.24083333,20150628,20150713,4011.0,20150713,221.0,104.0,138.0,76.0,0.88776404,90.0
28,0.009090909090909,A,33.53277778,-109.05611111,20140713,20140723,4011.0,20140717,222.0,105.0,153.0,0.0,4.0205693,77.333
29,1.3333333333333333,C,33.47666667,-109.08222222,20140705,20140725,4011.0,20140722,246.0,109.0,166.0,0.0,1.4930913,77.333
30,81.95744680851064,F,33.51888889,-109.12027778,20140717,20140901,4011.0,20140818,239.0,85.0,148.0,25.0,0.93744016,88.333
31,1.3333333333333333,C,33.47666667,-109.08222222,20140705,20140725,4011.0,20140711,248.0,108.0,151.0,25.0,0.733345,77.333
32,81.95744680851064,F,33.51888889,-109.12027778,20140717,20140901,4011.0,20140728,173.0,94.0,129.0,25.0,1.1280099,77.333
33,81.95744680851064,F,33.51888889,-109.12027778,20140717,20140901,4011.0,20140829,208.0,58.0,138.0,0.0,1.9235328,88.333
34,81.95744680851064,F,33.51888889,-109.12027778,20140717,20140901,4011.0,20140815,202.0,93.0,129.0,76.0,2.1351628,88.333
36,62.5,E,33.36777778,-109.44722222,20140420,20140425,4011.0,20140421,185.0,4.0,100.0,0.0,0.73409766,60.333
37,81.95744680851064,F,33.51888889,-109.12027778,20140717,20140901,4011.0,20140721,236.0,127.0,172.0,0.0,3.1471994,77.333
38,0.025,A,33.62527778,-109.24555556,20140729,20140805,4011.0,20140803,183.0,96.0,126.0,457.0,2.2859995,88.333
39,81.95744680851064,F,33.51888889,-109.12027778,20140717,20140901,4011.0,20140824,191.0,55.0,126.0,0.0,1.6278886,88.333
40,16.875,C,33.22,-109.225,20140522,20140525,4011.0,20140524,125.0,-5.0,60.0,0.0,1.4446155,73.0
41,1.3333333333333333,C,33.47666667,-109.08222222,20140705,20140725,4011.0,20140719,243.0,111.0,170.0,0.0,3.118495,77.333
42,0.02,A,33.58111111,-109.46194444,20140704,20140708,4011.0,20140708,261.0,84.0,149.0,178.0,1.1607811,77.333
43,81.95744680851064,F,33.51888889,-109.12027778,20140717,20140901,4011.0,20140730,234.0,91.0,170.0,0.0,2.2092772000000003,77.333
44,0.00625,A,33.63277778,-109.24083333,20150628,20150713,4011.0,20150708,204.0,66.0,143.0,0.0,2.2980971,90.0
45,28.33333333333333,D,33.09083333,-109.23805556,20140522,20140530,4011.0,20140524,125.0,-5.0,60.0,0.0,1.4446155,73.0
46,1.4090909090909092,C,33.64194444,-109.07388889,20150623,20150714,4011.0,20150713,221.0,104.0,138.0,76.0,0.88776404,90.0
47,0.015625,A,33.53055556,-109.055,20140708,20140723,4011.0,20140714,214.0,101.0,146.0,127.0,0.6747576,77.333
48,1.3333333333333333,C,33.47666667,-109.08222222,20140705,20140725,4011.0,20140716,203.0,102.0,127.0,51.0,2.5133355,77.333
49,0.0125,A,33.05611111,-109.09055556,20140915,20140922,4011.0,20140920,208.0,78.0,132.0,51.0,1.0568373,99.0
50,28.33333333333333,D,33.09083333,-109.23805556,20140522,20140530,4011.0,20140528,229.0,69.0,152.0,0.0,1.095635,73.0
51,0.00625,A,33.63277778,-109.24083333,20150628,20150713,4011.0,20150705,193.0,97.0,138.0,51.0,2.8640008,90.0
52,81.95744680851064,F,33.51888889,-109.12027778,20140717,20140901,4011.0,20140726,256.0,116.0,174.0,0.0,2.5488048,77.333
53,81.95744680851064,F,33.51888889,-109.12027778,20140717,20140901,4011.0,20140727,257.0,108.0,162.0,25.0,0.83629924,77.333
54,0.0125,A,33.05611111,-109.09055556,20140915,20140922,4011.0,20140921,177.0,95.0,129.0,25.0,0.5768886999999999,99.0
55,1.3333333333333333,C,33.47666667,-109.08222222,20140705,20140725,4011.0,20140707,252.0,99.0,166.0,0.0,1.0783844,77.333
56,7.6,C,31.86833333,-109.33194444,20140617,20140621,4011.0,20140620,248.0,53.0,161.0,0.0,0.72449756,83.0
57,0.015625,A,33.53055556,-109.055,20140708,20140723,4011.0,20140708,261.0,84.0,149.0,178.0,1.1607811,77.333
58,0.1,A,32.7511,-109.3814,20140325,20140325,4011.0,20140325,119.0,-24.0,36.0,25.0,2.1931646,97.333
59,0.24,B,33.51972222,-109.33361111,20150617,20150624,4011.0,20150622,303.0,88.0,200.0,0.0,2.426546,90.0
60,0.00625,A,33.63277778,-109.24083333,20150628,20150713,4011.0,20150704,217.0,103.0,143.0,203.0,0.82006097,90.0
61,0.00625,A,33.63277778,-109.24083333,20150628,20150713,4011.0,20150629,256.0,82.0,157.0,51.0,0.5396758,90.0
62,0.1111111111111111,B,33.53444444,-109.10055556,20150626,20150713,4011.0,20150713,221.0,104.0,138.0,76.0,0.88776404,90.0
63,1.4090909090909092,C,33.64194444,-109.07388889,20150623,20150714,4011.0,20150628,213.0,73.0,138.0,0.0,1.4150972,90.0
64,0.009090909090909,A,33.53277778,-109.05611111,20140713,20140723,4011.0,20140718,251.0,92.0,178.0,25.0,2.9605713,77.333
