,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.05,A,35.70083333,-99.66527778,20140522,20140523,40129.0,20140523,206.0,167.0,187.0,122.0,1.6324847,97.0
1,0.05,A,35.70083333,-99.66527778,20140522,20140523,40129.0,20140522,333.0,156.0,252.0,0.0,1.3309414,97.0
2,0.025,A,35.81222222,-99.72888889,20140314,20140317,40129.0,20140317,211.0,-66.0,51.0,0.0,5.1716332000000005,76.0
3,0.025,A,35.81222222,-99.72888889,20140314,20140317,40129.0,20140314,206.0,28.0,137.0,0.0,2.6288633,76.0
5,1.7,B,35.67166667,-99.56944444,20140114,20140114,40129.0,20140114,100.0,-27.0,43.0,0.0,2.220358,84.0
6,13.8,C,35.69722222,-99.97305556,20140306,20140310,40129.0,20140308,61.0,-32.0,15.0,0.0,3.4774928,76.0
7,0.025,A,35.81222222,-99.72888889,20140314,20140317,40129.0,20140315,206.0,-5.0,97.0,0.0,1.6807542000000002,76.0
8,13.8,C,35.69722222,-99.97305556,20140306,20140310,40129.0,20140306,178.0,11.0,64.0,0.0,5.599554,76.0
9,13.8,C,35.69722222,-99.97305556,20140306,20140310,40129.0,20140309,200.0,-71.0,49.0,0.0,3.67176,76.0
10,10.466666666666669,C,35.68222222,-99.97722222,20140622,20140624,40129.0,20140622,333.0,178.0,259.0,86.0,2.431001,110.0
11,0.1,A,35.67083333,-99.61472222,20150429,20150429,40129.0,20150429,233.0,50.0,133.0,0.0,3.5694885000000003,170.0
12,122.75,D,35.75638889,-99.55805556,20140511,20140512,40129.0,20140511,333.0,122.0,264.0,0.0,2.3547628,97.0
13,122.75,D,35.75638889,-99.55805556,20140511,20140512,40129.0,20140512,172.0,72.0,148.0,0.0,2.3194861,97.0
14,13.8,C,35.69722222,-99.97305556,20140306,20140310,40129.0,20140310,272.0,-10.0,124.0,0.0,3.935857,76.0
15,10.466666666666669,C,35.68222222,-99.97722222,20140622,20140624,40129.0,20140623,294.0,178.0,228.0,69.0,2.0796413,110.0
16,10.466666666666669,C,35.68222222,-99.97722222,20140622,20140624,40129.0,20140624,289.0,150.0,237.0,224.0,3.540311,110.0
17,13.8,C,35.69722222,-99.97305556,20140306,20140310,40129.0,20140307,211.0,22.0,110.0,0.0,1.8631659,76.0
18,1.5,B,35.78722222,-99.58194444,20140516,20140516,40129.0,20140516,300.0,44.0,165.0,0.0,3.0433292,97.0
19,0.025,A,35.81222222,-99.72888889,20140314,20140317,40129.0,20140316,100.0,-49.0,61.0,0.0,3.0237257,76.0
