,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
39,0.5,B,34.2675,-113.4019,20020424,20020424,4012.0,20020424,200.0,100.0,150.0,64.0,2.5739143,69.0
46,0.1,A,33.3903,-114.6897,20000801,20000801,4012.0,20000801,417.0,289.0,356.0,0.0,2.0582743000000003,52.667
54,1.6666666666666667,B,35.1367,-114.5727,20020215,20020217,4012.0,20020215,250.0,44.0,150.0,0.0,2.0058389,73.5
58,226.5,E,33.7697,-113.9399,20050525,20050526,4012.0,20050526,306.0,128.0,217.0,0.0,2.577385,93.5
61,1.6666666666666667,B,35.1367,-114.5727,20020215,20020217,4012.0,20020216,183.0,61.0,122.0,0.0,1.1567622,73.5
64,1.6666666666666667,B,35.1367,-114.5727,20020215,20020217,4012.0,20020217,144.0,56.0,100.0,10.0,3.8078938,73.5
66,0.05,A,32.6337,-114.6405,20020520,20020521,4012.0,20020520,272.0,156.0,217.0,0.0,4.3228016,66.0
67,0.05,A,32.6337,-114.6405,20020520,20020521,4012.0,20020521,267.0,139.0,206.0,0.0,5.340644999999999,66.0
74,0.1,A,34.1578,-114.3005,20020314,20020314,4012.0,20020314,183.0,0.0,94.0,0.0,5.4396510000000005,73.5
83,226.5,E,33.7697,-113.9399,20050525,20050526,4012.0,20050525,311.0,133.0,222.0,0.0,2.9334292,93.5
89,0.1,A,33.6748,-113.9663,20000913,20000913,4012.0,20000913,433.0,222.0,328.0,0.0,1.0791166,56.0
