,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
1,0.0238095238095238,B,33.56361111,-111.30805556,20140727,20140816,4013.0,20140804,406.0,261.0,322.0,0.0,1.4284288,83.5
2,0.1,A,33.5475,-111.64527778,20130415,20130415,4013.0,20130415,317.0,178.0,250.0,0.0,6.187806,99.0
3,1.75,B,33.98305556,-111.93305556,20140714,20140717,4013.0,20140716,417.0,289.0,336.0,0.0,3.567214,83.5
4,0.1,A,33.60333333,-111.52916667,20130330,20130330,4013.0,20130330,294.0,172.0,247.0,0.0,1.106802,78.5
8,24.5,C,33.98944444,-111.83333333,20130506,20130506,4013.0,20130506,306.0,206.0,259.0,0.0,3.779555600000001,100.75
9,13.5,C,33.72472222,-111.51166667,20140527,20140528,4013.0,20140527,417.0,256.0,339.0,0.0,2.7812629,50.0
10,23.5,C,33.94833333,-111.89638889,20140713,20140714,4013.0,20140713,433.0,267.0,369.0,8.0,2.93681,83.5
12,0.1,A,33.73138889,-111.51472222,20150530,20150530,4013.0,20150530,406.0,233.0,326.0,0.0,0.94339806,104.5
13,0.1,A,33.64222222,-111.55333333,20130818,20130818,4013.0,20130818,439.0,300.0,365.0,0.0,0.9946311,91.0
15,0.5,B,33.68583333,-111.51805556,20150603,20150603,4013.0,20150603,389.0,233.0,323.0,0.0,3.42427,77.75
17,0.1,A,33.87638889,-111.82138889,20150408,20150408,4013.0,20150408,256.0,161.0,217.0,0.0,4.3664203,75.5
19,1.8,B,33.68805556,-111.51583333,20130421,20130421,4013.0,20130421,339.0,167.0,262.0,0.0,0.60901606,74.0
20,0.25,A,33.97888889,-111.80388889,20150827,20150827,4013.0,20150827,422.0,278.0,361.0,38.0,1.5900079,73.0
21,0.25,A,33.94472222,-111.44194444,20150918,20150918,4013.0,20150918,383.0,250.0,315.0,0.0,0.8678277,88.5
23,11.25,C,32.9839,-112.75,20140721,20140724,4013.0,20140722,450.0,317.0,369.0,0.0,1.6620706000000005,83.5
25,0.1999999999999999,B,33.9831,-112.1664,20150429,20150501,4013.0,20150430,372.0,211.0,291.0,0.0,0.5640257,101.5
26,16.333333333333332,C,33.98444444,-111.955,20140811,20140816,4013.0,20140812,367.0,250.0,346.0,112.0,1.5455784,83.5
29,0.1,A,33.76,-111.495,20130525,20130525,4013.0,20130525,367.0,217.0,305.0,0.0,2.0038536,104.5
32,0.05,A,32.8706,-113.1442,20140626,20140627,4013.0,20140626,406.0,267.0,348.0,0.0,3.9432142,54.0
33,0.0238095238095238,B,33.56361111,-111.30805556,20140727,20140816,4013.0,20140728,417.0,294.0,348.0,0.0,3.1932366,83.5
34,2.2,B,33.9194,-112.79,20150606,20150608,4013.0,20150607,378.0,217.0,308.0,0.0,0.59424317,77.75
38,0.34,B,33.88027778,-111.50083333,20150829,20150829,4013.0,20150829,439.0,267.0,369.0,33.0,1.8251712,73.0
39,0.1,A,33.55694444,-111.535,20130508,20130508,4013.0,20130508,289.0,189.0,233.0,0.0,2.570085,91.333
40,0.1,A,33.54694444,-111.64527778,20130527,20130527,4013.0,20130527,344.0,217.0,291.0,0.0,2.624882,76.2
42,5.55,C,33.7975,-111.48638889,20150522,20150523,4013.0,20150522,278.0,189.0,243.0,0.0,4.3351035000000016,96.25
43,0.1,A,33.62472222,-111.55861111,20140616,20140616,4013.0,20140616,406.0,239.0,325.0,0.0,3.8821812000000007,51.0
45,0.1,A,33.66388889,-111.56333333,20130512,20130512,4013.0,20130512,372.0,228.0,305.0,0.0,2.3654585,113.0
50,0.2,A,34.271,-112.1122,20130506,20130506,4013.0,20130506,306.0,206.0,259.0,0.0,3.779555600000001,100.75
51,0.17,A,33.835,-111.47222222,20150508,20150508,4013.0,20150508,239.0,161.0,213.0,0.0,5.015226999999999,109.5
52,16.333333333333332,C,33.98444444,-111.955,20140811,20140816,4013.0,20140811,428.0,306.0,361.0,0.0,0.9013946,83.5
53,0.1,A,32.9003,-112.5336,20140712,20140712,4013.0,20140712,433.0,311.0,367.0,0.0,2.488475,80.5
54,0.0238095238095238,B,33.56361111,-111.30805556,20140727,20140816,4013.0,20140816,411.0,306.0,352.0,0.0,2.7730837000000004,83.5
55,0.1,A,33.63722222,-111.55611111,20130602,20130602,4013.0,20130602,428.0,278.0,361.0,0.0,1.8089799,99.0
56,0.0238095238095238,B,33.56361111,-111.30805556,20140727,20140816,4013.0,20140727,400.0,283.0,348.0,0.0,3.6286175,83.5
57,1.8,B,33.68333333,-111.51416667,20150408,20150408,4013.0,20150408,256.0,161.0,217.0,0.0,4.3664203,75.5
58,4.214285714285714,C,33.01,-113.1519,20150812,20150825,4013.0,20150818,417.0,311.0,362.0,0.0,5.468832,73.0
59,0.1,A,33.67416667,-111.46361111,20150703,20150703,4013.0,20150703,378.0,278.0,345.0,20.0,2.576092,87.5
60,0.1,A,33.86944444,-111.46583333,20140315,20140315,4013.0,20140315,300.0,128.0,201.0,0.0,4.272338,71.5
62,0.0238095238095238,B,33.56361111,-111.30805556,20140727,20140816,4013.0,20140806,422.0,289.0,355.0,0.0,2.6798859,83.5
63,0.1,A,33.62333333,-111.44805556,20130518,20130518,4013.0,20130518,344.0,239.0,291.0,0.0,3.2595053,89.0
64,0.05,A,33.90555556,-111.45027778,20140618,20140619,4013.0,20140618,378.0,261.0,334.0,0.0,3.7529876,51.0
66,4.3,B,33.68666667,-111.51805556,20130430,20130430,4013.0,20130430,383.0,217.0,313.0,0.0,4.4693274,84.0
