,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
7,0.1,A,34.35416667,-110.54333333,20130430,20130430,4017.0,20130430,201.0,102.0,146.0,0.0,4.304991,91.0
13,0.1,A,34.24111111,-110.16083333,20130706,20130706,4017.0,20130706,311.0,183.0,254.0,0.0,1.9974499,90.0
21,0.1,A,34.36861111,-110.705,20130703,20130703,4017.0,20130703,383.0,161.0,251.0,0.0,2.0107915000000003,90.0
31,0.1,A,34.32805556,-110.68333333,20130719,20130719,4017.0,20130719,344.0,167.0,252.0,0.0,1.2519695,90.0
61,0.1,A,34.40416667,-110.47111111,20130705,20130705,4017.0,20130705,344.0,206.0,273.0,5.0,3.3204012,90.0
93,0.1,A,34.21305556,-109.94166667,20130504,20130504,4017.0,20130504,283.0,44.0,168.0,0.0,2.0892553,91.0
101,0.25,A,34.47388889,-110.35305556,20130714,20130714,4017.0,20130714,356.0,172.0,249.0,0.0,1.8425297,90.0
115,0.1,A,34.30638889,-110.68,20130719,20130719,4017.0,20130719,344.0,167.0,252.0,0.0,1.2519695,90.0
123,0.1,A,34.37888889,-110.56694444,20130725,20130725,4017.0,20130725,333.0,217.0,271.0,0.0,1.5370166,90.0
136,0.05,A,34.35527778,-110.05333333,20150524,20150525,4017.0,20150525,169.0,60.0,102.0,0.0,1.7396121,93.0
146,0.1,A,34.29805556,-110.34277778,20130711,20130711,4017.0,20130711,350.0,211.0,269.0,0.0,2.554764,90.0
160,0.1,A,34.36888889,-110.53472222,20130710,20130710,4017.0,20130710,383.0,222.0,303.0,15.0,1.759232,90.0
161,0.05,A,34.35527778,-110.05333333,20150524,20150525,4017.0,20150524,155.0,36.0,81.0,0.0,1.7088006999999998,93.0
168,0.1,A,34.3825,-110.55083333,20130514,20130514,4017.0,20130514,226.0,111.0,162.0,0.0,2.1272044,82.0
174,0.1,A,34.34944444,-110.12833333,20150517,20150517,4017.0,20150517,239.0,44.0,121.0,0.0,0.8533025,93.0
199,0.1,A,34.34861111,-110.53638889,20130720,20130720,4017.0,20130720,344.0,200.0,257.0,107.0,1.8445892,90.0
206,0.7,B,34.35916667,-110.72388889,20130704,20130704,4017.0,20130704,389.0,189.0,287.0,0.0,2.514467,90.0
248,0.1,A,34.28777778,-110.65,20130711,20130711,4017.0,20130711,350.0,211.0,269.0,0.0,2.554764,90.0
250,0.1,A,34.30805556,-110.56833333,20130720,20130720,4017.0,20130720,344.0,200.0,257.0,107.0,1.8445892,90.0
261,0.25,B,34.37916667,-110.39305556,20150526,20150527,4017.0,20150527,267.0,72.0,181.0,0.0,0.5488625,93.0
262,1.0,B,34.295,-110.70944444,20130714,20130714,4017.0,20130714,356.0,172.0,249.0,0.0,1.8425297,90.0
272,0.1,A,34.29444444,-110.57055556,20130711,20130711,4017.0,20130711,350.0,211.0,269.0,0.0,2.554764,90.0
287,0.1,A,34.25361111,-110.10444444,20150511,20150511,4017.0,20150511,179.0,50.0,116.0,0.0,1.22602,93.0
300,0.25,B,34.37916667,-110.39305556,20150526,20150527,4017.0,20150526,194.0,72.0,130.0,0.0,1.2727921999999998,93.0
305,0.1,A,34.21638889,-110.13444444,20130708,20130708,4017.0,20130708,378.0,200.0,289.0,0.0,1.4224339,90.0
311,0.1,A,34.18166667,-109.93611111,20130604,20130604,4017.0,20130604,344.0,106.0,244.0,0.0,2.5932596,90.0
324,0.5,B,34.17972222,-109.95833333,20130513,20130513,4017.0,20130513,232.0,100.0,158.0,0.0,0.21401086,82.0
345,0.1,A,34.34388889,-110.35472222,20130715,20130715,4017.0,20130715,350.0,189.0,257.0,56.0,1.7745092,90.0
349,0.1,A,34.25305556,-110.14472222,20150530,20150530,4017.0,20150530,249.0,116.0,176.0,0.0,0.7619875,93.0
352,25.0,C,34.40222222,-110.68555556,20070503,20070503,4017.0,20070503,157.0,65.0,105.0,0.0,4.5820665,86.0
354,6.333333333333333,C,34.46472222,-110.755,20060606,20060611,4017.0,20060608,232.0,115.0,169.0,0.0,1.3547347,100.0
357,0.05,A,34.36111111,-110.66944444,20130714,20130715,4017.0,20130714,356.0,172.0,249.0,0.0,1.8425297,90.0
375,0.0333333333333333,A,34.26638889,-110.30333333,20070816,20070818,4017.0,20070817,254.0,143.0,195.0,0.0,0.33970287,109.0
380,0.25,B,34.29333333,-110.09111111,20050716,20050717,4017.0,20050716,319.0,29.0,179.0,0.0,2.1102788,102.0
383,0.1,A,34.36361111,-110.40416667,20050528,20050528,4017.0,20050528,294.0,150.0,222.0,25.0,3.3646533,90.0
388,0.0416666666666666,B,34.44888889,-110.54888889,20040705,20040728,4017.0,20040719,344.0,156.0,250.0,0.0,2.510862,115.0
392,3.5,B,34.3875,-110.72583333,20050722,20050722,4017.0,20050722,304.0,-34.0,146.0,0.0,1.8506533,102.0
395,0.25,A,34.29194444,-110.03083333,20060615,20060615,4017.0,20060615,222.0,103.0,166.0,0.0,2.9699898,100.0
402,0.0833333333333333,A,34.21166667,-109.88305556,20040331,20040402,4017.0,20040401,233.0,83.0,161.0,5.0,2.4758837,91.0
403,0.0111111111111111,A,34.16166667,-109.93333333,20130719,20130727,4017.0,20130725,333.0,217.0,271.0,0.0,1.5370166,90.0
406,0.0833333333333333,A,34.21166667,-109.88305556,20040331,20040402,4017.0,20040331,193.0,53.0,104.0,0.0,1.2083101,91.0
407,0.0333333333333333,A,34.13944444,-109.9475,20040820,20040822,4017.0,20040820,283.0,150.0,217.0,0.0,2.5162077000000003,127.0
410,0.1,A,34.44472222,-110.91416667,20070715,20070715,4017.0,20070715,288.0,157.0,208.0,0.0,2.9378273,109.0
413,0.2,A,34.19861111,-110.01,20070615,20070615,4017.0,20070615,290.0,169.0,220.0,0.0,2.7054276,96.0
414,0.05,A,34.45166667,-110.66611111,20050527,20050528,4017.0,20050528,294.0,150.0,222.0,25.0,3.3646533,90.0
417,0.2,A,34.19888889,-110.01,20070615,20070615,4017.0,20070615,290.0,169.0,220.0,0.0,2.7054276,96.0
418,0.125,A,34.15444444,-109.88305556,20040812,20040813,4017.0,20040813,350.0,178.0,267.0,0.0,2.8129911,127.0
419,0.0416666666666666,B,34.44888889,-110.54888889,20040705,20040728,4017.0,20040714,361.0,211.0,289.0,0.0,3.296558,115.0
